,comentario,liguagem
0,"O problema é que cortaram muita coisa importante pra história do anime, e só lendo o mangá vc entende a história inteira. Se tivessem seguido fielmente o mangá, com algumas alterações necessárias, tenho certeza que Tokyo Ghoul seria um dos melhores animes pq tem muito potencial.",pt
1,"Ficou ótimo, apoio fazer das outras temporadas, ja q a primeira temporada é a que menos difere do mangá, comparando com as outras temporadas.",pt
2,"Se tem muito potencial man, fico triste vendo que vc parou de postar vídeos com frequência, não desista!!!",pt
3,"Aproposito uma grande diferença no geral pra mim, é q o Kaneki é muito menos bundao no manga, ele tem muito mais ação e aparenta muito mais força
Tanto q ele bate de frente com o Jason, e se deixou ser capturaddo",pt
4,"sério, ficou incrivel o video parabens alvaro, sem meme tipo fui pesquisar por sempre ter curiosidade q todo mundo falava me deu até vontade de ler o manga de tokyo ghoul, faz a parte 2 plss to muito no aguardo cara, sério mesmo parabens ta tudo incrivel no seu video",pt
5,"o vídeo foi muito legal, eu sempre tive curiosidade sobre o que eles tinha cortado no anime.",pt
6,"Pulei direto pra conclusão pra não pegar spoilers mas adorei o vídeo, a linguagem usada o vídeo de fundo, a trilha sonora e principalmente a informação. Um ótimo vídeo, continue assim vc tem futuro!",pt
7,"Caí aqui de paraquedas bicho kkkkkk sei nem como cheguei, mas amei teu conteúdo. Não sou de ver muito anime, leio mais os mangás. Ganhou mais um inscrito",pt
8,"Meu anime favorito, depois de Death Note óbvio rs. Mas eu simplesmente amo essa obra, amo.",pt
9,"Curiosidade do EP 11: no mangá, fica meio implícito que aquela situação era parte das alucinações do kaneki, e é como uma exemplificação das conversas dele com a rise, e todo aquele papo de ""escolher se machucar invés de machucar aos outros""
Essa parte no mangá é bem superior ao anime, na minha opinião",pt
10,"Muito bom video cara, explicou muito bem as diferenças entre o manga e o anime, +1 sub",pt
11,"Vídeo excelente Álvaro! Por favor, continue com seu canal!",pt
12,"Faz da segunda temporada mano, o vídeo ficou muito bom.",pt
13,"Mano muito boa a idéia!!!!
 Acho interessante fazer uma espécie de remake desse vídeo, o separando e comparando página por cena, mais detalhada sabe?
 Se vc fizer bem parecido com o que o Shango fez com o manga de yu gi oh. ",pt
14,"Ja vi o anime e o mangá, realmente tem bastante diferença kk, agora vou ver your video, mas obrigado por fazer esse tipo de conteúdo :)",pt
15,"Incrível mano!
Faz das outras temporadas",pt
16,"excelente vídeo, só falta das demais temporadas kkkkk",pt
17,Faz da segunda pfv ️,pt
18,"Vídeo MT bom, esperando a parte 2",pt
19,"Pior que todos os tipos de cortes por censura não deveriam ter pq o mangá é Seinen (público adulto masculino), simplesmente não deveria ter, isso pq a Pierrot faz animes shounen então deram essa pegada para Tokyo Ghoul tbm (infelizmente)",pt
20,Video muito bem feito muito top,pt
21,Vai ter a comparação entre a segunda temporada do anime com o mangá ?,pt
22,"Muito bom o vídeo, tô esperando a 2.",pt
23,"Vídeo novo hein, duvido que alguém esperava por essa kekeke.",pt
24,"outra coisa que cortaram do manga é a parte que mostra o tatara, que mostra que o kaneki ser capturado pela aogiri tinha um motivo o tatara queria ver se o kaneki era útil e se ele era igual a rize, o tatara tbm fala sobre o médico do kaneki e tudo mais e quando ele vê que o kaneki é inútil ele manda só transformar o kaneki num empregado ou soldado. oq mostra que a aogiri é uma organização mais organizada, já que mostra o kaneki trabalhando desmantelando os corpos e fala que existem grupos que caçam e várias outras funções. no anime parece que a aogiri é só uma organização qualquer e que o kaneki só foi capturado pq o jason queria achar a rize pq eles tinham briga e tals",pt
25,"Ah velho eu vou falar, eu concheci tk pelo anime e eu assisti e achei muito legal, depois eu fui ler o mangá e sinceramente, o mangá é muito melhor. A primeira temporada foi muito bem adaptada claro mas EU acho que o mangá é melhor",pt
26,Já assisti o anime 5 vezes agora tô lendo o mangá,pt
27,"O problema de Tokyo ghoul é que a adaptação para anime foi extremamente rushada, você percebe isso quando lê o mangá e percebe que o anime em apenas 12 episodios adaptou cerca de 70-80 capítulos do mangá, com isso muito conteúdo foi cortado e a produção do anime teve que criar plots novos, como por exemplo, todo o mini arco do sequestro do kaneki pela aogiri, os rebeldes, a fuga deles e a troca com o Jason que resultam na tortura do Kaneki na sala do Yamori foram cortados, por isso no anime eles colocaram um casal aleatório pro Kaneki decidir quem deveria morrer, sendo que no mangá as vítimas é uma criança e sua mãe, que são apresentados no mini arco dos rebeldes da aogiri, esse desenvolvimento deu muito mais impacto pra cena em questão, fora outras incontáveis mudanças que tiveram, isso só piora na segunda temporada, que é ainda mais rushada e cheia de cortes.",pt
28,Eu comprei o mangá do Tokyo ghoul o volume 1 gostei bastante,pt
29,Eu assisti o anime várias vezes hj de madrugada eu comecei a ler o mangá já estou no capítulo 51 eu achei o mangá melhor que o anime é o meu personagem favorito o juuzou no anime ele é foda no mangá também parece que ele tá mais violento no mangá,pt
30,Ótimo trabalho mano,pt
31,Pq parou com os vídeos? Se tu for voltar eu quero que vc continue até o final de tokyo ghoul,pt
32,Quando sai o próximo vídeo de Utsuro? Terminei de ler e é um masterpiece sem sombra de dúvidas,pt
33,"Decidido, vou ler o mangá",pt
34,"2023 e até hoje eu não sei porque estragaram tanto o anime, porque deixaram tanto furos na história, porque mudaram completamente o designer dos personagens a ponto de nem parecer eles mesmos. Como o Juuzo eu amo esse personagem, e mudaram tanto ele na terceira temporada que só reconheci pelas marcas que ele tinha no corpo, porque se não fosse nem pareceria o mesmo. Torço muito e espero que um dia um grande estúdio refaça esse anime de uma forma decente, sonhar nãao custa nada rs",pt
35,"Muito bem feito, parabems!!!",pt
36,"se existe um heroi o nome dele é alvaro alvixx, cara esclareceu mt duvida.",pt
37,voce esqueceu de diizer que teve uma diferença da roupa do kaneki quanto fica de cabelo branco a calsa dele e mas grande e a blusa e tambem umas partes bem daora dele encaraddo o janso ele mesmo com cabelo branco ele ainda e torturado e trocao a roupa dele para essa roupa marcande,pt
38,traz a proxima temporada,pt
39,"No EP 9
Nesse ponto o Hide já n sabe q o Kaneko é um ghoul?
Até onde lembro ele descobriu lá na luta do EP 2",pt
40,"Uma coisa que eu não gostei do anime é o cabelo ficar branco direto, eu acho muito foda o cabelo do Kaneki ir ficando branco aos poucos",pt
41,Essa cena do tsukyama comendo olhos dessa mulher foi adaptada no filme tipo eles pegaram essa cena do mangá e colocaram no filme,pt
42,O anime é quase um grande paralelo ao mangá,pt
43,No anime Tokyo Ghoul as cenas são iguais no filme,pt
44,Você vai fazer vídeo de todas as temporadas?,pt
45,Faz das outras temps,pt
46,"Cara, sou fanatico em tokyo ghoul. Tenho todos os mangas, do classico ao RE. Adorei a review, mas n acho o anime tao bom assim. Por ter poucos episodios acabaram cortando muitas partes importantes e fez varios personagens perderem parte da relevancia, aogiri por exemplo, perdeu muito do espaço e ""grandeza"" que tinha comparado ao manga em um primeiro momento. Eu diria que foi um anime bom pra mediano comparando com o material original q so decaiu fortemente com o passar das temporadas. Mas adorei o review, ajudou a ver certos pontos positivos no anime que nao tinha visto antes.",pt
47,Vai ter vídeo falando da 2 temporada,pt
48,"Olha, algumas cenas complementadas são boas e a direção é incrível, mas é muito mal adaptado",pt
49,Eu to pensanďo em ler o manga poderia me dizer se vale a pena ?,pt
50,dps da 1º temporada eu começo aonde no mangá?,pt
51,Vim pelo anilist. Ótimo vídeo!,pt
52,mas embora isso gostei do conteodo kk,pt
53,"Como é o nome desse jogo,dessa gameplay de fundo ?",pt
54,Qual a sound de 24:12 ?,en
55,COMER CAFÉ? N SERIA BEBER?,en
56,"Tenta fazer o próximo calado, sua voz é muito ruim
Mas o resto está bom, continue assim, meu primo querido",pt
