,comentario,liguagem
0,All you need to know is we're still finding sand in our wardrobe.,en
1,Yeah but michael's solo is unreal,en
2,5sos is like a fine red wine that's aged and keeps getting better with time!,en
3,I could listen to to this song on repeat forever,en
4,This song deserve hundred million views from 90's generation. It's soooo good. Thank you for making this music.. indeed bring back nostalgic vibes,en
5,"Now that the album is out, I hope they get the recognition they deserve. Stream 5SOS5 if you want to improve your music taste",en
6,This is my very first release thing in this fandom and I'm so excited for the chaos,en
7,omfg calum and mikes solos are heaven,en
8,"This song is just perfect for scoring in movies, why it hasn't been used it yet is literally beyond me",en
9,"So i remember when these guys came out like what seems like 8-10 yrs ago .. thought they'd just be a one hit banger with she looks so perfect.... Then fast forward to now, heard this song and couldn't believe that this was them!!... Wow what a well written song and they sound so polished... They've got my respect even tho they don't need it... Impressive!!",en
10,So great to see these four young men growing and evolving into mature artistes,en
11,The fact that is this gonna be some of you all's first time experiencing a whole era so fucking cool,en
12,"the visuals are perfect, i loved the concept !!",en
13,"At 43, I'm old enough to be their mom. But this song is just beautiful. I listen to it when I need a bit of calm from anxiety etc. Just amazing ",en
14,This isn’t my type of music but it is today; this sounds so good!,en
15,gorgeous vocals on all of them,en
16,michael’s voice in his solo was so majestic ,en
17,The fact that it's been more than 10 years but they're still besties and nothing has changed within the years just warms my heart,en
18,Dudes keep making this type of music. They definitely grew and evolved! ,en
19,Can listen to this on repeat. So ethereal. So powerful.,en
20,This song feels so heavenly,en
21,5sos can take my hand make me a complete mess all while I’m all by me myself and I any day love u guys <3 I can’t wait for 5SOS5,en
22,This song is honestly a masterpiece,en
23,"I'm so proud of them. I read an article where this is one of their first songs EVER where they didn't have any other co writers. They wrote this solely themselves and Michael produced it as well. I think it's awesome because if you do look at their previous writing credits, there is always an established song writer on all of their songs. Like Ryan Tedder, Ali Tampolsi, Charlie Puth etc. But they wrote and produced this by themselves. It makes me so happy :) I hope they have the same success on this album as this is who they really are :)",en
24,the visuals in this video are superior 🫶 nothing better,en
25,I'm old enough to be their grandmother and I Love their sound.  The lyrics are memories too..,en
26,I can't stop listening to it since it came out ,en
27,HONESTLY WHEN MICHAEL MAKES EYE CONTACT DURING HIS SOLO IT FEELS PERSONAL TO ME,en
28,I am still in awe of this beautiful song. Never tired of listening to it.,en
29,"I never heard about this boys group before, but the first time, i heard this song, I fell in love right away",en
30,I'm a grown ass 23 year old woman and the giggle I let out when Michael's part came on immediately took me back to when I started listening to their music when I was 14. This song is absolutely amazing <3,en
31,"Dear 5sos:
You make me complete. Tysm for the simple thing of existing, making music and putting your whole heart into it. Thank you for always being so supportive and caring with the 5sos fam. Hope Ashton is doing a lot better, hope Michael knows that he's a really special person for lots of people, including me, hope Luke is happy and taking advantage of every single second of his life with the person he loves and hope Cal is really good and taking care of himself. Hope to see you soon, wishing that you come to play to Peru again.",en
32,This is amazing,en
33,Calum’s solo live is angelic and life changing,en
34,"8 years stanning them, and couldn’t be more proud of themthe fact this song they have their own solos omggg",en
35,this song is a masterpiece,en
36,This band needs to be heard by everyone,en
37,"These guys are amazing the best boy band ever, the professionalism and the heartfelt song is amazing ️",en
38,They always deliver,en
39,"Okay but every time Calum, Michael and Luke have their own lines in the same song it kills me ",en
40,Todos os dias amo cada vez mais essa música. Nem tenho palavras pra agradecer por essa música.  Espero que mais pessoas reconheçam.  Vocês são especiais.  Amo ️,pt
41,Good music to wake up to,en
42,they got me on this masterpiece ! i'm like a moth to a flame  to this sound ... now I'm the big fan of these best buddies in the world ️,en
43,5sos u guys will always be my fev band of all time ur songs are the medicine  to my sorrows ,en
44,This is the type of song that already sounds nostalgic AF kinda like how we heard songs from an early age. I like this.,en
45,"Don't know why but this song hits different, specially the tune It's so relaxing  Love you 5 SOS",en
46,"I love watching this MV so much, it's so beautiful",en
47,One of my favorite song. Beautiful lyrics and beautifully sung. Amazing voice,en
48,"Just heard this for the first time in the Nike store in Edinburgh and I didn’t think the assistants would know what it was, lovely though they are.  So I was standing recording with my phone and now I’ve found it here on utube!  I can’t say how happy I am to have discovered such a great track and I’ll be checking out more of 5SOS.  I’m one month short of getting my pension but this track makes me want to dance on a beach on a warm summer’s night in my bare feet…",en
49,WHAT A MASTERPIECE ㅠㅠㅠㅠㅠ CAN'T WAIT FOR THE FULL ALBUM TO DROP,en
50,"THIS SONG IS TOO GOOD, LUKE'S VOCAL, CALUM'S VOCAL, MICHAEL'S LITTLE PART, EVERY SOUND IN THIS SONG MAKES ME A COMPLETE MESS",en
51,This is too good ,en
52,"This song is unbelievably awesome!!! So amazing. Beautiful voices with a stunning melody and message! I hope it gets the credit and success I feel it deserves!!,",en
53,8 years in this fandom and the boys have never once failed to impress me with their new music. I can't wait for the rest of the album to be released!,en
54,"Amazing song ️ give me comfort and deep thoughts at the same time 
I missed your music",en
55,"Watched this again, such a great song. This deserves more than 10M views",en
56,"Luke, michael and calum singing = youngblood vibes

The spacey vibe to the song = sgfg vibes",en
57,THIS SONG IS BEAUTIFUL I WILL DEDICATE IT TO MY FUTURE WIFE,en
58,"This song, this video... pure art <3",en
59,This song is beautiful ️,en
60,"All we agree that 5SOS never dissapoint us with their music, right?",en
61,Can't get over this song. So good,en
62,Eles ainda são fodas 🇧🇷🇧🇷🇧🇷,pt
63,the production/instrumentation on this song is fabulous ,en
64,"ME SIRVEN DE CONSUELO,ESCUCHARLOS POR LO SUAVECITO QUE CANTAN NO GRITANDO COMO LOCOS",pt
65,"For all the new people entering the fandom: welcome! Us, the old fans, are as surprised as you with this masterpiece. I mean, these guys NEVER cease to amaze me. Like literally never.",en
66,The fact that I've been in the fandom for a long 7 years I'm thankful for this 5sos thank you so much it means so much to me,en
67,New fan here this song rocks  ,en
68,Amo ️,pt
69,I am so in love with this song it's just so beautiful.,en
70,They just get better and better. Their last album was pretty much perfect. Imagine how fucking great this one will be!,en
71,this song was so good live,en
72,this music Video is perfection!!!!,en
73,Could listen to this song on repeat forever!,en
74,"5sos is back to give me retro psychedelic vibes, and I'm all for it. A complete mess is exactly what I am after this. Looping it!",en
75,becoming better and better! y'all shine:),en
76,I love this song ️,en
77,"What the heck? This song is friggin tight it should have 1,000,000 views everyday! What’s wrong with you people From the music, lyrics, the iconic wardrobe, to the setting of the video. I wonder where it was filmed or if it was a green screen. ️️️",en
78,I can even express how much I’ve missed Michael singing!! The excitement that it gave me brought me back to when I was 13 and life wasn’t so chaotic.,en
79,Wonderful music ️,en
80,"can't wait to hear more 5SOS5 masterpieces!!! 
I LUV U ️️️️ 🇲🇽",en
81,"What a good song, it really hits in the feeling and it feels so ethereal. You never fail to amaze me",en
82,Great song. Heard it on the radio today in Seoul. Put it on repeat when I got home.,en
83,This song is already going to be a masterpiece. I mean it's 5SOS how can it not?,en
84,literally obsessed with the bassline in this song please inject it into my veins,en
85,My favourite song of theirs ,en
86,EVERYTHING IS ABSOLUTELY BEAUTIFUL their voice the song the melody the mv im crying,en
87,Tremendo temazooo,pt
88,Come on they deserve views in hundreds of millions,en
89,Forever obsessed! I'm so in awe of their talent and its never ending growth,en
90,Still remember the moment they released this song. It was amazing,en
91,"im speechless, 5sos never fails at surprising us. hope this era my boys get the recognition they deserve ",en
92,This is like a love song but a movie.. MASTERPIECE!,en
93,EU AMO DE MAIS ESSA MUSICAAAA TÔ PRESA NELA,pt
94,"Thanks for everything, we love you so much guys ",en
95,"This song shows how much they've grown as artists, they really come up with fresh concepts and the song already sounds nostalgic somehow",en
96,In LOVE with this song!,en
97,I love them as boy band i do love their new album and their old albums as well.,en
98,"This song just give me an incomparable energy, it will be a good memory",en
99,This song makes me feel like I'm flying towards the horizon while the sun is setting!! MAGICAL,en
100,"Maaan, this must be one of the most artistic video that 5SOS have, I love it!!",en
101,the music video actually fits the song so well and its so beautiful,en
102,"5sos, you make me complete<3",pt
103,How can they all have extremely beautiful voice,en
104,One of the best bands I’ve heard in years. I’m wondering why they’re not more prominent in the US!,en
105,", got in love with this music",en
106,Thank you again for the album. Can't wait for my pre-ordered vinyl to reach me.,en
107,love this song!,en
108,the fact that the voice of the four sounds great in this song is amazing,en
109,IT SOUNDS DIFFERENT EVERYTIME MICHAEL SINGS. SPECIAL & UNIQUE.,en
110,songs too good i been replaying this nonstop,en
111,"love the new song 5sos always brings us quality music and that's what i love about the band, it always come with passion",en
112,Hell yeah! I like the sound of the bass in this song. Sounds really good Calum,en
113,"thank you so much for creating this song, it's sooooo perfect to hear when i am miss someone....
this could be my next anthem to daydreaming <3",en
114,"I’ve been listening to 5sos since I was 13 I’m 20 now and It still feels like I just discovered my new favorite band, they never fail to impress me . I love you guys FOREVER. ",en
115,Ahhh Mike's angelic voice is why I exist<3,en
116,"Never stop making music, they are amazing ",en
117,A S H T O N  I R W I N <3,en
118,"Since the first time I've listened to this song, it gave me chills and transported me to some place far away. Plus, I highly relate to the lyrics  
Gotta check out more of these guy's music, cause they've got me obsessing over this bop ",en
119,"Im laughing and crying how did we went from she looks so perfect to this, its been a privilege growing up with you guys, thank you for everything",en
120,I love 5SOS so much! And this song? chef's kiss Everyone's vocal and talent is immaculate. I would like to sue them for making me a complete mess.,en
121,PRECIOSO TEMA ,pt
122,The boys never disappoint.,en
123,michael’s solo in this song made me so much happier!,en
124,"I couldn't expect less from them, Mike's solo was the most angelic thing I've heard",en
125,What a song.....it's been a while nobody did some like this......thank you guys ,en
126,This song is phenomenal!!!! So excited for 5sos5,en
127,I LOVE THIS SONG ,en
128,"when they walked their separate ways i almost burst into tears, love love love this I am STOKED for the album this September. LOVE YOU BOYS FOREVER AND ALWAYS <3",en
129,5sos truly out here saving my life,en
130,A Great track and band!,en
131,I lovee this song  thank u,en
132,This ils a really good song ,en
133,"Feel proud already knowing you guys. We’re all growing and completing everyday. This song is so good it gives such good vibe, it makes my mind calm, wanna take a deep breath and enjoy this beautiful day",en
134,They weren't kidding when they said they were releasing only S tiers!! I'm so ready for this new album ,en
135,I love this song ️,en
136,"Probably one of my new all time favorite songs by the band, everything about it makes it so magical and heart bounding.",en
137,This song is soooo heavenly! Expecially live;),en
138,"It’s so crazy to see their growth and music evolution since I joined the fandom in 2013. I was 13 then, and I’m 21 now. You grow with the music, and the music grows with you no matter when you’ve joined.",en
139,this song was so magical live,en
140,this guy always impressed me with their good music good album everytime ,en
141,"I can't believe humans can make such a beautiful thing like this song. Knowing the history of these guys and knowing that with hard work they made it, I feel really emotional. We love you guys and the fam will always support you.",en
142,This is such a nice fresh vibe...Listening on loop️️,en
143,Most underrated group ever  literally every single song is ,en
144,The best song in vocals that I’ve heard in years!,en
145,"I love Luke's voice, but it is SO good to hear Calum and Michael sing again!!!!!!! Yay 5SOS!!",en
146,This song brings me tears remember when i was young and seeing yall in concert,en
147,YOU MAKE ME A COMPLETE MESS AND HONESTLY I LOVE IT SM,en
148,Perfect song ️,en
149,"It gives me surreal vibes and evoking senses! Imagine if only love life is as beautiful as such — in which, I hope so, one day it would be coming by! Goosebumps to hear the ethereal vocal, arrangement, harmony and 'edm' touch. It is simply perfect! I dig the lyrics so much and for sure the fantastic mtv.",en
150,"Videographer: How much of a cinematic masterpiece do you want it to be?

5SOS: Yes.",en
151,"8 years stanning them, and couldn’t be more proud of themthe fact this song they have their own solos omggg",en
152,"I listen to this song every single day, literally one of the best songs I've ever heard",en
153,"Can’t wait to hear this song live in Atlanta on Friday! This song is so good!,,",en
154,cannot wait to hear this live,en
155,"Oh gosh, can’t get enough of this, I’m hooked, soooooo good",en
156,This song gets me set for the day ,en
157,Every single time I came back to these video and make me feel like the first time again. thanks so much for this art of song and mv and the whole album that save my life <3,en
158,This song is so deep. I'm certain most ppl In long distance relationships can relate to this song,en
