,comentario,liguagem
0,"0:05 They appeared in the order of how they formed the band
1:05 the place where it all began 
1:13 reference to Calum's old career as a soccer player which he gave up to be in the band
1:37 those iconic pink speakers from Luke's old YouTube covers",en
1,"Being a directioner and part of the 5sos fam, this is just too kinda emotional too me,. The boys dressed as fetus one direction shows how much one direction still means to them . My love for these 2 boy bands is getting bigger day by day. Their friendship is I think the best between any Boybands .both of our fandoms have the best companionship and we get along really well.
<3",en
2,"Rediscovering 5sos now, was a die-hard fan until 2016 (idk what happened I felt like I grew out of it at that point) Just listened to the entire Calm album, what an emotional roller coaster. This MV made me cry, I’m so happy and proud to see how much they’ve grown. I’m excited to be back in the fandom, these boys are so insanely talented and deserve all the success in the world.",en
3,"Dios, ESTÁ CANCIÓN ES DE OTRO MUNDO, mis oídos han sido bendecidos",pt
4,"This song means a lot to me because, when I was younger, I was really confused about everything, but I just kept doing what I wanted. Sure, I got made fun of, but I didn't stop. Now I have a whole plan for my future and I'm not going to give up on my dreams. I've only just realized that everything I've done since then, was leading up to a career in music and that is insane to me. Thank you 5SOS for teaching me so much about myself. Also this is my favorite Ashton hair, I just have to say it.",en
5,"I have to say, as a 67yo woman, this song is timeless. In fact, the longer you're alive, the more this song speaks to you. We all hope to learn from our mistakes (had to f* it up before you really got to know me), but it's tough, because old habits die hard. Some lessons are more costly than others (Whatever the price, I paid...). Kudos to anyone who has the courage to be introspective and learn from their past however long or short it is. Great song. Really nicely done, guys. (My first exposure to 5SOS thanks to Teatime w/Travis.)",en
6,"3:01
The fact that they didn’t forget about 1d is making me so grateful and proud as a directioner. 
It’s right that 1d helped them in their beginnings, but honestly, all of the success they’re getting now is because of their hard work. They deserve all of this and more. Well done boys.",en
7,"do anyone realise this? like we’re growing up with them, watched how they grow, listen to how their music developed. all of the tears and joy we share together with them. i hope there will more people that will recognise them. shoutout to the old them who grew up into something we’re so thankful today",en
8,Nem ferrando que tem legenda em português... Como não amar esses meninos?,pt
9,there hasn't been a single time that I watch this MV and do not cry. I literally grew up with these boys and couldn't be prouder of who they are now. I love you guys so much.,en
10,I love this song... i often blame my past self for mistakes... this song helps me remember the decisions I made right.,en
11,I'm convinced they can't make a bad song. Everything they have released recently slaps ,en
12,"seeing this mv, with all it's little details about the boys' history really makes me nostalgic... i am proud to have seen them and continue to see them grow and doing what they love the most. i am so happy to realize i have literally grown up with them. this really has me in tears...!",en
13,Essa música é perfeita🇧🇷,pt
14,"5SOS music really hits me hard, especially the regretful things I did in the past. It hurts but it released my bottled emotions of broken dreams",en
15,The symbolism and nostalgia in this video never fails to astound me. So beautiful.,en
16,"Shout out to Luke's lip ring.
Shout out to Michael's spiky hair.
Shout out to Calum's baby face.
Shout out to Ashton's bandana.",en
17,5 seconds of summer é  maravilhosos  tem talento de sobra  amoooooo,pt
18,"I'm so proud, like Michael said: ""this one is for the veterans"", I feel like watching every old keek and twitcam again and I'll propably cry at how great they've become and how they've grown up simultaneously with me. Couldn't be more proud and happy about how they evolved into these amazing artists! Okay time to watch those keeks and twitcams, brb I'm crying",en
19,"LYRICS:



Shout out to the old me 

And everything he showed me ",en
20,man this hits hard when you realize you’ve literally grown up with them...,en
21,"Something about this song just hits me on a new level. I’m about to have a baby and the fact that the person I was even a year ago has brought me to where I can have my daughter. 

I’m not proud of who I was, but I thank her every day for bringing me to the life I have",en
22,Been a 5sos fan since 2015 and rediscovered them in 2022 I am so proud of how far these boys have come and they are talented as hell!! Old Me has been my song of the year I relate to the lyrics so much! The whole CALM album has also been my album of the year! These boys have grown up so well and they’re doing amazing! I’ve literally had old me on repeat for months now! Proud to be a fan of them still after this long,en
23,"Valeu gente, adorei a homenagem que fizeram pra mim nessa musica. Abraço ai pra familia irmãos!!",pt
24,I’m emo af about this. All the memories of the young 5SOS that was just a small band touring with 1D came FLOODING back. Such a good time in life. I’m so proud of them!!,en
25,Sincerely every 5sos song makes us go straight to the heart and become very memorable.,en
26,"I will never forget the first time I started listening to 5SOS songs, the truth is that I became addicted to each of their lyrics of all their songs because they were very catchy and very good and no doubt with the passage of time each of these works of art became a jewel for me. I love them 5SOS.",en
27,"Voltando aqui para apreciar essa música. Tão bom a sensação de acompanhar a banda tem uns anos. Me identifico demais, lembro da minha versão mais nova e cheia de sonhos.",pt
28,"The part where Calum was playing with a football, that part hit me so differently. He could’ve been a professional football player but he chose to go with his heart, he chose his best mates and he trusted them with his whole heart. He’s such an inspiration, and I only wish I could be as brave as him one day you go Cal!",en
29,amo essa música,pt
30,"This band legit raised me.. i remember seeing one of their rlly old music videos from their old YouTube channel. Oh boy, i knew those boys had potential and when i saw them in the news i was shell shocked. Looking at them now i am so very proud. They have came such a long way",en
31,I need some more 5sps in my life!! Please make more music!!,en
32,I love your music ,en
