,comentario,liguagem
0,love how with each song 5sos keep digging deeper into the sound they actually want,en
1,I went and saw them in concert on their “take my hand” tour the other day and they sung this song along with she looks to perfect. I was singing as well and I got a bit of Goosebumps when the crowd was like “call me in the morning to apologise every little lie gives me butterflies”,en
2,"LYRICS:



Some days you’re the only thing I know 

Only thing that’s burning when the nights grow cold",en
3,I love how 5SOS are one of those bands that never disappoint after every release,en
4,After many hours of scientific testing and research i have come to the undeniable conclusion that this song is a fucking masterpiece.,en
5,"if a single song can drive us this crazy, what about the entire new album? I AM ALREADY DEAD THANK YOU",en
6,"Can we just talk about how awesome this group is? From the music, to the lyrics, and can't forget the awesome videos they create... I enjoy 5SOS way more than I probably should  
7•18•2022",en
7,"Finally, a song that's not only good when the beat drops",en
8,"I think they've just created their own type of music. Absolutely love it, they matured so much and that's amazing cause now their music leaves speechless",en
9,Eu volto aqui de tempos em tempos porque essa música é PERFEITA MEU DEUS QUE OBRA PRIMA,pt
10,Might be the only song to still stay as addictive as the first time listening even after 50 years,en
11,Omg can't believe this is the first time I'm listening to this masterpiece!!! 5SOS has grown so much <3,en
12,This is so different to their first album but I can't explain how much they've matured as a band holy shit they've gone from bops to BANGERS. Can't believe I was like 14 now I'm 18 mad,en
13,"years may have passed, but the excellency of what this masterpiece brings won't ever be surpassed ",en
14,They went from pop punk to industrial and new wave. I love this new 5 seconds of summer.,en
15,What a song...what a vibe...,en
16,¡TREMENDO TEMAZO!,pt
17,Cal’s bass. Ash’s drums. Mike’s guitar riffs. Luke’s vocals. Their visuals. ,en
18,I haven't heard this gem in a while and realised how much I've missed it  What an amazing song !,en
19,"ESSA MÚSICA É PERFEITA
THIS MUSIC IS PERFECT",pt
20,Just rediscovered 5sos and I'm so glad I did. This song is so good omg. Why did I ever stop listening to them. Luke's voice is so good.,en
21,You know its a 5 seconds of summer song when you already love the song after the first 5 seconds.,en
22,I'VE BEEN LISTENING TO THIS SONG FOR ABOUT TWO YEARS AND I STILL LOVE IT >3,en
23,"I think this song should be more recognized, it's a masterpiece",en
24,I never get tired of hearing this... always gives me courage after listening to it,en
25,"Essa música é MT perfeita, sério",pt
26,"It's been several years and I can't believe I missed this beautiful gem, shocking music, I love it.",en
27,"As a 5sos fan since the beginning,  I must say that I love how much they evolved as a band and how every single one of them found their own unique voice and style. This song was so unexpected yet so 5sos. I love them",en
28,Love this song!,en
29,essa música é muito perfeita,pt
30,I often feel like im in my imagery world when i listen to this masterpiece,en
31,"In 25 years I am gonna be 50 years old... Everyone around me - having life, babies...and I am still fangirling.",en
32,"Some days you're the only thing I know

Only thing that's burning when the nights grow cold

Can't look away, can't look away

Beg you to stay, beg you to stay, yeah",en
33,You did such a great job with this song!,en
34,"The fandom: 5sos can’t possibly get any hotter.
5sos: hold our punk rock",en
35,I really can't stop listening to this. It's just... really good.,en
36,Amei essa música faz todo sentido.,pt
37,How can we not fall  in love with this  masterpiece  when  Luke's  tone  is waaaay  higher than my  grades  and confidence,en
38,The live performance of this song is going to be the death of me,en
39,Demais essa música como é que você faz tudo direito,pt
40,can we just take a moment to appreciate their acting skills in this music video?,en
41,Somehow 13 year old me knew I’d be a fan of them forever aha they’ve only gotten better these past 5 years and I’m actually so proud!,en
42,"I’m here because I just saw them for their Take my Hand tour. Omg the production of the performance of this song was crazy good. The effects and the lights were insane, and jamming out to this song in concert made it so much better!",en
43,essa é a melhor música da 5SOS quem concorda respira,pt
44,"I love this song, this song is great!!!!",en
45,"5SOS is so underrated, they deserve more than they have.",en
46,This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times  I hope everyone is doing well. I love you ,en
47,I got my headphones on and at full volume and sing like crazy I love this song so much ️,en
48,Tremendo temazooo ,pt
