,comentario,liguagem
0,"If anyone is curious about what they were saying in the beginning. They thanked each other for 60 years together <3 And afterwards said basically ""Let's have fun"". So precious!",en
1,"We don’t search for old songs…
we search for old memories.",en
2,"This got me crying, how much meaning is behind this song. Wow, such a masterpiece! ",en
3,"The saddest part about this song is that this happens to all of us. Someday teens like me will be old like those grandparents, reminescing on the good old days while new teens enjoy their youth. I already feel some of my youth slipping away. And after living out my life, I won't have anything else to do for all eternity",en
4,It’s been 4 years and this song is still a masterpiece. It seems like it came out not too long ago. ️,en
5,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
6,"""Thank you for having been with me for 60 years.""
""Thank you too.""
""Let’s enjoy our time.""
""Yes.""",en
7,"This is one of my all time favourite music videos, I love the whole concept of that old couple getting to live out their best days one more time before the end",en
8,When your grandparents were way cooler than you in their younger days.,en
9,The disappointment my best friend and I had after discovering that the band isnt actually these Asian guys  side note I'll never forget how much we cried the first time watching this music video,en
10,"Next time your grandpa says he was badass back in his day, BELIEVE HIM.",en
11,"This song never gets old, does it? Even after all the masterpieces in 2022! I can bet it will hold just the same hype even a decade later <3",en
12,Still listening to this song years later. Still my favorite ,en
13,Song made me happy the first time I heard it been repeating it and its still making me happy.,en
14,"The art, style, aesthetic and people in this video are just beautiful.",en
15,"This presents death in such a profound way. With dignity. Whether it's by choice or your right to take this pill, it gives you a heads up that you're final chapter is coming up. You live your life, get to the end and have one more day as a young soul. 24 hours to remember and relive your youth. The way both are running together at the end, knowing their time is limited but wanting to squeeze every second they can gets me every time. They care not what comes next. They are together and happy and in love. Plus the hard cut on their death to just ambient noises?! That'd how death comes for us all. You're alive. And then you die. God I love this song.",en
16,"Não entendo como vim descobrir essa música somente agora  eles são tão bons... Como pude saber só agora?! Dito isso, música perfeita!🇧🇷",pt
17,"Great song, has great song elements put together very well. Lyrics hold strong and people respond to this song very well. This song is ONE that won’t disappear like most in this genre  for it’s time that it came out. And I’ve heard what hits sounds like coming from the radio biz. This one is a hit !",en
18,"Can we just appreciate how good this video is? I'm not a big 5SOS fan, but this video is one of my faves",en
19,This song changed my life in a way I can't explain! it's surreal how this song brings me such good energy! #5SOSFOREVER,en
20,"I was a fan before I heard this song for the first time but now I'm a whole flippin' AIR CONDITIONER, THE VOCALSSSSS ARE SOO GOOD!",en
21,"Everyone: ""OMG people thought 5SOS were Japanese cause of this""
Me: ""Imagine if you could spend the last day of your life being young again, that'd be so cool!""",en
22,Amo essa música e em pensar que ouço ela desde de quando foi lançada é maravilhoso,pt
23,"Gosto muito deles, escutava direto as músicas antigamente, essa está perfeita ",pt
24,Imagine spending your last day in your physical prime and spending 60% of it combing your hair.,en
25,i can't stop listening to this song it's so amazing that my heart is beating and ache me out of happyness and sadness at the same time,en
26,This song is absolutely wonderful. 5SOS is indeed underrated. I feel proud that I stan this band,en
27,This song is like a wine.The older it gets the better it becomes,en
28,"i appreciate and love this song with all my heart ️ this is what is called good music, i reckon it never gets old",en
29,Um dos melhores clipes que já vi na vida. 9999/10.,pt
30,"This song went so viral because of its beautiful melody. I will always remember it the day I heard it in 2019, I didn't take it into account until I realized how perfect this song is ️",en
31,This guy's jaw line is more defined than my career path.,en
32,I'm a grandma of 68 & a bartender. Can't wait to play this when I get to work!! Don't care for pop; but love your song! So that tells you something! Saw you this morning on the Today show.,en
33,"i could watch this all day, love this mv so much & the song!🫶",en
34,One of the most emotional music videos ever!,en
35,"Some people might think that they look like Japanese mafia but their outfit originally came from 50’s rockabilly fashion. So when this couple were young, the rockabilly fashion was trends. Lots of young people gathered in Yoyogi-park in Tokyo and dance together. Also in fact, the MV’s shooting place is actual Yoyogi-park. so for Japanese old generations, their outfits are really nostalgic.",en
36,This is the perfect song to play driving with the windows down with friends during a summer night  ,en
37,I think I have watched this music video at least 40 times now. I love everything about the video and the song. So amazing!,en
38,"heard this song in 2019 and wept so much listening to this. cut to 2023 I feel I can finally hear and enjoy the joy in this song. I have grown a lot, all of us do. This song is timeless.",en
39,I’m listening to this song on repeat and it gets better and better!,en
40,"I’m not a 5SOS fan, never really was. But this song really made my heart melt, the concept of the video is so touching. It’s like their best memories flashed in front of their eyes before their lives ended. And the last thing they did was resing in peace, leaning to each other.
""Because I'm just a dead man walking tonight""",en
41,Just mesmerized over the concept & how matching it is with the music ,en
42,"I completely loved this song, we can go back a century when our grandparents where teenagers, what a powerful song .",en
43,This is very good song. I love it!️,en
44,This song gets me over sad things that happend and makes me feel better such a great song ️‍️,en
45,"The old couple telling each other to enjoy their time together. No, I'm not crying, you are.",en
46,Aqui no Maranhão e no Brasil essa música só ficou famosa por causa do reggae ️🇯🇲,pt
47,Essa voz no início da música é de arrepiar!,pt
48,"I watch this for the first time and i'm in love with the song , deep meaning , great video , just... Wow... What a masterpeace ! ",en
49,"How is it that an Australian rock band makes a music video about the Japanese Rockabilly subculture? I'm not complaining, I'm in awe of how much respect they showed. Even the little details, like how they need to tape their shoes (for dancing), the location (Yoyogi Park in Tokyo) and including the real rockabillies in the video. Mad props to everyone involved in creating this video, I love it to bits. The song is great too :P",en
