,comentario,liguagem
0,"O Windoh chateado, mas teve uma grande sorte em receber essa serenata.",pt
1,O numeiro a dançar é mais constrangedor que as bocas do Paiva,pt
2,"O difícil não é aguentar os cornos, mas sim sustentar a vaca! Eheheheheh...",pt
3,"Não sei o que é pior, a cara da uppa ou a dança do numeiro ",pt
4,Pessoal não sei se foi o único a reparar mas parece que o numeiro tem as calças mijadas ,pt
5,Eles são top! Grande vibe,pt
6,"Braços no ar , ainda bem que a tendinite ja passou..porção magica do windoh",pt
7,Impressão minha ou o numeiro mijou-se e continuou a gravação?,pt
8,"não sei o que e melhor , o vídeo ou a dança do Numeiro",pt
9,A questão é: onde éq o numeiro aprendeu aquele toque de dança?,pt
10,Melhor grupo da tuga! 4mens!,pt
11,numeiro sou do porto vivo em lustosa lousada e eles sao de vizela sao mesmo tops,pt
12,Passei o vídeo a tentar decifrar as danças do Numeiro,pt
13,"Moral do vídeo, só é corno quem não quer",pt
14,Que vídeo ,pt
15,Tens que melhorar essa passada  abraço e continua ,pt
16,Fui o único a reparar que o Numeiro se veio nas calças ? ,pt
17,ORIGINALIDADE COMO SEMPRE,pt
18,Quem limpa a casa espera visita mas é no mato alto que a cobra anda.,pt
19,"""um mundo mais green"" enquanto fuma o 4° cigarro seguido ",pt
20,ahahah oque eu conheço esses gajos!,pt
21,O paiva quer um mundo mais green mas depois anda num mustang a mamar 30l aos 100 ahahaha,pt
22,És grande numeiro,pt
23,Ganda numeiro ,pt
24,o numeiro tinha as calças mijadas xD,pt
25,Numeiro todo mijado ,pt
26,Grande numeiro,pt
27,"Ia comentar que eram os D'ZRT, MQS AGORA SÓ SÃO 3 ",pt
28,Paiva em mato grosso é que andam as cobras ,pt
29,Os 4 mens não falham,pt
30,"Chama os ""Marotos da concertina"" com essa merda impossivel não acordar!",pt
31,VIZELA na Casa do Lag,pt
32,alguem q diga ao numeiro q a dança nao combina com a musica..,pt
33,o numeiro mijou nas calças ou é impressão minha?,pt
34,Dança cringe do Numeiro,pt
35,"E que tipo, o paiva já passa limites, agora tu tambem, meh",pt
36,4mens top topppo,en
37,e quem gosta de mato alto é cobra,pt
38,Conteúdo acima da média: copiar conteúdo do Paiva ,pt
39,És um boneco,pt
40,Não tem piada nenhuma essa vossa mania de acordar as pessoas com esse barulho... Estraga o dia a qualquer um...,pt
