,comentario,liguagem
0,This melody plays in my head every time I hear a beat at a party.,en
1,His energy is infectious! You can't help but smile watching him jam it out.,en
2,It's amazing to see how the 90's style both in music and outfits are coming back.,en
3,Amo esse som ,pt
4,Love this beat the first time I heard it! So good!,en
5,I remember growing up with stuff like this in the very early 2000's. It's been a good 23 years since then and we're FINALLY GETTING THAT SOUND BACCCCKKKK!!! ,en
6,I'm addicted to this song. Can't get enough listening to this while working out on the elliptical machine.,en
7,Que batida é essa? Ficou maravilhosa! Arrasou! ,pt
8,The original version by Cherish is a 2000s R&B classic!! Everyone go watch the music video as well,en
9,Arrasou to amando essa musica pelo o instagram,pt
10,"I need more music like this!!!!
It gives me lifeeeeee, high vibrations and vibes!",en
11,"Que ótimo, essa música toca em tudo, não paro de escutar NÃO SAI DA MINHA CABEÇAAA",pt
12,Love it! Makes me wanna dance anywhere I here this,en
13,This song is addictive. I heard it last weekend on a bike rally and couldn't get it out of my mind,en
14,Literally the most played tech house song of 2021  This reminds me of 2018-2019's Losing It era :D,en
15,"So many people have played this I’m so hyped it’s out. Martin Garrix played it at Creamfields, but I also knew it from Carnage playing it in clubs. Such a banger track.",en
16,Demais essa musica!!!,pt
17,Boa música e viciante! ️,pt
18,TO DAJE MI TYLE ENERGII I TAKI DOBRY NASTRÓJ!!!!!! DZIĘKUJĘ!!!!!!!!!!!!!!!,en
19,Beat goes hard - great workout mix!,en
20,Muito top ,en
21,Love it! ,en
22,Love the energy!,en
23,This beat is sooooo impressive.,en
24,BOOM!  My Ear buds are on fire!  Love it! ,en
25,"Minha primeira música na play list , todos os dias ouço no carro dando Aula , pois sou instrutor de Auto escola , e ouço o dia todo , os aluno gosta e curte muito .",pt
26,This song might be perfect for a dance party!,en
27,I love this song! I'm a new fan! ,en
28,Those vibrations vibrate my good vibes!,en
29,GROWING UP WITH CHERISH WAS JUST LIFE THEY'RE TRULY UNDERRATED AND WAS A BOP IN THE 2000S,en
30,Saw ACRAZE perform this Live at EDC. Everyone went crazy. ,en
31,Eu amo essa música !,pt
32,"Rock wit it for life, Dpe, Solid, Authentic and Raw Track, Love it! More Music Brother ",en
33,"Listened to it once while I was driving a car at night, it made the ride more atmospheric for some reason.",en
34,"So far, this is the only song on the ""Dance-Pop Bangers"" playlist that legitimately sounds like dance music to me. I'm probably just old.",en
35,"This on repeat will be why I go deaf early. And that’s okay. 
And just like that you created something that will resonate forever.",en
36,"Nothing short of musical genuis. Got into my car in Limerick city, Ireland and turn on the radio. Wow! Turn that up and roll down the windows. Brilliant tune!",en
37,I'm glad I stumbled on this song... It's fire! ,en
38,Goood track!!!,en
39,Banger I'm addicted can't stop listening  to it ,en
40,"Every party or club I've been to in the last couple of months this song is played so much, and I like that ",en
41,Love this song!,en
42,Amazing music ,en
43,The best dance tune this year love it. On my repeat playlist,en
44,Na academia essa música fica top para malhar! ,pt
45,This tune is addictive,en
46,Love it!,en
47,"Best Track ever, Love the vibe",en
48,Arrasou!!!,pt
49,muito bom,pt
50,"if I was still in my 20s, I'd likely play this every day while I walking around the city imagining that everyone is bobbing to the same beat as I am. nice mix!",en
51,Track top ,en
52,Great track and it's a great song to shuffle 2...️,en
53,So glad this is finally released ,en
54,The Soundtrack is simple yet it make you wanna dance right now.Not gonna lie.,en
55,"this gives me 2000’s club vibes  and I’m not saying because of the sample used, but because of the Dance vibe.",en
56,"We are finally getting back musics like 90s, 80s, and 00s, they finally realised whats the best....",en
57,This bounce is so sick bro. Lov it,en
58,"Everytime if i hear the song even in the car, i would dance so wildly",en
59,Adoro essa musica!!,pt
60,I keep rewinding it  dude this is a TUNE!!,en
61, love It!!!,en
62,Música show,en
63,You really broke electronic music! ,en
64,What a banger!  We need an extended version!,en
65,Here's our happy lives getting back to normal what a feel good tune,en
66,"This song and ""Lukaz - Did You Call Me” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together. I love you ",en
67,"Bounce with it

Drop with it ",en
68,"This remix was ranked # 1 in The Netherlands charts and, knowing the musical background of that part of northern Europe, it would have been almost a ""great classic"" if it had come from that country instead of the States.",en
69,Love it   ,en
70,What an amazing Beat ,en
71,The lyrics are amazing,en
72,Nice to hear it!,en
73,I love this song ️,en
74,Amazing! Highly addictive.,en
75,Love    this  song    so  so  much ,en
76,"50, and as Acraze describes his music: sexy, fun & groovy. Just like me ",en
77,"Today I learned I just need bass, a voiceline and a mv and I can create a hit",en
78,adorei mesmo,pt
79,If a 50 year old dude like me says it's good... it is ,en
80,J'adore! ,pt
81,Music fire.  Thanks for the listening pleasure,en
82,Que recriação....️️️️️,pt
83,This track has bin going round  on repeat all the time in my brain and all from tik tock and instagram reels wondering what and where it is from and now I've finally found  it  ,en
84,This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ,en
85,That drop is   ,en
