,comentario,liguagem
0,"A energia dessa música é sensacional..... Nós estamos carentes de rítimos,  e canções com essa temática,  pra cima, romântica,  sem vulgaridade, sem apelação, sem depreciação enfim, nossos jovens precisam entender que ser romântico não é ser brega, e que o romantismo não pode sair de moda.️",pt
1,"Não é uma música, isso é uma poesia para um poeta, uma pintura para um pintor, é uma obra prima de tamanha qualidade!",pt
2,"Infelizmente as músicas que fazem mais sucesso não são músicas como essa. São músicas totalmente imorais, que tratam a mulher como um objeto... isso sim é uma música, leve, transmite uma energia sensacional",pt
3,"Sem putaria, sem palavrão, sem apologia a drogas, sexo, álcool, nada! Apenas good vibes ⚘",pt
4,Tão bom escutar uma música que faz a gente viajar para um lugar...Aquele lugar de paz e calmaria. Não é um lugar físico...É um lugar no universo que a gente só consegue sentir!,pt
5,"ai gente, é tão bom ver q o brasil ainda tem musicas boas.",pt
6,Essa música é fora do comum.  Musicalidade incrível e letra impecável... ,pt
7,eu amo tanto essa vibe juventude paz e amor anti-guerra hippie dos anos 1970,pt
8,Queria que o Brasil fosse conhecido por esse tipo de música,pt
9,"""Como que eu vou dizer pra ela?  que eu amo o seu cheiro, a cor do seu cabelo, que seu óculos é maneiro... Só ela faz minha pupila dilatar."".. ",pt
10,"ouvindo o barulho do mar no começo, eu já tava ""PQP, AMEI"" ",pt
11,Que música linda!!! A grande imprensa deveria promover trabalhos tão bons assim.,pt
12,Escutar a música dele me Faiz sentir está na praia ou em algum lugar assim bom demais ️,pt
13,O melhor de tudo é ouvir uma música atemporal dessa recém composta. Tanto a do pericles como essa não tem como saber qual é a melhor versão !,pt
14,:) eu escuto anos e continuo amando ,pt
15,"0%putaria.
0%palavrões.
100%talento️",pt
16,Essa música arrefece a alma e te deixa em estado de calma ️,pt
17,"Como que eu vou dizer pra ela
Que eu gosto do seu cheiro
Da cor do seu cabelo?
Que ela faz minha pupila dilatar?",pt
18,"ANAVITÓRIA e Vitor Kley,transmitem uma energia tão leve,amo demais",pt
19,"Mano amo as musicas desse cara, faz 3 anos que n ouso essa musica",pt
20,"A música  combina com o cenário, leveza na harmonia da letra, trás bons sentimentos até realmente dilata a Pupila, bora curtir enquanto ainda Deus nos permiti.",pt
21,"anavitoria: a
eu: DEUSAS PERFEITAS MARAVILHOSAS AMORES DA MINHA VIDA RAZÃO DO MEU VIVER",pt
22,"Assisti sendo cantada no The Voice Kids. Muito boa a música. Adorei a melodia e a letra. Simples, bem feita, vozes afinadas, bem colocadas, sem gritaria e agradável. PRINCIPALMENTE, SEM PALAVRÕES! Muito bom. Traz tranquilidade, paz...",pt
23,Isso de fato é música boa,pt
24,"A música é boa demais cara, se você escutar ela pensando em ngm fica mais ainda akakak",pt
25,"Como alguém dá deslike numa obra prima dessas?? Só pode odiar o amor, não é possível.. Letra linda, vibe boa, clipe maravilhoso, essa participação é tudo de bom. Amo essa música demais ️",pt
26,"Filósofos: é impossível alcançar a perfeição

Anavitoria & Vitor Kley: segura minhas músicas, panacas",pt
27,"Mano,toda vez que ouço essa música,vem uma leveza no meu corpo",pt
28,Não canso de escutar!! Sempre! Um poema!,pt
29,A vibe dessa música é incrível!,pt
30,"Faz de conta que eu te conheço bem
Quero algum atalho pra te convencer
Que a gente se combina, só você não vê
Mas eu vejo, eu vejo, ai",pt
31,"A música é linda, mas o vídeo pra mim é sensacional. A paleta de cores, o corte, a movimentação de câmera, sério muita perfeição.",pt
32,"Estava indo dormir, a pupila ja estava dilatada pelo sono, chuvinha aqui em SP e ""PÁAA"" lançamento de um novo hino, o coração sai pela boca assim mano.",pt
33,amo esse clipe pela música e por ter sido gravado onde eu moro ,pt
34,"Não me canso dessa música incríveis 
Ela fala sobre como o nosso amor pode ser mistério  e verdadeiro se formos sinceros. ....",pt
35,Amo essa música!! Leve e graciosa com uma letra poética!,pt
36,"Linda música, amo ouvir essas meninas, e ainda acompanhadas de outra voz tão maravilhosa! O comentário no final do clipe foi hilário!!!",pt
37,A vibe dessa música é uma coisa inexplicável,pt
38,"primeiro a gente grita HINO, depois dá play no vídeo",pt
39,"Essa música é tão minha vida 
Tão eu
Tão o q eu sinto e penso 
Em tds os sentidos rsrs",pt
40,Essas são aquelas raras obras-primas primas que vc não consegue enjoar . Em tempo a versão de Péricles também é maravilhosa,pt
41,"Que música linda.
Como combinou as vozes.
Amo voces",pt
42,Bom ver que tem gente que ainda pensa de um jeito bom isso sim é musica de verdade,pt
43,Amo tanto a vibe dessa música!,pt
44,"O jovem de hoje só pensa em uma coisa: escutar anavitoria pensando naquela pessoinha q coisa teu coração e faz tua pupila dilatar!
Que clipe mais lindo! ",pt
45,Eu Amo essa música desde de quando  ela foi lançada!!e uma música de amor de carinho não de palavrão  falando um monte de coisas horríveis. Mas eles pensaram muito bem e criaram essa música incrível que eu amo,pt
46,"Sem apologia a sexo, drogas ilicitas, crimes, bêbidas alcoolicas e etc.. Ou seja, uma verdadeira obra de arte da Música Pop Brasileira!",pt
