,comentario,liguagem
0,I was 17 years old when this song came out and at 64 years old it’s still just as magical!!!,en
1,Timeless classic! Love this song since I was little.,en
2,A message to the future generations: Don't let this beautiful masterpiece die!,en
3,"Bons tempos,saudade da minha juventude hoje 5.6 não é fácil não ,mais firme e forte boas músicas e lembranças ",pt
4,"Thank you Abba! I discovered you in 2006 at 17, thank you for giving me a good company through my teenage tough years.",en
5,"Definately one of the best pop songs ever created. The whole arrangement of the song is very clever songwriting, as it begins with the chorus chord pattern but with a melody over it and then goes straight to the ""2nd chorus"", really grabs your attention. The bass playing is also great, adding just enough groove to keep the song alive but not overplaying.",en
6,I'm 63 years old and I was 17 when this song came out. I still feel like a dancing queen!!!,en
7,Inesquecível Essa Banda muito bom os embalos de sábado a noite ouvindo essa mega banda muitas lembranças de amores,pt
8,Obra de arte musical...música vinda dos céus para tocar nossos corações.,pt
9,Eita meu Deus nao me canso de ouvir esta música simplesmente perfeita demais eu ali no interior vivendo uma vida simples mas com muita dignidade saudades dos meus pais que já se foram,pt
10,Época boa ,pt
11,"This is not a song , it is a perfect time-feeling machine",en
12,I’m 30 in 2023 and this is still one of my all time favorites ️ my parents used to play this all the time️🫶,en
13,This song is so magical  always puts me in a great mood!,en
14,Demais! Inesquecíveis! Só boas lembranças!,pt
15,I was 13 years old when this came out and it takes me right back to the roller skating rink- such good times and such a great tune!! ,en
16,I think we can all agree this is the most nostalgic ABBA song and the one that every generation knows and loves,en
17,I was only 13 years old when this album came out.  Everyday I would put on the dancing Queen and danced my soul out.  Now I’m 60 and I get goosebumps listening to it and remembering my teenage years.,en
18,Eu com 56 anos acho a melhor banda do meu tempo,pt
19,"Simplesmente adorável. 
Marcou minha vida. 
Ainda é excepcional para mim.",pt
20,"Tempos maravilhosos, lembro do tempo das discotecas, dancei muito. Muito obrigado  ABBA.",pt
21,Undoubtedly a song that will last for eternity. Well done ABBA :- ),en
22,"I've never been a massive ABBA fan by any measure, but this is clearly one of those songs we should be broadcasting into space as an example of human cultural accomplishment.",en
23,"This music is magical, I was barely 10 years, is bringing back good memories, I am in fifty's now, still my best.",en
24,"Born 1977, grew up with my Dad with his Abba LP's....fuckin awesome memories...passing that onto my kids...",en
25,"I was only 5 yrs wen this song came out, still love it as much as I did way back in the seventies. I'm Gona be 52 and still loving this band",en
26,"Our dancing queens, you rock the world ABBA",en
27,One of the most perfect Disco and Pop song ever made. Abba is my childhood,en
28,"I was 8 when this was released, my Dad was in the hospital having heart surgery, I never thought I would be in love with this band this many years later. I wish they would tour again.",en
29,55 years later and still hits,en
30,I love Abba vas much 40 years later as I did when I first heard them girls perfect god sent voices from the heavens......Abba Ace of Base and all these groups from my era  were the best you're ever going to get!!!!!!!!!!!!!Love you Abba forever!!,en
31,"This is one of the best, 2023 and still makes you dance with the beat. A timeless piece indeed",en
32,People will still be listening to this 100 years from now. A timeless classic.,en
33,"I love this song. I love abba. A great set of songs, one of the best in the history of pop.",en
34,"Whenever this plays at the shopping malls, I'll grab the closest seat to enjoy this classic beauty!",en
35,Man this brings me back to the best time of my life. I was a teenager when this song came out.,en
36,"Every time I hear that song I feel better, no matter where or when",en
37,Banda lendária,pt
38,"My wife and I danced endlessly to this song in 77.  What fun, what great unadulterated good times.  Thanks ABBA... Thanks for the music!",en
39,Não sei a letra mais essa musica rsrs é sensacional...,pt
40,Eu nem era nascido quando essa música lançou mas eu amo quando toca ela nas festas ,pt
41,Incríveis...🇧🇷,pt
42,"When I first heard tjid song I was 12, still one of my favorite. Such a magical voice of two girls !! THEY always take me to the good old days.",en
43,My mother and I used to jam out to this when I was a child... now I'm finally 17 and can finally be the dancing queen ,en
44,THIS MUSIC IS JUST AMAZING,en
45,I love this song! Still singing it in 2023!. I was 16 when this came out now about to be 63!! I was the dancing queen!!,en
46,"I’ll always love these types of songs and I’ll for sure show them to my daughter when she’s a lot older , hope she’ll like them as much as me ️🫶",en
47,"2023 and still awesome, my parents used to dance to this masterpiece.  Lost dad to cancer last year and my mom last weekend. Im happy they are together both  again, and im sure they are dancing again.  God, i miss them so much. I am so glad i have the music to hold us together ",en
48,"Everything about ABBA, the singing, the songs, the look, the melodies, the joy is just pure ecstasy.",en
49,love these types of music videos cause you can tell the singers are just having a good time,en
50,"Songs like this makes wish time travel was possible going back to the 1970s and living the whole thing again would be fantastic,",en
51,Such a beautiful song with lovely music! Listening to it for the last 25 years non-stop! Ever-fresh!,en
52,Vcs foram os melhores. muitas SAUDADES!!!,pt
53,"I’m 72 years old, and I love ABBA as much today as I did in my 20’s.",en
54,Dance Queen EA minha música favorita do Abba eles eram ótimos saudades,pt
