,comentario,liguagem
0,"This is great - and if there's anyone we should clone, it's Adele!",en
1,I think Adele has really come into her own. She doesn't act like a diva. Just a phenomenal human,en
2,Faltam só 5 milhões para 100 milhões de views,pt
3,Canção incrível!!!!,pt
4,"Adele is like wine, the more time passes, the better the wine is",en
5,Maravilhosa sempre!!!,pt
6,"eu amo demais essa musica, me sinto poderosa !",pt
7,Queen Adele. What else can I say? You've done it again. Music that comes from and goes to the soul.,en
8,Não há palavras . Está é uma Divaa,pt
9,Eu amo a adele ,pt
10,Love It!! ️,en
11,Maravilhosa,pt
12,Love this song it's on playlist almost every day. ,en
13,Adele e sem comparação eu amo ️,pt
14,Adele always surprises us! What a legend.,en
15,She has so much soul!!.this is sooooo good.,en
16,That voice!!  Gives me chills...,en
17,I love this song every time I hear it I sing it from the top of my lungs,en
18,Whoa. Skyfall and Oh My God are my new repeated songs. You're a master vocalist and people should be playing your music loud! ,en
19,"Adele's voice is the definition of ""beautiful"".",en
20,maravilhosa ,pt
21,Obra de arte. ,pt
22,I  honestly love this song.... not a day goes by without listening to this song...,en
23,"Well she's got a point, she is an icon, she is a legend and she is the moment",en
24,The feelings Adele gives in each of her song are endless,en
25,I love this song!,en
26,Amo tanto ,pt
27,Não me canso de ouvir.,pt
28,wow this song is wonderful ,en
29,Adele honestly has the most aesthetically pleasing voice ever,en
30,Love it ,en
31,I love this song. I love every song from Adele. She is truely gifted. She is special.,en
32,I love the song ♡,en
33,"Thank you for your songs, they have already helped me a lot, as incredible as it may seem the songs bring me joy, I believe it is your energy transmitted in them. I never cried, I have fun. You are light Adele.",en
34,True fact: Adele is making everyone's day so much better with her song,en
35,what a nice song. She will always be the queen in my heart,en
36,One word: TOP! ️,en
37,wow I really love how this looks like a million pieces of art put together...amazing  ,en
38,The whole album is great !,en
39,Mais do que nunca: linda! ,pt
40,"I love the fact that even though she has changed physically, her music and video remains the same, the reason why we love her",en
41,"Love it. Authentic, pure, emotional 
Bravo to the Quebec team who helped design and put this together!",en
42,She is literally my favorite singer ever. She is so lovely and her songs and lyrics just make me feel so much. Seriously my biggest hope EVER is that I can see her live. Like I REALLY WANT TO. Her songs are beautiful ,en
43,I love Adele!!! ️  she's a generational talent & i'm just thankful. Her voice is luxury on the ears. Like she is so so so loved world wide!,en
44,A beleza dessa mulher ️a voz meu Deus........Adele é incrível!,pt
45,"I love how nobody hates Adele, we're all just collectively Adele stans.",en
46,i like how Adele keeps a similar style throughout every music video,en
47,E eu pensando que ela não poderia fazer mais um álbum genial.,pt
48,love it from my heart,en
49,this music video is the representation of what's going on my mind at 3AM when i can't sleep at night and i'm loving it,en
50,love this song sooo much,en
51,Deslumbrada com esse clipe. ️,pt
52,This song is gonna stay alive in minds and hearts atleast for 5 years from now,en
53,LOVE IT,en
54,Loving the fact that not a single dislike is there in her videos,en
55,"Brasileiros, marquem presença 🇧🇷 A Rainha está devolta com tudo.",pt
56,Adele can sing anything as far as I'm concerned that is why she's so famous also she is very good to her audience she is kind!,en
57,"This is like my fave from the album, the visual just took it up a notch. It’s so fun to watch. So much to look at lol",en
58,That’s crazy amazing voice!!,en
59,It is something very different by adele but oh god she totally nailed it.,en
60,"You sing amazing!️ 
I really liked the way you sing, you have the voice of an angel",en
61,This song really makes me feel like everything is going to be fine one day.,en
62,"My sentiments exactly. Love the artistic expression
️.",en
63,Rainha de todas as rainhas.,pt
64,This song has such a nice vibe that I'll play it more than 40x's in this whooole year. Thank you to miss adele!! YAAAS! THIS SONG IS SO CATCHY.,en
65,"A voz que essa mulher tem, não é brincadeira. Que coisa linda!",pt
66,This song is perfect for drawing. It just inspires so much creativity.,en
67,Me and my husband saw her in Las Vegas last week! She was absolutely amazing!,en
68,This has got to be one of the best man sic videos ever and one of Adele's greatest hits ! Love it.,en
69,"adele without comparison, i love it ️",en
70,i can’t even remotely wrap my head around how this was made. the director and team behind this deserve recognition wow.,en
