,comentario,liguagem
0,"It's pure vocal, not even a touch of autotune. Undoubtedly Adele is one of the finest singer in this generation.",en
1,eu adoro essa musica,pt
2,11 years and still hit like a rock ️,en
3,"That’s her best song in my opinion. Insane melody, extraordinary vocals, great lyrics.",en
4,Sensational performance. Adele is really one of a kind.,en
5,When u add 20% emotion to a song..masterpiece️,en
6,"Still to this day the best performance of this song, perfect ",en
7,A música que pode passa 10 anos mais eu ainda vou volta aqui pra escutar ,pt
8,"Adele não canta, ela se diverte, brinca... Simplesmente espetacular!",pt
9,Que voz linda demais ,pt
10,Amo,en
11,Top demais ,pt
12,She doesn't need autotune. Autotune needs her.,en
13,Amo essa música  100000/10,pt
14,Muito bom,pt
15,Adele is the only singer whose fans are from any generation.,en
16,Canta demais,pt
17,Ela arrasa  isso é um espetáculo ,pt
18,"Adoro, pode tocar no meu funeral daqui a 40 anos",pt
19,Only Adele's live performance can get more than 500 mil views,en
20,One of her best songs !!!,en
21,Think of the size of the orchestra and band behind her yet she dominates with ease.  So good.  And it moves you  .................  And me!,en
22,Eu simplesmente amo músicas em inglês,pt
23,"Uma das músicas Mais linda que já ouvi, motivação na veia",pt
24,"Quando se é ARTISTA a esse nível não precisa mega produção, não precisa clipe oficial, apenas uma performance ao vivo de verdade",pt
25,"Que maravilha, um espetáculo  tudo perfeito, parabéns ",pt
26,"Muito bom, bom mesmo qualidade pura",pt
27,"Love,love,love her voice! She’s so beautiful!",en
28,Adele is the only Artist who can sound live way better than the studio version,en
29,Absolutely perfect. ,en
30,"Isso q eu chamo uma obra prima, ela canta demais....",pt
31,"This woman and her albums shaped an entire generation and saved millions of hearts. Adele, you will be loved forever. You are a gem for this generation.",en
32,"O melhor  de Adele ,está por vir",pt
33,11 years and i still love it,en
34,"Great masterpiece, period! Even today, whilst working, it wondered into my mind - now. The power of good music  makes leaps and bounds, no matter your situation",en
35,Pure Bliss ️,en
36,"adele
100%good lyrics
100%pure talent
100%happy",en
37,"Que Mulher, Que Música, que baita voz.
Simplismente  ELA.",pt
38,Love it,en
39,Mulher eu queria tanto cantar esta música com você!,pt
40,"love this song so much, thank you lady adele",en
41,This live version is way better than studio version.,en
42,Essa mulher é tão incrível!!!!!!!!,pt
43,"even 11 years later, she is one of the best singers I have ever heard.",en
44,adele was only 23 at that concert. INCREDIBLE.,en
45,adoro esta música,pt
46,love this song,en
47,Isso ñ é um show é um concerto lendário,pt
48,"So many singers that sound differently live, but Adele's live versions are even better than the studio ones!",en
49,"Que cantora linda 
Cantar muito parabéns",pt
50,It's amazing how some artists can't stand live to save their own careers but Adele is flawless live or on track,en
51,Eu amo essa ,pt
52,Love this song,en
53,Wow your voice ,en
54,She is one of the only artists whose voice in live sounds the same as her voice in her songs,en
55,2023 e essa música ainda é uma das melhores,pt
56,"ouvindo em 2023, porque o que é bom eterniza...show! from Brasil!",pt
57,"Cada música tem sua história, e esta tenho certeza que tem uma!",pt
58,"Cara, que saudades dessa época, tudo era mais legal e mais bonito ️",pt
59,"After so many years, This song still giving me Major Goosebumps.",en
60,Such an amazing artist ♡,en
61,Powerful vocal....love her singing style.,en
62,Amo de mais essa mulher ,pt
63,CANTA MUITOOOOOOOOOOOOO,pt
64,"It's been more than 10 years, it's 2022 now and yet she's still killing records and hitting charts. She is timeless.",en
65,Pure legendary...she is just untouchable,en
66,"11years old & still a masterpiece. O.o
 The vibe hits differently in the world of auto-tune",en
67,Melhor cantora vóz maravilhosa,pt
68,My favourite song of her ️️️,en
69,Adele is probably the only artist that can get a live performance to 200 million.,en
70,You can't help but fall in love with her over and over again,en
71,2023 and this still give me chills,en
72,"One of the best vocals. Wish I could afford her tickets. Many yrs from now., Adele’s song will be very memorable. Such a talented and funny performer",en
73,Let's be honest this will be forever a masterpiece,en
74,Essa música da Adelle é linda demais !!!!!!.,pt
75,"I think anyone will agree that Adele has done some amazing tracks but, to me, this is by far the best to date. When it comes on the radio, I just have to stop whatever I'm doing and listen. Not many tracks do that to me.",en
76,"Best voice ever, natural, perfect. You can’t change my mind.",en
77,10 years later and this is still an absolutely amazing powerful song,en
78,11years and still hit like a rock️️️️,en
79,I always feel emotional anytime I listen to this song. I can't help it.,en
80,In 2023 and I still love this song!!!️,en
81,11 years and this still banging,en
82,JÁ ESTAMOS PERTO DE 2020 E EU AINDA NÃO SUPEREI ESSA MÚSICA,pt
83,"We love you Adele, one of the artists whose throne will never be overthrown",en
84,"eu sou fã dessa diva,maravilhosa,também!",pt
85,11 anos !??? E ainda é como um tiro no peito️,pt
86,The song that echoes inside the walls of every heart which knows the pain and anguish of betrayal.,en
87,"She is definetely one of(if not the) best voice in the world without autotune, in terms of music",en
88,"Probably my most watched video on YouTube. There is something about this live performance and Adele that is beyond words, its just magic.",en
89,No ano que nasci já existia essa música por que o destino sabia que eu queria ouvir sempre essa obra de arte...,pt
90,Simply... Brilliant performance.,en
91,"Adele conta como um anjo, amo essa música ",pt
92,"Hoje em 2023 que nostalgia, só Deus sabe o quanto eu pertubei com esse dvd, ouvia todos os dias hahah",pt
93,"EU POSSO OUVIR ELA TODA HORA, TODO DIA O DIA INTEIRO SEM ENJOAR.....AMOOOOOOOOOO",pt
94,This is what a concert should be like. Pure classic!!,en
95,A masterpiece that's still alive,en
96,I don't know why i listen this song daily. This song never gets old  my favorite song of all time ,en
97,It's 2023 and this songs still hit me just like first time,en
98,Boy que música linda meu irmão,pt
99,"Um amor por essa musica, por essa voz, por esta cantora.",pt
100,Goosebumps all over,en
101,"Wow, 10 years later. Still undoubtably best vocal performance. Wish to experience this atleast once.",en
102,Best of the best ,en
103,"10 years, e ainda continua sendo um dos melhores sons de todos tempos da Adele",pt
104,Love this Song ,en
105,"Maravilhoso,  parabéns",pt
106,A thousand superlatives cannot come close to describe how this song moves me. I feel it!,en
107,"I have never gotten so any goose bumps from a song before, I have heard this song before. But this one felt different for some reason?",en
108,This song never gets old ,en
109,is fascinating to hear and see her sing. What an incredible woman!,en
110,One of the most underrated songs. It  deserves 1B+ views.,en
111,Her voice is so powerful and she looks like she does it with no effort and it’s honestly jaw dropping ️,en
112,Fantastic legendary performance,en
113,Agradecido por nascer na era ADELE,pt
114,"AMOOOOOOO ADELE ES MUJER INCREÍBLEMENTE PERFECTA, MARAVILLOSA Y SO BEAUTIFUL Y VOICE SO INCREÍBLEMENTE HERMOSA. ♡",en
115,I can't believe after 11 years I'm still here watching this video. Really a masterpiece,en
116,I really love this,en
117,Adele is the type of artist who  doesn't need auto tune to sound good unlike all these other pop artist (calling no names),en
118,"Caramba, 11 anos esse vídeo. Sempre bom e agradável ouvir essa belissima obra de arte!",pt
119,I love your music ,en
120,I listen to this again and again... ,en
121,love it soooo!!! much,en
122,"It's been 7 years, and it's still great to start the morning with this song",en
123,I never get tired of listening to this song.,en
124,"I loved, I love this song",en
125,Essa musica com ADELE é pra ouvir de joelhos ,pt
126,She is absolutely one of the best singers we could ever have,en
127,"When she says “LET IT BURN “
it comes from the deep of her heart",en
128,It's amazing that some people have this much talent just flowing through their body,en
129,I just can’t express what this song makes me feel,en
130,Adele is the best singer I’ve have ever heard and is probably the best singer ever and will forever be,en
131,PIECE OF ART >>,pt
132,Como essa música msm dps de 11 anos continuar sendo PERFEITA???? E ainda mexe cmg,pt
133,Still get butterflies even after all these years!!! Love this movie!!!,en
134,It’s just unbelievable what feelings can a proper song evoke,en
135,"Beautiful High  Feminine (XX) Energy.
Incredible vibes that stirs deep emotions within.
Awesome singer.
Peace.",en
136,Adel is the first singer whose songs I heard in my life.. she is the best,en
137,May possibly be the most gifted singer of all time.,en
138,"Isso não é uma música, isso é um HINO, ADELE é uma rainha ",pt
139,Even in 2023 i still cry when I'm listening this song ,en
140,Perfect ,en
141,Absolute Raw Talent! Masterpiece for all time! The best live performance in the last two decades!,en
142,PROPER HARDCORE.. goosebumps. Every. Single. Time.,en
143,This song is weirdly empowering. Its strikes my heart at all the right places.,en
144,She is amazing,en
145,Still the best,en
146,she doesn't need autotune. Autotune needs her,en
147,Years after if you're still watching this live means you never forgotten this masterpiece by the Queen who literally can set fire to the rain ,en
148,"Now this woman is the very definition of OWNING on stage.
She´s a diva and it´s beautiful to watch her perform.",en
149,This performance is not a just a song its is a feeling...,en
150, honestly I love this song ️ she makes me feel nice ️,en
151,Sometime I feel I was born late after listening this song. Glad to listen this song️️️,en
152,Adele is extraordinary,en
153,I like very much. She has a killer voice that I like. Go on Adele. Go take us with your voice and make us speechless ...,en
154,"Adele, she is absolutely the best female singer ever! Her voice is amazing and it's very sexy! I get chills listening to some of her songs, this woman is the best, better than any other artist",en
155,Okay I’m on an Adele binge every since I heard her new song. I’m  listening to all of her old videos. I just can’t wait for her new album!!!,en
156,"i did not really feel this song when i was in elementary. i remember this hearing this often that times. i thought it was just like any other pop song at that time, along with the rolling in the deep. However now, i am 20 and i love this song. It makes me cry, it gives me hope. I playing this repeatedly now. i love her songs.",en
157,Powerful!,en
158,Isto sim é  a minha adele,pt
159,The best song of 2010's!,en
160,Adele is one of the best singers I've heard... She has never used auto tune i presume cause it just sounds so natural.,en
161,Queen Adele.  Nobody comes close to her vocal range delivery stage presence elegance class simplicity.  In my opinion Adele is the most talented singer songwriter ever.  And everyone knows I love all other Queens but Adele is in a league of her own.,en
162,2023 always I still love her so much ️,en
163,"Bro, seriously, this is one of the finest pieces of music.",en
164,I can't stop lestening to this piece of art love you Adelle ️,en
165,Uma das melhores vozes do planeta!!!!,pt
166,Probably one of the best live performances of our time.,en
167,Idk why but I've been listening to this song on repeat for like the past 30 mins,en
168,"Still 2023
 this song is masterpiece ️",en
169,Esse música lembro de uma pessoa no passado,pt
170,"2011: best live perfomance 
2012: best live perfomance
2013: best live perfomance
2014: best live perfomance",en
171,I don't really listen to her songs but I do love how effortlessly powerful her voice is,en
172,its 2023 but this is still a masterpiece,en
173,"This is honestly her best song. Ever.

I'm so sad it doesn't have an official video.",en
174,"every of her performance is great, but this one is PHENOMENAL ️️️",en
175,"Q voz espetacular, aí sim quem sabe faz ao vivo",pt
176,Adele Is my Queen ,en
177,Very powerful vocals..... Every one blown away and scattered here and there,en
178,It’s already 2023 and I’m still attached to it ,en
179,if this is actually her voice live then damn she is like only person i ever heard actually sound good live. ,en
180,I like it this sound ️,en
181,She's a real queen ,en
182,Very  talented,en
183,"Let's be honest guys, this song is legendary.",en
184,Performance vencedora do Grammy,pt
185,this song will never get old,en
186,Whenever I feel defeated I come back to this song,en
187,"I consider it as the best from Adele 
Some masterclass singing 
 🇧🇩",en
188,My brother died close to this time I found Adele's great songs.  I love the songs for reminding  me of him....and tributes to him.     And to All for their own reasons.,en
189,Pode passar o ano que for eu sempre vou amar essa musiquinha lindaa e mds eu amo esse mule tbm <3 sempre arrepia o cabelinho do c@,pt
190,"The fact, that the live version is exactly like the studio one. Proof that she a real singer who don't need auto-tune :)",en
191,This is Brilliant!!,en
192,Man this was my favourite song when I was 15 years old. I'm not disappointed in music taste of teen me,en
193,Its 2023 and still love this song of adele,en
194,i dont know if anyone agrees with me I love adele because she doesn't need wacky outfits or makeup or stage she is just a simplistic gal with an angelic voice,en
195,"2023, still hits strong",en
196,you hang in my ears...for eleven years..Adele,en
197,nao me canso de de ouvir esta bela musica lembro dela de uma  bela novela avenida do brasil,pt
198,Always shes so amazing.. 11 years later ,en
199,i love this song,en
200,"Hj minha filha de 9 anos me disse q essa é a música preferida dela! Nunca tinha ouvido, só ouço música brasileira hj fui ouvir essa tal de Adele! Kramba q cantora do caralh&@ música e interpretação perfeita! É ingleses vcs se superaram palmas pra vcs!",pt
201,One of the truly greatest. Adele.,en
202,Adele is a Queen ,en
203,Love Adele her voice is amazing. Love her songs but….. they always seem to be about emotional abuse…,en
204,"Essa música me da uma sensação de saudade e acolhimento sabe tipo de traz lembranças antigas bouas e tristes
2019",pt
205,This was definitely Adele's prime!!!!,en
206,She's perfect,en
207,Great music and Adele The most beautiful ️,en
208,I still in love with this song!!!,en
209,"As músicas dessa Diva são todas ATEMPORAL. Meu Deus.
️",pt
210,WoW! She is so amazing.,en
211,"I am at least 1,000 of the views. Adele gives me goosebumps.",en
212,20 goosebumps every minute,en
213,"Why the hell do I find this song so beautiful
No matter how many years has passed I am always attracted towards it",en
214,Still get chills everytime i watch this. WOW,en
215,2023! I cant stop to listen it Beautiful,en
216,Queen of a song!,en
217,To this point I listen to this song full of feelings,en
218,Amo essa música ️️,pt
219,Adele is the type of music i listen to when im not around the homies ,en
220,i love this song,en
221,"Even if I’m 11, I love her songs so much.",en
222,Kids these days don’t even know what true music is. This is the definition of music,en
223,I am still listening to this amazing song in 2023 and loving it.,en
224,Her voice and this song give me the chills! Very exhilarating! I've always loved Adele's voice and as a singer.,en
225,2023 and I still listening it ,en
226,"É puro vocal nem mesmo um toque d  autotune, sem dúvidas adele é uma das melhores cantoras dessa geração?",pt
227,This has been stuck in my head for weeks and I finally found the song,en
228,"Boa noite! Adele cantar bem, é uma cantora maravilhosa.",pt
229,"We are from the State of Iraq, and we adore your voice very much. We contemplate your voice and your words a little, even if we do not know some of them, but we love the melody. We thank you for that.",en
230,"Isto está sensacional! 
Incrível como as músicas da Adele nunca envelhecem.
Direct from Brazil! 🇧🇷",pt
231,I've never been so impressed by the voice of any entertainer so quickly.,en
232,2023 ainda sinto a mesma vibe da primeira vez 🇬🇼,pt
233,It's the famous one in my brain and his song ,en
234,She's a powerhouse!!!,en
235,Not many artist these days can demand that kind of respect with their voice,en
236,There’s no word to explain that amazing song.  My favorite song forever  nice job 🥹,en
237,Não tem como não ser a melhor do Mundo ,pt
238,"She IS INCREDABLE
FROM DAY ONE️️️",en
239,From 2011 to 2023 still obsessed ,en
240,Clearly one of the greatest voices of our generation! You can feel the emotion wich is so rare,en
241,Só eu q choro quando ouço essa música??,pt
242,Not since Dusty Springfield has England had a female singer with such an amazing voice and she writes her songs to. Pure gold.,en
243,AwesomeBreathtaking,en
244,Still my best..11years later,en
245,"0% rude dancing
0% swearing
0% auto tune
1M% TALENT",en
246,Adele impose and establish herself with voice and talent. Magnificent!!!,en
247,"E eu ainda preoucurando a garota certa , pra me ensinar o que é o amor ",pt
248,Luckiest are those who were there and feeling goosebumps and witnessing this gem ,en
249,She is truly the EPITOME of Musical Perfection.. it’s kinda scary how GREAT she truly is! Esp LIVE!! ,en
250,Always my favourite Adele’s songs,en
251,I can't cry well but when Adele sings my tears fall and that explains a lot,en
252,"Happy Birthday Adele Laurie Blue Adkins born on May 5, 1988. She is an English singer-songwriter. She was the first female artist in the history of the Billboard Hot 100 to have three simultaneous top-ten singles as a lead artist, with ""Rolling in the Deep"", ""Someone Like You"", and ""Set Fire to the Rain"", all of which also topped the chart. - https://en.wikipedia.org/wiki/Adele",en
253,2023 !!!!…..is it just me or this song is still a HIT!!!!!!,en
254,Lovely  ,en
255,"And if they ask you about pure raw talent, show them Adele.",en
256,"Every time  i got goosebumps when adele sung ""set the fire to the rain"" ",en
257,I love Adele with Set Fire To The Rain ,en
258,The Best song ever ,en
259,Adele is truly a gift to all of us who love music!,en
260,"2023 from Vietnam 
adele not only has a beautiful voice but also has a great personality! I adore her",en
261,She is amazing🇹🇳,en
262,"Greatest to ever do it , my all heart support miss adele",en
263,"If you're listening to this in 2020, you have good taste on music.",en
264,I have seen such an incredible live performance ever in my life,en
265,"After 11 years this song is old 
But it touches my heart now also ",en
266,You have a sound like angels Adele I really love you so much and you are me favourite soloist at all ,en
267,"I'm having Adele marathon after her new song ""Easy on me""",en
268,Adele is a really talented artist. Hello from Türkiye,en
269,"Fell in love after listening ""rolling in the deep"" decade ago 
Adele singing is evergreen",en
270,Eu. Amo.  Essa. Mulher. Com. Toda. Minha. Força !!!!   Na. Cabeça e. No. Coração ....penso. Em. Vc.  Todos. Os. Dias. Da. Minha. Vida !!!!   Deusa. Adele !!!!    ️️️️️️️️️️️️️️,pt
271,"I don't listen to live music very much, but this is so incredible i can't help it",en
272,She Has An Angelic Voice !!!,en
273,"I let it fall, my heart
And as it fell, you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me",en
274,the best song of my life  y love you Adele ,en
