,comentario,liguagem
0,"This is the BEST song of this album. Everything- the lyrics, beats,  music just sits perfectly. I listen to it with my eyes closed and I've literally cried to it sometimes too. I have, am and will always listen to this masterpiece with same feelings. Every Time.",en
1,"Thought I almost died in my dream again (Baby, almost died)

Fightin' for my life, I couldn't breathe again

I'm fallin' into new (Oh, oh)

Without you goin' smooth (Fallin' in)",en
2,"This one is my favourite from After Hours. I think this track represents the whole album: first part is full of peace, the author describes his affection to his loved one - first few tracks from the album are about it. He tells her he'll never leave her.
In the second part (starting with ,,my darkest hours"" verse) the tempo is faster and we know from lyrics that he is in the party, probably with other girls. We know that he came back to his old ways (Hearthless, Faith, maybe a part of Blinding Lights - in these songs he is the other version of himself, the 'party' version).",en
3,I love the beat to this song. I think this would be a good album to listen to in a car.,en
4,"I think The Weeknd is the only artist I can just sit at my computer and do nothing but listen to his music, it's so damn good",en
5,"Like Drake said at the 2019 Grammys:
""You've already won if you have people singing your songs word for word, if you're a hero in your hometown. Look, if there's people who have regular jobs who are coming out in the rain, in the snow, spending their hard earned money to buy tickets to come to your shows, you don't need this right here. I promise you, you already won.""",en
6,Instantly fell in love with this song  this entire album is ,en
7,"Can't get enough of your songs ...
Much needed during this quarantine days..thank you ️",en
8,Te amo The Weeknd y amo  todas tus canciones ,en
9,"this song is everything for me in AH. I could have this on repeat forever, the intro and the beat gets me every time its so addictive I love it. one of my favourites, the vibes are truly immaculate. xotwod 4l!! <3",en
10,This is absolute art. I’ve been listening non stop since I first listened to this album about a week ago. If he doesn’t get album of the year then that’ll be a big snub. XOTWOD,en
11,The build up in this song is insane. This is pure art.,en
12,"I have this song on my mind all the time since I ever heard it, those lines, ""oh, baby where are you now when I need you most?"" hits me all the time it kinda feels like this song is synced with me that's the reason why I keep loving Abel's songs and falling in love with his songs",en
13,Gostei muito ,pt
14,As músicas dese cara  são perfeitas ,pt
15,"Absolutely love it, he's so dramatic, his melodies are so sad and wonderful! ",en
16,"Honestly hits on another level, expected nothing less!",en
17,"Best track on the album, besides faith. Oh, and all the rest.",en
18,Still the best track on the album. I've realistically listened to it about 100 times.,en
19,"Damn look how many lyricists and producers are in this, what a great team of artists",en
20,"[Verse 1]

Thought I almost died in my dream again (Baby, almost died)

Fightin' for my life, I couldn't breathe again

I'm fallin' in too deep (Oh, oh)",en
21,"[Verse 1]
Thought I almost died in my dream again (Baby, almost died)
Fightin' for my life, I couldn't breathe again
I'm fallin' in too deep (Oh, oh)",en
22,Artist like him I don't mind buying the album because he constantly delivers great music.,en
23,esse cara é o melhor e maior desse mundo todo,pt
24,"The kind of music you get emo to but also want to crash your non existent GTR while driving super high on a dark midnight. 

Abel is the best artist of this decade hands down. His fans relate to him on a scale other artists could never he just doesnt make music, he is living through his songs. Fucking legend",en
25,"The only thing I can say is: Thank you for this masterpiece!  You made me cry!  But, today, I won't control my emotions!   Kisses from Brazil!   I  U! ",en
26,"Once again I got that feeling when that ""What You Want"" dropped like the week to the END. I found my favorite artist and he's not disappointing after hits to hits this dude is something else!!!!",en
27,Favorite song on the album ,en
28,"This is not a song... This is
.
.
.",en
29,This song is a masterpiece it’s unique and an escape from the typical 2020 mabel Shitt that was on at the time we need to get this man a Grammy.,en
30,"this song represents me in at least four moments of my life, so deep and true!",en
31,"Omg this album is literally telling a story, from blinding lights onwards it got more positive and now he gets real with himself",en
32,The Weeknd. The singer that makes you wanna drive through an empty city at night.,en
