,comentario,liguagem
0,"Música boa pra limpar a casa, nem precisa de água jogo minhas lágrimas mesmo! ",pt
1,Parabens voce e muito talentosa  voz perfeita,pt
2,"Que música, que cantora, que planejamento, não há nada a reclamar, vai marcar infâncias e momentos! ",pt
3,Eu simplesmente amo essa música.,pt
4,"Sem palavrão, sem adultério, parabéns pela letra, sucesso. ",pt
5,Linda música ,pt
6,VOCÊ É MUITO LINDO E CANTA MUITO BEM ,pt
7,"Como eu fico feliz em saber que músicas assim estão ficando famosas! Sem palavrão, sem objetificação do corpo da mulher, uma história na letra e uma batida MUITO contagiante!",pt
8,Não procuramos músicas antigas procuramos memórias antigas ,pt
9,"Zero palavrão 
Zero putaria 
100% de belas palavras.
100% de muito talento.",pt
10,coisa mai linda!!!,pt
11,Que voz gostosa de se ouvir ,pt
12,Um tom Roco e lindo Demais slk que voz linda ,pt
13,Pq a cada música que essa mulher lança é um hit que gruda na cabeça? Acho que tô amando essa boiadeira.,pt
14,amo muito essa mulher linda . meu sonho é ir no show dela ,pt
15,"I love this song, I've been listening  over and over. Its heart touching. Thanks to this singer.",en
16,"O cara que está fzd a segunda voz , está entregando tudo de si , colocou a alma na música...",pt
17,A música perfeita existe ,pt
18,Você é brabo Talento Imenso ️,pt
19,"É muito triste ver os nossos planos dando errado, ter que excluir fotos, desfazer dos presentes e excluir as conversas, mas é assim. Vida que segue!",pt
20,Só arrumo a casa se tiver tocando essa música pqp tu é doido sofro sem ter motivos kkk,pt
21,Que perfeita não aguento tô todo dia cantando essa música,pt
22,Linda dms,pt
23,Toda vez que alguém curtir esse comentário eu volto e assisto novamente essa música incrívelquem ai está cmg para levantar essa música em top 1,pt
24,Muito bom,pt
25,"Foi paixão a primeira ouvida, a voz dela é suave e moderna",pt
26,"Esse negócio de sentar,rebolar, descer,  as vezes enjoa, 
Agora uma música assim da pra escutar toda hora e em qualquer ",pt
27,Ana vc é abençoada por Deus. Voz linda q toca na alma. Desejo tudo de bom linda menina vc é um ser q incontar,pt
28,"Sucesso total, adoro!!!",pt
29,Muito show  parabéns  como Goiânia morando em São Paulo amo te ouvir,pt
30,Desejamos todo sucesso possível para a #Boiadeira ! Pra cima ,pt
31,Adoro dms essa boiadera linda mds,pt
32,"Eu amo essa música , representa bastante você",pt
33,Toda fez que alguém curtir esse comentário eu volto aqui pra escutar essa música maravilhosa,pt
34,I am from India i love brazilian songs 🇮🇳🇧🇷,en
35,Minha música preferida ,pt
36,Top,en
37,"Adoro essa nova versão sertanejo sem putaria, sem explorar as mulheres. Falar de amor é sempre maravilhoso. Parabéns Ana Castela. Sou sua Fã.",pt
38,Quero ver o seu show da Ana castela ,pt
39,"A luz dessa menina é muito forte, tudo que ela canta fica muito bom e vira sucesso!",pt
40,"Luan Pereira de fundo, som pft",pt
41,"Tem coisas q , nem querendo a gente esquece....",pt
42,A cada curtida eu volto pra escutar esse hino maravilhoso,pt
43,"Canta muito, eu quando ouvi essa música nas ruas jurava que era a Yasmin Santos. 100% talento puro sem palavrão e palavras baixas",pt
44,Adoro,pt
45,Que canção ,pt
46,"muito boa essa musica precisamos de mais musicas como essa no nosso mundo, está repleto de  conteúdos inapropriado @anacastelo bjkas",pt
47,"Essa música não sai da minha cabeça, é a melhor música do mundo.
Só quem gosta de  Ana Castela vai curtir esse comentário",pt
48,Que música maravilhosa  cheia de boas memórias,pt
49,perfeiçao!!!!!!!!!!!!!!!!!!!!,pt
50,"Como eu amei essa música, nem ta escrito, ouvi ela quando tinha menos de 1m de visu",pt
51,"Minha lembra eu e a Milene. Primeira namorada de igreja, filha do fazendeiro, meu amor platônico até hoje. ",pt
52,"Finalmente uma música sem boiadeira, achei essa música muito boa, merecer aplusos.",pt
53,"Essa letra é real demais pra ser uma música criada com criatividade, o autor dessa música concerteza viveu o que foi dito ou presenciou de alguma forma. Essa música toca a sua mente.",pt
54,nossa maravilhoso demais,pt
55,Essa música é linda!,pt
56,Amo essa música ,pt
57,"Linda música, a voz nem se fala!!!",pt
58,"0% palavrão
0% putaria 
=
100% perfeição",pt
59,"Portugal 
Muito obrigada",pt
60,A cada currida e volto pra escutar essa obra de arte,pt
61,Eu simplesmente eu amo essa música️️,pt
62,"Quando tinha 17 anos namorava um rapaz incrível.. tínhamos tantos planos juntos um futuro lindo,mas ele teve que se mudar de estado e fiquei só .. e nunca mais fui feliz em um relacionamento.. mas agradeço por ter vivido um amor tão lindo que vai ser lembrado pro resto de nossas vidas.",pt
63,ele faz uma segunda voz dela muito boa mesmo pqp,pt
64,essa música é mt boaaa,pt
65,"Todo mundo tem um amor que quando deita e olha pro teto
Vem a pergunta: Será que se fosse hoje a gente dava certo?
Um episódio que nunca vai ser lançado, um álbum incompleto
Uma história que parou pela metade, cê imagina o resto?",pt
66,essa musica é muito especifica nossa,pt
67,"Só quem viveu um amor que não deu certo, sabe como aperta o coração ouvir essa música ",pt
68,Essa mulher  é praticamente perfeitaaaaaaaaaaaa,pt
69,Tô apaixonado nessa garota véi ,pt
70,Essa vai ser a música da minha festa junina ,pt
71,"Ta na hora da Ana lançar um álbum nesse estilo de música, a voz dela é incrível, escutaria o dia inteiro...",pt
72,Que perfeição de música uma obra prima,pt
73,Maravilhosa,pt
74,"Música mais linda da Ana, podia lançar um álbum com essas românticas",pt
75,"Ultimamente eu vivo pra esperar a Ana lançar música nova ! Haha 
Essa aí já tá decorada faz tempo ",pt
76,"""Vai ser amor mesmo não sendo a vida inteira""",pt
77,Eu amo essa música ,pt
78,Muira  Vibe!,pt
79,Da até um alívio ouvir essa música e só curtir msm sem sofrer por ngm.,pt
80,Ela  é   muito   linda     eu  amo   ela,pt
81, música perfeita linda maravilhosa,pt
82,Só quem idealizou um casamento com a pessoa amada e esse amor não deu certo sabe o quanto dói ouvir essa música ,pt
83,Faz tempo que eu não escutava um som decente,pt
84,Quem tiver lendo essa mensagem que Deus te abençoe sempre Ana Castela e sucesso sempre,pt
85,Essa musica me faz pensar em tantas coisas que eu poderia ter vivido com paixões que eu nunca tive coragem de me declarar.,pt
86,Luan fazendo a segunda voz nessa música ficou muito bom!,pt
87,"Ouvir dizer dessa música á uns dias atrás, e adorei , parabéns agroplay eu adorei e certamente várias pessoas do Brasil adoraram também viu 🫡 mais q deus te abençoe cantora , sou um idoso de 65",pt
88,"toda vez que curtirem este comentário , volto aqui e ouço esta música ",pt
89,Muito linda e q música muito top,pt
90,Isso é uma cantora de qualidade e que merece todo o nosso respeito  amooooo Ana Castela,pt
91,Nego como eu te amo. E como tá doendo viver sem você ,pt
92,"Troquei o "" Sabe aquela igreja, tô aqui na frente imaginando chuvas de arroz na gente"" para: ""Agora o nosso quadro, casando na igreja, não vai ser pendurado, só existe na minha cabeça"" ",pt
93,"Aninhas tens a noção que ultimamente tenho pensado nas minhas pequenas que passaram na minha vida...a esperança de que esteja tudo bem com elas e não o simples ""está tudo bem""...e que a minha vida podia estar diferente se tivesse tido cabeça nas nossas histórias...mas o ""vai xer amor"" dispara os gatilhos todos ...",pt
94,Essa dói até em quem não foi machucado!,pt
95,Sim ela é sensacional iluminada !!!!!,pt
96,Linda maravilhosa ,pt
97,"Ninguém vai saber como realmente foi feita essa música, mais lembrança todos vão ter ",pt
98,Os compositores dessa música estão de parabéns,pt
99,"""Saudades do que a gente nao viveu"" (Jr,Neymar)",pt
100,Amei essa maravilhosa música,pt
101,Ana Castela Mais Uma descoberta maravilhosa para a arte da música brasileira ️️️,pt
