,comentario,liguagem
0,"THE HAIR, THE LOOKS, THE DANCING! This was epic!",en
1,The only disappointing thing in this video is the number of views. More people should appreciate this masterpiece !,en
2,"The visuals, choreo, the vocals, the looks she’s serving  Katy Perry never disappoints! She’s one of a kind! Love her sm! ",en
3,"The lyrics, the tone of his voice, his interpretation... everything in this song is AMAZING",en
4,"Perfect song for a comeback, look it the way she moves and sing. She is the overall package of ecstasy and enjoyment.
Love you a lot️️️️️",en
5,"Mano ela passou dos 50M de ouvintes mensais no Spotify,essa mulher é a maioral mesmo.",pt
6,Rumo aos 200 milhões de streams  no Spotify! ,pt
7,Parabéns! Muito sucesso e reconhecimento.,pt
8,"Que pancada, som top demais. Katy Perry mostrando todo seu lado eletrônico, com esse fera do Alesso.",pt
9,"gente essa música é tão boa, merecia muito mais visualizações",pt
10,Always coming back to this masterpiece! ️,en
11,This was absolutely so stylish . Katy has totally reinvented herself. She deserves to be back on top.,en
12,This is def a huge hit!! I saw her perform this live in Vegas on New Years day & it was  I can't wait to see Katy take over the world again in 2022 ,en
13,Mais de 100 milhões no Spotify ,pt
14,"She's cleary not talking about a relationship but about her carrer and she is so right when she says : You look for me in strangers, no one can replace it , I'M always your favorite . She always serves amazing looks, visuals, music videos, powerful vocals and empowering lyrics , she's the whole package if we compare her to other Pop singer  , I realise that every time I'm listening to other artist, She's the best, Queen Of Pop ",en
15,Katy Perry nunca decepciona nos clipe que música nostálgica ouvindo em 2023,pt
16,NO ENTIENDO PORQUE KATY YA NO TIENE TANTAS REPRODUCCIONES COMO ANTES NI LIKES SI ESTE M/V Y LA CANCIÓN SON UNA MARAVILLA TOTAL! LA GENTE NO SABE APRECIAR LA BUENA MÚSICA Y A ESTA HERMOSA MUJER  Y SOLO L@S VERDADEROS KATYCATS ESTAREMOS AQUÍ PARA APOYARLA X SIEMPRE ️,en
17,I'm Brazil's biggest fan of this queen of pop!,en
18,She is a 100% perfect example of amazing!,en
19,"Eight months gone and this party bop is still so underrated. Seriously, it gives me so much energy when I put it on, it's really a shame it's not appreciated enough.",en
20,Perfeição de música Katy Perry e alesso ,pt
21,"Essa música merecia milhões de views , a katy mudou o conceito do pop uma das maiores artistas do pop, sempre fez clipes perfeitos , entregou tudo !
A katy Perry é uma das maiores do pop revolucionou ele , ela merece tanto sucesso , uma artista que nunca ligou pra números sempre fez seus trabalhos incríveis pra seus fãs ",pt
22,We all know she never disappoints with music videos,en
23,"Katy Perry is flat out f'ing amazing. She knows about psychology, she knows about so many things and she has such a wonderful diverse range with her voice. I don't know why she doesn't get Grammys, but who cares really, when there is this kind of music available.",en
24,"Clipe sensacional, parabens Katy, beijos e abraços.",pt
25,The best day of my life is going to be when a collaboration between Lady Gaga and Katy Perry comes out!  They are such good friends,en
26,"She really did give us everything, Katy Perry is definitely my favorite singer ",en
27,"Hino injustiçado, merecia muitas vizualizações…",pt
28,When I'm gone sounds like a goodbye. But hopefully she doesn't leave us without her music. This song is catchy,en
29,"Vindo aqui de novo, deu saudades de escutar com o vídeo clipe ",pt
30,1 year later and this still remains good omg,en
31,She’s clearly back with the EPIC songs that she knows how to do! I hope she’s coming all over the world this year,en
32,"THIS IS MORE THAN EVERYTHING THAT WE WANTED, I FEEL LIKE THIS MAY BE THE BEST MUSIC VIDEO OF ALL YOU HAVE ALREADY DONE!! I LOVE THIS",en
