,comentario,liguagem
0,"A ten minute song by someone else would've bored me to death, but THIS, this is a MASTERPIECE. 

Makes me feel like I have been in a relationship like this, even when I haven't.",en
1,This song makes me feel like my heart has been broken a million times even though ive never been a relationship. I think that means shes a really good story teller,en
2,If you don’t appreciate this woman’s immeasurable talent than you may not be all the way human,en
3,You know the songs good when you don’t feel like 10 minutes have went by. ,en
4,"i have so much respect for her, she's a great artist, writer and storyteller, waiting for her movie because i know she's going to be an amazing movie director.",en
5,"I never heard a song as emotional, devastating and good than this. Taylor is a mastermind and a lyrical genius,  she really know hot to put those feelings and emotions into words, I have no words to express how talented she is and how much  I admire her. This song is a truly masterpiece, never let it die",en
6,"This. Is Taylor’s greatest work. You can contradict, compare, and contest. But this track—it makes you feel in a way that not one other song in her discography can. From the vault and into history. She’s accomplished everything here; checked off every box. 10 minutes in which a whole life chapter dwells.",en
7,"this song was so beautifully written. taylor is such an incredible music artist and such a successful woman. she completely deserves every award she's won, and she's definitely going to be an amazing movie director.",en
8,"Whenever I feel like I can’t let my anger out, I listen to this song. I will feel better afterwards. Thank you, Taylor.",en
9,"It's just one of those songs you can listen to over and over and over again and it can be as long as 10mins but still every time you listen to it it feel like a fresh new breeze.... 
Love you Taylor ️️",en
10,"Lyrics 
[verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow",en
11,"I can relate to this song immensely. I started dating this guy from September-late October (I’m a freshman in college) and the whole time things felt a little off but I didn’t think too much of it and then a couple months after dating he told me he had just recently gotten out of a relationship, it hurt me really badly and it made me realized I was just his rebound, and that it would never mean as much to him as it meant to me and I was legit heartbroken but this song helped me get over it. A LOT of her songs did honestly. He was 23 and he knew I had never dated before",en
12,"been playing this on loop , I cant get bored of it",en
13,realmente é uma obra de arte,pt
14,"There are 2 minute songs that i can't wait for them to finish but when this 10 minutes song ends, i don't even notice .
That's how you perceive a good song.",en
15,"So beautifully written. She’s a great storyteller. After listening to the song, it doesn’t feel like 10 minutes have went by. I have immense respect for her",en
16,"this song is so beatifull i honestly wish it was twenty minutes long instead of ten, I love this",en
17,"Lyrics 


[Verse 1]

I walked through the door with you, the air was cold",en
18,"This was my favorite Taylors song before it was 10 min. Now i love it even more, this is poetry 
""I was never good at punch line""",en
19,This song actually helps not loose my head after something goes wrong in my love life. Basic it lets me Im not the only one who’s been here. And it will never go away no matter hard I try.,en
20,"Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well ",en
21,"All hail Queen Taylor! Love her. She's got a song for everything. Any situation. 
️️️",en
22,Love it,en
23,Great singer with passion and articulation,en
24,I think Taylor's level of artistic expression is what makes me keep coming back for more! She's very creative!,en
25,favorite song of all time.,en
26,I really loveeee this version,en
27,"it’s quite an accomplishment to make such a good song, especially a ten minute long song, that a fan such as i has every word memorized without being a swiftie for two months. amazing work taylor, this is my all time favorite song of yours",en
28,"“you said maybe if we had been closer in age it would have been fine, and that made me want to die.”


MASTERPIECE OH MY GOSH.",en
29,"really really love this song !! 

ps. been repeating this song for 1 month all over again !! <3333",en
30,"As always in the ways of Love, she always warms my heart,, when I hear her and see her perform with her amazing Grace ️",en
31,"I walked through the door with you

The air was cold

But something about it felt like home somehow

And I, left my scarf there at your sister's house",en
32,"This song is so touching, I listen to it every night before bed. She really tells a story and I would never get bored of it! Swifty for life",en
33,"Perfection. ""I'm a soldier who's returning half her weight."" What an accurate depiction of trying to start over after heart break.",en
34,"I love you Taylor Swift, thank you for this masterpiece.",en
35,"This version came out after the worst heartbreak in my life. He was my first love, and I, can relate to many things in this version, like it happened exactly as the song says, but for my version I would change ''you said if we had been closer in RELIGION maybe it would've been fine, that made want to die'' and the rest it happened exactly as it was.",en
36,So as musica da taylor pra ser feliz,pt
37,singing this song more thaan 5 times a day,en
38,10 minutos que parecem 2! Amoo,pt
39,"Thank you Taylor Swift, for helping me to cope with my past toxic relationship I had with my ex. Beautiful song that I could relate it with my own past relationship about how my ex dump me cause of our age difference.. when he was the one who promised to never leave me even with our age gap. Now I am living happily with the love of my life.",en
40,I listen to this almost everyday ️,en
41,This is a masterpiece thank you taylor,en
42,i love this song so much!,en
43,THIS IS A MASTERPIECE,en
44,"""You call me up again just to break me like a promise""
This is really giving me chills",en
45,"This is poetry.


ITS A MASTERPIECE",en
46,music is the language of feelings.. and this song is delivered well by the singer - Taylor Swift - ,en
47,Love this song so much,en
48,Just saw this performed live and it was perfect,en
49,I LOVE THIS SONG,en
50,"[Verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house",en
51,So good! i always loved your song you belong with me so amazing you can really tell a story!,en
52,I love this song so much It brings back Memories,en
53,What an exquisite piece! It rivals Shakespeare plays in its poetry and literary value.,en
54,THIS SONG IS A MASTERPIECE <3,en
55,"I can't believe this song has been released 1 year ago. November 12 that year, 2021, I turned 20 that time on November 19. One week after the RED Taylor's Version came out.
And just last year November 2022, I turned 21. ",en
56,Taylor this song is a #Masterpiece do you know that?  It cuts me to the bone...  the magic is still here...,en
57,"All too well, forever and ever!",en
58,"There are literally more verses in this song than choruses, but it’s still incredible, somehow.",en
59,This song is perfection she paints such a vivid picture of everything she’s incredible,en
60,she’s so talented this song is just heartbreaking,en
61,i cant stop listening to this masterpiece,en
62,This song is an absolute masterpiece.  It rips your gut out every single time!!,en
63,"He still has my lemon lip balm.  Betweeen ""All to Well"" and Taylor's version of ""Last Christmas,"" feels like my heartbreak has been ""Swiftly"" covered. ",en
64,"All too well, I love you, Taylor because of your song I feel everything!",en
65,Taylor makes me feel like I went through three divorces and I haven't had my first kiss jet ,en
66,Idc what anyone says I listen to this EVERYDAY ,en
67,Still loving this song ,en
68,I need to experience this break up so I can sing to this song and cry like a baby,en
69,"""So casually cruel in the name of being honest"" is the line that got me the first time and every time since, just feel that one so much as my partner is just like that.",en
70,the best 10 Min I ever listen to! MASTERPIECE by the legend itself!!,en
71,"I listened to it again and again. When I first heard the old version of this song, I didn’t know the connotation. I just thought it was a healing but sad song. Now I can truly empathize with this song. I broke up with him when he said he wouldn’t rule out the possibility of marrying a heterosexual one day (We’re both homosexual). A few weeks later, I found out he was with another gay man. I was sure that I loved him deeply, but all he did was so cruel to me.",en
72,Essa obra prima tem poucos comentários pq estamos todos ocupados gritando a letra,pt
73,makes me cry all the time,en
