,comentario,liguagem
0,"Foi bastante prazeroso SHOOTAR ESSE MAMBO, grato por embarcarem no meu Boeing da pura doideira
Mô casal Mingo️ ️Trampo Dirigido & Realizado por mim.",pt
1,"Se você leu este comentário, que Deus te abençoe Rica e Poderosamente ! ️",pt
2,"Coisas boas não demoram, olha só agora estamos a somar amor
Isso é muito hit na vida️",pt
3,"Anderson Mário tem uma capacidade maluca de criar melodias viciantes, a Alice Julie deu um toque a R&B na música, nota-se que é mesmo a praia dela. O Sininada de ""nada"" não tem nada . Extremamente estúpido esse videomaker, transições malucas, coloração no ponto... epa, HE´S ON ANOTHER LEVEL, tou arrepiado. Belíssimo trabalho. ",pt
4,Sucessos sucessivos tropa,pt
5,"Superação a cada dia q passa 

Irmão angola a se tornar cada vez melhor 🇦🇴 juntos brother",pt
6,"Parabéns para vcs🥹🥹🥹🥹
Vídeo lindo",pt
7,"Bela conexão, óptima recordação para o vosso filho, Deus os abençoe sempre!",pt
8,Está muito lindo!!! Bem expontâneo!!,pt
9,Heeeee  já rendemos todos estão de parabéns Porã pha...quem mas vamos escutar e escolher... Lindo trabalhos dos jovens da nova geração parabéns ,pt
10,"Que o senhor abençoe essa pessoa maravilhosa que esta a  ler essa mensagem, só estamos a somar ",pt
11,Sou de Moçambique e admiro muito o vosso trabalho e determinação... força mano e Felicidades...🫶🫶🫶,pt
12,"Meus Para bens grande Anderson Mario, a musica está e o video clipe está ótimo.",pt
13,Vídeo lindo. Parabéns para vocês ,pt
14,"Nunca vou superar esse som txeee,vocês mexeram com o meu coração ️",pt
15,"Sempre fui fã desse casal, que Deus abençoe ",pt
16, coisas boas não demoram assim disse quem vêm pra estragar e os invejosos  só aumentou no love,pt
17,Anderson Mário é muito forte!! Máximo respeito ,pt
18,"Muito forte a letra, música bem feita e vídeo clipe bem elaborado. Congrats ",pt
19,Fico muito lindo jovens trabalharam ,pt
20,A perfeição desse vídeo ️ abençoados sejam,pt
21," incrível, lindo e muito top, parabéns ao casal, a música ️️️",pt
22,Pop vocês  merecem ,pt
23,De certeza que será o videoclipe do Ano,pt
24,"Vídeo lindo ️️️
Parabéns meus amores",pt
25,"Superaram a nossas expectativas nesse vídeo , trabalharam muito , meus parabéns…",pt
26,Só aumentou no love️,pt
27,A conexão deles é surreal ,pt
28,"Vocês estão muito felizes e o vídeo transmite isso, música muito viciante e a vossa alegria é contagianteparabéns ",pt
29,Gostei. Muitos parabéns e que Deus seja o pilar da vossa família ,pt
30,Olha agora só estamos a somar amor ,pt
31,"Isso é muito hit oh Jesus 
Admiro muito o seu Anderson sou teu fã, que Deus abençoe rica e poderosamente o vosso casamento ️",pt
32,Quanto amor ️ que sejam muito felizes,pt
33," (LETRA)
Techy Gaene - Não Chore Por mim 
              
Baby deixa no ar ",pt
34," parabéns para o casal,música linda. Que Deus vos abençoe",pt
35,"Casal que dá gosto, o vídeo está top , top parabéns  ao casal a muísca é linda",pt
36,"Como sempre meu tropa SININADA nas teculas do Vídeo ...

esta super dope PARABÉNS AO CASAL MARIO ",pt
37,Coisas boas não demoram Eu já senti,pt
38, Os melhores “ Coisas boas não demoram olha agora só estamos a somar amor “ ,pt
39,"O vídeo clipe está muito Bom, conexão perfeita ",pt
40,A vida é só essa sejam muito felizes ,pt
41,"Parabéns ao casal está muito lindo o clip,que Deus vos abençoe sempre",pt
42,Mais uma musica que não te sai da cabeça ,pt
43,"para começar o meu dia, depois da minha oração ouço está musica.. num estrago.",pt
44,Anderson sempre com carta na manga ,pt
45,"Que Deus vós abençoe poderosamente,  nome de Jesus",pt
46,Deus No Comando ,pt
47,Num estragou  só aumentou no love🇲🇿️,pt
48,"Magníficooooos️
Maravilhosamente maravilhosoooos ",pt
49,E eu que nem paro de ver o vídeo!muito lindo amei,pt
50,"Muito lindo esse vídeo,  me diverti muito vendo a vossa diversão ,  muitos parabéns",pt
51,Parabéns e muito sucesso sempre ,pt
52,"Muito bom, estão de parabéns",pt
