,comentario,liguagem
0,YES I LOVE THIS,en
1,this hits different when you're really into someone,en
2,The fact that this MASTERPIECE is still everyone's favorite after 6 years is just.,en
3,Eu amo as músicas dessa mulher são tão perfeitas ️🇧🇷,pt
4,5 years later and this song still hits different. Truly a masterpiece.,en
5,"Still here 6 years later, still know all the lyrics from when i used to listen to it on repeat. will always be at the top of my list, ari peaked with dangerous woman",en
6,Essa música cada dia fica fica melhor,pt
7,"Essa música é uma verdadeira obra de arte, que perfeição!!",pt
8,Honestly one of Ari’s best tracks in my opinion. The harmony of the high vocals and low vocals are just chefs kiss I absolutely love the story in the mv too. I watch this video like a million times and it never gets old.,en
9,eu simplesmente amo essa mulher. ariana vc é incrível!!!! ,pt
10,It hits different. Essa é atemporal um verdadeiro pop perfeito.,pt
11,"As an old Arianator, i can say that this is one of my favorite Ariana's songs, it's just so good aaaah.",en
12,Music I'll never get tired of listening ♬,en
13,This is EASILY one of the best pop songs ever made. She left her mark in pop culture with this one.,en
14,Eu amo demais essa música!!!,pt
15,The fact that this song is still everyone''s favorite after 6 years is just.,en
16,Que perfeiçãooooo,pt
17,"unpopular opinion:
This is Ariana's best song, it has high notes and low notes. the rhythm is perfect. the whole song is perfect.",en
18,A mais viciante de todas #intoyou,pt
19,This is your ‘Here before 1 Billion’ card,en
20,"This song aged like wine. The more I listen, the more I like it.",en
21,It's been really 6yrs already?! This song still randomly plays on my mind,en
22,This song is still on my playlist ️‍,en
23,"Ariana Grande's ""Into You"" is a musical masterpiece that's impossible not to instantly fall in love with. With an enveloping beat and stunning vocals from the artist, this song is a true hit that never loses its shine and continues to be an anthem for pop music fans around the world. Without a doubt, ""Into You"" is one of Ariana's best songs and a musical treasure that deserves to be cherished for years and years to come.",en
24,"This song never gets old, no matter how much I listen, I never get bored.",en
25,"Popular opinion: this is her best song, everything about this song from the melody to the vibes his perfect love you Ari ",en
26,Love this song   relax mood,en
27,She’s the only artist that sounds better in person than her official music,en
28,"The music is so great, thanks for sharing it with us, love you! Wishing everyone a happy working day and luck",en
29,Love it ,en
30,"This I agree is one of the most effective songs out there. I mean effective, a song that makes my insides wanna get up and dance and move to the music. We need more songs like this.",en
31,Faz tempo que essa música já deveria ter 1 bilhão ,pt
32,"dangerous woman is DEFINITELY her best album, all the songs are absolutely timeless ",en
33,perfeição,pt
34,I love this Song is amazing and grateful.#13 Billboard hot 100 deserved,en
35,This will go down as one of Ariana's most underrated hits and one of the underrated pop hits of the decade. It's such a bop and I was addicted to it when it first came out and still listen to it!! The composition and vocals are perfect.,en
36,This is one of my favorite songs ever and it will forever be ,en
37,this song means the world to me. it was my first favorite song by ariana and made me realize i loved her. love u sm ari!!,en
38,"6 years later, I’m still a big Arianna fan I love you so much girl!!! You’re the best ",en
39,"It doesn’t matter what she wears, she will always be absolutely gorgeous 
 
THIS BETTER GET 1B VIEWS",en
40,"I’ve heard this song before, but never, and until now paid attention to the lyrics, and I’m so adding it to my playlist.",en
41,"she looks amazing , gorgeous, flawless stunning, her makeup and hair, outfit is on point she looks stunning she slays every song she slays every time. this one of my top 10 favorite ariana grande songs.",en
42,This song never ages..such a bop,en
43,Como eu amo essa mulher ,pt
44,"The best song, i can't stop listening to it. LOVE YOU ARI!!",en
45,i love to hearing her voice,en
46,Its almost the end of 2022 and this song still sends chills down my spine.,en
47,esse ano ainda chega em 1 bilhão de visualizações ,pt
48,love this song,en
49,this song is a fuckin masterpiece. Idk why some of the fandom hate it so much i can play it over and over again and never get tired of it,en
50,amo demais mami,pt
51,6 anos de muita história ,pt
52,Uma das melhores dela ,pt
53,"This song has earned its stripes. This is definitely a culturally significant contribution to pop music and deserves to be called an anthem. Max Martin's unusual use of vocal presence and sidechaining in the production with the incredibly dynamic songwriting, topped off with Ariana's ethereal voice makes this track worthy of being regarded one of the best pop songs at least in the last few decades.",en
54,I love this song,en
55,I rarely ever listen to Ariana Grande but this song is absolutely amazing. 10/10 best song I've heard from her,en
56,"983 Million views! Come on, let’s get this MASTERPIECE to 1 Billion Views! ",en
57,"I never thought I'd fantasize about wanting this kind of love story, but uh......yeah--I do. I would love to experience a love story like this.",en
58,WHAT A GREAT SONG ,en
59,Arianas songs are forever iconic,en
60,I have listened to this sound track a million times I still love it,en
61,"Me lembro quando eu tinha 12 anos eu amei quando ela saiu, foi meu ant depresivo, até hoje amo escutar ela",pt
62,"Essa música é linda, amo ouví-la",pt
63,"Literally pop perfection, one of her best songs ️",en
64,Still one of the favorites ️,en
65,Can't stop listening to this  perfection ,en
66,"AMO ESTA CANCIÓN Y EL VIDEO... ES COMO UNA PELÍCULA DE AMOR, DIOSSSS!!! ",pt
67,From “1 day ago” to “6 years ago” and it’s still a masterpiece.,en
68,2023 e eu aqui cantando toda a letra de into you,pt
69,This song is AMAZING,en
70,"tipo assim, é o maior pop da atualidade desde 2016... como pode isso?",pt
71,This song is so aesthetically pleasing.,en
72,This song deserves 10m likes at least. Such perfection..,en
73,"This song means a lot to me , I know you wont understand me but it just makes me feel better and the story behind this song is kinda special..",en
74,"Into You have sold more than 15M worldwide sales, is going to surpass 1B views and already have 1B streams on Spotify. It should have been her biggest hit but it’s still on her top 10 biggest !",en
75,I remember watching this years ago as a small kid and kept on looking at the screen wondering who she is and how she made very good music. Im crying because of the memories..LOVE YOU ARIANA!! YOUR THE BEST.,en
76,"Its almost 6yrs since this song came out. OMG its like it's like yesterday. Love this song then, LOVE now as well",en
77,Ariana por favor não para de fazer música ,pt
78,Love this ️,en
79,breaks my heart how it’s getting older but I will always love this song,en
80,5 years later and it’s still one of the best pop songs. pop perfection,en
81,This song will always be my favorite of ariana's ️,en
82,"I've never fallen in love ,but she always manages to make me relate to this song  This was my safe space throughout high school I love Ariana Grande ",en
83,TBH she has always been my favorite singer even when she played TV shows this song is the top 10 for me ,en
84,Loving it! :),en
85,"I love this song, this is amazing ️",en
86,I love this ️,en
87,I love ARIANA GRANDE's songs,en
88,"this music video is so fucking pretty ???? it’s underrated imo, one of my favorites from her. it’s beautifully shot and directed and gives a really cool sense of storytelling",en
89,"The aesthetics
The beat
The lyrics
Her voice ",en
90,Falta 21M porém vai ser 20M para 1B,pt
91,"pop puro te amo ""INTO YOU""",pt
92,"I really love the song. But as a film nerd...oh gosh, I just loved the video. I loved the filters, the angles, the editing, the story, JUST SO AMAZING.",en
93,This is a great song; I especially like the part from 2:44 to 3:00.,en
94,This song is masterpiece,en
95,this song never gets old<3,en
96,19 milhões pra 1 bilhão vamo galera mulheressss,pt
97,"Certified Banger, still stand strong after 6 years. Love it came out, still having this in my playlist. ",en
98,One of the best videos and songs for the summer,en
99,I just keep coming back to this song. I can't get enough of it.,en
100,"LYRICS:
I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough 'til we cross the line, hey yeah",en
101,Can’t get tired of hearing this master song  ️,en
102,"Masterpiece Ariana, as always",en
103,I LOVE THIS SONG IT'S SO SO GOOD,en
104,this song is my ultimate favorite. Nothing can beat it,en
105,I'm in love with this song ,en
106,IM INTO this song ,en
107,Love...this song... ,en
108,Listened to it in 2016 still one of my fav song ,en
109,This song brings so much good memories into neurons within a second …my old golden times,en
110,Ariana grande Princesa do pop,pt
111,This song is still a jam. Her older stuff is much better than the songs she has put out recently.,en
112,been 6 years and I still want this music video as a movie ,en
113,I AM JUST FRICKIN IN LOVE WITH THIS SONG I LOVE IT I SWEAR ,en
114,"Everytime I listen to this, it feels like I'm going back in time. 2016 hits different.",en
115,There are enough comments about how great the song is so I'm here to say that I'm really into the love story in the MV.,en
116,"5 years later, if you’re still watching this you’re a legend.",en
117,"Girl, you gave me a reason to live! A reminder of the feeling- being in love... Thank you for that!",en
118,I love this song,en
119,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
120,I keep coming back to this masterpiece ,en
121,"It’s a pretty song, whole world should listen it.",en
122,Headphones on and Ari's music = heaven ,en
123,We all know that she’s pretty in any way but let’s all take a moment to see how beautiful she is when she’s not with the ponytail (I’ve not against the ponytail but there’s a long time I don’t see her without it),en
124,I love this song!!,en
