,comentario,liguagem
0,It sounds even better than the original version wtf,en
1,"Somehow, I like this more than the original. It makes the song feel a lot more personal and intimate.",en
2,this is THE best vocal performance from ashnikko.... i will cherish this piece forever and forever holy shit. perfection.,en
3,"I sobbed when I first heard this song, ""I've been predisposed to trauma since I was 11"" like girl same ",en
4,I never hear anyone say this but Ash's clothes/aesthetic are amazing. I know that in music videos there are designers that help with this kind of stuff but it amazes me every time because they mach the music so well.,en
5,Her voice is still beautiful without the autotune ,en
6,I've just been diagnosed with autism. Im 33. This song puts the feeling into words. For me even the trauma starting at 11 fits  I'm playing on repeat.,en
7,"As someone with Autism and Anxiety disorder, this hits me hard on a personal level. Ashnikko's voice in this song is literally music to my ears.",en
8,Their music always speaks to me on a level that unlocks something feral in me (in a good way),en
9,"that voice tho, why is everything about her so perfect please?!",en
10,i could listen to this live version on repeat forever,en
11,Her face during the whole song was so into it..she truly has solid vocals. The raw vocals held onto me way harder for sure,en
12,Can't finish this song without my tears falling.,en
13,This is more of a smooth version of the song when it's more raspy but I love both and it hits different when you have the idea of the personal things behind it,en
14,"Lyrics:
Typical of me to go and ruin the party
Everybody says they love me, but I'm still brokenhearted
They call me Polly Pessimism, I'm a ma-macabre Barbie (I love you)",en
15,Crying listening to this acoustic version I feel this it hurts my heart thank you for giving me another banger to relate to you are a true artist ,en
16,"After just going through a break up, i needed this version now more than ever. Thank you ash",en
17,ESSA MÚSICA É A 8° MARAVILHA DO MUNDO MANO,pt
18,They are such an inspiration. Such a good performer and SO PERFECT!!,en
19,why does this sound so much better than the recorded version? The emotion? the realness? We feel it,en
20,She has one of the unique voices I’ve ever heard. Keep comin back to this video,en
21,BRAZIL LOVES YOU ASH ️️️️🇧🇷🇧🇷,en
22,"I’ve been listening to her for years, since she had green and brown hair. Yes a long time. I love her so much and I’m very proud of how far she’s come.",en
23,This song has won a permanent spot in my heart.,en
24,"This version has me in tears remembering back when I would have panic attacks on the daily. Hearing this helped heal a piece of me. Thank you, Ashnikko. We are never alone.",en
25,"Woow... her voice, the performance...  the guitarrist was great too!",en
26,"Never stop evolving,  #Ashnikko ️ 
It's easy to notice your vocal is improving even more, those notes are even cleaner  and more precise. 
This song gives me the same vibe as I am with you of #AvrilLavigne.
You two could collaborate on ballads.",en
27,This song just makes me sob uncontrollably. Hearing it raw kills me even more. Thank you Asknikko for speaking my soul.,en
28,Absolutely one of the best new artists there is. So excited to see more from her!,en
29,Her voice live is so pretty omg,en
30,"Goose bumps over the voice and emotion!!!!Jesus, young lady!!! I want more of this!!!",en
31,"This shit hits. Sometimes it just feels easier when everything is shit cuz you don't care. But when things are going good, you have to care to work and fight to keep it that way. I love this song and this version feels so much more personal",en
32,This song really speaks to me. As someone who is healing and trying to let people in.,en
33,"Remember she played this first day of tour and bawled my eyes out , I love this song so much .",en
34,"Perfeita, merece o mundo todinho. ",pt
35,Amazing song of hers!!! Love the way it sounded too. 10/10 Ashnikko ,en
36,"this is the most beautiful song to exist, i hope she makes more songs like this.",en
37,She's so amazing she doesn't even need autotune,en
38,"I keep coming back to this version, it's somehow so much better than the recorded version, it's so good ",en
39,"This song is amazing  
Listening to this version on repeat ",en
40,Incrível como a voz dela pode ir de um rock doidão pra uma música de festa de 15 anos ;---;,pt
41,"this live version hits different, so beautiful ash ",en
42,Also I love that we can hear your vocals raw here because it delivers so much damn emotion and makes the already powerful song more powerful!,en
43,her voice is very angelic ,en
44,"Vey, essa mulher canta mt bem sem autotune!",pt
45,"This is really great, the tone of the voice is getting louder in the middle of this land and it's starting to get better but I like his head more where he sings softly  beautiful girl ",en
46,Love it youre my fav musician and i can't wait for this years Halloween song really hope she has one!!! ,en
47,Simplesmente a Ashton tendo o melhor momento de sua vida do entretenimento.,pt
48,Every live performance I've watched is flawless ,en
49,"Love this version so much. Love you, Ashnikko ️.",en
50,Ashnikko is like the older sister I could only dream of ,en
51,I literally can't stop listening this is sooooo beautiful,en
52,Essa música é tão incrível,pt
53,HOLY SHIT YOU ARE MY FAVOURITE SINGER THIS IS THE MOST BEST VOCAL PERFORMANCE IVE EVER SEEN ! ILSYM ASHNIIKO ,en
54,I love how we're all different and when someone like ashnikko can use it for herself and make great music as well,en
55,"ash is such a moment, the song the voice the hair the outfit, just all of it",en
56,She sounds just so perfect on live,en
57,"ashnikko is my inspiration <3
such a beautiful singer, amazing preformer, empowering messages, an extremely talented and beautiful lady <3",en
58,My god girl your voice you sang this incredible,en
59,Checking every day for a new Halloween upload. But this is still the most recent video from her.  Ashniko with a passion!,en
60,Oh My God I love the rasp in her voice its incredible,en
61,"Bestie Were ALL Waiting For Halloweenie V WHEN IS IT DROPPING??!?!?!?!?! TAKE YOUR TIME, WERE ALL HERE FOR YOU!!!!!!!!!!!!",en
62,Sounds even better then the original. I like how your cover sounds more Intense and intimate:),en
63,Do Brasil  #Que_Voz_Lindaaa ,pt
64,"No song has made me cry like this in years lmao, love ashnikko so much",en
65,Goosebumps This is my favorite song. I feel it so much.,en
66,her lives always sound so crystal clear. I love herrrrrrr,en
67,She's such an inspiration  So much emotion in one voice ,en
68,voz perfeita  sempre choro quando escuto essa música,pt
69,everytime i remember she has technically sung this to me in person i want to melt into beauty and art and joy and TEARS,en
70,"You sound amazing, your music is amazing, YOU'RE amazing. Love you Ash️",en
71,I love this song!! Awesome performance! ,en
72,"Her live performances are phenomenal, incredible vocals <3",en
73,this is my favorite song from Ashnikko ,en
74,"Love you, Ash!!!! This song resonates so much more live ️",en
75,"I love it just stripped down with their voice, it’s gorgeous",en
76,Her voice is insane the range ️,en
77,I like playing this when I get ready for work and now I have This version  It's absolutely hitting me ️ ,en
78,I need a 3-hour loop of this version. This is just sooo good ️,en
79,"This is one of my all time favorite ash songs 
I love how intimate and vulnerable they are on this track",en
80,I relate to this song so much. Thank you Ashnikko for putting real feeling into your music.,en
81,She should really do more music like this,en
82,I hope i get to meet her. Just for a second long enough to tell her how much she's been there for me. Her music is unmatched in the mainstream and she rocks my world regularly,en
83,Ashnikkos voice is so colourful and diverse. Just perfection.,en
84,She's just so talented ,en
85,This song is absolutely beautiful... thank you so much Ashnikko :),en
86,The live sounds better than the studio version and I think it’s because you can hear the emotion more in the live!  Love this version!,en
87,"My fav Ashnikko song!! What a fantastic performance, sounds even better than the studio ",en
88,this song just heals my soul after all the things i suffered from,en
89,My neighbours new favourite song from today whether they like it or not .,en
90,O vocal da gata ,pt
91,This is my favourite music out of all Ash's Music!,en
92,She definitely has her own style of everything,en
93,This is the best song to her career. But such an underrated.,en
94,I’m very grateful she wrote this song,en
95,Beautiful!!!! Ashnikko's voice is amazing and just shines in this song,en
96,"just look at her amazing outfit and cute blue hair
ugh I love her so much",en
97,her voice is so amazing I CANT,en
98,This is so beautiful. I feel the need to mention the guitarist. I love their vibe and how talented they are,en
99,"You are so talented, it’s unbelievable 
That’s why you’re one of my favourite artist 
Lysm ️",en
100,"woahh ngl this is way better than the original, either way you’re amazing queen! ",en
101,Omfg  it’s even more magical live  thank you,en
102,My god she’s so stunning and her voice ,en
103,"ash, your voice is gorgeous, you’re gorgeous, ilysm <3 you’re my idol, this song honestly means a lot to me, i like this version a lot better. this is my favorite song of yours besides invitation :) ilysm keep doing what you’re doing and never give up. ️‍ pin? :)",en
104,One of my favourite songs of all time!,en
105,Brasil te ama Ash! ,pt
106,this song has my heart she really doesn't need autotune,en
107,She is just phenomenal,en
108,literally having this song on repeat 24/7,en
109,this is art. best music ive EVER listened to! ,en
110,she's an angel,en
111,Ashniko givin' me chills! So lovely,en
112,You are so talented ♡♡,en
113,1:38 these vocals,en
114,"Wait what? She sings too? And not like half-assed bullshit , this is really fire! Man this fucked up my morning so good, I cant wait for more of this",en
115,This is breathtakingly incredible. I love you Ash ♡,en
116,In this version sounds like she’s really venting ️‍️‍,en
117,"You are a total lyrical genius and I am just so moved by you! I felt this one straight pulled on the heart strings. I don’t know if you’ll ever see this and respond, but know that you are a BAD ASS CHICK!! Looking forward to listening to all the art you produce. ️️️So much love, admiration and love from California!",en
118,This is honestly my favorite song by her and I’ve been listening to her since 2016,en
119,Her voice is so much more beautiful without autotune ,en
120,The voice - - - - - ,en
121,Você merece o mundo ,pt
122,ABSOLUTELY LOVE THIS SONG!! CONSTANTLY ON REPEAT!!,en
123,amazing performance love it ,en
124,Eee I love how this version has a soft vibe,en
125,Absolutely awesome af! ,en
126,"when the live version sounds better then the original: (no, but seriously, this is amazing and you should so many more live performances!)",en
127,"this is so good wth- ash, your voice is so beautiful <3",en
128,"Every time I see, or listen to ashnikko I feel Like it’s Halloween already haha I love heeeeeer  ",en
129,"I have panic attacks when it's bright outside, or when I spend time with my family, or whenever things are peaceful. And I am also more comfortable in bad situations as well. I relate to this song : (",en
130,"little by little I have become a fan of ashnnikko, a crack by the way, she always sings very well, and I'm also Spanish",en
131,You've given me a perfect song to cry to. Thank you Ash ️️️,en
132,"It sound so much more emotional live, amazing",en
133,i would use this to sleep it’s so calming ,en
134,She’s so good live,en
135,Me da tanta nostalgia ,pt
136,crying at this moment for just seeing this and just the beauty in it and knowing your genuine sound,en
137,"No matter what version I hear, it always hits the heart strings with so many feels ",en
138,É... Eu amo essa mulher ,pt
139,Me and my mum listen to you 24/7 she loves your songs so much!! I hope you have a lovely day<3 I'll listen your songs for like the 1000th time ,en
140,Merece o mundo inteiro!!!!!,pt
141,Please put this up on Spotify,en
142,Love you Ashnikko - thank you for the gifts you give us ,en
143,Como amo a ésta mujer ,pt
144,I love the vocals!,en
145,"I can't believe the evolution of your music and your videos has been so intense and awesome! You've come all the way from ""Krokodil"" to this!!",en
146,Love you Ash!!!! ,en
147,beautiful as always!,en
148,where’s the halloween song ,en
149,She is a once in a generation kind of talent,en
150,I loved this sound ,en
151,Love this version!,en
152,Dam baby girl poured her heart into those words ! Awesome,en
153,"This is already my favorite Ashnikko song, the rawness of her vocals i this live performance makes it so much better.",en
154,"YES GIRL
(Fun fact, I was first)",en
155,Her voice is soo good️️And i like this even better then the original,en
156,"I'm so happy because She have 
 a new Video  and is really better than  The original ",en
157,"Hey Ashnikko~!🫰 
I started listening to your music in May. I recently saw your video on spotify because I listened to you for about 4000 minutes this year. (I knew it would be a lot, but not that much! ) I wanted to tell you that your music helped me a lot during hard times. I sang until my throat ached, danced and laughed, forgetting my sadness. I wanted to thank you and I keep my fingers crossed that you will come to Germany someday.  ",en
158,GIRLY YOU ARE SO BEAUTIFUL. I LOVE YOUR VOICE. KEP IT UP. I LOOK UP TO YOU SO MUCH!!!️,en
159,I relate 100%. Times that should be tranquil are traumatizing. This always happens.,en
160,After this she kinda disappeared wth,en
161,I wanna cry each time I listen to this song,en
162,Ashnikko this is my favorite song of yours. It is amazing this version n in the original version. Keep up the amazing awesome work.   the 1 n only Mad D B,en
163,Your voice is incredible I can’t wait to see you sing in person again some day!,en
164,Woah this made me tear up  it was amazing,en
165,Where is she today? What is she up to ?  :(,en
166,That growl is everything.,en
167,this is like my favorite track of hers! shes sounds so good live!,en
168,This song will speak to your soul,en
169,unbelievable! you've grown so much and only continue to evolve. Loved this.,en
170,where  Halloweenie V?,en
171,This was beautiful ,en
172,Crying listening to this acoustic version I feel this it hurts my heart thank you for giving me another banger to relate to you are a true artist ,en
173,"You sound amazing, your music is amazing, YOU'RE amazing. Love you Ash️",en
174,Eu amoo esse hino 🇧🇷 ,pt
175,I love everything you do! ,en
176,"This song is so beautiful,I love this song lol :)",en
177,I LOVE THESE SONGS SO MUCH,en
178,Amazing performance absolutely amazing ,en
179,Love this so much ,en
180,In love with this version,en
181,That voice  ,en
182,It’s been awhile since I’ve listened to her and now I’m blasting her songs everywhere,en
183,"I swear I'm not crying the suns just bright I'm having the best time of my life
I love this oh my gosh",en
184,Killed it like always,en
185,Purely beautiful in every way <3 100%,en
186,i really like that you are focusing on your excellent singing skills in stead of the weird shock value shit that is hollow and a dime a dozen today.  you are such a talented singer!,en
187,her voice sounds amazin,en
188,I was not ready for this high vocal level. Holy shit!,en
189,I’m high and I’m loving this . ASHNIKKO FOR PRESENT ,en
190,Amor da minha vida todinha,pt
191,this voice ,en
192,I freaking love this song,en
193,Beautifull ️ this is art,en
194,THE MUSIC sounds SO GOOD ITS SOUNDS BETTER THEN THE REAL THING,en
195,"You know it, the soundtrack of my soul.",en
196,Watching this live brought me to tears big time ,en
197,I needed this today ️️️,en
198,Absolutely beautiful song.,en
199,Your such a beautiful singer I love this 10000/10,en
