,comentario,liguagem
0,"Today, 6 years ago, we lost an amazing artist, but we can still enjoy his music.
RIP Chris Cornell, gone but never forgotten.",en
1,Um abraço a todos que apreciam essa obra-prima!,pt
2,Uma das melhores músicas que existe pra refletir sobre a vida,pt
3,"Chris Corell muito obrigado, vai o homem  fica a obra ",pt
4,"On a cobweb afternoon

In a room full of emptiness

By a freeway I confess

I was lost in the pages",en
5,Every time someone replies to this comment I’ll come back to listen to this masterpiece,en
6,"This man voice was so good that he could sing in the same exact pitch live, without autotune or anything, just him and the microphone. That's how you know a singer is really incredible. RIP Chris Cornell, we will never forget your voice and your legacy in music.",en
7,"It makes me happy to know that this song has over 1 billion views. That tells me that people other than myself appreciate this man’s voice, music and talent. RIP, brother.",en
8,This is honestly one of my favorite songs to ever exist. The way it hits me. The words. Chris’s voice. It’s truly tears me up,en
9,Hearing Audioslave in the early 2000s felt like the 90s was giving us one last gasp of air and it felt great.,en
10,"A billion views.
Chris, we will never forget you man.
Congratulations to all the members of Audioslave.",en
11,"Descanse em Paz Chris. Nunca, Jamais Sera Esquecido",pt
12,"The lyrics of this song are so darkly prophetic. I believe Chris put into the lyrics exactly how he was feeling, and how it haunted him.
I miss Chris and Chester...",en
13,"Tem coisas nessa vida que vc pensa ... Muito foda !!!!"" É dom"" !",pt
14,It's been years but RIP Chris. Your music and band were legendary.,en
15,"R.I.P another legend. Gone but forever In our hearts.

You'll never be forgotten, Chris.",en
16,Thank you for everything Chris. These 6 years without you have been hard.,en
17,Top demais amooo,pt
18,Damn the memories!!! Miss some of the best musicians!,en
19,"Não importa quanto tempo passe , estarei sentindo a energia que essa música trás",pt
20,"Still a killer hit, sad part is the older you get the more real this song becomes",en
21,"Eu me lembro que nessa época que essa música foi lançada (anos 2000), a cena do Rock era muito forte, todo mundo ia de preto para escola, na saida iamos para lan House acessar Orkut, pela tarde, ficava curtindo os clips da MTV e Mix TV, eu era feliz nesse tempo e nem sabia, só resta a nostalgia msm.",pt
22,Classic! This never gets old!,en
