,comentario,liguagem
0,"It's 2023, and some songs never get old, no matter how much time passes",en
1,Avril Lavigne's song Complicated is always awesome. Love this song.,en
2,Back here after long time and still the best music avril has written,en
3,I hope for the rest of humanity this song continues to be played the way it does. Timeless classic. Never let it die,en
4,"What I love about Avril’s voice, is that it feels familiar. Like a voice I would hear in my home town. It’s not the greatest voice I’ve ever heard, it’s not glamorous or larger than life, but it feels like me and my best friend riding bikes on a Summer evening, joking about skipping town and seeing the world. Somehow that means more than what singing legends can offer me.",en
5,It's been a 13 years since this masterpiece was released. Old but iconic indeed..,en
6,Avril Lavigne's songs makes me remember a nostalgic past I've never experienced.,en
7,This song still feels fresh and new 20 years later which proves music never ever gets old!,en
8,This song  is gold ... Pure pure gold brings my childhood alive,en
9,She’s the girl that everyone can’t understand how they act themselves so easily. She just does her!,en
10,"Love or hate Avril, this performance hits home for so many people. Be it a comforting voice that you can hear around the home town, or a song from a not so distant past, this one just hits different",en
11,Saw her in concert perform this last week! Was so amazing! Twenty years later and she still rocking it!,en
12,The fact that she was 17 years old when she created this timeless masterpiece still blows my mind,en
13,This song is forever a banger never fails to put a smile on my face.,en
14,Man this song just hits every time. Feels Just like it did the first I heard it back in ‘02. Beautiful track ,en
15,i love how these old songs of her pops up into my carlifts radio <33 good times and good songs…,en
16,This song encapsulated its era so well while also staying an amazing song far into the future,en
17,"If someone had told me 20 years ago that this song would make me want to cry my soul out I would never have believed it, but here we are. It was all so easy then, so lighthearted, everything was full of promise. Like the world hadn't lost its meaning yet.",en
18,"Que emoção!
Melhor parte da minha adolescência MTV..como tempo vuooo ",pt
19,I come back to this song every once and a while bc it seems like the world had a different light,en
20,"Adoring your music, Avril, has never had to be Complicated from the very first day I discovered it!",en
21,"I am 14 years old and when I listen to Avril Lavigne I am amazed at how innocent I can be as a child. She's so beautiful, cool and fun. She makes me smile.
I love her ️",en
22,"Listening to this song after more than 20 years.. I realize what I lost, ..not like I can get it back anyway :3 this song is like a memory, so precious",en
23,It’s 2023 this song is not getting old I never get tired to play even for how many years or decade will passed such a great masterpiece during my childhood days ,en
24,This song never gets old!!!,en
25,Avril Lavigne is an iconic queen. It's 2019 and I still love her music  ,en
26,"Clássica,atemporal avril vc foi um anjo que Deus nos enviou pra,encantar com sua voz doce ,sua voz toca a alma!!",pt
27,Melhor época  da minha vida  ,pt
28,My teenage life  is blessed to have Avril as my favorite female singer.,en
