,comentario,liguagem
0,"00:00 - 04:18 No Guidence

04:19 - Say Goodbye

08:41 - Privacy

12:22 - Don't Judge Me",en
1,Boa seleção . Amei,pt
2,A primeira msc já quebra tudo!!! ,pt
3,"Thank you, Chris, for being so positive about this whole process! 
We love you very much! 
Love his music…",en
4,Cris Brown e um artista completo meu ídolo ,pt
5,"meu idulo cris brown , continue sendo essa pessoa maravilhosa que você  é. te muito garoto .todas a minhas resenhas tem seu álbum. suas musicas ,",pt
6,R&B Certified GOAT ,en
7,Dropping Hits Fo Sho,en
8,These are the top singles but Chris got some top songs that's on these albums not singles.,en
9,Alguém coloca os tempos aqui por gentileza ??,pt
10,"I wish everyone who clicked on this video the most love, peace and abundance. You’re so much closer than you realize. I love you ",en
11,watch them build then watch them make ammo cool cool thank you,en
12,deep in the dark in tunnels over cliffs hanging down in the deep,en
13,Please continue make me one of your  favorite fan.  I miss you,en
14,"Where is Autumn Leaves, Where is Grass Ain't Greener??",en
15,I miss snd love you C. Breezy,en
16,I need you in my life i come with blessing$$$ ###INDEED MY KING MY ###EVERYYTHING CROWN YOU VICTORY IS YOURS NO CLO$ED DOOR$ FOR MY KING KONG AIN'T GOT $HIT ON U BOO ️,en
17,student of Naldo Benny Brasil ,en
18,I want him with nobody else do love Alway and forever,en
19,watch out for my people,en
20,dig for glowing jewellery in the water,en
21,look up water dragons you see a real tooth Les a real flying dragon,en
22,Look at me now I'm getting paper everything ground shaker motivator stimulator most being hated by the weak I'm so sweet and unique super freak ready to please I'll be submissive to my king inde ed I love to smoke weed hehehe,en
23,No superhuman really,en
24,Well. Can't. ,en
25,you might need a sub or a high pressure suit,en
26,look up Dillon bolt d b,en
27,asicar,pt
28,hey everyone,en
29,West34:th:stBroadway,en
30,Look at me now I'm getting paper everything ground shaker motivator stimulator most being hated by the weak I'm so sweet and unique super freak ready to please I'll be submissive to my king inde ed I love to smoke weed hehehe,en
31,Look at me now I'm getting paper everything ground shaker motivator stimulator most being hated by the weak I'm so sweet and unique super freak ready to please I'll be submissive to my king inde ed I love to smoke weed hehehe,en
32,Look at me now I'm getting paper everything ground shaker motivator stimulator most being hated by the weak I'm so sweet and unique super freak ready to please I'll be submissive to my king inde ed I love to smoke weed hehehe,en
