,comentario,liguagem
0,Rainhas,pt
1,Please don't disband,en
2,Uma das minha músicas favoritas,pt
3,Tan solo 14MILLONES VAMOS BLINK'S,en
4,"""BLACKPINK IN YOUR AREA"" SEMPRE SERÁ LENDÁRIO",en
5,"How many international fan support BLACKPINK?

1 like = 1 international fan
 |",en
6,amo essa,pt
7,"Lisa is the best in my heart 
 like if you love blackpink ",en
8,"One of my favorite kpop songs of all time! No dull parts, it's amazing from start to finish. I managed to choose most favorite moments, though:
1. Pre-chorus, especially the faster/louder part, I'm obsessed with it
2. Dance break",en
9,"""BLACKPINK IS THE REVOLUTION"" SEMPRE SERA LENDARIO,",en
10,"Why are there almost 1 million dislikes on this m/v?
Are people too blinded by hatred to realise that this song is a master piece? Stupid people...",en
11,"""BLACKPINK IN YOUR AREA"" sempre será legendário  !!",pt
12,Breaking: Blackpink's Coachella performance will be shown live on New York City Times Square's largest screen.,en
13,HINO DE FIM DE RELACIONAMENTO! ,en
14,ESTE TEMA ES OTRO ,pt
15,"DO THESE WHEN YOU STREAM BLINKS:
1. DON'T SKIP SHORT ADS. IF THE AD IS SO LONG JUST WAIT 30 SECONDS AND SKIP IT.
2. DONT REPORT SPAM/EMOJIS. VIEWS WOULDN'T FREEZE ON SPAM IT WILL FREEZE IF YOU REPORT IT.
3. DON'T FAST FORWARD. TAKE YOUR TIME WATCHING THE M/V.",en
16,"AMO TODO. MUSICA, IMAGENES, COREOGRAFIA, FOROGRAFIA, POST. BLACKPINK NO SOLO SALVO EL VERANO, NOS DIERON LA CANCION DEL ANO...",pt
17,2B LOGO LOGO VEM,pt
18,"dear blinks,

str3am as much as you can!!!!
str3am as much as you can!!!!",en
19,"Even after 4 yrs this masterpiece can't be ignored.
Undoubtedly one of the best songs in world not only in kpop.",en
20,"Do you love our stunning Jisoo?

Like = yes",en
21,ESSA MÚSICA É UM HINOOO!!!,pt
22,BLACKPINK SEMPRE SERÁ LENDÁRIO!!,en
23,BLAKPINK THEY ARE THE BEST I LOVE THEM I WISH I GO TO ONE OF THEIR CONCERTS,en
24,"HI BLINKS, IMPORANT NEWS!! We are going to have a MASS STREAMING of ""KillThisLove""
tomorrow April 11 at 4 PM KST. We NEED 200M before 7 days!!",en
25,LAS AMO ME ENCANTA ESTA CANCIÓN ES UNA DE MIS FAVORITAS,pt
26,How many people love Lisa? ,en
27,"Each member shines in their own way in the video. Jennie with her sexy and gorgeous Lara Croft looks and captivating dance. Lisa, the Boss Pink, with her swag looks like a cool cereal (serial) killer, Jisoo with the dazzling sun/moon-like goddess, and Rose's angel look that is very dreamy and aesthetic.",en
28,Sempre arrasando!!,pt
29,"vamos atingir os 2B views aqui também blinks, nós podemos fazer isso pelas nossas meninas, elas merecem, let's go",pt
30,I love your playlist ,en
31,"Let’s me count how many blinks like blackpink !️
1 LIKE = 1 BLINK ",en
32,"Eita que daqui a pouco, BLACKPINK vai fazer história com dois MV com 2.000.000.000",pt
33,rainhas ,pt
34,"Vote Teenchoice for BP 
Really want BP get award",en
35,"SI SE PUEDE BLINKS, KTL CRECE MUY RÁPIDO, LET'S GO TO 1.8B",en
36,This song will always be iconic,en
37,"Reason why the views froze because there are many people streaming and watching the MV right now. It has nothing to do with the hashtags and emojis.

YOUTUBE BROKE because we are so many BLINKS! Lets GO and stream harderrr for 55m+ !!!",en
38,The line ' we all commit to love that makes us cry'' is one of the best lines ,en
39,"I dont care the youtube lol
Just keep str3aming!!!!
Dont give upppp!!!blink!!!!
Nothing is impossible ᕙ(⇀‸↼‶)ᕗ",en
40,This song will always be remembered in history,en
41,"Blackpink never disappoints, all their songs are masterpieces.",en
42,"Jennie broke the heart in half
Lisa destroyed love labeled cereals
Jiso shooting her love self with a fire arrow 
Rose running over her love self with her car",en
43,"I'm here after watching their coachella performance and i have to say, PINK VENOM is the best song for every intro performance! i remember bopping my head and getting goosebumps watching all 4 of them rock the stage",en
44,"Love Blackpink sm
Their songs are the best
Still cant believe this song is now 4 years old!",en
45,quem ta dando stream nessa obra todo dia?? ️,pt
46,Rainhas da Coreia:)))))amo,pt
47,"Comeback? Slayed
BLACKPINK? Goddesses
Kill This Love? Badass
Wig? Snatched",en
48,IT'S A MASTERPIECE ,en
49,"Another amazing blackpink comeback, they never disappoint!",en
50,"The song and the clip, wow, are very cool!!!! ",en
51,"If all the subscriber watch this once, we already get 500 M XD",en
52,"300 million is coming!! 
I make kpop English covers and I've Just made an English cover of this amazing song!!!BLINKS please show some love !!",en
53,Omg they slaying it,en
54,Vamos 1.800 millones de visitas Blink Black Pink In You Área,en
55,Now I know why I am addicted to this masterpiece. It's the love for making this masterpiece a blockbuster hit worldwide.,en
56,perfeitas,pt
57,"Blackpink is the best
Blink is the best  please
Blink push  1.1b views
100m ️",en
58,Verdade blackpink tem que ser a lendário,pt
59,Sempre terá nosso apoio,pt
60,EITA COMO SÃO DIVAS ESSE BP,pt
61,adorei a musica,pt
62,"I'VE BEEN STR3AM1NG AND TYPING THE WHOLE DAY, CAN I GET A LIKE FOR AN APPRECIATION :(((",en
63,BLACK PINK en tu área ,pt
64,EL ''BACKPINK IN YOUR AREA'' SIEMPRE SERA EPICOOO LAS RE AMOOOO BLINK FOREVER,en
65,wow me encanto,en
66,As maiores desde sempre,pt
67,Jisoo you are very talented.,en
68,Who are before 450 million vi3ws???,en
69,Love it,en
70,Blackpink never disappoint us,en
71,"I love this song sooo much,i literally keep on repeating it ",en
72,"YOUTUBE IS REALLY HATING ON BLACKPINK  
IT PISSED ME OFF
CAN YOU PLEASE STOP FR33ZING THE VW!!!!!!!!!!!!!!",en
73,Queens arrasam demais ,pt
74,"100M Unlocked 

150M Unlocked ",en
75,It’s been four years and it’s still a bop,en
76,Vocês são demais e muito lindas,pt
77,"AFTER A LONG TIME, EVERYONE STILL LOVES THIS! LOVE KTL SM ",en
78,"No.1 in thailand too.
  /\_/\
( ● ^ ● )
 /   >",en
79,Minhas rainhas ,pt
80,4 years ago today I stanned backpink <3,en
81,Falta pouco para 1.8B,pt
82,"BLINKS where you at

Let's unlock 500 million views",en
83,Rainhas,pt
84,"""BLACKPINK IN YOUR AREA"" SEMPRE SERÁ LENDÁRIO",en
85,Rainhas do kpop,pt
86,"AMO TODO. MUSICA, IMAGENES, COREOGRAFIA, FOROGRAFIA, POST. BLACKPINK NO SOLO SALVO EL VERANO, NOS DIERON LA CANCION DEL ANO...,",pt
87,Rainhas do kpop,pt
88,This song will always be in the top one ,en
89,"I’m editting this comment every day to see how many views Kill This Love is getting every day
Thursday 26 of September 597.027.826
Friday 27 of September 598.274.540",en
90,vamos bater logo 1 bilhão e 800 milhões de views em KTL,pt
91,"I love this group....their songs are quite catchy and makes you cling . . Like cling to these strippers . ..  "" look at me, look at you... You smell????"" I didn't quite catchy the lyrics until I got caption....but yes, I think this group will make big superstardom in the long run if they stay together doing what they do.",en
92,"This song is iconic, it’s already on its way to be the third K-pop song to reach 1.8B and hopefully 2B soon",en
93,I'll never forget this song.. the first k-pop song i heard.. <3,en
94,ATTENTION BLINKS!!!!!! THERE WILL BE A STR34M1NG PARTY LATER ON 6PM KST!!! SPREAD THE WORD,en
95,Such a nice song . Jisso' s voice shine in this song Love from India,en
96,"This song will always be iconic, it is currently on its path towards 2B",en
97,"How many Blinks are still str3am1ng?????
 |
 |
\/",en
