,comentario,liguagem
0,"Idk if today's generation knows how massive this song was back then. When I say massive, i wasn't just talking about the sales and topping the charts. I'm talking about THE PHENOMENON!!! The experience of having to live a life with this song playing almost everywhere, every day! It's crazy!!!",en
1,"This song will never stop echoing throughout our hearts, agreed?",en
2,Lindos ,pt
3,I remember listening to this as a little girl and it almost brings tears to my eyes. So much nostalgia and happiness. Love them so much ️,en
4,Amo!,pt
5,"who else can’t watch this without thinking, ‘chills,literal chills’",en
6,A message to the future generations. Don't let this song die.,en
7,This song will always be a hit,en
8,Época boa. Gosto muito dessa música,pt
9,this song is a masterpiece! Don't let it die.,en
10,Brings back a lot of memories.. there won’t be songs like this any more..,en
11,"the most iconic part:

TELL ME WHY",en
12,"Eu tinha 14 anos, bons tempos minha adolescência. Assistia o clip na MTV e sempre ouvia o cd e quando passava na rádio cidade.",pt
13,Orgulho de dizer que essa é da minha época!!,pt
14,"Even after 30 years, they are and will always be the greatest boy band on Earth.",en
15,"""aint nothing but a heartache""
""Now number 5""
Every single time",en
16,Se passaram 13 anos e ainda continua bom ,pt
17,"13 years and still a bop, never to be forgotten 
Backstreet boys ️",en
18,This song is really a masterpiece and amazing. Can’t let it die!!!!!,en
19,"You are my fire
The one desire
Believe when I say
I want it that way",en
20,Trust me...even if we die as a generation....we will be singing and dancing to this song in our Spiritual realm...' that's how we did it on Earth!!'....Master piece....,en
21,The dislikes are from people who wanted it the other way,en
22,"To all future generations... please don't let this song die.

Because... I never wanna hear you say... you don't want to... because I want it that way. ",en
23,Amo de paixão ️️️️️️️️,pt
24,Essa música marcou uma boa parte da minha vida no rádio.,pt
25,"Gotta love the boy band vibe, never gets old, damn it so good.",en
26,"Me: “Tell me why...”
Everyone: ”AIN’T NOTHING BUT A HEART ACHE—“",en
27,24 years of this song and it will NEVER get old!,en
28,Tell me why this song nothin but a magic ,en
29,These guys are amazing. Amazing voices. Great song.,en
30,Omg! This gave me chills and made me smile. I miss the 90's! ,en
31,This iconic song of the most successful boyband of all time deserves the billion views. Let's go for 1 billion views ,en
32,Meus ídolos até hj ,pt
33,I was 2 years old when this song was realsed... Im 26 now ... I'll definitely love this song forever and ill play this songs infront of my future kids nd see them falling in love with backstreet boys ,en
34,"Man, this song is literally older than I am, but it's still peak music! That's honestly amazing, great work Backstreet Boys!",en
35,This song is attached to a memory when we were new.,en
36,Meus idolos da adolescência  tempo bom...,pt
37,"Voltei no tempo agora. Me lembro de quando eu tinha 12 anos, e amava esse grupo. O tempo voa. ",pt
38,This songs gives me goosebumps. Chills.,en
39,Tell me why.....i still love this song  never get old this song is masterpiece,en
40,"I randomly started singing this, that's how i ended up here.",en
41,Sempre volto pra escutar! Vêm um fleche na memória ,pt
42,"Every time I listen to this song, there are 2 things come to my mind:

1. This song will never die 

2. Spin",en
43,100% better then the music of today. timeless!,en
44,this song might not always be a hit but it would ALWAYS be a hit in our hearts <3,en
45,"Me: I'm afraid of the Backstreet Boys
Therapist: Tell me why",en
46,Maior banda da história,pt
