,comentario,liguagem
0,Honestly Happier than ever and when the party’s over are your BEST songs and they both deserve Grammys,en
1,"After almost 2 years, this is still one of my favorite songs. Not just fav Billie song, fav song. I can't explain the feelings behind this song and the feelings I get from it. I love this more than ever.",en
2,"I'm 58 years old, and I get this song 100%.  That feeling when your older boyfriend manipulates you but you don't see it for ages.  You do everything you can to please them, and yes - you shut out your family and friends.   The lyrics described me at 22 after 5 long years.  Brilliant, brilliant song by Billie & Finneas",en
3,Her tone and pitch when she's singing about being happier without the someone this song is directed at exposes how exhausted she is. Then her power comes in when she sings of all the betrayal and pain and that she simply wishes to be left alone in peace.,en
4,"this shit hit me LIKE A ROCK
after 2 minutes the entire song changes and it slaps
im so proud of you billie",en
5,"thank you billie and finneas for this amazing album, when i'm older and i have kids i want to show them all these beautiful things you do and will do in the future. Billie I will love you forever",en
6,"Pretty sure this has been everyone’s theme song for a minute. You hit so many levels of feelings that people don’t talk about it. Manipulation is a mother fckr and no matter how strong you are, when in love you are vulnerable. Realizing it and doing something about it tho is some serious strength
Thank you for this song. Means so much ",en
7,"this is the most powerful song i've ever heard, i would give anything to go somewhere quiet and empty to just scream this at the top of my lungs",en
8,Just when you thought your the only person going through it. Someone comes along and turn your pain into a beautiful masterpiece!️,en
9,Goosebumps.....best song she has ever written. No cap,en
10,"This song is so good! I love how you can slowly hear the tension build up in the instrumental, and then it just released in one go! One of of my favorites from her tbh.",en
11,"This song hits me where it hurts, like it's so accurate. Toxic people can end up flooding your life, so either learn to dance in the rain and get rid of them or let them make you drown.",en
12,"Ela é tão perfeita , e essa música nunca vai parar de ser minha preferida,  TE AMO BILLI",pt
13,Your voice and your soul won’t need to choose where u gonna go it’s just gonna go to heaven♡︎,en
14,I swear every time I listen to this song I cry cause I had a toxic friend and this song was so relatable love this song love you billie hope you make more amazing songs like these,en
15,"This song is SOOOOOO GOOOD, the power behind her voice is unrealistic.",en
16,"Amazing!!!!!!!!!🫢
Bille's voice is angelic! Heart touching performance ",en
17,"The last part of this song hits more than anything. this is kinda two part of a persons life , one is calmer and other is just wanna ruin and rock everything. BILLIE is a GEM <3",en
18,Such an underrated song and artist one of the best artists in todays era for sure,en
19,Essa música é minha preferida não canso de ouvir ela ,pt
20,"Every time I listen to this song I want to scream it, I don’t understand how Billie always manages to capture my exact feelings in a song",en
21,"Lyrics:
When I'm away from you
I'm happier than ever
Wish I could explain it better",en
22,Uma das músicas com mais sentimento desses últimos anos. Arrepiei .. !,pt
23,this song deserves a grammy. it’s a masterpiece,en
24,Muito bom,pt
25,"a música que toca lá no fundo da alma  é Billie, você é um verdadeiro sentimento ",pt
26,"A letra dessa música é surreal, só quem passa sabe ",pt
27,"Billie you and your brother know how to make real music, real art, you created a new style of song that is the evolutions of all kinds of rhymes together, and you turned them into something splendid,  I can feel every note, every composition,  very well thought,  this song is a masterpiece. thank you.",en
28,"Genius. It is like opera. And such a unique voice combined with your sensitive and also wise personality. One can see how you grow, learning from your life experiences and form them to art. Just amazing.",en
29,"She is so unbelievably, freakishly talented. It comes across as pure and raw, genuine and intense. It amazes me that people like her exist, but I'm glad they do",en
30,"não tem palavras que descrevam o quanto essa musica e perfeita, que esse album e perfeito. simplismente divino.",pt
31,"I remind myself to be grateful for having Billie sing my mind out.......as tho as if she knows my heart and sing it out
Every voice is golden ️️️",en
32,"This song is so beautiful and relatable. I know exactly what this feels like to love and do every single thing you can to please them no matter what, to be manipulated and used..not even knowing it, even shutting out your family and friends.  But after everything..after cutting that one heavy string..you finally feel free and won't take any more of it. And even though it hurts, you become stronger than you were before.",en
