,comentario,liguagem
0,"this is a masterpiece, not only because it sounds 80s, but because it sounds 80s while still being nowadays pop. if this was 100% 80s, it would feel outdated.",en
1,Makes absolutely no sense how this song wasn’t nominated for a Grammy. I’ve heard this song ever since the Beginning of the year and I’m still listening to it. Abel you got robbed.,en
2,"You can be a fan or not, but THIS IS STILL THE BIGGEST SONG AND RECORD OF 2020 AND AFTER HOURS IS AMONG THE BEST ALBUMS OF THE YEAR. 
PERIOD
WE LOVE YOU ABEL",en
3,The Grammys were blinded by the lights of this masterpiece.,en
4,"Honestly this song is like the 80s, 90s, 2020s and 3020s all combined",en
5,"Uma das melhores músicas desse ano,perfeita para ouvir em qualquer momento ",pt
6,"80s style songs seem to be wanting to make a comeback, and even for someone who was born in 2000, I am all for it.",en
7,Adoro essa música ️,pt
8,Bom saber que ainda há músicas que trazem uma descarga de adrenalina em mim ,pt
9,"I love how you make every, and I mean EVERY one of your songs different! This one is literally in my top 3! From the clever lyrics, groovy/cool/evil/insert adjective music, and an entertaining video! All of your videos feature those 3 things, but what isn't fun about a villian dancing around his lair and boasting about himself while rapping/singing to Jazz? Techno? Pop? Whatever you call this I love it!",en
10,this is a MASTERPEICE just hear this 2:33 that variation is simply soo good it touches heart man.,en
11,"Out of all the artists that tried to revive 80s style songs in this decade , this is the best song anyone can pay tribute and I bet the great artists from that era heard it and wish it was their song",en
12,"Lyrics

Yeah

I been tryna call

I been on my own for long enough",en
13,"This song SCREAMS 1980s, but the modern elements sure make it unique, it's refreshing to see modern artists take inspiration from music from the past, it's really nostalgic",en
14,"Same vibes, same emotions as when we first heard it. This song made our hearts vibrate when it came out and it still does today. Good job Abel!",en
15,Beautiful song!!!!! Very talented singer. Love it!!!!! ,en
16,Does anyone else get an 80's vibe from this?! Can we please have more music like this??,en
17,AMOOOO ESSA MUSICA!,pt
18,Amo essa música,pt
19,Não entendo as letras dessa música. Mas não min canso de ouvir. Porque é inexplicavelmente linda,pt
20,eu amo muito essa música    ️,pt
21,This song got me dancing around my room with my eyes closed,en
22,Amooo ESA música ,pt
23,Adoro essa música,pt
24,O The Weeknd é tão perfeito de uma forma inexplicável..,pt
25,muito boa essa musica,pt
26,Música muito boa mesmo,pt
27,He just doesn’t make bad music. He’s incapable . Amazing can’t wait for the rest of the album,en
28,One of my all time favorite songs! ️,en
29,Estou aqui .curtindo essa música maravilhosa,pt
30,One of the best songs made in many years. I could listen to this many times.,en
31,This song is one of the only songs that they constantly can play on the radio and nobody will get tired of it. They already do but when it’s on I do not complain lol,en
32,"P.Q.P. Como essa Música tem cara  (TOTAL) de Anos 80.
Simplesmente Perfeita!!!!!!",pt
33,"Música moderna com cara de antiga, perfeita!",pt
34,how did this NOT get nominated for the grammys????,en
35,This song's got a lot of groove to it. Great music to dance to,en
36,People are literaly bringing back the 80s and im living for it,en
37,One of the few modern pop music I like. It has this 80s retro feel that I really enjoy.,en
38,"one of the few modern songs to actually sound brilliant, i will say i am impressed with this masterpiece",en
39,Such a perfectly crafted timeless pop tune! I'm an old guy and I still like to crank this up :),en
40,Its Not A Song.... ITS A BIG MASTERPIECE ,en
41,I feel like it's the 80's all over gain. Seriously great vibes.,en
42,This reminds me of the 80s but its contemporary at the same time........LOVE it,en
43,This song won’t get old it’s just soo catchy!,en
