,comentario,liguagem
0,For me this is still one of the most beautiful power ballads in music history... a timeless masterpiece!!! ,en
1,É MAIO 2023 E PARECE QUE ENTREI NA MÁQUINA DO TEMPO E  VOLTEI EM UM MOMENTO INESQUECÍVEL QUE VIVI,pt
2,Great Song thanks ,en
3,Uma traição não tem perdão simples assim,pt
4,"My dad passed away yesterday and now I'm making a playlist with all the songs he loved and I remember him by. This is one of them. Thank you dad for showing me the greatest artists of all times. Loved, missed and never forgotten ️",en
5,Bon Jovi never gets old...especially songs like this.  They just move your entire soul,en
6,"March 2023 and still this song touches somewhere so deep. The nostalgia, the memories, the capacity to love so stupidly but purely",en
7,"Muitos brasileiros ainda tem bom gosto, realmente amam Bon Jovi... ️

2022 aqui!",pt
8,It still touch me like old days......,en
9,"It's April 2023, let's see how many legends are still listening to this masterpiece to bring back so many memories....",en
10,"This Romeo is bleeding

But you can't see his blood

It's nothing but some feelings

That this old dog kicked up",en
11,Essa música fez parte de minha adolescência e ainda ouço com a mesma emoção hoje em 2019 ️,pt
12,"This song can change your mood instantly, even when you feel at your worst.",en
13,I recorded this song on a cassette off the radio in 94 when it came out. Almost 30 years later and it is still my favorite song of all time. Story of my life.,en
14,"Faz 20 anos que ouço essa obra de arte e sempre que ouço é como se eu tivesse ouvido pela primeira vez e me apaixonando . Minha música preferida, nunca envelhece e nunca fica ruim . Espero um dia ir pro show deles ",pt
15,always a bon jovi fan since i was a kid i am 26 years old now and this song is always in my playlist,en
16,Nostálgica,pt
17,This song is still amazing 29 years later !!! <3 nostalgia,en
18,Always loved this song growing up. It hits different now as an adult. Especially in the last few days,en
19,Música maravilhosa! O tempo passa e nunca canso de ouvi-la. Saudade da minha juventude. ,pt
20,Esta música  tanto quanto  Bon Jovi são para sempre!!,pt
21,Years may fly away but this song will be always in my heart,en
22,Música de verdade e de qualidade e outro nível.,pt
23,This song pops into my head every time I can't find something in my house.,en
24,One of the greatest songs in recorded music history. ,en
25,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",en
26,"Amo essa música demais!
Ela marcou uma época especial na minha vida!",pt
27,Absolutely one of the best songs ever created by man ,en
28,We will always love Bon Jovi ,en
29,Still one of the best songs ever,en
30,my father always playing this song when he's doing some stuff and it's still good to listen,en
31,Em 2020 para esquecer o coronavirus ouça essa música bon jovi,pt
32,Música boa de cantar a pleno pulmões! ️,pt
33,U2 The Greatest Rock Band of all Time 🇧🇷,en
34,"12 May 2023, still loving the song. Brings out great memories and emotion.",en
35,This song used to bring me tears at a very young age. Sounds emotional,en
36,25 years and still listening this song...what a wonderful song for a lifetime...,en
37,"This is like a melody, i used these for years 

If you are feeling sad, remember that the sun is always alone and it still shines",en
38,"We used to have this player called VHS, and we had a tape of Bon Jovi songs and my Dad used to play this songs when I was young. Now I'm reminiscing how lucky I am to be born in the 90's.. Rest in peace Dad, love you.",en
39,"Love this song to bits, reminds me of my childhood",en
40,"Demais , demais , demais , demais mesmo . Linda música e extraordinária interpretação .",pt
41,Greatest hit. No contest timeless classic rock,en
42,"A message to the future generation, please dont let this song die.. a true masterpiece.",en
43,I am so glad I grew up as a kid listening to these great songs. I find it so hard to relate to a lot of today's music.,en
44,"Por que o ser humano parou de fazer belas canções?! Não entendo o porquê caímos tanto de qualidade. 60,70 e 80 são os melhores anos da humanidade em se tratando de música.",pt
45,"One of my all times!! Classic, love it ",en
46,an iconic song of Bon Jovi ,en
47,"Mano essa música é Maravilhosa , esse cara é Maravilhoso .. 
Tem BR aqui ?",pt
48,A melhor de todas!,pt
49,"Love this song. First heard it in '94 right before I started high school. Still listen to it and Bed of Roses, even after several heartbreaks in my life...",en
50,"Essa canção foi o melhor rock dos anos.
.90",pt
51,isso sim e musica de verdade,pt
52,"Escuto essas músicas antigas e me identifico bem mais que as atuais,como se eu tivesse vivido minha juventude nesse tempo..
Sinto uma nostalgia enorme",pt
53,"I'm not a massive fan of Bon Jovi but Sambora is really underrated as a guitarist. Clearly he's not like the monster shredders of the 80s but his riffs, solos and compositions were and are tasteful blues.",en
54,"This beautiful song inspired me to create a song or poetry for a beautiful oxapampina. I never thought that I would create so many songs and poems for her. Sometimes I wrote them in notebooks that were already written by old loves and they got mixed up. When I gave him my notebook I had forgotten about it. Her sister trying not to lose her, according to what she told me, she analyzed my songs/poems for her and put them together as a whole. To simply tell her that these songs/poems were dedicated to another girl. Being influenced by her sister, she asked not to see me again. Well I tried to explain to her but she was so stubborn that she didn't understand. I realized from that moment that what I created was the best for my soul and my heart. Always never say good bye were the BON JOVI songs that inspired me a lot. Thank you very much forever.",en
55,Thank you and thank to all singers back in those days because every time we need to hear a song full of feelings ALWAYS be there a song to make us feel better... Thanks ️,en
56,Um clássico desses nunca vai morrer!,pt
57,Still one of the best songs ever written!,en
58,1 of the best love songs for sure!!!,en
59,Ainda bem que a gente tem o YouTube pra relembrar as músicas do passado isso é ótimo ,pt
60,30years later and this song rips open the wound that cut me so deep.,en
61,"Acho que nasci na época errada, que voz... ",pt
62,Listening to this legend.. wow.. remembering the old days .. especially the 1990s.. where songs were so meaningful.. please bring back those days again..  if only i could turn back time..,en
63,Love this song so much!,en
64,Isso que é música  ,pt
65,One of the best songs ever. Bon Jovi  and his band are great kings.,en
66,Perfeita!!!!! Alguém em 2019  ouvindo? ️,pt
67,"conheci através dos meus pais e falar pra voces, que voz é essa que esse cara tem perfeito no rock mano <3",pt
68,Bebendo um vinho e ouvindo essa música que eu amo . Rsrs,pt
69,One of the greatest love songs of all time!!! ,en
70,This is arguably one of the best songs ever!,en
71,Isso é  que  e música de  ouvir na quarentena.linda,pt
72,Bon Jovi really just has that sound in his voice that makes it seem like he's struggling yet it really sound so damn good,en
73,She is LEGEND always still end off my life...,en
74,parabéns pros brasileiros que escutam essa obra de artes,pt
75,"Tenho 15 anos e amo essa música, apesar dela ser bem mais velha que eu, eu amo rock antigo",pt
76,Nenhuma palavra é capaz de descrever a nostalgia e a sensação de ouvir essa música. Isso é um hino ,pt
77,"Em pleno 2023, eu sigo escutando essa música diariamente  my favorite song ",pt
78,"It doesn't matter which year it is, we'll come back years after years, always",en
79, Hopefully this one will hit a billion views for them here too,en
80,Melhor música dos anos,pt
81,"This was period when voices were inspiring, words got meaning, and music got soul",en
82,Amo muito essa música,pt
83,Amooo essa música me trás sensações mágicas  13 de maio de 2023 as 13:18h,pt
84,That's Bon Jovi brilliance right there   ,en
85,I truly love this song so much one of the most beautiful songs by Bon Jovi!,en
86,"This Song is so special for me. My Mom heard it in the Radio back in 95 after she found out, she was pregnant with me. 
She died in 2013 when i was 18 years old and I played the song at her memorial service. 
Sadly, can't hear the song without crying since. 
Today is her Birthday! (11th Of March) ️",en
87,"Essa música lembra muito como foi boa minha infância, familiares que já se foram,como é difícil crescer...",pt
88,"""Always"" lyrics



Bon Jovi Lyrics",en
89,Endless classic,en
90,"A song for me and my son's mother. She was/is a bad lady in a lot of ways but she gave me the greatest gift, my one and only son. I will always treasure my memories of him as a little boy. It brings tears to my eyes, full of joy and pride in him. He turned out to be a better man than I'll ever be. He turned my failures into bright accomplishments for himself. He'll never know how proud I am of him because we're estranged and I've lost everyone I ever cared about. He did good. It's all I could ever ask for. One day, he'll know I am proud of him, one day.",en
91,"I'M STILL LISTENING 
LOVE YOU BON JOVI....
ALWAYS WILL.",en
92,This was me and my boyfriend's song back in 1998...This is my favorite song from Bon Jovi.,en
93,"I am Brazilian.  My wedding ring says ""Always"" because my wife and I love this song so much.",en
94,I loved these song since I heard it for the first time in 1994 .. a  masterpiece made by bon jovi,en
95,Tenho 17 anos e amo essa música ️️🇧🇷🇧🇷,pt
96,"Those that are experiencing a break up, always go back to the classic tunes to wallow in, I’m there right now after 13 years..,",en
97,"I love music so much, it's because of this man,Jon Bon Jovi forever true",en
98,Always love this musica ,en
99,"2020 Com coronavírus ou sem, estaremos aqui escutando a era do Bon Jovi.  Salve meus amigos!",pt
100,Takes me back to the days when my world was a lot different..,en
101,Amo esse canção maravilhosa nunca vou me cansar de ouvir essa obra de arte sou fã bonjovi minha infância.,pt
102,"Always was and Always will be, a MASTERPIECE  
Always and in, all ways... ",en
103,"Não sei se estarei aqui, mas 2050 ainda estarei curtindo Bon Jovi, like já pra daqui 30anos",pt
104,Took me a minute to figure it out but this lady is worth every minute to know how words change the way I feel for her!  You rock my world,en
105,I'm in love with this wonderful band every day even my kids don't have oysters and only bonjovi 🇺🇸🇺🇸🇧🇷🇧🇷🇧🇷,en
106,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
107,"It's such a nice music, this song makes sense for me, it's more than just a song, its a feeling.",en
108,This is the perfect song for anyone ,en
109,adoro,pt
110,"Minha preferida do Bin Jovi ..
desde criança sempre amei essa música 
️️️🇧🇷🇧🇷🇧🇷️️️️",pt
111,Música e o clip é lindo demais,pt
112,Musicas boas sempre sera as antigas .,pt
113,Que música meus senhores!!!,pt
114,1994 first year of my college and there r so many memories ...this song was released i think in the same year...what a song then ..what a song now......,en
115,Love all the songs from the teenage years I've always been a fighter never give up all of you out there ,en
116,The best song to sing while you are in the rain and you feel that the raindrops crush your body,en
117,a TRUE masterpiece. this song reminds me of the first love of my childhood.,en
118,Tenho 17anos e  sou viciada nessa música não é questão de idade e sim de bom gosto...,pt
119,Eu tabem Brazil 22 anos  me revivendo escutando essa relíquia ,pt
120,"Brasileiros, cadê você 's 
que assim como eu adoro o som desses caras??",pt
121,"07/04/23, No ônibus indo pra BH, ouvindo essa relíquia.",pt
122,This always in my playlist,en
123,One of my favourite songs of all time!!,en
124,"I love this song!
Rumo à 1 bilhão de views, saudações do Brasil! 🇧🇷",pt
125,I love this song.  Its probably my favorite song. I drunk sing it to my wife all the time.  We been married for 17 years. Shes been by my side through so much. Shes the reason im still alive.  I will love her always!,en
126,Pra Viajar em Pensanentos ,pt
127,2020 e ainda pra mim nunca teve outra melhor (Internacional),pt
128,Essa música  marcou a minha infância que saudades 🇧🇷,pt
129,"So many songs will come and go, but this one will never die ️️",en
130,"Adoro sofrer ao som de bon jovi, a dor é diferente ",pt
131,"The evergreen, the nostalgic, the beautiful, the melody, im still stuck in this era..",en
132,Amo essa música ,pt
133,"Ouvindo na quarentena...
Eu amooo ",pt
134,Great song !,en
135,"April 3,2023,im still listening my favorite song of BON JOVI,love it",en
136,Um hino atemporal ,pt
137,Amo essa  música  não  canso  de ouvir,pt
138,Its 20th may 2023 .. N the song left me goosebumps till the date ,en
139,One of the best songs in history of music,en
140,The most iconic song of all time...,en
141,ameiii essa musica ela e muito boa,pt
142,I love this song. She is wonderful and I have so many memories with her ,en
143,Música boa ñ tem tempo ruim!! Em plena pandemia 2021!!,pt
144,Amo,en
145,Faço tudo por você ,pt
146,"14 when this came out. Got engaged that night, to the synics, I am still married to the same man",en
147,11/05/23 e essa música não envelhece. Magnífica música! ,pt
148,Iiiiiii will love you forever bon jovi,en
149, love this song beautiful memories  ️,en
150,amo amo essa música gostosa de se ouvir,pt
151,Isso sim é música sem prazo de validade!!!!,pt
152,"Março de 2023 , e tendo o privilégio de escutar essa melódia ",pt
153,"This Romeo is bleeding

But you can't see his blood

It's nothing but some feelings

That this old dog kicked up",en
154,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
155,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
156,É uma linda canção,pt
157,This song is my wedding song! Beautiful lyrics ,en
158,"Love the aesthetic of this song, it's similar to November Rain and the lyrics especially the first line and the beautiful casts ️ (12/4/23 9:56pm)",en
159,Amo,en
160,Em pleno 2019 escutando essa música perfeita ...,pt
161,Nothing beats  the olds songs and legend singers,en
162,"É muito difícil para mim escutar essa música.
Eu tive um grande amor na minha vida. Eu cantei essa música pra ela quando a gente se conheceu. Eu cantei essa música pra ela quase todos os dias enquanto fomos namorados, eu entrei com essa música no meu casamento, eu cantei essa música pra ela quase todos os dias que fomos casados. E ela me deixou...F guys =(",pt
163,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
164,Massively underrated song !!!,en
165,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
166,"Música linda, ouvindo em 27/08/21, não canso de ouvir músicas boas como essa",pt
167,"Abril de 2023, ainda apaixonada ",pt
168,Mister John Bon Jovi! Respect From Russia! We love you!,en
169,"Tenho 20 anos e ouço essa música desde criança, amo inclusive ",pt
170,I used to date a guy who looked like Bon Jovi.  We were dancers.  I couldn't take the way the ladies looked at him and he couldn't take the way the men looked at me.  We broke off as friends but this song and video never fails to make me think of him.  Good times,en
171,escuto essa música todos os dias... que musica!!!,pt
172, great song and singer beautiful amazing,en
173,"Que nostalgia, ouvindo essa música em 2022 e me lembrando dos anos 90, e da juventude",pt
174,This song is just amazing,en
175,damn this song lives on my head rent free,en
176,E normal ouvir essa música é se arrepiar todo ️️️,pt
177,"GOSTOSO É SENTIR DE VERDADE O VERDADEIRO SENTIMENTO. ...
É O QUE SINTO NESTA LINDA MÚSICA",pt
178,Tinha 1 aninho quando BJ lançou esse sucesso  Amo essa banda #2023,pt
179,Perdi as contas de quantas vezes escutei essa obra prima.,pt
180,Real music lovers must love John Bon Jovi ,en
181,"Musica muito linda, minha preferida",pt
182,The song is still underrated!,en
183,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
184,As musicas de hoje duram o máximo um de ano de sucesso. As antigas duram décadas..,pt
185,Bom jovi pra mim passa o tempo que passar vai sempre ser o mesmo adoro ele,pt
186,"Apenas uma adolescente apaixonada no Bon Jovi, e nessa obra prima de música.  Maio de 2023!",pt
187,"Eu tento gostar das músicas de hoje em dia, mas sempre volto para as músicas dos anos 80, 90, inicio dos anos 2000.. só queria poder voltar no tempo, onde éramos felizes e não sabíamos!",pt
188,"This Romeo is bleeding, but you can't see his blood It's nothing but some feelings That this old dog kicked up It's been raining since you left me Now I'm drowning in the flood You see I've always been a fighter But without you I give up Now I can't sing a love song Like the way it's meant to be Well,I guess I'm not that good anymore But baby, that's just me Yeah I, will love you, baby Always and I'll be there Forever and a day, always I'll be there, till the stars don't shine 'Til the heavens burst and the words don't rhyme I know when I die you'll be on my mind And I'll love you, always Now your picture's that you left behind Are just memories of a different life Some that made us laugh Some that made us cry One that made you have to say goodbye What I'd give to run my fingers through your hair Touch your lips, to hold you near, When you say your prayers, try to understand I've made mistakes, I'm just a man When he holds you close, when he pulls you near When he says the words You've been needing to hear, I'll wish I was him 'Cause these words are mine, to say to you 'Til the end of time Yeah I, will love you, baby Always and I'll be there Forever and a day, always If you told me to cry for you, I could If you told me to die for you, I would Take a look at my face There's no price I won't pay To say these words to you Well, there ain't no luck in these loaded dice But baby, if you give me just one more try We can pack up our old dreams, and our old lives, We'll find a place, where the sun still shines Yeah I, will love you, baby Always and I'll be there Forever and a day, always I'll be there, till the stars don't shine 'Til the heavens burst and the words don't rhyme I know when I die you'll be on my mind And I'll love you, always Always",en
189,Boa música nunca fica ultrapassada. Na  playlist do meu coração Always.️,pt
190,This song is My Life ,en
191,Always Bon Jovi! ,en
192,pensando na vida muito show essa musica.,pt
193,Essa é 10,pt
194,Love Bon Jovis Music,en
195,"I really had a crush on JB Jovi during my youth ️. Including Posters on my room door.
A long time ago.... ️️️I guess I am not the only one ?! 
Really love that Song ",en
196,Estou na madrugada trabalhando mas será q estou sonhando está música me faz viajar nas nuvens da saudade! A c o tempo voltasse! Mas deixou ÓTIMAS recordações. ,pt
197,essa musica era guando eu era feliz e não sabia...,pt
198,Top demais sempre escuto 2023,pt
199,"On mine, i still love this song in 20th April 2023",en
200,Uma paixão por essa música ,pt
201,Isso sim e musica de verdade,pt
202,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
203,"Não importa quanto tempo se passe, o Bon sempre vai ser Jovi.",pt
204,linda música,pt
205,"Seeing This, hearing this again the last time was at our Wedding i fell in Love with my highschool sweetheart, 
At our Wedding we danced to this ill miss you everyday my darling Wife ill find you again i promise you .",en
206,Music is like a time machine it brings u back to so many beautiful memories,en
207,2023 and its still my favourite,en
208,"Canta muitíssimo,,,é show,,,além d lindo",pt
209,Love this song ,en
210,"Thank you very much Bon Jovi, thank you",en
211,"Amo ser jovem, com esse gosto de ""velho""",pt
212,Isso que é música ,pt
213,"Lyrics
This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings",en
214,Here I'm there and it's 2023 and still this song is on my mind,en
215,Tenho 18 anos e esse cara entre outros marcou minha infância com suas lindas músicas,pt
216,"Q música, meus amigos!",pt
217,Essa música é muito linda eu gosto muito dela,pt
218,Still the best song in 2023..,en
219,"Sure am. I'm 31! My young mother had me growing up on this and here I am, Friday night Jam.",en
220,"My dad passed away yesterday and now I'm making a playlist with all the songs he loved and I remember him by. This is one of them. Thank you dad for showing me the greatest artists of all times. Loved, missed and never forgotten ",en
221,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
222,"If you told me to cry for you, I could
If you told me to die for you, I would!! <3",en
223,Bon Jovi inventou a sofrência com essa música kkkkk,pt
224,still a legend to me in 2023!,en
225,"Toda vez que eu escuto essas músicas antigas bate uma bad por não ter nascido nesse tempo, é só comigo que acontece isso? Kkk",pt
226,2023 escutando umas das melhores bandas,pt
227,i love this song,en
228,I love this soundtrack,en
229,"Love love love, isso sim é música . Always forever, ️.",en
230,We all know how this feels,en
231,"Contribuindo sem parar para o bilhão, essa música mexe cmg de uma forma surreal ",pt
232,Me identifico muito com essa música ela é de longe a melhor letra,pt
233,Boa musica no meu coração   sinto muito feliz ,pt
234,Amo essa música  saudades eu tinha um namorado qui a gente  ouvíamos muito,pt
235,The first time I listened to this song when I was 7 yrs old. Now I’m 36 ,en
236,"This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings
That this old dog kicked up",en
237,"Muitos brasileiros ainda tem bom gosto, realmente amam Bon Jovi... ",pt
238,A lot of people owe their existence to this song ,en
239,I still love it thank Bon Jovi for music beautifull like this️️ love from Poland️️️️️,en
240,Amo mas Cd m amor,pt
241,Adoro sessão nostalgia das antigas!,pt
242,Bon Jovi é vida,pt
243,Não mi canso de ouvir esta música faz parte da minha vida,pt
244,Simply brilliant song,en
245,Ho tempo dourado que nunca mais volta!!!,pt
246,"Lyrics:
This Romeo is bleeding
But you can't see his blood
It's nothing but some feelings",en
247,"Lyrics:

This Romeo is bleeding
But you can't see his blood",en
248,Love this song !!!!,en
249,"May 2023
Still listening to this song
Legend never dies",en
250,Março 3 de 2023  11h . 34mnt  estou ouvindo a melhor música de todos os tempos romântica internacional .,pt
251,Estamos  2023 e eu amo bon jovi,pt
252,Essa música ️ é muito marcante marcou muito momento na minha vida ️️️,pt
253,Te amarei eternamente. Felicidades. Saúde e paz. Meu lindooo. Bjs,pt
254,"If you're here then maybe like me, something is bothering you and drowning your mind so you're here looking for peace. I hope you find it.

This sound is so calming. Whoever read this comment I wish you peace of mind, health and relaxation.",en
255,"28 Mar 2023, still loving this song. Bravo!",en
256,Eita coração....,pt
257,"Lyrics:

This Romeo is bleeding
But you can't see his blood",en
258,Yes I am here and yes truly loving this Special Song ,en
259,Essa foi a primeira música que ouvir de rock eu tinha 13 anos meu pai amava ouvir junto a mim. Ele morreu e essa lembrança que tenho é ouvindo esse maravilhoso hino. Amo quem tá ouvindo da like. #nãoDeixeEssaLendaMorrer.️,pt
260,He is absolutely the reason I was like a little Italian Gina and the only man I ever listen to other than the freestyle was Bon Jovi he is the best of the best,en
261,Está música é perfeita !,pt
