,comentario,liguagem
0,Try to find all the little Easter eggs and details :D,en
1,"“I’m better off all by myself, but I’m feeling kinda empty without somebody else.” Hit hard.",en
2,"""Loneliness doesn't hurt when your alone but when you're surrounded""",en
3,"This song is the story of my life, I hate to admit it and say it like this, but I have no friends that I 200% percent trust like normal people have, every group of friends I’ve ever had has extradited me, or just stopped talking to me and suddenly started turning on me unprovoked, I have no one, no song I’ve ever listened to has ever actually made me tear up, this song is a first",en
4,"Love this song because there was a momment of my life this lyrics represented me and I kinda relates at same time I'm happy that I got rid of some ""friends"" and toxic relationships, guys listen, you don't need anyone to be happy or get previous relations as ""knowledge"", every single person is different and yes most of ppl are dick so that's why it seems everyone lies and betrays you, but no, there is someone out there that can be your true friend or partner, you may never get to know eachother but there it is! Today after so many years of having no friends or true lovers, today I have 4 true friends that we have atleast 12 years of true friendship, they aren't following me everywhere I go to, but I know if they need me or I need them we can count on eachother, besides that I got a boyfriend for 4 years now that we have a deep relation just like my friends, but before that I had a toxic boyfriend and ""friends"" that were only interested in my money or for me to doing favors to them, they were no friends tbh and they mocked me and treated me like shit in some ocasions, I felt like I had nobody, but today I have because I didn't let these sentiments to afect how I saw the world or myself and others around me when there was someone. So my tip is: be happy being yourself and be your best friend even if you don't have anybody, maybe they show up someday, maybe not... But if someone show up you'll need to be yourself and not what others made you feel, if nobody shows atleast you've done your very best to be yourself and happy. Screw what other people think and always work on being the best version of yourself. ",en
5,Damn this is a song that describes my life. I hate to admit it but it really does. Keep up the good work BoyWithUke.,en
6,This hits really hard if you don't know how to have fun with others.,en
7,"""I'm better off all by myself though I'm feeling kinda empty without somebody else""
This hits so hard I cant describe",en
8,I will never get tired of this song ,en
9,"Toxic
BoyWithUke
歌詞
All my friends are toxic, all ambitionless",en
10,My daughter loves listening to it when she is doing homework ,en
11,"As a Russian person living in the United States, I face a lot of nationalism, even from my friends. I literally did nothing but they just started being rude all of a sudden. I can honestly deeply relate to this song. Thank you for this masterpiece.",en
12,"A message to the future generations: ""DON'T LET THIS SONG DIE""",en
13,"As an Introvert, That Hit Deep & The Lyrics Perfectly Match Upon My Entire Life Personality. 
I always think this type of songs were indeed meant for people like me and I don't know every person could relate upon.
Like If you Agree",en
14,I've spent the past 3 years with some toxic friends and I don't know how to get out of this friendship and this song described my life right now,en
15,"This is a really good song, Personly, I think it deserves an oscar.",en
16,When a friend leaves you it hurts but it  doesn’t hurt as much as someone from your family leaves you alone. ,en
17,Muito bom,pt
18,Musica q sempre vou amar pq resume minha vida pq so tenho amigos toxic,pt
19,"People live such short lives so it sucks that some people waste time not knowing who their real friends are. I have a few good friends but sometimes I question if they actually like me. But this is a message to y'all, and it is that there are a bunch of other people who go through the same tough crap as you do, so we need to all be there for each other. The people who we go through tough times with can be our friends, because they can relate to us and they can help us be better, and we can do the same for them.",en
20,"All my friends are toxic, all ambitionless
So rude and always negative
I need new friends, but it's not that quick and easy
Oh, I'm drowning, let me breathe",en
21,This is a masterpiece!,en
22,Even one year later I’m still addicted to this song,en
23,"This song is just... wow. it feels like it was made for people who are introverts/ has social anxiety (also me). If you listen to this song on loop, its just perfect. it has a really good loop. this is a masterpiece.",en
24,This is my favorite song! 10/10 keep it up! ,en
25,This song hits me a lot and makes me feel myself. ,en
26,I can’t stop listening to this song it’s amazing ,en
27,This song  is every second in my head it's  so good!,en
