,comentario,liguagem
0,"Ficou lindo ️, mais uma vez obrigado pelo convite",pt
1,Por favor toda vez que alguém estive ouvindo essa música curta esse comentário pra eu voltar a ouvir essa perfeita canção 🫶️,pt
2,Essa música tinha que tocar aqui no Brasil! É muito boa! Sou viciado! Parabéns! Saudações do Brasil!🇧🇷🇵🇹,pt
3,Diretamente do Brasil 🇧🇷🇧🇷 me amarrei nesse som,pt
4,"Sempre falava que não gostava de música Portuguesa até escutar a junção desses dois, surreaaaal de boa essa música, fico em looping infinito o dia tod escutando",pt
5,Mais um Angolano a dar-nos orgulho .🇦🇴🇦🇴🇦🇴,pt
6,"O Ivandro evoluiu bastante, tornou-se um Maestro dessa Arte.",pt
7,"bárbara, sou brasileiro e sou apaixonado em você e na sua música. ansioso para um
show seu em meu país 🇧🇷",pt
8,As vozes deles dois >>>>️,pt
9,Ambos têm vozes belíssimas,pt
10,"Tem amores não são pra essa vida , mas tem amor que ficam  e levamos pra onde fomos ",pt
11,"É um orgulho ver um Angolano 🇦🇴  brilhando na disporá. 

Parabéns grande IVANDRO. Grande Bárbara.  Linda música.",pt
12,"Eu que por norma nunca comento no YouTube, tenho de dizer que está incrível. O Ivandro canta muito mas a Bárbara surpreendeu me imenso, boa conexão entre os dois",pt
13,"Brasileira ,amo demais o Ivandro 🇧🇷",pt
14,ESSA MUSICA PASSA O CONTINENTE EUROPEU E CHEGA NO CONTINENTE AFRICANO️️️️️️️️️,pt
15,"Estou viciada nessa música, tão gostosa de ouvir ",pt
16,"Sou brasileiro e essa é a música mais linda q já escutei em português, sem ser do Brasil.🇧🇷️",pt
17,"Props a todos, mas isto é mesmo para ver o quanto os artistas são unidos para com todos, Bárbara bandeira, Ivandro, Jesus da Costa na letra (Gson), , a IZZA e ao aparecerem no vídeo clipe o Bispo, e o Julinho, imaginem juntarem-se mais vezes e criarem mais sons  um aplauso aos verdadeiros artistas que sabem que a música dá para todos, não precisam de ser gananciosos ",pt
18,Que voz tão linda. Bárbara.,pt
19,É tão bom ouvir essa música Quem me dera que não  tivesse fim,pt
20,"Esta musica está incrivel, a junçao das duas vozes, que coisa linda, impecável ️",pt
21,Amei  não paro de ouvir ,pt
22,"colaborações assim dão gosto  orgulho em ser português, né. on repeat all day",pt
23,"Não faz sentido não ter este som no repeat , Ivandro é um clássico, ele é nosso 🇦🇴 ",pt
24,Dupla indomável deviam gravar mais vezes!  Ameii!!,pt
25,Ameiiii a combinação de vozes estou super apaixonada por esta música,pt
26,Maravilhosa a música és uma cantora brilhante não á palavras para te descreverem,pt
27,Amei Ivandro e Bárbara  bandeira e  formaram uma equipa  maravilhosa,pt
28,"Letra:



Já não faz sentido

Não vejo um futuro contigo",pt
29,"Acabo de descubrir a Barbara, e tenho a dizer que estes dois juntos sao fayha! ",pt
30,A Bárbara é uma artista maravilhosa!,pt
31,A Canção mais linda do Ano,pt
32,viciado nessa música! Os dois são incríveis ,pt
33,Amoo as musicas da Bárbara ️️️ sou fã demais,pt
34,Dois talentos! Linda música! ,pt
35,Gostei Parabens para voceis,pt
36,"É um orgulho ver um Angolano 🇦🇴  brilhando na diáspora. 
Parabéns grande IVANDRO. Grande Bárbara.  Linda música.",pt
37,""" Reações nas tuas calças
Baby dá pra ver que o teu corpo não tá de acordo
Tu disseste que eu dava trabalho a mais
Olha quantos voluntários querem trabalhar agora "".",pt
38,"Obra de Arte 
Sem palavras",pt
39,Está só incrível  cada tenho menos palavras para isto ,pt
40,"Obrigada  os dois,amo essa  música! Não  consigo parar  de escutar",pt
41,Isto está tão bom ,pt
42,"Será q sou o único brasileiro de 14 anos a ouvindo esta maravilha, AMO TE PORTUGAL.🇵🇹🇧🇷",pt
43,"Ele: quero voltar cntg
Ela: pertenço as ruas 
Sem stress... vão encontrar alguém como vcs!",pt
44,"Eu nem sou muito fã de música portuguesa mas, esta é a minha história... Muitos parabéns!!!",pt
45,Meus ídolos se encontraram. Amo muito os dois🇲🇿🇲🇿🇲🇿🇲🇿🇲🇿🇲🇿,pt
46,vozes magicas de arrepiar...amei parabens excelente colaboracao,pt
47,"Muito Bom! A música portuguesa precisava desta junção de vozes, apenas ninguém sabia! ️",pt
48,Parabéns aos dois tem uma voz incrível ficou brutal,pt
49,Simplesmente linda essa música ,pt
50,Posso afirmar que a combinação ficou perfeita  adorei ,pt
51,Eu adoro a música ,pt
52,Já perdi a conta de quantas vezes ouvi  Ficou incrível!  Parabéns a todos!,pt
53,Cada like nesse comentário eu volto para ouvir novamente essa obra de arte.,pt
54,Estou viciada na música!!,pt
55,PERFEITAAAA ,pt
56,Adoro esta música! Beijinhos da Áustria ,pt
57,Absolutamente lindíssimo! Parabéns aos dois. Que obra prima ️,pt
58,Essa música é incrível,pt
59,4ª semana no #1 das tendências uau parabéns ️,pt
60,"Está incrível, como sempre muitos parabéns aos dois",pt
61,Música linda ,pt
62,Olha eu penso que pessoas  como vocês  são  inspiradas  pelo amor Lindo demais apaixonada por vocês Sucesso  e obrigada,pt
63,não me canso de ouvir ,pt
64,"Combinação perfeita, sucessos infinito ",pt
