,comentario,liguagem
0,It's the contrast between the sultry and seductive tone of the genre and the complete and utter bitterness and vitriol in the lyrics that just make this song so funny,en
1,The way Anderson laid out for the chorus is eternally hilarious,en
2,I feel privileged to have Bruno Mars in my generation,en
3,The manner in which Silk Sonic has recaptured the sound of 70s R&B is amazing.  Love it!!!!,en
4,i come back everytime i'm in a bad mood and this song makes me smile again ,en
5,World needs more music like this... Thank you all for the great songs️️,en
6,Why does this feel like Bruno Mars' music never gets bad? Always gold.,en
7,They're voices blend so well together!!!,en
8,"Absolute masterpiece, I love how silk sonic basically revived old school RnB",en
9,i was going through some pretty serious shit when this came out. this entire album really helped me. thank you for making such amazing music.,en
10,"Wow! Everything about this video is so freaking cool!
The lyrics, wardrobe, the groovy dance moves, the backup vocals.....luv luv luv this! I didn't know who Anderson Paak was other than the beer commercial he did so I searched for him on the Google machine and it led me here. Definitely a fan now.
Love this song!",en
11,"I love this song, but please tell me I'm not the only one who finds this video hilarious",en
12,"The character development of Bruno Mars is unmatched,
From ""I'd catch a grenade for ya "" to ""This Bitch""",en
13,This song is masterful. Beautiful blend of vintage style and feel with modern lyrics.,en
14,It's amazing to me that they are so versatile. This music sounds like it was recorded in the seventies. They are really talented. Please keep the same music coming!,en
15,1:34 me everytime I have to pay the bills,en
16,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
17,Another Video for me to repeat all month!,en
18,I love this song.  The lyrics and the dance moves and the harmonies are spot on.  And on top of everything else it is funny as hell.  Would love to see them in concert.,en
19,Quando vejo os vídeos do Bruno Mars eu já penso que vem coisa boa. Que perfeição ele cantando com o Anderson Paak. Amo demais essa voz mainhosa do Anderson. Que perfeição!,pt
20,"ESSE CARA É FODA, UM DOS MELHORES ARTISTAS DA ATUALIDADE !",pt
21,"This is the R&B, Soul, Funk, Pop, and Disco music people enjoyed back in the day.  I'm happy because Bruno Mars, Anderson Paak and Silk Sonic are bringing back those older sounds to make this crazy year of 2022, and these crazy times we're living in more pleasant.  I hope Silk Sonic can stand the test of time 50 years from now, just like The Isley Brothers and The Temptations are doing now.",en
22,It’s 2023 I’m Still Smokin OutThe Window These Guys Did An Awesome Performance On This Album They Need To Do Another Album Together,en
23,I love how Bruno Mars just went retro AF back in 2017 and he's hasn't switched back yet but has made nothing but hit after hit with a sound that is almost 50 years old. That is talent!,en
24,Thanks for bringing quality music back to the scene. Love this joint.,en
25,"this is the most dramatic, emotional yet drastically meaningful music video I hv ever seen !! huge applause ",en
26,When I hear this music makes me feel more positive vibes. Relaxing music for all seasons and ages,en
27,This song deserves an award.. ,en
28,Eu já era apaixonada pelo Bruno e agora sou mais apaixonada ainda por essa parceria foda  Silk Sonic apostou todas as fichas e ganhou de lavada meus ouvidos  Som maravilhoso pra se ouvir em uma boa companhia e um bom vinho num fim de noite ! Nota 1000 ,pt
29,"Words cannot describe adequately how addictive this song is.
If I’m forced to say his music sounds like the past, present and future all together.",en
30,"Still listening to this and enjoy it every time. Neither one out did the other, they both killed this.",en
31,"Everytime I listen to this, it makes me think of what'll be in my future.",en
32,"Honestly I love how Bruno is trying to bring this style of music back, and he's bringing it back in spades.",en
33,"A vibe dessa música é ótima demais, repito ela umas 10 vezes kkkk",pt
34,Bruno and Anderson's collaborations together is the best thing to happen to music in a very long time,en
35,This song makes my day. Bruno´s voice and the melody...wonderful..,en
36,"Bruno is always so SMOOTH with it! He grooves with every piece of instrument. He's like...a smoother version of Elvis. Which if I remember correctly he loved Elvis. And Anderson well, he's in a category of his own. Awesome harmony of talent right here, including all the producers and composers; whoever else is involved in Silk Sonic.",en
37,I hope they do more songs like this,en
38,Im a hard-core hip hop head but i cant lie this goes so dam hard...stays on repeat,en
39,They went from “leave the door open” to “imma change the damn locks”,en
40,Can we all just appreciate how good the simple choreography in the video is.  Like the foot taps on the Hercules line @ 1:18,en
41,"The lights, the blings, the scenario, whoever is behind the editing too, blessings! This is beautiful!",en
42,"their voices pair so well together I almost can't tell the difference, this is honestly a masterpiece",en
43,These guys sure look like they have fun writing and putting this music together.  They sure bring it song after song!  Awesome compilation for sure!,en
44,Esse é de um nível muuuuuito acima da realidade musical atual SLK,pt
45,This is the type of music we want back!!,en
46,I refuse to believe it has been a year since this dropped   I remember listening to it on repeat for the entire month non stop,en
47,I can definitely relate to this song.,en
48,"""Not to be dramatic, but I wanna die""

Most legendary lyrics of all time",en
49,The two of these men sing so perfectly together !! Love them !!,en
50,"Choreography on point,awesome.",en
51,This is one of those songs that you can roller skate to...and just glide across the floor.,en
52,I can never get enough of this melody,en
53,You have to really admire their ability to keep real music alive. This type of talent comes around once in a generation. Bruno Mars is an all-time great. He is like the Denzel of music; he never makes a bad song.,en
54,I love the way Bruno sang “This bitch” and how Anderson fell to the ground and then got back up for his part ,en
55,Não canso de ouvir esses dois maravilhosos!,pt
56,"the entirety of this video/song really is a work of art.   from the matching of the musical style to the set design,  to the cinematography of the dude popping into frame to say ""this bitch....""    to him laying on the carpet.    excellence all the way through",en
57,Old school feel. Love it! Miss this kind of music with great chemistry and harmony and instruments!,en
58,melhor musica do universo!!!!!!!!!!!!!!!!!!!!!!!!!!,pt
59,"Anderson: ""Not to be dramatic...""

Also Anderson: lemme play dead now 

LMAO love it.",en
60,Silk Sonic needs to come back because I was dancing to all of their songs throughout 2021. THE NOSTALGIA!! ,en
61,"This is a legendary performance, they both got me vibing",en
62,Still rocks me till today.,en
63,this whole song is literally how im feeling right now.,en
64,"I feel like nobody's recognizing how smooth the dancing is in this music video

Its so subtle but they all are grooving exactly in sync its satisfying as hell",en
65,Meu Deus como nao canso de ouvrir essa musicalidade esplendida!impecavel!vcs sao maravilhosos!,pt
66,"Música maravilhosa ,dois grandes músicos amo demais",pt
67,This music video is a masterpiece. Now I want a brown velvet tux.,en
68,"In case you didn’t know, a Bruno / Paak colab is exactly what the world needs right now.",en
69,A letra dessa música é profunda e mostra bastante sobre a pílula vermelha,pt
70,The vocals are legendary and the moves are tight!!! ️️️️,en
71,"“This B-itch…..” 

That line just hits the soul so perfectly each time I hear it",en
72,Esse clipe e essa música são sensacionais. Anderson Paak caído morto é hilário!,pt
73,"Bruno mars literally went from 
2010: “I’d catch a grenade for you” to 
2021: wanting to throw a grenade at you",en
74,"Como vcs sao bom demais, amo vcs q venham mais sucessos ",pt
75,"This collab inspires me so much! Groovy, soulful and funny. Bruno Mars is the real deal, one of the most versatile contemporary artists who stands out with all that unbridled joy, lighthearted humor and his high-spirited personality. He delivers some of the most memorable performances filled with that nostalgic swag, soul and funk. One of my favourite performances of all time happens to be Valerie at the Amy Winehouse tribute concert, but I also love his more serious, heart-wrenching performances like It Will Rain ️",en
