,comentario,liguagem
0,Bruno Mars is the type of guy who disappears after like 2 years but every time he comes back he produces a hit,en
1,"If you ever get to see this man in concert, he never disappoints. He is one of those rare people who pours a love of life and passion into everyone around him. You cant help but be swept up and along with him. And Zendaya...we have watched her blossom from childhood into an intelligent, beautiful, confident young woman who is not only finding, but asserting her place in this world. What a delightful combination.",en
2,It’s been 5 years and this is the first time that I watched the MV. I never knew Zendaya is in it lol,en
3,"If you watch her interview, she absolutely didn't know Bruno was going to invite her to do an MV together. And her soft, besotted emotions expressed here are so leagues apart from her regular personality, it's unbelievably impressive, especially as she needed to do it without a partner to reflect off of. I'm not surprised Tom Holland spent years trying to win her over. Hat's off to talent!",en
4,I fell in love with Bruno Mars' voice every time I listened to it. ,en
5,"I know we all like to say that modern day music sucks compared to music from decades ago, but let’s not forget to appreciate modern day artists like Bruno who can always make a hit!",en
6,"Lyrics



[Verse 1]

Let's take our time tonight, girl",en
7,This song never fails to  make me feel good everytime,en
8,"they really made a video sexy & intimate without even touching each other & with no nudity or vulgarity, i love it",en
9,"Todas as suas músicas são extraordinárias... Bruno Mars é o melhor de todos. Você é sucesso e espero que seja sempre assim, grande abraço e tudo de bom na sua carreira e na vida.",pt
10,A message to future generations: don’t let this song die. Masterpiece!,en
11,"Sempre foi minha fav, graças a Deus",pt
12,"Excellent video excellent song from a fantastic artist. This song is passionate, sexy, and romantic, without the vulgarity that is so common nowadays. Bruno Mars has great swag, and Zendaya looks stunning.",en
13,"Love, Love, Luvvs this song & video & him! He's Awesome 

Bruno goes so hard on this, never disappointed. he is not like other rappers who are going viral by using AUTHENTIC views to get the views up. Thumbs up who agree",en
14,"Zendaya is a versatile actress. She can do whatever they want her to do. Spider Man, The Greatest Showman and here. Slow Clap for her. ",en
15,2022 essa música ainda continua sendo a minha preferida sempre️,pt
16,I been saying it for years Bruno mars is so under rated …. Give this man more Grammys,en
17,Giving 90's vibe ️,en
18,"Conheci essa música ontem, agora tô viciada, que clipe perfeito ️",pt
19,Sempre será minha favorita!,pt
20,Zendaya is killing that dress,en
21,"Linda música e voz , será Bruno Mars a salvação da música atual ? esse vídeo é extraordinário.  ",pt
22,Bruno Mars é um artista completo. Uma sonoridade espetacular ,pt
23,One of the best romântic songs i have ever heard.,en
