,comentario,liguagem
0,"Watch this Best of Calvin Harris https://goo.gl/w9MT72
Watch this CalvinHarris - Remixes https://goo.gl/WeWhqj
Watch this  CalvinHarris - Audio Videos https://goo.gl/Gzh1dL",en
1,"Calvin Harris is the reason my nostalgia is strong. As I'm doing an old songs marathon, all these songs that were made in the 10s decade really defined my childhood. The times when corona was just a drink.",en
2,"Falar com o youtube é como viajar no tempo, é sonhar acordado, é uma lição de vida.... um poço de resiliència e um sorriso genuino que nos ""abraça"" sem nos conhecer.",pt
3,"Essa música , não pode ser superada :)",pt
4,"Época boa quando essa música passava no MTV, nostalgia demais! Como faz pra voltar no tempo? ",pt
5,"8 anos, e essa continua sendo uma das melhores músicas que já ouvir 🇧🇷",pt
6,Crazy how music is the closest thing we have to time travel,en
7,This song still amazing since 8 years. ,en
8,Clássico é assim quanto mais o tempo passa  mais gostamos da música ,pt
9,Caramba essa música nunca perde a sua essência ,pt
10,7 years later and this song still hits as hard as it did 7 years ago,en
11,Passe o que passe mais essas as músicas de Calvin Harris vai ser sempre lembradas como as melhores (O BRASIL OUVE SUAS MUSICAS CALVIN HERRIS),pt
12,"8 years later still hits as hard as it did when it was released 

Still remember hearing it for the first time helped me through alot it saved me
I had a faze where I didn't want to live anymore ",en
13,"Good time when this song was on MTV, so nostalgic! How do you go back in time? love it",en
14,"I came back, and god, the NOSTALGIA",en
15,"Melhor fase que a musica teve, não se fazem mais hits como esse. SDDS",pt
16,every time i hear the songs of the 2010s it's like going back in time like 8 years before.,en
17,"Calvin Harris' songs are the reason for a large part of my nostalgia, I was in 5th grade, listening to my surroundings his art was beautiful, long live to Calvin Harris and Ellie Goulding, we all love you, thanks for gave us the best childhood that i could ever had <33333",en
18,Devemos concordar que Ellie Goulding e Calvin Harris juntos são perfeitos ️ toda vez que escuto essa música meu corpo se arrepia  Ellie Goulding canta muitooo ️️️ esperando HIGHER THAN HEAVEN ️,pt
19,umas das melhores musicas de todos os tempos!!! ,pt
20,I don’t think Ellie Goulding gets enough attention this woman has literally had all hits.️,en
21,"Lyrics 
Look at what you’ve done
Stand still, fallin’ away from me
When it takes so long",en
22,Eles dois juntos é o verdadeiro significado de tanto faz! ,pt
23,"Famosa nostalgia, todas vez sou obrigado a comentar isso porque essa músicas nos fazem viajar pro passado️",pt
24,QUE MUSICA BOA MEU DEUS LEMBRA MINHA INFANCIA TODINHA,en
25,Música de qualidade,pt
26,This song never gets old. No matter how much i listen. and I never get bored,en
27,Eu amo essa música ️️️️,pt
28,Oh saudades dessa época ,pt
29,"This song is like wine, the older it gets the better it becomes!! Beautiful song",en
30,"Top demais, amei!!!",pt
31,Essa música ️,pt
32,This song right here took me back 9 years ago when I was a sophomore in University.  The 2010's decade had some timeless hits. It's a pity they don't produce hits like these anymore ,en
33,eu amo tanto essa música,pt
34,Senpre venho aqui pra ouvir essa música que foi de uma época muito inesquecível ,pt
35,"We all have to admit, when this song came out life was good",en
36,Bom demais slk ,pt
