,comentario,liguagem
0,Calvin never misses. Amazing combo with Dua! Song of the summer is here ,en
1,Tudo perfeito!!!!,pt
2,"Dua Lipa is one of the best things which happens in the music in the last ten years till now. She’s beauty, groovy, candy and his music sounds light untill last minutes of night. She’s more than some hours of good music by night, your music looks like fresh air in the summer breeze. She’s not an artist of the present moment only, she’s one of the rare occurencies of one artist was born to do good things in the music. Besides, She has one side which many don’t know, his work with philantropy. Add to this the fact of she always fight for the human rights. She’s Beautiful outside and inside. She deserves all the success and a long life of realizations in music industry, but more than this in his life.",en
3,honestly…..this has got to be one of the most visually striking music videos i’ve seen in a while. no themes. no messages. just vibes,en
4,Essa música merece mais reconhecimento!🇧🇷,pt
5,"As a producer I have to say this track is not only amazing to listen, awesome flow, beautiful on-topic video (no need to say Dua is wonderful) it is also mixed perfectly for the genre. A masterpiece on every aspect. RESPECT.",en
6,Hoping for more genres in Dua Lipa’s third album!!! Girl’s done so well with Sweetest Pie and now Potion!,en
7,Dua Lipa sempre entregando tudo 🇧🇷,pt
8,"This is a commercially perfect music video. Highly stylized, taking advantage of 80s nostalgia. Sexy enough to keep your interest, tasteful enough to be played anywhere. All kinds of scenes, movements and colors, but nothing too overwhelming, and all blended in well together. Every frame unique.",en
9,"This song is so amazing, the rhythm is great..Dua Lipa's gorgeous face, her voice, her dancing, everything is just so perfect",en
10,"Dua Lipa e Calvin Harris podiam lançar um álbum juntos, perfeitos ",pt
11,I love whenever Dua collabs with Calvin it has a retro vibe/feel to it.,en
12,The beat fits this song so well too. The whole vibe is just summer and I’m definitely here for it. Great song ️,en
13,Definitely gonna be one of the summers greatest new hits with the great vibes and talent it can't miss.,en
14,You go girl! I’m sure that you are making a lot of Albanians proud. I’m Bosnian and i am still rooting for your success!!! Beautiful voice!,en
15,"É extraordinário o talento da Dua Lipa, em toda música sua voz se encaixa perfeitamente <3",pt
16,"Well synchronized  song, music & dancing...! Already heard it over 200 times & I'm not stopping!",en
17,"I freaking love this song, especially the Bongos. Such a nice little touch. More songs should have percussion in them.",en
18,Amoo essa música!,pt
19,"Amazing song, lyrics and what a team they are together! This goes down as a top one for me!",en
20,Afff eu amo essa música ️🇧🇷,pt
21,"this song really has the  ""feels"" vibe n i love it. i would love to see a whole album out of this concept from calvin harris",en
22,"this song has a gorgeous vibe, love it ",en
23,"-Amazing song, lyrics and what a team they are together! This goes down as a top one for me!",en
24,Arrasou  ontem  no  rock  in rio muito  linda tudoooo,pt
25,"It's the best summer hit, it puts me in a tropical and relaxing mood ",en
26,Dua Lipa can do no wrong!  Everything Calvin Harris touches is a jam!,en
27,"Calvin Harris e Dua Lipa não tem erro, hit na certa, SALVE BRASIL !",pt
28,I love the video too so glad ppl still make great music and music videos to go with️,en
29,"How yould I miss this excellent piece of music and this fantastic video?
Saw Dua in concert last year, but did not internalize that this little peace of easy summer feeling is from her and Calvin.....",en
30,"Ahhh, como eu amo essa música ",pt
31,This is absolutely perfect. Blissful memories of the great summer of ‘22 ,en
32,"Música incrível! Estilo anos 80, lembra um pouco as músicas do grupo ""Kool and The Gang"". Show de Bola!!!",pt
33,Como essa música não é hit?,pt
34,"There's no limit to Calvin Harris and dua lipa, they know how to put out a good vibe",en
35,Just another summer hit by Calvin Harris ,en
36,"For metal and punk rock fan, I think dua lipa is a great pop artist. Everything she does is so catchy, modern, And very funky (and nostalgic). 

She and billie eilish are doing something more interesting to the pop genre now; and I love it.",en
37,Essa música é perfeita não entendo porque não teve o seu mérito?,pt
38,Amazing song! Specially the rythm ,en
39,calvin harris é demais,pt
40,I love when I see great artists from multiple genres working together on a track and bringing a fun new sound to the table. This is what music is about! Innovating and working with those opposite of you. As a new artist with a very small following nothing encourages me more than seeing how beautiful music becomes through collaboration. Great track!,en
41,"Literally never heard a bad word about Dua Lipa & never heard a bad song from her. She must be amazing in person, she fights for the rights of others & animals. What a women!",en
42,Dua is straight out of heaven !! She’s so sweet and simple ,en
43,"Супер хит

ありがとうございます

Calvin's music production+Dua and Thugs vocals is pure talent ",en
44,"Mister Harris, this is another fabulous track with a groovy vibe that goes all night long and then the following day. Also, you and Dua have aced yet again. One listen is all it takes. Shout out to Young Thug",en
45,DUA LIPA'S VOICE SOUNDS SO ANGELIC !!!! For her voice I will definitely have this on repeat for my whole summer ️,en
46,this song is so good !! it deserves more attention for sure. ♡,en
47,"calvin harris never disappoints. he literally makes summer into music. seriously, HIS MUSIC IS SUMMER",en
48,"Some songs are just supposed to end up legendary, this is one of them.",en
49,She’s so awesome.  She has a natural singing voice.  No fake auto tune.,en
50,"Som relaxante, sensual, envolvente. Clipe bem tropical, amei esse feat 🇧🇷",pt
51,Dua Lipa's one of my favourite singers..Love her voice!,en
52,thats the type of song that will play on the radio everyday and it’s honestly so good,en
53,This is by far one of my favorite songs ,en
54,Love this album ,en
55,AMOO ESSA MUSICA ,pt
56,This song has strong 80s vibes and i'm living for it ,en
57,This song feels like a nostalgic throw back I love it ,en
58,"My favorite song right now and for the summer!! Love Love Love. My favorite DJ, Calvin Harris back at it again. Woot ",en
59,Viciada nessa música ,pt
60,"I love this song
Its powerful its sensual its beautiful it's everything!!!
Dua Calvin and young thug never disappoint",en
61,Dua maravilhosa!,pt
62,Dua Lipa always adapts old style songs very well to the present,en
63,I literally love this vibe!!! ,en
64,What a fabulous collaboration! Calvin does it again!,en
65,This song is such a vibe ️,en
66,Calvin Harris e Dua Lipa é uma combinação sempre  muito Boa 🇧🇷,pt
67,"She is breaking the club with her songs, she is destroying everything (in a good way) ",en
68,I listened to the song with its video clip 9 months ago and liked it. How quickly 9 months passed. It's such a smooth and listenable song. It is as if the author of the lyrics came to his mind while making love to his woman and wrote it. ,en
69,her voice is addictive,en
70,Dua lipa always adapts old style songs very well to the present,en
71,"Love how subtle the song is and got that summer vibe to it, also it has been a while since I've rocked Calvin Harris music still.",en
72,Tô fissurado nessa música ️,pt
73,You all make catchy tunes. It’s an art when it sticks in your head. Nice one!,en
74,I loved this song ️,en
75,Sou viciada nesta música,pt
76,Amazing! Young thug and Dua Lipa did a great job on this song! Love it!,en
77,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
78,"This song instantly puts me in a good mood, and the song “Clover Cage - Frozen In Time” took away my depression and changed my life. I am now working on loving myself and becoming the best version of me! Love you guys ",en
79,You can never go wrong with Thugger and some funky summer vibes ️,en
80,"Dua Lipa me encantou nesse clipe, que mulher perfeita ️",pt
81,The chill vibes to the track are perfect for the intro to Dua's verse where we get nice and funky. Dope track!,en
82,The vibe we missed from 5 yrs is back  absolutely banger will be no. 1 on all charts for sure calvin another masterclasses dua killed it n young thug dope ,en
83,Couldn’t stop listening to Slide a few years ago and this has such a similar vibe on many levels. The same notes…the funk. Calvin Haris hit the formula and I’m here for it. Those notes are hard to hit,en
84,"Dua and thugger never ever fails, this definitely a summer banger",en
85,"This song is melodic and funky, can't wait for the whole funk wave volume 2 album.
Calvin harris is a production genius.",en
86,Love the vibe too. I LOVE EVERYTHING CALVIN DOES but very very surprised this didn't chart better in the uk Ireland France Netherlands Australia and in America u never hardly ever heard it on radio at all. Smfh  this is something new and interesting to listen to I feel it,en
87,DUA took all the spotlight that you cant deny ,en
88,"Calvin is a great glue when it comes to making cross genre songs with respective artists, hope he brings out a new album. Much love",en
89,Just another summer hit by Calvin Harris  Straight up BANGER! He aint like all them ARTIST who just be usin dat AUTHENTIC viewS to get they hits up to go HAM...,en
90,"I cannot wait, this is going to be the next big summer hit and I am living for it! ️",en
91,the bassline incredible! good vibes from 🇧🇷,en
92,"I’m obsessed with everything about this The song, visuals, dancing, DUA looking phenomenal as always such a queen We need more Calvin x Dua collabs they never disappoint",en
93,musica top demais.,pt
94,Dua Lipa always adapts songs in her own style very well,en
95,This song is AWESOME CRAZY WILD! Can’t stop listening to it,en
96,Summer vibe! That’s really relaxing.,en
97,I love this song,en
98,"DUA never disappoints me, the artist of the future",en
99,Love it so much!,en
100,nem acredito que vou no show dessa mulher,pt
101,Essa música deveria ter viralizado,pt
102,"A beleza da Dua Lipa, a voz e o talento de milhões só a tornam uma perfeição!!!",pt
103,Calvin such a good producer Always bring's best Out of anybody ,en
104,Pure 80s vibe,en
105,"Muito bom,som gostoso e ainda sex,sem ser vulgar!!!
Tooop!!!",pt
106,Take me back to the 80's Calvin! The beats got me dancing!!!,en
107,Você é o melhor !!,pt
108,Damn I love the beat of this song how it takes everything about oldie songs but makes it modern definitely fitting that future nostalgia Dua Lipa promised.,en
109,"Whatever people say, I LOVE THIS SUMMER BANGER!!!!",en
110,This song is AWESOME! Can’t stop listening to it,en
111,"I at first I wasnt sure about this one but it grew on me.... now I listen to it every chance I get. Its a cool, chill vibe for the summer ",en
112,Omg her dance is just a bomb  i loved it,en
113,"It is not normal how much of an artist Dua is, she just shine️‍",en
114,"Said it before and I'll say it again. No competition - unmatched beauty, sexiness, talent, voice - The Complete package.",en
115,I love her bassist.....dude really fills in the gaps with funk that smells SOOOOO good.,en
116,This song is such a vibe,en
117,"É incrível como Dua se entrega ao máximo em tudo que faz, maravilhosa ️🇧🇷",pt
118,"Calvin Harris owns this summer thing!!! 
Summer after summer, bangers",en
119,Dua never stop you can do everything that you propose your positive songs have abundant love never stop !!! Love you Dua you're my idol,en
120,80s have a way of coming back again and again whether it is Miley's Midnight Sky or this one. You can't escape the 80s,en
121,We need to hear more on mainstream radio,en
122,"Smooth and fancy music, great bass cover, spinkled with a little 80's style...and it´s a hit.",en
123,It should be a hit ️️️,en
124,Such a vibe ,en
125,This song will be on repeat all summer for me I love it :),en
126,the duo is a unique and perfect singer with a huge talent,en
127,"...what young people feel in this is a certain carefree emotion of simpler times,...that they've never experienced...but have definitely heard of those times from us older folks...oh by the way, the beat,the rhythm, and the whole feel/vibe of this song  is pure Nile Rodgers",en
128,I love both Calvin and Dua ️,en
129,How is this song not making any noise on the Hot 100 chart?! It’s an absolute bop…it’s Dua Lipa people!,en
130,I think she so amazing Even my 5 yr old Dances to her music all the time. Expecially to her song -Levitating ,en
131,"Summer hit Thug & Lipa never disappoints, I hope Thug get free asap ",en
132,eu amo está musica,pt
133,I can’t get enough of Dua Lipa,en
134,"The image created by Dua Lipa's song accompanied by her lithe dance, my throat is knotted by admiring her professionalism as a listener.",en
135,Dua's voice really blowing my mind as always,en
136,What a beautiful song  it is one of my favorite songs that I will listen to the most this year 🇵🇪,en
137,"Супер хит

ありがとうございま
Just another summer hit by Calvin Harris ",en
138,I love this song ️,en
139,"The funk is back, Calvin Harris is back!

I'VE BEEN WAITING FOR THIS MOMENT FOR 5 YEARS! LET'S VIBE!",en
140,She's made the world a better place just by being in it,en
141,"There's no limit to Calvin Harris and dua lipa, they know how to put out a good vibe.. There is no need for them to use AUTHENTIC views",en
142,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
143,Muy Hermosa ️️️️ DUA LIPA    Incredible Rhythm and floww ,en
144,Calvin harris and dua lipa the most epic duo.,en
145,Been waiting for this to drop since Funk Wav 1 came out. Dope AF ,en
146,Young Thug ! É Dahoraa que Feat foda esse ,en
147,"Eu amo uma voz! Dua  sempre entrega TUDO, amooo!!!",pt
148,"Love her voice, her musik and her Look  ",en
149,this song give me so summer night vibe. it's me all the day and night,en
150,Her voice is magical,en
151,THEY ARE BACK TOGETHER!!!  I can't wait to see Calvin Harris and Dua Lipa's masterpiece.,en
152,Dua Lipa & Calvin Harres makes a power duet and they keep getting better <33,en
153,Calvin is in high level ️ ,en
154,Everytime I listen to this song I hear Sade's voice.. love both ladies music and glad Dua is keeping pop alive ! ,en
155,This song and “Clover Cage - This Is What The World Needs” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
156,Que mulher maravilhosa pqp,pt
157,This song will definitely be on repeat,en
158,"What a great sexy summer vibe.
Just brilliant!",en
159,"Love the intro, nostalgic 80s vibe",en
160,O bagulho entra na cabeça,pt
161,Calvin Harris’ visuals are amazing as always. Remind me of “ feels”,en
162,This song sounds so 80s and contemporary at the same time,en
163,WHEN YOU SEE CALVIN HARRIS AND DUA LIPA TOGETHER JUST BE SURE IT'S A PERFECT SONG,en
164,"As much as I like this song, it’s like the promotional push for it just came and went.",en
165,"Dua Lipa inspired me to go all in with my music. She was once just like me, an artist without many listeners. And now she’s on top. I believe it will happen for me one day, Im not stopping when it does! ",en
166,What a beautiful song  it is one of my favorite songs that I will listen to the most this year ️,en
167,"This song is such a big inspiration to me, sometimes when I feel discouraged I listen to this song and it motivates me to continue creating better music and chasing my dreams. I hope one day my music will be recognised and successful as well, it would a dream come true.",en
168,A true diva! The top!,en
169,Adoro,pt
170,"Dua trazendo novamente os instrumentos, principalmente o baixo característico do Disco, a tona
Eu amo essa mulher d+",pt
171,That guitar solo at the start ,en
172,She’s so attractive and her voice ,en
173,"Wow Calvin. This beat reminds me so much of Michael Mcdonald.
Masterpiece. ️",en
174,"Dua makes everything seem magical and perfect, oh my god! What woman!",en
175,"everthing is perfect when there is dua lipa, I am so addicted to her every music, her voice and her look.",en
176,Best one ever I love it!,en
177,Dua Lipa is the full package! This song is ,en
178,"Calvin's killing it, record classy collabs",en
179,GREAT PREFORMANCE THANKS A LOT CALVIN HARRIS,en
180,This collaboration was great and unique.,en
181,Dua is fire. And young thug floated on this beat. As usual Calvin doesn’t disappoint,en
182,I regret not having known dua lipa's songs before,en
183,Dua and Calvin have done superb work.,en
184,"Dua Lipa always knows how to get a vibe, she has this energy that can literally do everything she experiments with. She’s giving us a second summer hit after “One Kiss”, Dua and Calvin are such a team ",en
185,More Dua Lipa. More Dua Lipa. More. Seriously she's amazing there needs to be a Dua Lipa exclusive version with well you know..,en
186,this is my favorite song!!! omg it's soooo cool!!!,en
187,"Susensual music and electric vives, thanks you Dua ️",en
188,How is this not her #1 song on Spotify right now??,en
189,Calvin Harris and Dua Lipa never disappoint. I knew that it was going to be a masterpiece,en
190,Yo this song is such a bop. I work in a restaurant and I kept hearing this play over the speakers. Never heard a Dua Lipa song in my life but some how I knew it was her,en
191,"I’d love to see a fast rap with this beat and the electric guitar intro, would go hard",en
192, j'adore,pt
193,Dua lipa is good at keeping old music and doing really well and voice,en
194,Summer hit! ️🇧🇷,en
195,I love Calvin..... he's the best!!!!love from Italy!!!🇮🇹🇮🇹🇮🇹🇮🇹,en
196,honestly i'm telling the world that i'm falling in love with Dua Lipa.,en
197,"Thats the true summer hit for lifetime. Love this track. Interestingly they don't need to use AUTHENTIC VIEWS dawwt cawwm which soulja, riri, island boys and jb did. Love this track. THUMBS UP IF YOU AGREE AND ALSO LOVE THIS TRACK",en
198,It' s fucking great!!! You both are firing it! ,en
199,"during the show in munich i noticed that dua's voice has developed extremely over the last 1.5 years. the performance in ""sweetest pie"" was also extremely good. Dua's vocals in ""potion"" set completely new standards in my opinion. rarely heard anything so beautiful️. Good job from Calvin and Thug too",en
200,WOW  this is a Perfect Hit Song ,en
201,This song never gets boring what the hell,en
202,I loved it,en
203,A Dua é tão linda mds ,pt
204,"️vibes from Dua Lipa’s dancing  and it’s all synchronized by the legendary Calvin Harris - wonderful as sweet summer corn and watermelon - a mystical summer hit - love your music - your fan, Sharon Kwan (Sharonsangria) this DJ evolved into a dance synchronized genius track to this song totes adorb!",en
205,Dua sempre arrasando ,pt
206,Calvin Harris and Dua lipa. What more can you ask for ,en
207,"Calvin harris with music , dua lipa with vocals and dance moves ahh gosh ",en
208,Young Thug and Dua Lipa making the best hits ,en
209,You know summer's gonna be fire when there's a CalvinxDua song carrying it ,en
210,flawless vibe fr,en
