,comentario,liguagem
0,"People need to realise what a gem she truly is. I'm telling you, there won't be another Camila ever again, please pay attention to this one of a kind artist. She is so talented, everything about this song and video is perfect. I really hope we get to see her become even more successful in the future.",en
1,"NUNCA VOU ME CONFORMAR PELO FATO DESSA MÚSICA NÃO TER SE TORNADO UM MEGA HIT GLOBAL!!! É MUITO BOA! Exala personalidade, a vibe latina é maravilhosa, todos os instrumentos... afff",pt
2,"I’ve never been a big fan of Camilla but I have to be honest I love her in this one. Latin pop just suits her well, her voice and personality in particular. Feels like she has more freedom singing and doing something that has connection to her roots. The entire video and song was so entertaining I had to replay it countless times.",en
3,"This MV seems incredibly tacky at first but the more you watch it the more appreciation you have for the artistry. You keep doing you, Camila and team!",en
4,"bem estilo havana, amoo sempre com suas raízes em suas músicas! ",pt
5,"impossível ficar triste com essa música, me passa uma vibe tão única... morro de amores. camila cabello como sempre arrasando. a cultura cubana é muito linda ",pt
6,She always amazes me with her music and the mvs,en
7,This song deserves more attention and recognition. No one can't get over to Camila's charisma here. It's so addicting and good,en
8,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
9,"The energy, the style , the music!! I never get tired of watching this video !",en
10,"Amo essa música, dá muita vontade de dançar",pt
11,"Idk why she ever got away from making Latin-influenced songs. After the success of Havana, I thought we would get a lot more but she went in an entirely different direction But I'm glad she's back at it again",en
12,"This video and song are pure artistic culture. From start to finish.



I love that Camila is proud to represent her roots. I admire you as an artist. you have a great talent You can sing any song, sweet.",en
13,"This song by Camilla deserves more than the quadruple of recognition it has, since it truly represents what Latin music is, and it is a pride that an artist like Camilla represents the true roots Latinas.",en
14,"This girl is so so talented, such catchy and fun tune, love the latin rhythm, getting Gloria Estefan vibes. Hope to see more of this, we got enough popstars already, Camila has the energy, she definitely needs to keep this trend going.",en
15,This is one of my favorite songs of all time. It just makes me want to live the happiest life ever,en
16,Belíssima cantora e as pessoas do video estão de parabéns,pt
17,ESSA MÚSICA É MUITO BOA 🇧🇷,pt
18,Essa música é um hit injustiçado ,pt
19,The art work on this video is AMAZING!!! The dance moves are so spot on! Love it,en
20,"I'm def not the biggest fan of Camila, but I admit this song is so catchy and stucked in my head instanly. The video is super good as well, I'm so pleased with this sort of vintage Latin fun and colorful atmosphere!",en
21,This song never gets old ️️️!,en
22,This is my favorite song from Camilla so far. I'm a latin women born and raise in the Caribbean.  And I love all her music. ️,en
23,"She's legend. You can fall in love, happy, cry and dance with her music..so awesome I always love you Camila ",en
24,"Descobrindo essa música só agora, e pqp que música!!!! Muito dançante e gostosa de ouvir",pt
25,Maravilhosa ,pt
26,"Incredible rhythm, good drums and percussion, this song has a flavour of culture to it, makes you wanna dance any day of the week",en
27,These kind of songs are very uplifting and they help people forget about their problems.,en
28,Dude! This has to have been SO much fun to film! I wish I could’ve been there to see all the laughs and dancing and practices!,en
29,This song is fantastic. It feels like an old classic into a new age of music.,en
30,She is one of the best and unique in pop right now love her,en
31,Ik this wasn’t as popular as her other songs but this is actually my favourite song of all time XD I’m surprised because I just heard this song yesterday and I haven’t stopped listening since. Hope she does more songs like this in the future,en
32,"The sounds of absolutely ALL the songs take you, transport you, I'm about to cry, what a beautiful album Camila!!!",en
33,THE VIBES THIS IS PERFECT,en
34,"Only a couple hundred thousand till 100M, This song truly deserves it. GO CAMILA ️️️",en
35,This song is perfect for everything this song makes me happy it makes me remember good days and it’s just a happy song. ,en
36,Eu sinto que essa música vai ser o hit de verão de 2023 ️️️,pt
37,"She is absolutely amazing, this song makes dance and dance  and dance , her voice, the rythm even the video are all well made , thank you ️",en
38,Can’t even count how many times I’ve listened to this song love everything about it her voice wow,en
39,"Gosh, I love when artists do music that's influenced by their origins. This song is sooo good! Camila at her best! <3",en
40,I love this song!!! The video everything!!  It's perfect. I can't stop watching,en
41,No matter how many times you listen to her songs her voice doesn’t annoy you. Her voice is special,en
42,Really love the song and the vibes,en
43,Camila's work with more latin influnce seems so much more authentic and it feels awesome to have a latina in the music industry lots of love from Colombia TE AMAMOS CAMILA TU ERES LA MEJOR,en
44,This song really makes me feel good. Today’s music honestly isn’t bad.,en
45,I absolutely love this song and music video as well ️️,en
46,"I loved everything about this video music,  everything is so incredibly beautiful, congratulations on the hard work!",en
47,I love this song and video. It's such a vibe!,en
48,We need more happy music like this in this world! I'm your new fan,en
49,I wish she’d keep up with latin pop. I love it,en
50,"The chorus has a classic feel to it, really beautiful melody.",en
51,"I love her voice, and she is so real and doesn’t fake anything. This side of Camilla always amuse me!",en
52,Podia MUITO ser umas das músicas pra Copa desse ano 🇧🇷,pt
53,"Camila tem uma energia maravilhosa e ela consegue passar isso em todas suas músicas, parabéns garota, todo sucesso do mundo pra voce🇧🇷🇧🇷🇧🇷",pt
54,"This song is just so good, I love it",en
55,"I listen to this song more than a hundred times a day
Really one of the best hosts",en
56,100 milhões de visualizações e a camila aqui no Brasil em 2023 nossa meia brasileira merece muito! 🇧🇷,pt
57,Love it,en
58,This song is great.I love Camila Cabello️,en
59,"The dance, the song, the colors, EVERYTHING IS JUST PERFECT!! ️",en
60,Essa música me lembra muito a Copa do Mundo!!!!,pt
61,I love this song ️️️,en
62,This might be one of the only songs of hers I really really like. It's so addictive,en
63,Incredible ,en
64,I love this song ,en
65,Loving the vibe ️,en
66,I LOVE THIS SONG ,en
67,I love this ️,en
68,"1 yr of DGY, watching this with the same pleasure and enthusiasm. The video is a feast of colour and joy and the song is pure energy!",en
69,This song is so underrated. This should have a lot more streams and views,en
70,"This song really suits how I imagine myself dancing on the beach in front of everyone, with a bonfire. Then everyone just dance and sings. It just suits and sets the right and cheerful vibe!!!",en
71,I remember freaking out when this was released. Still a bop!,en
72,Love this song,en
73,"Camila you did it again! You keep getting better and better! So happy to say I've been to see you in concert! You visually and musically just get the assignment!!! DON""T GO ANYWHERE BABY GIRL!!!",en
74,Vim conhecer esse hino por causa de Maldivas ️,pt
75,"I used this song in my wedding as entrance music. Nearly none of the guests understood the lyrics, but both the lyrics and latin music were special for me and my partner.",en
76,This music video is one of the most beautiful videos I have ever seen and I don't even have to exaggerate. Simply WOW,en
77,"I love everything about this, visually and sonically ",en
78,"I’ve never liked any of her music, but I like this one, and her voice sounds more mature. And I love the choreography and the video, it’s very fun and authentic ",en
79,i love this song,en
80,What a happy song it makes you forget your problems for 3 minutes,en
81,"I absolutely love this new side of Camila! The fun side, where we don't have to fit into beauty standards to be beautiful, not saying she doesn't have the perfect body. Love you Camila",en
82,Man I love this song ,en
83,Gorgeous ,en
84,The heck. This music video is a masterpiece! ,en
85,", I love her songs, she is amazing",en
86,This song and “Clover Cage - Lost Then Found” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
87,Gives me goosebumps !!!!,en
88,Camila's voice seems much better than the others I've listened to tonight,en
89,Such a fresh song to listen when in chart all songs are pretty similar. Good job Camilla! Can’t wait to dance to this song in the club / beachclub ,en
90, I love it  I never get tired of listening to it ,en
91,let's hit 100M!!! this song deserves so much more,en
92,"CAMILA TE AMO, QUE ORGULLO ME DIO VERTE CANTAR EN LA CHAMPIONS LEAGUE, TE AMO DESDE MÉXICO",pt
93,"Música, ritmo e clipe sensacional!!! Você é show, já está na playlist das aulas de dança aqui no 🇧🇷 ",pt
94,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
95,I LOVE THIS SONG ,en
96,This is now officially our holiday song! ️,en
97,This song is so catchy i can’t stop playing it I keeps me in the shower,en
98,Latina style music is the best ,en
99,"His voice, the rhythm, the lyrics, the video, EVERYTHING... Was it worth waiting so long?

It was worth every fucking second.",en
100,"Oh, my love, yeah, yeah
I'm in love, yeah

I replayed this moment for months",en
101,Camila doesn't realise this but she s making everyone s day better by making such great music.,en
102,Love it!!,en
103,I love the spicy latin vibe and i just so love to dance to this song!,en
104,"shame on her label for not promoting this masterpiece, it clearly has the potential to be another hit.",en
105,i love it when you can tell the people are having fun and not just acting. ,en
106,I love this song.,en
107,"Dear Camila,
The world need MORE LIKE THIS PLS",en
108,"Esse música não sai da minha cabeça, começo meus dias ouvindo ela",pt
109,"Oh, my love, yeah, yeah
I'm in love, yeah
I replayed this moment for months
Alone in my head, waitin' for it to come",en
110,"Camila  a melhor  cantora Du
Tudo  metro ",pt
111,WONDERFUL SONG CAMILLA ️️️️,en
112,Cá estou eu enaltecendo minha menina 🇧🇷,pt
113,Amo,en
114,I FEEL SO STUPID FOR DISCOVERING THIS SONG AFTER A YEAR...BUT IM GLAD I DID,en
115,"LYRICS:

Oh, my love, yeah, yeah

I'm in love, yeah",en
116,This song is so underrated. It has a great vibe and an awesome video. Deserves more than a 100 million views,en
117,1 years since this music came out I like this song ,en
118,Camila Literally The Song is Beautiful in fact it is my favorite This song deserves an award,en
119,Wonderful Camila am in love with the song ,en
120,The stylist in this music video deserves an award!,en
121,Wow! Just wow!! They did that! ,en
122,What a creative artist......,en
123,"She is an artist who sings her songs like she is telling a story with an attitude.  So many people could sing & dance, but not she interprets her songs.  So talented",en
124,I am obsessed with this song,en
125,Happy 1st birthday to this masterpiece! ,en
126,This song and “Clover Cage - Lost Then Found” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
127,Linda maravilhosa,pt
128,Camila has never abandoned her Cubano roots and I love that! There isn't a song that hasn't had a latin flare,en
129,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
130,This song ️ Camila looks gorgeous ,en
131,"Fotografia incrível, paleta de cores maravilhosa, parece que ela se divertiu muito fazendo esse vídeo e isso é a parte mais gostosa de tudo. Trazendo cores para dias cinzentos ",pt
132,Wonderful song ,en
133,What a voice,en
134,"The fact that not all the dance moves are focused on sex appeal is very unique, and she is clearly rich in culture! Such an enveloping video ",en
135,I love this music,en
136,This song is still underrated .,en
137,I dance this song till my back hurts ,en
138,"Heard this song in the gym today, it’s been on repeat all evening.",en
139,"Loved to see her dad and sis in the vid, full support  for Camila ",en
140,She's always on  and giving us quality music!!!,en
141,Masterclass ,en
142,"Te amo, maravilhosa",pt
143,This song and “Clover Cage - Falling For Free” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you..,en
144,I love this music,en
145,Perfect song,en
146,Love this chorus ️,en
147,Love the song ,en
148,On fire ,en
149,i don't understand why this song is not popular  it's really uncool  i really love that song ,en
150,Tolles Lied!,en
151,Set and costume designers should win some awards for this masterpiece!!,en
152,Yesss!,en
153,"Orgulho de ser Latina, né amor? 
🇧🇷
¡Es nuestro tiempo latino!",pt
154,it is nearrlly 2 years and i cant go away from this song,en
155,"Oh, my love, oh, yeah, yeah

I'm in love, yeah



[Verse 1]",en
156,This is honestly her best song.,en
157,Latin girls are absolutely the best in the world ,en
158,"Que lindoooo, parabens. Amei",pt
159,"""Don't Go Yet""

Oh, my love, oh, yeah, yeah
I'm in love, yeah",en
160,"This is easily one of Camila's best songs! 

Also is that Camila's dad in gold jacket in the back at 2:40?",en
161,CAMILAAAAA!!! ,pt
162,"Essa música é definitivamente PERFEITA e me transmite uma vibe tão feliz, obrigada Camz </3",pt
163,This song is born to be classic,en
164,So beautiful song,en
165,Fully obsessed with this dance. Can’t stop watching.,en
166,"congratulations for the dedication, I loved everything and this creativity is so good!!!",en
167,the best song i love it ,en
168,What a BOP!!!,en
169,I dont get why some ppl hate it. Its actually nice compared to other songs.,en
170,Hermoso video,pt
171,i love this song,en
172,Aesthetically pleasing video and magical music. Camila is the best!,en
173,"Omg this song aged like wine, classic, Camila always do her thingz",en
174,i miss her so much. i can't wait for her next world tour.,en
175,"Oh, my love, yeah, yeah
I'm in love, yeah
I replayed this moment for months
Alone in my head, waitin' for it to come",en
176,"Don't know much about her or today's music in general, but this song has genuine latin/salsa vibes and she manages to appear so classy - she's definitely one of a kind.",en
177,"I love the fact that this song is about  parting  with your  mate
 but the whole song has an amusing  dancing rhythm",en
178,"This is so impresive, i've heard salsa music since I was a Little kid, I more impresed now that a singer nowadays had made a Song with this tipe of vibes, keep on improving Camila you are a queen

Thanks for the likes guys",en
179,this music video is GORGEOUS,en
180,I  It,en
181,Love this song......almost 50 times I heard thi6song,en
182,Camila doesn't realize she's making everybody's day better by this.,en
183,Woow such a nice song  sending love from Ghana 🇧🇴,en
184,I love this song,en
185,Am I the only one who find the guy in orange and white striped pants and white jacket so hypnotic? He takes the stage!,en
186,Who choreographed this amazingness? It's breathtaking!!!!!!!!!!!!!!!!!!!!!!!!,en
187,Happy 1 year anniversary to this song! ,en
188,"Oh, my love, yeah, yeah
I'm in love, yeah
I replayed this moment for months
Alone in my head, waitin' for it to come",en
189,"Is it just me or this song is actually kind of ""World Cup theme song"" worthy!!",en
190,"God!!!
Camila is so talented...",en
191,I love this song ,en
192,This song and “Clover Cage - This Is What The World Needs” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
193,"Eu não paro de ouvir essa música, é perfeita!",pt
194,You can tell there's great chemistry between the dancers!,en
195,I still remember when this song came out I was disappointed .. but look at me now I am addicted to this song..,en
196,"This is one of the best songs of Camilla yet one of the most underrated ones too! 
I really want this song to have fame like Senorita and Havana too!",en
197,i love this song,en
198,Wonderful song,en
199,I love this song very much,en
200,They should have made this the World Cup song for 2022,en
201,Only a day till this masterpiece becomes a year old,en
202,"Finally 100 million
She is the best",en
203,I really want all of her outfits in this video And her voice is just honestly everything!!!,en
204,I feel like I'm in India coz the dance and choreography is so fantastic,en
205,This song deserves more views,en
206,You deserve the world queen,en
207,It always cracks me up watching this video because Valentina looks like she's not even paying attention and is just mesmerized by Camila LOL. Love the diversity in this music video. Thanks for representing the LGBTQIA+ community..,en
208,", keep watching this mv every day, let's make it a goal, reach 100M, the music is good, please don't give up on this mv, don't let  effort be in vain!",en
209,"I know media songs are recognized to have less meaning and more repetition, but it is an art of its own and this is a really catchy Latin dance tune incorporating all the sounds along with such desirable vocal notes.",en
210," This song is so soothing when we listen this to late night without any Earphone,She is one of my favourite English Singer...18_feb️",en
211,I love this ! ,en
212,"Obrigada por essa música, cami! espero de todo o meu coração que o álbum Família faça tanto sucesso quanto Camila fez, você merece demais!!! te amo <3",pt
213,"It just inspires to be like 'be yourself, don't give a flying ass to what anyone thinks'",en
214,I always listen to this i love itt!,en
215,"This song hits so much harder when you listen to Everyone at This party.
Like maybe Don't go yet is after they break up. Finally, he's here and now he's leaving and she's like, no don't leave. Because I've been searching for you everywhere and finally you're there.
I'd be wearing satin and gold and you'd be mesmerized VS and I had this vision of you looking at me different when you saw this dress",en
216,I'm Black And I Love Listening To Latino Music . Brings Me So Much Joy ,en
217,This song should've been the FIFA's official song ️️,en
218,"A estética dessa nova Era me deixa fascinada, estou feliz por Camila ter trazido cores para o mundo nesse momento que estamos",pt
219,1 year ago this masterpiece was released,en
220,Amo demais essa música.🇧🇷🇧🇷,pt
221,The song is full of life,en
222,I legit think she should try her hand at acting. Her videos are so fun because they always tell a story!,en
223,Let's go for the 100 million,en
224,This song and “Clover Cage - This Is What the World Needs” are the only two things keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better...We are in this together...I love you...️,en
225,You doing a good job l like your music a lot keep it up . Don't go yet that Latin stylish is amazing.,en
226,"I love this, I'm really happy that Camila embraces her Cuban/Mexican roots and makes great music because of that, I wish more artists were like that",en
227,"Oh, my love, yeah, yeah
I'm in love, yeah

I replayed this moment for months",en
228,This song is so addictive and underrated,en
229,Even ´for non spanish speakers this song is funny and addictive :-) Cant stop listen to it,en
230,She is gooood,en
231,This song and “Clover Cage - Falling For Free” are the only two things keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better...We are in this together...I love you...️,en
232,Underrated AF! Should stand with Senorita and Havana as best Camila Cabello songs,en
233,For anyone hating this her culture and this is probably what their music and dancing is!,en
234,She is insane and I love it ,en
235,"Nossa Amei minha cara este vídeo,o ritimo  tá meio parecido com o da Gretchen do Brasil Amei top",pt
236,Awesome!! I love how she’s dancing. Most people would say that it’s not “lady-like” BUT SCREW THEM! Thank you Camilla for spreading the fact that anyone can dance however the like,en
237,She completely won me over with this.,en
238,I love CaCa! She's great!,en
239,Beauty Queen ,en
240,Getting In The Heights vibes from this. Especially in that bridge with the backing singers,en
241,"I like her music videos soooooo much! She's got some great charisma, it's such a pleasure to watch her perform",en
242,This is the best pop song I have ever listend️️️,en
243,This song and “Clover Cage - Falling For Free” are the only two things keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better...We are in this together...I love you...️,en
244,"Achei que era a música da copa, acabei de assistir o show no Rock in Rio!",pt
245,Essa mulher nunca me decepiciona ,pt
