,comentario,liguagem
0,"This song never gets old. No matter how much I listen, I never get bored",en
1,Ouvindo pela milésima vez e não me canso nunca. Que perfeição!!! Te amo demais,pt
2,"Não tem como enjoar dessa música, simplesmente incrível!!",pt
3,"Lindo , você carrega a alma latina dentro do seu coração ""Camila Cabelo"" , gostei !.",pt
4,I'm not even a fan but I feel very proud of her. She left the group and now she's doing what she really wants. This song is also amazing! Latin influenced!,en
5,Camila vc ARRASOU muito mesmo essa música deveria ter em todo lugar️,pt
6,Como essa voz é este instrumental se encaixam perfeitamente  Camila o  Brasil te ama te admira muito.....mulherrrr vc arrasa ,pt
7,5 years later and it's still as good as ever. I've been her fan for a long time. By 2022 I have never regretted. She's always great no matter what. My Queen ,en
8,"This song never gets old. No matter how much I listen, I never get boredOuvindo pela milésima vez e não me canso nunca. Que perfeição!!! Te amo demais",pt
9,Amo demais essa incrível música,pt
10,"Não importa quanto tempo passe, nunca vou enjoar dessa música ",pt
11,"E olha eu aqui de novo, ouvindo essa belíssima música pela milésima vez...",pt
12,"É o tipo de música que a gente ouve uma vez e fica na cabeça , não esquecemos mais.  Tem um ""balanço"" muito legal.",pt
13,"This song never get old. No matter how much I listen, I never get bored.",en
14,"No matter how many years pass, this song will stay in our hearts forever!",en
15,Eu nunca me canso dessa música porque é a melhor.,pt
16,Essa música maravilhosa,pt
17,three years later this STILL slaps. I remember when this song ruled the world. Good times,en
18,"This song never gets old. No matter how much I listen,I never get bored....",en
19,Amo tanto essa música.️️,pt
20,Essa música nunca envelhece!! A melhor,pt
21,Amo essa música ,pt
22,Honestly I love this song so much!!! It is always stuck in my head lol ,en
23,"maravilhosa essa musica, nao canso de ouvila e LINDAAAA",pt
24,I watch u on The Voice and I am so inspired by your music and personality this song is so amazing it never gets old! Your songs have such an amazing vibe and are so inspiring. Thank you so much!,en
25,"E eu outra vez, ouvindo essa música maravilhosa.  em 09/04/2023 .
Amoooooo",pt
26,this song is really special....i wish she would make more songs like this,en
27,"Essa musica é muito boa , meu deus , viciado estou , Camila Cabello a melhor ",pt
28,Amo essa!,pt
29,I can't never get tired of this song,en
30,"Whatever happens, I will never forget this song. It is truly one of the best songs I have ever heard since I was a child.",en
31,The  fact  that this song is still everyone''s favorite after 5 years is just.,en
32,amo essa <3,pt
33,Como que ela fez essa música bem linda,pt
34,Adoro️,pt
35,The fact that this song is still everyone's favorite after 5 years is just.,en
36,"I love this song, the sound and everything, just great!!",en
37,Show de música,pt
38,"Essa música do ""Havana"", já me lembra desde a época do 7°ano em 2017.
2017 foi um ótimo ano de conquistas, com essa música fazendo sucesso durante esse período, do resto daquele ano quando a Taylor Swift lançou um novo CD, no dia 4 de novembro de 2017.",pt
39,música de verdade,pt
40,"Man, it's been so long I almost forgot this legendary song exists.  Great memories ️ ",en
41,amo essa musica,pt
42,Amo essa música ,pt
43,The fact that this audio song  has more views than the actual video song is everything,en
44,Impressionante como os pops de antigamente são melhores que qualquer um de hoje slk,pt
45,Muito bom,pt
46,"One of the best songs she's got, personally is one of the most popular songs on our radios nowadays",en
47,como essa música é perfeita mds,pt
48,"This song is and will always remain a vibe,soumds new to me everytime I listen to it",en
49,"Escutando em 2022,nunca me canso",pt
50,I love the melody so much and Camila nailed it,en
51,Isto é um fenômeno a versão Áudio tem quase 2 bilhões de views enquanto a versão videoclipe tem 1 bilhão kkk,pt
52,Very beautiful. I put her in several games to listen while I play. I loved it ️,en
53,pleno 2023 e bateu uma nostalgia,pt
54,2022 but still giving us goosebumps . Totally love this song.,en
55,"This song is timeless, my all time favorite",en
