,comentario,liguagem
0,"Toda vez que estou triste, que me pego a começar uma crise depressiva, basta eu ouvir esta música e pronto. A esperança volta. Música muito boa e o cantor é um iluminado.",pt
1,Quando tudo está mal ... ouve-se e arrepia caminho .... Adoro,pt
2,"Saúde e dinheiro para gastos, tesão
Pouco mais importa como brinda o meu amigo João
Com esse brinde eu começo uma canção
Que não prescinde uma certa reflexão",pt
3,"""o verdadeiro sucesso é amar e ser amado""",pt
4,"Uma música muito bem disposta Carlão,obrigada por nos brindar com esta frescura nos tempos que correm,eu assobio e danço :)",pt
5,canção espetacular do Carlão que faça muitas canções destas que assim ganhamos o festival da eurovisão pela segunda vez,pt
6,"Uma letra que retrata o dia - a- dia de muita gente.
Parabéns e vamos lá :
Assobiar para o lado",pt
7,"Esta música é brutal,ajudou me a passar uma fase quando a minha crush me disse não na cara,está música ajuda todos os que a ouvirem",pt
8,Adoro esta música e todas musicas que o Carlão canta. ,pt
9,É impossível não amar está música,pt
10,"Que música fantástica... Além da letra top, tem uma vibe tão boa.. Adoro.",pt
11,Só vem à minha cabeça uma palavra que manifesta a minha opinião em relação a esta obra de arte: SUBLIME!!! Sucesso e continuação de um ótimo trabalho para o Carlão e a sua equipa!!!,pt
12,"Obrigada Carlão! Desde que descobri esta tua música, todos os dias a ouço, pois a letra é espetacular. Ensinou-me muito. Muita saúde.",pt
13,"""Não precisas de luxo pra te sentires realizado.""",pt
14,"Desde miudo que acompanho o Carlão, é um grande orgulho pertencer á mesma geração!
Adorei o som, mais um como já tem sido habitual!
És grande Carlão!!!  O meu filho adorou...kkkkk",pt
15,"Minha amg me falou essa música eu fui ouvi e agr n consigo para de ouvir, mtttt massa 🇵🇹🇺🇸",pt
16,"5 - !!! Para mim o MELHOR a nivel Nacional. O Carlão é como o vinho do Porto, quanto mais velho melhor (refiro-me a nivel artistico, claro). ADORO",pt
17,Quantas vezes nesta vida tivemos de assobiar para o lado. Muito boa a música e a letra.,pt
18,Música fantástica. Amo. Carlão mais destas por favor,pt
19,"ADORO... Realmente na vida quando nos confrontamos com o que não presta dela, ouvir uma música assim sabe muito bem e confesso, desisto de mandar o mundo à m_r_@ e relaxo, no universo da psicologia, para afastar mais a ansiedade e depressão daquilo que a vida nos dá que não presta, vale a pena refletir e então... Assobiar para o lado.
Muito obrigada Carlão.",pt
20,"Eu gosto muito desta canção, saudações desde México. :)",pt
21,Saudades…cresci a ouvir os teus sons e as tuas letras são uma inspiração ,pt
22,"Fantástico ️️️... e quem disser o contrário, eu assobio para o lado! ",pt
23,Musica TOP. Adoro.,pt
24,Esta letra é inspiradora e sua música também. Boa sorte ,pt
25,"Nesta altura...música simples e que fica no ouvido.

Bom som, diferente mas bom",pt
26,Adoro esta musica... aumenta sempre a minha auto estima enquanto estou a caminho da escola no autocarro.,pt
27,"Do Carlão só pode ser assim, fica logo no ouvido! Tantas verdades a um ritmo  contagiante ",pt
28,"Carlão, faz uma música e vai à Eurovisão, gostava de ver esse vozeirão.",pt
29,Música com letra motivante!,pt
30,"Como sempre o Carlao no seu melhor. Amo a música, a letra",pt
31,"SIM SENHORA, BOA MUSICA... BOAS PALAVRAS, MESMO!!! 5 ESTRELAS!! FORTE ABRAÇAO CARLAO..",pt
32,Adoro esta música... Quando a ouvi a primeira vez era mesmo a mensagem que precisava de ouvir :),pt
33,SENSACIONAL! ABRAÇOS DO BRASIL! SIMPLESMENTE MARAVILHOSO.,en
34,"Música Top, viciante e verdadeira keep up the good work e assobia para o lado   ",pt
35,"Para mim esta música será sempre recordada com a Pandemia. Ouvi-a num dos primeiros dias do primeiro confinamento, com todo o mundo metido em casa, lá ia eu de carro para o meu local de trabalho... Nunca mais esquecerei estes tempos estranhos.",pt
36,Fantástico! Ouvi-a hoje de manhã e fez aquele clique! Obrigada Carlão!,pt
37,Quando trabalho e oiço esta música fico mais alegre,pt
38,"Uma grande lição que muita gente devia aprender.
Deviam de ensinar isto nas escolas.",pt
39,"De quarentena em Lisboa  , musica TOP , do melhor !  Força Carlão !",pt
40,"Esta música bate bem forte! Parabéns, Carlão. Bom ritmo e palavras sábias.",pt
41,"PARABÉNS pelo vídeo e som,saúde e felicidades...
GANDA CARLÃO...Tudo de bom para ti e para a tua família.
Desejo-te tudo de bom,tu mereces...Continua fazendo grandes sons para todos nós,felicidades na vida pessoal e profissional,ABRAÇO.
Abraço,PORTUGAL,ALGARVE",pt
42,Sou brasileira adoro essa música,pt
43,"Carlão oficial,esta 
música é muito fantástica ",pt
44,"Quando eu tava stressado eu vinha ouvir esta musica e alcalmava obrigado Carlao e bom verao, abraços",pt
45,Brutal!!! Isso mesmo! Assobia para o lado! Às vezes é melhor!,pt
46,Esta canção era tudo o que precisávamos agora. Obrigada Carlão ,pt
47,Bela música estás de parabéns Carlão,pt
48,Boa energia Carlão!!! Parabéns !,pt
49,"Carlão adoro-te desde os tempos dos Da weasel...adorei esta canção também...parabéns, és o melhor do nosso hip-hop português...",pt
50,Acabei de conhecer e curti bastante o som. Já tens um fã aqui no Brasil!,pt
51,"O maravilhoso Carlão..
Maravilhosa terapia esta música.",pt
52,"Boa música,  sem dúvida, ouvir e ouvir vezes sem conta ",pt
53,Adoro!  So much good vibes! ,en
54,"Brutal ,Carlão de volta ,cada vez melhor",pt
55,Adoro esta música!!!,pt
56,"Eu adoro muito esta letra, a música nem se fala. Muito bom. Felicidades e saúde.",pt
57,"Simplesmente Maravilhosa. A letra, tão verdadeira... Porque é que nos não entendemos isto. Seria tão mais fácil ser feliz. Parabéns Carlao. ",pt
58,DO MELHOR QUE SE PODE OUVIR DAS SE NAO A MELHOR LETRA FEITA ATE HOJE,en
59,Tu és o melhor a NIVEL NACIONAL ! As tuas letras têm um poder intemporal!,pt
60,"esta letra é maravilhosa, assino por baixo ja",pt
61,"Ele já cresceu há muito tempo, do meu ponto de vista, aqui deste lado, meu lado!
Continua a dar-lhes, Carlitos! Kiss",pt
62,É isto! É tão isto ,pt
63,SIMPLESMENTE EXTRAORDINÁRIO!  As tuas letras são MUITO PODEROSAS e IMPACTANTES ;),pt
64,esta é agora a música que está na moda!!!!!!!!!,pt
65,Que delícia de música! Acabei de ouvir rádio e vim descobrir quem é! É aí assobia para o lado,pt
66,FORÇA CARLAO MUSICA INCRIVEL,pt
67,"Que boa disposição, muito bem! ",pt
68,Amo demais,pt
69,Não paro de de ouvir à música,pt
70,Sério não paro de ouvir,pt
71,"GANDA SOM. GRANDE CARLÃO, ÉS O MAIOR MAN. PARABÉNS :)",pt
72,"Damn bom som, obrigado Carlão !",pt
73,Nosso grande poeta Obrigada,pt
74,Assobiar para o lado é o melhor ,pt
75,Excelente. Ficamos logo mais bem dispostos ,pt
76,"Ótimo trabalho, Carlitos! Assobias muito ",pt
77,"Têm qualquer coisa nessa voz, talvez algo mágico. Sucesso",pt
78,Que música tão boa onda!!!,pt
79,O importante é amar e ser amado!,pt
80,"Grande letragrande música  e grande cantor  quem não gosta, que assobie para o lado",pt
81,"Como o tempo passa, foi incrível Carlao",pt
82,Muito bom! Assobia para lado... Boa Carlao!,pt
83,Carlão és o maior dizes tudo com poucas palavras o ritmo é excelente um abraço,pt
84,"adoro esta musica, mesmo muito ,  excelente musicalidade e letra ,  muitos parabéns",pt
85,"adoro a musica é uma das minhas músicas favoritas, adoro o Carlão!",pt
86,"Maravilhodo sorriso homem lindo com temas espectaculares felicidades carlao para as filhas e familia
Adoramo lo maravilhoso!",pt
87,És um génio da música portuguesa carlão..,pt
88,"Como é possível? este Carlão, cada tiro, cada Hit! Continua ",pt
89,Amo!!!!!! Essa música minha professora me mostrou essa música,pt
90,"Caramba.... é que adoro. Fabulosa, assim de ouvir e ouvir, e ouvir........",pt
91,EU! Mesmo EU! Está música reflete quase integralmente a minha maneira de estar na vida! Vive e deixa viver!,pt
92,Não se esqueçam de assobiar para o lado,pt
93,ALTO SOMMMMMM MEU BRO,en
94,"Boa Música ! O verdadeiro sucesso é Amar e ser Amado! O Essencial Satisfaz! Não precisas de Luz, para te sentires Realizado!",pt
95,Adoro!!!,pt
96,"Como emigrante e nesta situação , esta musica da nos vida e esperança de um mundo melhor !!!",pt
97,eu adoro a tua musica é mesmo um grande som adorei,pt
98,Das minhas preferidas ,pt
99,Carlão grande música ,pt
100,"Eu que acompenhei Da Weasel desde o início e hoje quase com 40, este som transmite muito boa onda, como é normal do ""puto pack""  ️",pt
101,Tão bom. Impossível q não dê vontade de assobiar várias vezes ao dia p manter boa vibe...boa vida,pt
102,Isto é incrivel,pt
103,"Mano, arte.",pt
104,Esta música é incrível! Bom som mesmo ;),pt
105,Muito bom a música gostei de +,pt
106,Adorei a música!,pt
107,"Caro Carlão, és um gênio! Obrigada! ",pt
108,Eu  adoro a musica.,pt
109,"Óptima música, alegria e boas dicas para o dia-a-dia ️",pt
110,Amo esta musica sou fã do Carlão!,pt
111,"És muito mais que um artista, és um filósofo!!! ",pt
112,"Excelente música. Alegre, agradável e bem disposta. Fica no ouvido e na alma.",pt
113,Muito boa música! Gostei ,pt
114,"Identifiquei-me em parte nessa música..  vou começar a ""assobiar"" para o lado.. Continuação de sucessos Carlão...",pt
115,Boa música... com boa vibe... :-),pt
116,adoro essa musica,pt
117,O Carlão é muito cool ,pt
118,É muito boa a suas  musicas parabéns ,pt
119,"Também eu estou no meio do caminho... 
e a minha reflexão de vida é... para além de assobiares para o lado... tenta sempre sorrir por mais que o teu sorriso não queira aparecer!
Por vezes, por detrás de um ""Mano Enjoado"" está uma história de vida difícil... Aquele ""Mano"" pode não ter a força de espírito suficiente para conseguir ""Assobiar para o Lado"" e viver a vida com alegria... :(",pt
120,Una obra maestra,pt
121,Top Carlão mais uma boa música excelente letra e simples ,pt
122,"Fantástico! Uma prova de que a Simplicidade é a qualidade mais bela que existe. Seja na Arte ou na Vida. Parabéns! Excelente produção, vídeo, música.",pt
123,"e o Tim, saudades de te ver e ouvir em concerto... Obg Carlão, além da música, o vídeo...",pt
124,Quem me dera saber 'assobiar' para aplaudir este HINO!!!! <3,pt
125,"Mt bom, é o que eu faço, quando falam mal do meu clube, assobio para o ladoooo",pt
126,2 anos depois estou a começar a curtir este grande som do Carlão.,pt
127,Adorei.. Tão bom... Mesmo boa onda,pt
128,"a música é muito bom,adorola muito",pt
129,adoro!!!,pt
130,Obrigada! Iluminou o meu dia! És o maior! <3 os tugas precisam é disto mesmo! Esperança! <3,pt
131,Adoro este músico,pt
132,que vídeo tão maravilhoso!!!!!,pt
133,Nunca vi uma letra tão real   adoro ,pt
134,upa carlao ja faz muito tempo que eu nao ouvir issa musica mano muita boa,pt
135,"boa onda!!! adoro
assobia para o lado e sorri!!! sempre!!!",pt
136,"muito bom!! fizestes-me sorrir durante música toda! é disto que precisamos, música que nos faz  ",pt
137,Gostei! Obrigado pelos convidados ,pt
138,"Adoro, a música que FOI UM ABRE OLHOS PARA MIM ",pt
139,"Vontade de te conhecer não me falta eu adoro as tuas músicas és um dos meus cantores preferidos se não o próprio e conhecer te seria uma honra mas pronto, Abração! Que tudo te corra bem na vida e que continues com a excelente carreira ┌(・。・)┘♪",pt
140,Grande música!,pt
141,Obrigado por este ritmo excelente e por esta letra tão simples mas que diz tanto...,pt
142,Está top!! Hino para a vida! Obrigada Carlão!,pt
143,Obrigado por tudo o que tens feito em termos de música. Continua CARLÂO. Eu sou daqueles que acreditam que a MARGEM SUL tem muito para dar. E para isso não vamos assobiar para o lado vamos em frente. QUE NÃO FIQUE POR FAZER O QUE PODIA TER SIDO FEITO.,pt
144,"Tão verdade tudo nesta letra, desde o início até ao final.  Não me canso de ouvir e o ritmo, adoro ",pt
145,É único ,pt
146,"ola gostei muito do seu video, carlao oficial! eu adoro-te carlao es um belo musico!",pt
147,"Adoro.o carlaô,tanto.talento que tem ,esta musica e muito boa",pt
148,Que boa onda !!! ,pt
149,O melhor de sempre  assobia para o lado!!,pt
150,Muito Bom ,pt
151,Grande musica e letra...é deste tipo de musicas que precisamos.,pt
152,Ao ouvir esta música até assobio para o lado porque está bom demais,pt
153,"Boa música nestes momentos difíceis que estamos a viver pelo menos temos boas músicas para ouvir...
Obrigado e ASSOBIA para o lado...",pt
154,Ja fiz pequeno-almoço pra este senhor!! Grande honra!!,pt
155,Está bué fixe!!! Esta é a minha música favorita de Portugal 𝕒𝕕𝕠𝕣𝕖𝕚 ,pt
156,O  meu Astral fica espetacular com este som. Parabéns Carlão,pt
157,Adoro esta muaica,pt
158,"Há sempre um Mano enjoado...assobia para o lado! Carlos NEves Letra 5* clap,clap,clap",pt
159,"Ó pá, que maravilha! É só isso! Muito bom! ",pt
160,Adoroooo a vibe desta música!,pt
161,adoro !,pt
162,"Eu assobio muito melhor quando eu ouço esta música. Obrigado, Carlão!",pt
163,"Adorei a letra! É mesmo assim que encaro a vida 
Cá em casa ouvimos em familia!!
Obrigada ",pt
164,Tá top carlão de volta ,pt
165,Adoro...!,pt
166,O primeiro contacto que tive com HIP HOP foi com os The Weasel e agora vejo como eles estão...,pt
167,Um homem que sabe. Ouço sempre os teus conselhos!!,pt
168,Adoro ,pt
169,Este  artista  é  famoso,pt
170,"Sou fã de cara. Música muito maneira, diz tudo que nós precisamos para uma vida tranquila.",pt
171,Eu to em portugal mas sou brasileiro e vejo mto the voice kids!,pt
172,Eu e a minha amiga colocamos esta música é comêssemos a ser o centro das atenções e no final eu digo sempre mestre Carlao kkkkkkkkk,pt
173,"Adoro, a minha filosofia de vida!",pt
174,Mais uma vez uma enorme mensagem ️ ,pt
175,Grande Carlão,pt
176,"Não te conhecia até esta semana, dêsde que à minha sobrinha fez um Tiktok com a tua música! Fique encantada e dá um coup de pouce ao moral. Vai enfrente ",pt
177,Grande Carlão,pt
178,Parabéns e obrigado!,pt
179,"Carlão! Esta é para ti amigo... 
Assobia para o lado
A um metro afastado!",pt
180,Quando preciso da resposta para alguma coisa venho ouvir esta musica e se não estiver com o telemóvel assobio para o lado. ;),pt
181,Que fixe! Tão tranquila. ️ Energia tão boa!,pt
182,"Música e letra ...  a letra é o lema do nosso projeto de Escola: ""Bem-estar e saber estar"".
Obrigada Carlão 
Prof. Lai Cruz 
EBSoutelo/Vila Verde/Braga",pt
183,Adorei!! Dar um UP nesta altura complicada e que todos nós temos de fazer a nossa parte!! E já animou o meu dia bjks,pt
184,Carlão és o maior! Obrigado pela energia positiva! Directamente da margem Sul!,pt
185,ADORO CARLAO,pt
186,Adoro!! :) GRANDE Carlão* :) Amar e ser Amado é mesmo o melhor do Mundo!,pt
187,"Unico rapper que consigo ouvir.....voz,pessoa,letra e musica do melhor em Portugal,dentro deste genero musical.....",pt
188,"O tempo passa e nós mudamos, o Carlão manifesta a sua maturidade nas músicas, continua a ser único.",pt
189,"É maravilhoso assistir ao crescimento do Carlao. Estejam atentos à mensagem que ele nos quer transmitir.
Que boa vibe.",pt
190,Amo esta musica Carlão,pt
191,Ganhei meu dia Carlão. Parabéns.,pt
192,"Grande música, graças minha mãe fiquei ouvir esta música!!! Grande Carlao!!!",pt
193,Amei. Show.,en
194,"Top Carlão, esta música mudou me o dia :D",pt
195,Obrigado pelas energias positivas Carlão! Animou o meu dia nesta altura de ansiedade colectiva. Luz e progresso para ti e para todos ,pt
196,Ótima música,pt
197,"Nem sempre é facil assobiar para o lado, mas tentar é facil",pt
198,Nunca ouvir melhor!!,pt
199,A melhor filosofia de vida!,pt
200,Adoro!!!!!!!!!,pt
201,muito bom! grande mentor!!! VAMOS NUNO!!!!!!!,pt
202,Isto é TOP,pt
203,É só assobiar po lado........o segredo da paz e felicidade. Dá lhe Carlão,pt
