,comentario,liguagem
0,I love it so much ,en
1,Don't worry you are not the only one listening to this masterpiece in April 2023 and this never gets old,en
2,To viciada nessa música e muito perfeita ,pt
3,This song gonna be stuck in my head. I can hear it over here. I can hear it over there.,en
4,Still being played often on many radios…I love this,en
5,"The voice of these two are beautiful, how to describe it? I loved",en
6,"'LEFT AND RIGHT' ES IRRESISTIBLE LET GO ARMYS Y JUNGKOOKNISTAS, VAMOS POR 400 MILLONES PARA 'LEFT AND RIGHT' VAMOS POR NUESTRO HERMOSO JUNGKOOK Y PARA CHARLIE PUTH!!",en
7,No word can describe the beauty of their voices and There is no word that can describe the beauty of this SONG!!!,en
8,Não me canso NUNCA. Amo demaaaaais!,pt
9,Como army a 5/4 anos é uma nostalgia mt grande e boa ver como meus meninos evoluíram tanto emocionalmente e fisicamente e gratificante.,pt
10,The voices fit so well together! Very nice song,en
11,"Que voz maravilhosa essa do JungKook,voz de veludo, que faz tanto bem aos nossos ouvidos.Parabéns aos dois pela música.",pt
12,fact:if you wear headphones while listening this song you will feel it over here and over there trust me,en
13,"This is one of the best collaborations I’ve ever heard before and I can’t stop listening to this
Jk and Charlie didn’t disappoint with this masterpiece",en
14,"Como pode alguém ficar tão bonito de rosa? Essa é sua cor, Kookie!",pt
15,THIS IS A MASTERPIECE,en
16,10 meses depois e continua boa... ,pt
17,Listening with headphones and i can hear it over here and over there ,en
18,"this collab is immaculate, their voices synchronise together so well, and the music music video is so creative",en
19,"it gives me chill,  their voices fit so well together ",en
20,I’ll never forget the day when this came out. One of the happiest day of my life ,en
21,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
22,"Their voices are so good together... This feels like a perfect song and it's gonna be stuck in ""every corner of my mind"" for a while...",en
23,"Harmonia é letras estão incríveis, meus parabéns!",pt
24,gosh this song is so relaxing and the part for kookie makes my heart beat so fast! Literally a masterpiece!!i will never forget this song!,en
25,This already sounds like a bop. Charlie puth is getting better after every single collaboration and we are all here for it.,en
26,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
27,This is one of the best collaborations l've ever heard before and i can't stop listening to this Jung kook charlie puth didn't didn't disappoint with this masterpiece ,en
28,This two really have beautiful voices love this song,en
29,"Adoro esse som!!
Jungkook transforma as músicas Ótimas, em Perfeitas !!!🇧🇷",pt
30,Essa colab ficou muito perfeita🇧🇷,pt
31,A legendary song! I never thought this collab would come! Cant stop listening to this song omg. Their voices fit perfectly!! Everything is so perfect!! Best collab.,en
32,"So good, their voices matches so well",en
33,"Let's get this to 400M
They deserve it!♡",en
