,comentario,liguagem
0,"One of the most haunting visual pieces ever created. 

I think about the song sometimes, it's sound, it's imagery, it creeps me out- it could all mean so many different things; every frame. ",en
1,"still one of the most meaningful music videos i’ve ever seen, no crazy flashing obsessive editing or audio just pure reality, nice to see people still come and listen to this",en
2,I remember when this first came out I was in my senior year and my philosophy teacher showed it to the class and the entire class we talked about the meaning behind each part. It’s genuinely an incredible video,en
3,Um clássico!,pt
4,"Song is easily a classic.... Its just so many hidden gems in this video.... from him, the lyrics,  the dancing, even down to the faces he makes at the very beginning its just to much stuff to name if you really pay attention.... This man is a fkn genius how he put this together its insane. I wish he would have kept making music all his shit is FIRE.",en
5,"The guy is crazy talented.  His acting is great, his comedic timing is on point, his dancing is just crazy good, and he sings and writes music that is very catchy.",en
6,"This  song still sounds fresh, a timeless song. I never get tired of listening to it",en
7,"it's so incredible that Glovers performance literally makes the audience disregard the mass violence on screen, his energy makes it so hard not to look at him",en
8,"One of the most poignant, artful, and demonstrative pieces ever created. I watch it multiple times a year for perspective--not just perspective on the black experience, but perspective on how juxtaposition and thoughtful choreography can communicate what words can't. Beautiful and harsh in every possible way.",en
9,"This is the song that got me into listening hip hop and english rappers in 2018, I'm from Spain and there's a language barrier so I didn't understand the song, now I come back to this gem and I can see the true meaning of the lyrics, always grateful to this song for everything that gave me and it's messages ",en
10,"i remember when this song came out and I've watched this music video so many times, but everytime it sends chills down my spine. it really does capture the society we live in to this day",en
11,Clipe maravilhoso,pt
12,"in one of my college poetry classes I was introduced to this. First time I ever heard the song or saw the video, and wow. Crazy how good it is and how tragically accurate it is. Along with other stuff it's helped open my eyes and be more aware of the society we live in, specifically here in America. I was incredibly naive as a child.",en
13,I can’t believe it’s been years and this song is still very relevant now in our society. I think people need to really listen and understand songs like this!!,en
14,This performance is going to continue to be relevant over time as an unfortunate reminder of all the negatives that perpetuated. It would be nice to find ourselves sometime in the near future rediscovering this as a long forgotten gem in a time when we've gotten beyond this all.,en
15,"I think people often assume this song is about racist police brutality in America, but I think a closer look reveals it's moreso about how we're secretly entertained by the violent stuff that happens in our world. How it for a moment distracts us from our depressed existence and how quickly we move on once the news cycle globs on to the next thing.",en
16,"What an important piece of American culture encapsulated in a moment in time. Very finger on the pulse of the moment and yet still timeless unfortunately. I remember I watched it four times in a row on the day it dropped, in shock and in awe. Beautiful and brutal.",en
17,I can’t believe this has only been out for 4 years. It feels like this is timeless and it’s been w America always.,en
18,"Just decided to rewatch it today and man , this such an excellently made music video and almost done in one continuous take. I don’t get bored watching this artistic music video and yet such a very serious theme that is very true till the present times of 2023",en
19,"definitely my favourite music video, i always come back to it. incredible, and unfortunately timeless work",en
20,"Can't believe it's been 5 years already, still feels new and still slaps hard",en
21,this video chills me to the bone. it so fkn deep. childish did it the damn thing. this is art at its finest.  the opening scene to when he shoots the choir. it’s very scary to me how we captures everything from literal & metaphorically.,en
22,The imagery of the gentle cloth wrapping for the guns while the bodies lie abandoned and bloodied and just dragged away without a care is still so haunting.,en
23,My buddy just showed me this for my first time.  10 times through and I still get a tear.  Amazing moment in art and music.,en
24,"One of the best Music Videos ever made. Simply brilliant. Total tune as well, what a track",en
25,"isso é uma obra de arte
essa música merece mais de 1bi",pt
26,"incrivel! essa música tem uma figura de linguagem surreal, tudo tem um significado e um porque. me arrepio toda vendo e ouvindo isso",pt
27,this music video will never fail to give me chills. what a masterpiece,en
28,"This has to be one of the most powerful uses of a music video around. The video is packed with symbolism, and I've watched it several times over and i still think I've missed loads.",en
29,"MASTERPIECE.
Goosebumps, tears, head banging I have it all.",en
30,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
31,"5 years since this masterpiece dropped, still hits hard today",en
32,"This music video absolutely rules, a really impactful song and a music video to match. Gotta love good art ",en
33,"one of the things this music video does so well is how it takes your attention away from what's happening around Gambino, and how it almost makes you focus on him and the backup dancers",en
34,"Still a very powerful video after all these years.

As one commentator posted, "" this song still gives me all the shivers and goosebumps."" I agree!",en
35,"This song only gains meaning with time. This man was ahead of his, and with every shooting I’m reminded that America is doing nothing to change",en
36,"Essa música completa 5 anos hoje!
Essa música é um hino! ️",pt
37,THE GOOSEBUMPS I STILL GET FROM THIS SONG......WOOOO,en
38,"Still one of my favourite music videos after 4 years, masterpiece",en
