,comentario,liguagem
0,This song has a healthy message underneath it all. The best partner is someone who also recognizes your worth. You deserve to have someone acknowledge and appreciate your value as an individual.,en
1,"Take a minute to listen to the lyrics and not be distracted by all the things done to appeal to the masses. The lyrical content is for sure something that we should celebrate. Male or Female, telling people to treat you like how you’d treat YOU is a very powerful message. She’s doing good.",en
2,"Only 11M views? This video × song deserves way better. Her vocals, her dance moves, the looks. It's all there. Chloë is very talented.",en
3,This song is my confidence booster. When I need a reminder of empowering self-love. She gets it. And we need more strong women like her in the music industry.,en
4,She looks like she is having so much fun dancing and performing during this time of her life. And this album is looking to be amazing. I love how she takes on different tones when she sings. Her sound is definitely not boring.,en
5,"I really LOVE how Chloe easily improvises around the blues scale hitting the hard blues notes at just the right times.  Her vocal control and use of head voice to add different brightness levels as well as tone colors is so natural, beautiful and well controlled that it just blows me away.  I hope that her success results in more musical output rather than a lessening of new material due to financial gain.  ",en
6,The fact that that’s not auto tune at the end.  That’s her voice LAYERED!!!!!!!! She talked about how she didn’t like the sound of it so she stacked the harmonies. Heifer is the hardest working heifer is know. I LIVE FOR IT!,en
7,How can she move her hips like that omg TT AND she has killer vocals - God really took special care making her ,en
8,This deserves many more views like the visuals and vocals were servingggg,en
9,I love every single thing about her idk why she gets so much hate for being CONFIDENT. She’s phenomenal,en
10,"She can sing very good, has a high range voice, looks amazing and is a good performer. She deserve it! Wish all the best and not to forget the song is great",en
11,amo essa,pt
12,This is not easy to do vocally! She’s gonna kill this live!!!! Can’t wait to hear these runs ,en
13,"If you gone do it, DO IT!! Lol my only issue is that she tried to make excuses and say she wasn’t trying to be sexy or sexual and downplay her actions. I just wanted her to OWN IT and say “SO WHAT!” I’m hoping she’s finally doing it. Live in you and who you are and be proud no matter what anyone says, never backpedal or make excuses to make others feel comfortable. Love the lyrics, rooting for you.",en
14,You know what's special about Chlöe? It's the fact that she goes all in!,en
15,She’s AMAZING!!!!! Very talented! It’s so great seeing an artist come into their own sound and style... keep going Chloe!!!!,en
16,"the beat, the lyrics, her gorgeous voice GOOD LORD SHES A STUNNER",en
17,"This is pure art, from the vocals to the visuals! ",en
18,I am glad she is confident with herself. I definitely don’t remember being that confident with myself when I was in my early twenties. Love seeing what she releases because she is so creative,en
19,"Your vocal and music production is enough for us, Chlöe. U don’t have to strip down like this. ",en
20,CHLOE is so talented. She really doesn't need all these gimmicks. She needs to let her talent speak for itself. She doesn't need to take off her clothes,en
21,This song bumps hard. And her lyrics speaks facts. Treat me like I treat me. You go Chloe ,en
22,"this still remains as chloe’s best song + body do and pray it away, yall cannot change my mind",en
23,What a good start for a career of she keeps popping songs out like this catchy beat and good message  and good choreography,en
24,This is one of my favorite songs from Chloe. The contemporary pop dance songs fit her the most,en
25,second album has to have a sound like this ️,en
26,"Maravilhosa

Clipe incrível.....",pt
27,How is it possible that the fans did not make her album go Nr 1?,en
28,This song has grown in me massively. It took nearly 2 months but I’m fully onboard. I love it,en
29,"The last 30 secs gave me chills   the way she harmonizes with herself, the vocal range, 10/10",en
30,"this is such a GOOOOD song, thank you for sharing your talent with us Chlöe ",en
31,So talented so beautiful. This girl is the new industry play toy. Since she’s went solo and releasing her independent so much symbolism in her videos so many signs. Very obvious hope she’s ok mentally and she’s ready for what comes with that,en
32,i love how shes so self assured i always listen to her music when i feel down or insecure,en
33,"she gave me chills soon as she started dancing, i remember watching her and her sisters covers when i was 13 and i love that their doing what they want now and getting recognition. her and normani would have a great song",en
34,Absolutely love it! SHE NEEDS MORE RECOGNITION!!!!!,en
35,She gave us BODY VOCALS VISUALS AND CHOREO I'm so impressed and humbled to share this slice of space time with Chloe ️,en
36,She’s so beautifully talented !!! My eyes be stuck every time,en
37,WHY DIDN'T THIS SONG GO #1 ON ALL CHARTS????????? OH MY GOD!!!!!!!!!!!! THIS IS A HYMN.,en
38,I'll Always Come back to it to see pure and raw talent. Keep the pop.,en
39,Perfeita demais ️,pt
40,"I think this song would have been Chloe's first #1 hit, its literally a masterpiece vocally, lyrically and the visuals were really good. My only issue is that it's too short, when she sang the chorus the first time and the ""Exceptional"" part came, I wish it had been a little longer. The second time for the chorus, it would have been really interesting if she started belting the ""treat me"" part, you know... using her FULL voice, cause we know it's there, she just be holding back sometimes.  But regardless, she's a growing artist and mf talented one too, I can't wait to hear her future projects. ",en
41,You can’t buy this kind of confidence within one’s creative perspective! She’s exciting to watch and I look forward to the kinds of minds and hearts she’s going to inspire in this and next generation of creatives.,en
42,Here one year later!!! My confidence booster!! Love this song and Chlöe with all my heart. ,en
43,This song deserved way more attention that it got.,en
44,"This video is amazing! She is talented, hard working and stunning and I hope she gets all her flowers ",en
45,I love this song so much! I can't wait ti see what she comes out with next. Got this on repeat the last couple days,en
46,I keep coming back to this MASTERPIECE! ,en
47,I love you chloe. People be too busy looking at the choreography  but dont wont to listen to the lyrics. This song is about self love.  And basically telling the spouse to treat you the way you would  treat your self. Love it,en
48,"Quando eu escutei treat me pela primeira vez não gostei muito, mas agora se tornou uns dos meus hinos favoritos. Chloe sempre arrasando ",pt
49,Ela é talentosa demais,pt
50,"This song is so underrated and slept on. It’s amazing, I love it",en
51,"Love her music so much, i don’t understand why someone could hate her",en
52,PERFEITAAAA ️,pt
53,It’s crazy how she has so many different sounds in one song. She is crazy talented and how they all come together.,en
54,"I love her so much because she’s not boring yo ️ a real artist AND performer, giving choreo, looks, vocals, EVERYTHING",en
55,I'm waiting for her to take her voice to that high high range like they go in operas. I know she can do this,en
56,This song is fucking slept on. This is Chloe being reasonable. She deserves success and she’ll achieve.,en
57,Maravilhosa 🇧🇷️,pt
58,This song is so dope and its also a good song to workout to,en
59,"This is a masterpiece… I love the way she delivers herself on vocals, dancing e sensuality ",en
60,"The theme, the set, the concept, the VOCALS, the choreo, EVERYTHING is on fire!! This is definitely worth waiting for!!!",en
