,comentario,liguagem
0,Chris is about to take over 2022 ,en
1,One thing you can't take from Chris is his consistency in the music game....he has been dropping hits for years.,en
2,"I have a lot of respect for this young man right here. Sing, dance, and act. He’s been through a lot and puts his hurt, pain, and happiness into his music. Very talented. Keep Shining Chris.",en
3,"Breezy never disappoints 
This song and the entire album is a master piece and it deserves way more views than it has right now.
It pains me to see Chris being so underrated even when he has proven enough to be the goat.",en
4,"Loved this song from the first listen. Chris is unmatched in his longevity and relevance as an artist. He always comes thru as a dancer, choreographer, actor and so much more. Love you, Chris boo. 4EverandEver ",en
5,Incrível como o audiovisual do Chris Brown é impecável. CB é de longe o artista musical mais completo entre os vivos! ,pt
6,Can't stop listening to this jam... Chris Brown and making hits are made for each other,en
7,Chris Brown never disappoints at all he’s been making hits for a while I’m loving this video ,en
8,"Não consigo entender como essa música não ficou em Alta, definitivamente umas das melhores do álbum ️",pt
9,"I am so addicted to this song; it is literally on repeat. Love me some Chris Brown, love your music continue to be great Chris!!!!!!",en
10,Os anos se passam e chris brown continua com uma qualidade audiovisual surreal .,pt
11,He’s still here. I love that! He does work hard and create really good music and he’s such an phenomenal performer ,en
12,Great choreo ,en
13,I really love this song ! Very much a vibe! This about to be a summer jam. ,en
14,"Yo Chris knows how to lighten the mood up when it comes to his music and visuals compared to a lot of rap music that’s out today. Everybody smoking on op packs, selling drugs and showing they drakos. Music isn’t fun any more like it use to be but when Chris pop out he reminds us how fun it is to just make good music and visuals. Keep doing ya thing bro.",en
15,I love how Chris Brown never gives up he's been doing this for a long time now and I hope he'll be doing for many many more years I'm a fan and have been since I was six so love u Chris now keep up the good work,en
16,"Chris Brown, manda bem pra caramba! Inquestionável o seu talento!",pt
17,"I just think it's so cute how Chris has literally been putting little kids in his videos since the beginning of his career! That just warms my heart so much. He's putting the talented little ones on and giving them chances to dance, act, and have fun on his sets! Imagine being able to grow up and say that you were in Chris Brown music videos when you were little. ",en
18,Chris brown has been given us good music for a long time. He never disappoint. Much love to you Chris.,en
19,"This man does more than make Music he makes ART!!  His music is something that could only be created by an Artist hence why he also can paint and draw.. his music makes you want to MOVE similar to James Brown and Michael Jackson! Chris Brow is a blessing to this world, this song puts me in the greatest mood! Thank god for this man! Thank you Chris Brown",en
20,"Chris Brown is a literal legend, for years he still is a legend 
We need to give him some more love he's amazing.

Always on point",en
