,comentario,liguagem
0,this song will never get old ,en
1,"Não se faz mas  boas músicas como essa e outras ,amo esse tempo 🇧🇷🇧🇷🇧🇷",pt
2,"We don't search for old songs,

we search for old memories.️️",en
3,It's been 8 years now but still new to me whenever I listen to it. It never gets old ️️️,en
4,"Foi com essa música que me tornei fã do Chris Brown 

I love you Chris you're my bestie Singer ",en
5,"Eu amo essa música  escutava demais em 2013 quando lançou o áudio, me sentia empoderado  aprendi  muito sobre dança  esse cara breezy e   suas músicas curam depressão e baixa estima, sou grato que ele possa entrar para a história de melhor cantor  de r&b e dancarino salve a lenda",pt
6,"Mesmo depois de 7 anos, o ritmo, a vibe dessa música, nunca nos enjoa.",pt
7,This song will forever be a hit. They'll be rockin this in the year 3000 Lol  but seriously it'll never get old and Chris Brown's dance moves !!!!,en
8,Impossivel escutar essas musicas tops das tops e nao começar a dançar...tempo bom ,pt
9,This song is still on my playlist! Never gets old ,en
10,Passe o tempo q for essa música sempre vai ser hino ️,pt
11,"People use to criticize this era of music, now they miss it",en
12,"Essa música é um hino, meus amigos. Bons tempos!  ",pt
13,"Timeless song!  Whenever I listen to this i just wanna bust a move or find myself jamming to it regardless if I'm at work, gym etc  CB's dance moves is unmatched ",en
14,This is a forever song. Never gets old and you can't help but dance or nod you head when you hear it.,en
15,"This is one of those nostalgic songs that you forgot existed and don't recognise, yet the moment you hear them you know them word for word.",en
16,This song is TIMELESS! Chris has so many TIMELESS classics  GOAT ,en
17,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
18,For me this song will never get old I love this song so much.,en
19,"Essa música marcou muito a minha época da escola, que saudades desse tempo!",pt
20,Still sound fresh. This is what we called timeless hit.,en
21,"100%good lyrics
100%pure talent
100%happy",en
22,Amo essa música,pt
23,Essa música intemporal ,pt
24,8 years later and its still one of the best hits made   never gets old,en
25,I never get enough of this hit! This hit is actually one of the reasons 2014 was a memorable year for me!,en
26,"Good!!! Out of all the Chris Brown songs and videos this is one of my favorites... this guy is magic, where he puts his hands turns to gold!!! I'm a fan!!! Very fan!!! This kid is ten or a thousand!!! Okay, a thousand is ten!!!! I'm your fan!!! Your admirer!!! When I return to Brazil, I want to have and be able to have the honor of meeting him up close... I love this kid's videos!!! May God bless you so much, always including your family members!!! My name is: Rubenn Dean Paul Alws ""Petrópolis, Rio de Janeiro"" Brazil... come on follow me too please!!!",en
27,Been a fan for ever since 2010 or probably wayy before that lol but loved him every since! Chris is so incredible and multi-talented I'm so proud of him! 2023 #Teambreezy4l,en
28,You know a song is a timeless hit when it gets fresh comments everyday,en
29,I remember listening to this everyday when it first came out!!!!!Still hits,en
30,"essa música marcou a minha vida, ouço até hoje ",pt
31,"This song is so great not just because of the music, but the truth in the lyrics",en
32,Talento é oque não falta nesse cara ,pt
33,"This song is 9 years old, but still we make bad experiences in our live. This song is a statement to all of us.",en
34,The profound truth behind the words behind this song is what makes it such a timeless hit!!!,en
35,This music never gets old,en
