,comentario,liguagem
0,This is a classic!  ,en
1,This is the Sountrack of the 90's!,en
2,An unforgettable song being passed down from one generation to the other! Rest In Peace Legend ,en
3,"This never gets old.

R.I.P. Coolio, you will never be forgotten.   ",en
4,"90's and 2010's kids grew up on some good music. Rest in peace, Coolio",en
5,I love this song is  a masterpiece one of my favorites of all times.R.I.P Coolio you’re gone but never forgotten.️,en
6,"Rip Coolio, You will always be remembered.",en
7,even without autotune this guy was a beast rest in peace cool your music was the proof that there were still good voices. ,en
8,"I love this beat and the hard work they did for this masterpiece,R.I.P Coolio",en
9,"Grande coolio, no Brasil, está música tocava em todos os lugares, obrigado por compartilhar essa obra de arte com o público brasileiro",pt
10,"This guy shows us that good music can be made  without autotune, girls twerking, expensive cars, swearing or drugs. Love this masterpiece. (Rest in peace Coolio ️)",en
11,I don’t think anything can beat this masterpiece. RIP coolio,en
12,"This never gets old.

R.I.P. Coolio, you will never be forgotten.   
*",en
13,"RIP coolio!!!
You never be forgotten ",en
14,Não consigo acreditar que só conheci essa música agora 🫠 Isso é uma OBRA DE ARTE ,pt
15,This song got me thru some of the most painful times in my life even as a kid. You got me through A LOT. RIP Coolio.,en
16,"Death ain't nothing but a heart beat away... RIP Coolio, we will miss you",en
17,You just can't ignore the quality of lyrics. 90s rappers were really inteligent not like today's shitty rappers.,en
18,We will never forget our legend  rip Coolio ️,en
19,Ele pode ter ido embora mas essa música jamais será esquecida assim como ele também ouvindo em 2023,pt
20,"It will never die, it will be in everyone's hearts Without a doubt this will be one of the great songs of all time RIP Coolio ️",en
21,this song will never get old,en
22,Coolio is the reason why I’m still listening to his greatest masterpiece of his career. R.I.P. to the gangsta & forever remembered.,en
23,"I just love this song, even more as i realised he posted it the day of my birthday.. 
RIP Coolio, i'll never stop listening to this masterpiece. We all loved and still love you ",en
24,"EVERYTIME I LISTEN THIS,I GET REMINDED OF HIM
RIP COOLIO,THANKS FOR MAKING MY CHILDHOOD REAL HOOD!!!
FLY HIGH KING!!!!!!!!!!!!",en
25,Rest In Peace Coolio We'll Definitely Miss You. Thank you for giving us an amazing career and entertainment you've provided,en
26,"R.I.P. Coolio, you will never be forgotten.   ",en
27,That’s what we can call a masterpiece ,en
28,This music will always give me energy boost whenever im working out.,en
29,I'm here to pay my respects to Coolio..may the future generations never let this music die! Rest well legend ️️️,en
30,RIP Coolio- One of the greatest songs ever!!,en
31,One of the greatest songs ever rest in peace ,en
32,Adoro esse tipo de música e essa é muito linda tem letra e um bom som instrumental,pt
33,This Song Always Gives me Goosebumps,en
34,One of the best artists ever great song never gets old rip coolio,en
35,"An amazing rapper, with a legendary song to a great 90's movie! Both still give me goosebumps to this day!

RIP Coolio ",en
36,"This is masterpiece ️
This song never gets old ️
Best rap song ever 
LEGENDS NEVER DIE ",en
37,RIP Coolio you will always be remembered,en
38,Clássico 🇧🇷,pt
39,"Melhor filme, melhor música.
Rip Coolio!!!",pt
40,Essa música e muito boa ,pt
41,"RIP Coolio, one of my all time favourite songs. You won't be forgotten.",en
42,We’ll miss you Coolio. Rest In Peace,en
43,essa música é um hino....,pt
44,muito bom,pt
45,"What Coolio expressed in the song is only justice and truth ️️
I hope he hears our thoughts about him",en
46,"Man I swear I love you, you'll always be remembered and you'll be in our hearts! Will always respect you and your family, God bless you all! Rest in Peace man, you're legend!",en
47,U may rest well Coolio.. This legacy u created in this one track will live forever. They say as long as we remembered we didn't die.. Well you will live forever!,en
48,"This is without a doubt, one of the best sung songs in human history!",en
49,This brings back the good times.  I was in my 20s in the 90s.  Best decade of my life !!,en
50,RIP Coolio. This is one of my all time favorite songs of all time. You will be missed. RIP Legend,en
51,"The song is a commentary on the struggles of life in the inner city, particularly for young black men who are caught up in a cycle of poverty and violence. Coolio's lyrics paint a vivid picture of life in the ghetto, with lines like ""Living life like a king, but only for a few days"" and ""Death ain't nothing but a heartbeat away.""",en
52,This song really is a source of inspiration motivation and encouragement for people  with problems not only in marriage but in all aspects of life . Really deserves to be the greatest Song in all of human history.,en
53,"The line ‘ if they can’t understand it how will they reach me ? ‘ 
man. Instant cold chills.",en
54,Rest Well Coolio .your music will shine 4ever and ever for Ever and ever again.,en
55,RIP Coolio....This is one timeless jam.,en
56,This music is entirely my 90’s…,en
57,"The fact that nostalgia hits hard but not only that tho, our legend who made this masterpiece died 7 months ago. He'll never be missed. RIP Coolio from 7 months ago..",en
58,2023 and still a hit,en
59,"Best time of my life.
Rip Coolio ",en
60,"Muito legal essa música!
Eu assisti o filme e essa atriz foi muito boa!
E tocava essa música, e toda a vez no recreio da escola tocava essa música.
Gosto muito dela ",pt
61,"Ladies and gentlemen, this is a song that turns juice into wine, PJ's into suits, apartment buildings into mansions and depression into power 
R I P Coolio ",en
62,EM 2023 ESTAMOS COMO  ESCUTANDO COOLIO 🇧🇷🇧🇷🇧🇷,pt
63,"Rest in peace Coolio, arguably the most iconic songs dropped of all time. Your music and influence will continue to carry on.",en
64,Hell yeah  Much love to Coolio ,en
65,One of my favorite classic RIP Coolio,en
66,"Rip coolie, you will always be remembered ",en
67,"This song still such a hit and a masterpiece. Rest in peace legend Coolio, you won't be forgotten",en
68,Back when the music had actual lyrics ,en
69,Uma das melhores!!!,pt
70,This rap always gives me goosebumps,en
71,i remember my music teacher played this in middle school and i was so hyped cause it was rap. Coolio changed my perspective on rap frfr!,en
72,Classic song. Epic tune and lyrics.,en
73,Such a classic example of how rap should be,en
74,"Tenho que confessar que quando eu era criança, eu tinha medo dessa música, acredito que pelo toque dela. KKKKK mas eu adoro ",pt
75,"This is my favorite song from 1995, and I still like the song. In its year, it was the best song in the world and the best song melody in the world.",en
76,i need to say it this is an AMAZING EPIC MASTERPIECE,en
77,You will always be in my heart through this song...... I grew up listening to this on a casette that my father bought..,en
78,"RIP Coolio. You will be missed, but your music will forever live on.",en
79,Descanse em paz lenda,pt
80,"A message to future generations 

don’t let this song die .",en
81,"R.I.P LEGEND 


WE WILL NEVER FORGET YOU! ",en
82,This music is a masterpiece,en
83,Coolio is a absolute legend,en
84,You are a great singer Coolio! I love your music forever! RIP my great superstar singer!,en
85,"Thanks for this masterpiece
Legends never die ️🫡",en
86,This song was so iconic growing up in the 90s!,en
87,"RIP COOLIO. 

Thank you for making the 90’s what it was. ️️",en
88,R.I.P Coolio you will always be remembered in our,en
89,Isso é um patrimônio histórico da humanidade!,pt
90,R.I.P coolio this masterpiece will always remember you,en
91,"Even though I’m a kid, I’m always a GANGSTA RIP COOLIO",en
92,Forever in my playlist,en
93,This song will forever be legendary- came at a time at the height of gangsta rap and was a watershed moment to look internally at ourselves- changed my whole teenage perspective on life- shout out to LV for those haunting lyrics! MHSRIP ,en
94,this song will be a 100% classic in the future,en
95,"Lyrics : 
As I walk through the valley of the shadow of death
I take a look at my life and realize there's nothin' left
'Cause I've been blastin' and laughin' so long, that",en
96,I miss coolio I still can't believe he's gone!,en
97,"Don't let this song die, even tho we lost Coolio.",en
98,"R.I.P COOLIO, greetings from Russia, this song is a masterpiece",en
99,"""That the ones we hurt are you and me"", hits deep.",en
