,comentario,liguagem
0,"the neighbourhood can never make a bad song, literally in love with every single one of their songs.",en
1,When I listen to the neighborhood I have a feeling that I can't even describe,en
2,Currently writing a story. Their music somehow makes me enter a creative and emotional state of mind which makes the writing process so much better.,en
3,if you’re here you have great taste,en
4,The beginning makes me want to cry. Hell the whole song makes me want to cry. Wth am I saying. This whole damn album is just so beautiful ,en
5,This song is like a romance between me and depression.,en
6,"I think I talk too much
I need to listen, baby
I need to listen, baby
I need to listen good",en
7,His voice is ..... there are no words to explain his voice ️️,en
8,"This song hits straight to my heart. It perfectly describes me, no joke",en
9,have i been sleeping on the neighbourhood this whole time?,en
10,"I'm in love with their instrumentals, not to mention the lyrics. Omfg I love their songs so much",en
11,"Hope u guys come back, or if u dont come back, im happy that i know the neighbourhood when i was younger, knowing the neighbourhood was the best that can happened in my whole life, thanks for making my life better in the years, and if u guys dont come back, i will continue following all the musical careers of all the integrants of the neighbourhood and hope all of u shine:')",en
12,This song makes me feel things i can’t explain. like chills.. but not chills. idk either way i love it,en
13,I swear dis song is always on repeat for me n always stuck in my head! ,en
14,This song and daddy issues are stuck in my head XD,en
15,this song deserves to be more popular and noticed,en
16,"Both Melanie Martinez's Cry Baby and The Neighborhood's Cry Baby are great songs, no need to compare.",en
17, muito amor por essa banda!,pt
18,This was the first song I ever heard from this amazing band. That was when I was 15. I’m 21 now and I still get the chills when I listen to them like I was my first time discovering them alone in my room with my headphones on. Except now that I’ve matured a little more I listen to their songs with a new perspective. their songs are so beautiful with  amazing lyrics and that’s why I always come back to listen ️,en
19,This song gives me a feeling of wanting to go out in the middle of the night,en
20,"eu escuto essa musica desde 2016 e não enjoei até hoje, sinceramente a cada vez que eu escuto tenho uma emoção diferente",pt
21,"the neighbourhood never fails to make an amazing song. any of these songs just make you bob your head to them, and give you comfort. because you know youve found a good song that makes you happy.",en
22,I remember being stoked over this album release with my friend. Miss her.,en
23,"mano, agr na quarentena eu simplesmente me APAIXONEI por músicas indies",pt
24,Words cant describe how much I love this song ,en
25,"for some reason almost all the neighbourhood' s songs make me emotional, but this song just makes me want to dance",en
26,Favorite song on this album!!!,en
27,"jesse's voice and overall all of the neighbourhood's songs really calm me down, no matter what song. thank you.",en
28,"a mulher falando ""peraí minha filha"" no começo é uma das partes icônicas da música",pt
29,I always loved listening to The Neighbourhood and theyre just so good! This takes me back to the good times,en
30,I never get tired of this song,en
31,Musicão da porra ,pt
32,The Fact That They Have A Guitar Cryin In The Background makes this song a billion times awesome ,en
33,"This was my first song (or it was daddy issues) and I promise you, after hearing this song, I high tailed for the nbhd’s very first song and went from there. I know I was late but now I know every single song. Now I’m waiting for the new album in March ",en
34,We are on quarantine and I feel like I'm on the beach listening to them,en
35,"Probably the best song on the album. The guitar before the chorus is probably what got me hooked, how it jumps from C to D with the A# and the E# in the middle. But I don't think they should have switched it up in the second measure. It has a very sexy, romantic vibe to it.",en
36,"Why do I relate...so much. I’m obsessed with this song. During chores, I find myself dancing to it ",en
37,significado de perfeição é essa musica,pt
38,ESTA CANCIÓN ES LO MÁXIMO!!!!!,pt
39,This song gives me 60s vibes and makes me wanna Swing dance,en
40,This song is sooo good I think I hit replay too much lol,en
41,this song is so underrated.The vocals and music is so beautiful.,en
42,i fell in love with his voice,en
43,"As someone who went through trouble, this really hits hard as well as the whole album",en
44,never gonna get tired of this song,en
45,I can't stop listening,en
46,"First Verse: I had enough falling in love with you baby and that’s not what I wanna do.

Second Verse: I had enough, falling in love with you baby, yeah that’s just what I’ll do.",en
47,This song makes me feel like I’m in a vintage movie montage in New York City and I’m having an adventurous night. ,en
48,3 years and this is still my favorite song,en
49,All your songs are great!! ,en
50,bruhv I've been listening to this on repeat for the past 6 hours- its my favorite song not just by the neighborhood but in general its that good. this is why they're my favorite,en
51,Jesus I love this band I heard them when they played at Coachella on the live stream my god I fell in love,en
52,holy shit this is good,en
53,Love this song!!️,en
54,I’ve been listening to this song on repeat for 2 years straight. I love it so much. It calms me.,en
55,"love this song 
can't stop listening to this music",en
56,"THAT SONG WAS MASTERPIECE, ALWAYS STUCK IN MY HEAD.",en
57,they better make another album soon cuz I'm waiting way to long,en
58,i can relate to this song so much i always wanna cry when i listen cuz its so beautiful,en
59,God I love this album.,en
60,"this song makes me want to drive at night by listening to full volume the entire album, even if I don’t have a car.",en
61,"The Neighbourhood, has zero, ZERO BAD SONGS-",en
62,this song makes me feel like a bad ass while also falling in love when i don’t want to. longing for someone when i know it’s not good,en
63,i can listen to this everytime and never feel bored,en
64,"Took a break from The Neighbourhood for a few months, came back and there music sounds as first listened...bliss to my ears ",en
65,"Another one of my favorite songs from the neighbourhood, i feel soooo nostalgic everytime i hear this song too, i remember the times when i was happy, when i was younger, sometimes i just want to back to the past, the neighbourhood was the best that can happened in my life, 6 years ago i found the neighbourhood, and is still my favorite band.
Thanks for making my life better THE NBHD <3",en
66,Can't stop listening to this.,en
67,hands down the best song they have ever made,en
68,still a bop,en
69,I'm so glad I discovered Chase Atlantic and The Neighbourhood before it's too late.,en
70,The best band ,en
71,The Neighbourhood has my heart,en
72,The best vibes,en
73,It is impossible not to love this song <3,en
74,This my favorite song of this album ♡,en
75,This song is ART,en
76,I’m never going to get tired of this song bruh,en
77,This song has a beautiful melody and the song is so sad at the end.,en
78,Love this song,en
79,"I’ve cried too many times to this song, I think I’m out of tears.",en
80,2020! Highly addictive I’ve listened to this song for years Hehhe and still hit replay,en
81,i think- i think you can actually fall in love with someone’s voice,en
82,this is my favorite song by them and will continue to be,en
83,"The neighborhood is the best ,hear to them most of the time ",en
84,im in love with this song omg,en
85,this is one of my favorite songs of all time,en
86,it's sad that their underrated but isn't there a part of you that wants them to stay that way cuz honestly i do,en
87,"i swear i have many moments just surfing through the neighbourhoods songs. personally, my favourites have to be A Little Death, Void and Scary Love. i mean, every song is great, but you gotta have favourites , i legit have a playlist of around 40 of their songs. absolute legends, the bastards.",en
88,This song makes me feel like I'm heartbroken while stranded in the middle of the desert on an unbelievably hot summers day,en
89,This song gets me in my feels any song from the neighborhood gets me in my feels,en
90,E vamos de lavar louça escutando The Neighbourhood ,en
91,im literally so in love with this song,en
92,I love this plus all the other songs<3,en
