,comentario,liguagem
0,this hits different when you haven't listened to it in while,en
1,How Nicki Minaj gets into character and fits in every song needs to be included in the university curriculum ,en
2,Nicki Is the Queen Of Rap. But she also an overall well rounded artist. There’s not one Genre she can’t cross into effortlessly,en
3,"I miss this band. They had potential to be one of the best rock acts of the decade. I saw them live in 2017 at a music festival. Their set was only 30 minutes long, they opened. They were by far the best.",en
4,The only thing that is sad about this song is how underrated it is.,en
5,"I love how nicki is featured in so many songs with popular artists, they see that the song will be a hit bcos she’s in it",en
6,Nicki Minaj looks absolutely gorgeous in this video,en
7,Nicki Minaj can literally do any genre of music she is undefeated & unique. Not basic like the other “rap females”,en
8,If this song was release today it would have been a massive hit.,en
9,There was a time when I had this song on repeat for days ... Then didn't listen to it in a year now and today I'm gonna have it on repeat for days again ,en
10,Always loved this song. Joe Jonas has a great voice and lots of talent!!,en
11,this was so fun omg!,en
12,"Amo DNCE, um pop rock delicioso, Nicki e seu rapper impossível de acompanhar, perfeita demais! ",pt
13,Eu amo essa música tem uma vibe muito boa,pt
14,I searched “ft nicki minaj” and i just realized how many songs shes featured in,en
15,as musicas do Joe Jonas são incriveis,pt
16,Viciei nessa banda dcne é top demais só tem músicas boas!!!virei fã,pt
17,Amo essa nunca esqueço de ouvir,pt
18,"This song never gets old. No matter how much I listen, I never get bored",en
19,The fact that Nicki wrote her verse for 5 minutes is unbelievable ,en
20,DNCE and Nicki should make more music together they sound great!,en
21,"When looking for new music in English I found this song as part of the list, I can't believe that time passed like lightning that falls to earth, it's been 5 years, listening to them made me remember fun moments from that time and for that I thank you Now I expect more music from them because I became their fan",en
22,Here's a prime example that Nicki can fit on every genre,en
23,"Essa música me traz boas lembranças de 2018, no meu último ano escolar.",pt
24,Can we just take a moment to appreciate how good Nicki looks in this.,en
25,Nicki is truly a versatile Queen,en
26,"This song is fire , It hits even more different when you heard it as a child and now as an adult you can identify with the lyrics, searching for a connection this times really sucks",en
27,"I enjoy returning to this song, then remembering how gorgeous Nicki looks and being in awe ",en
28,This song sounds like it was made for a summer movie commercial. I bet this song will be included in a bunch of movies,en
29,"DNCE and Nicki goes together too well.. I swear I need another song with them, their styles go together too well!",en
30,até hoje adoro essa musica,pt
31,Great beat & bass line! Rhythm. Lyric. Love it!,en
32,5 years later and still love this song,en
