,comentario,liguagem
0,"Música sem dúvida bonita...
Não há palavras para descrever a dor que vocês todos estão a sentir.
Um abraço caloroso para todos!",pt
1,"Os meus pêsames David ela não merecia ter ido assim .
Rezo por ti David 
""Hoje menina amanhã uma mulher""
Tenho orgulho no que tu és como cantor como pessoa",pt
2,"Eu procurando uma música portuguesa bonita e encontrei essa 
estou viciada, amei de demais.",pt
3,"Que linda música.. e como foi ainda mais bonita ontem no the voice! Que coragem tiveste... estamos contigo, com vocês ",pt
4,Linda música 🇧🇷,pt
5,Não me canso de ouvir está música e muito linda ️ muito obrigada pela suas composiçõa parabéns 🇦🇴,pt
6,Hoje fazem 4 meses desta música e mesmo assim continuo a ouvi-la. Grande êxito David continua assim. Orgulho em ti <3 :),pt
7,Amo essa música tão linda David é tão lindo com essa voz meiga orgulho ser Portuguesa ,pt
8,Não passo um dia sem ouvir. A tua melhor música ️,pt
9,"Força família carrreira a Sara vai estár sempre nos nossos corações ️
“ Hoje uma menina amanhã uma mulher “️
Ela está com Deus por isso está bem .
Rezamos por ti David ",pt
10,Música linda David!Que a vida te traga o melhor e muita força ,pt
11,Força David! Estamos todos contigo.,pt
12,É a melhor música que já ouvi. É tão romântica e agradável perfeita para ouvir em qualquer momento. ️,pt
13,A boa vibe desta música enche o coração com amor. Não chega só ouvir uma vez. :),pt
14,Essa Música É Maravilhosa ️Adoro David Te Desejo Todo O Sucesso E Conquistas ️ És Um Ótimo Cantor,pt
15,Incrível tenho 11 anos e quero seguir a carreira da musica tu és a minha inspiração adoro-te,pt
16,Linda Canção ️🇧🇷🇧🇷🇧🇷,pt
17,Música Tao linda David até chorei imprecionante tou  até de boca aberta amei es o melhor cantor que já ouve e vais ser sempre Pra min ️,pt
18,Essa música dá-me paz.,pt
19,Continuo adorar esta canção. Será intemporal. Sucessos,pt
20,Adoro as tuas músicas ️,pt
21,"A música está simplesmente fantástica, estou sem palavras ️",pt
22,"Grande música ,grande composição  adoro esta música",pt
23,Sempre  que  eu estou  a  ouvir  esta  música  só  me  apetece  abraçar  a  minha mãe . viva  Portugal,pt
24,Melhor musica de sempre,pt
25,"É calmante, eu amo essa musica",pt
26,"Tu consegues sei que é difícil mas tens que ser forte és uma pessoa muito especial para toda a gente como cantor e pessoa...
Estamos todos aqui para ti ️️",pt
27,Descansa em paz Sara mais um anjinho no céu ️,pt
28,Canção linda  obrigado,pt
29,"David essa música é linda demais,eu amo, mesmo é linda ! ️",pt
30,"""Quando o teu olhar se olhar e não te enxergar e não encontra um lugar para descansar deixa comigo que vou ser teu lar o teu lugar de paz, faço por ti para não me perder de mim.""

 - Thiago Cabral",pt
31,"Amo essa música, não canso de ouvir...",pt
32,"""Anda comigo amor, prometo que vou cuidar de ti"" A música está linda Tenho muito Orgulho em ti",pt
33,Maior músico de  sempre,pt
34,Adoro as tuas musicas . Amo-te David.,pt
35,Adoro a música ,pt
36,Essa música é perfeita ,pt
37,Maravilhosa as canções da família  Carrera ,pt
38,"Ficou incrível a música David, parabéns ! 
Desejo a maior força a toda a família  que Deus vos abençoe ",pt
39,"Nunca fui muito fã das musicas calmas do David mas adoro esta música.  Não sei dizer o quê, simplesmente adoro",pt
40,"Que voz tão doce! Adoroo esta música. On replay, q nem sei quantas vezes já a ouvi, parabéns ",pt
41,Amei essa música ️,pt
42,"já ouvi tantas vezes, que já não faço conta. amo esta musica, lembra- me a minha ex...",pt
43,Amei David.... merecem o videoclipe está Top .️,pt
44,"Os meus sentimentos David , nunca a esqueceremos tens de ser forte tu e a tua família neste momento tão difícil ",pt
45,Amo essa musica!♡ヅ,pt
46,"Que música linda.
Obrigada por chegares até nos está música magnífica.",pt
47,"Olá David os meus sentimentos para toda a família. Lamento muito. Força e coragem. beijinhos para ti e família, gosto muito de ti ️força David️és Fortetenho tanto orgulho em ti ️és lindo",pt
48,Uma musica muito linda e o clip tmb ta top!,pt
