,comentario,liguagem
0,This song is a masterpiece.,en
1,"It’s not just a song it’s an emotion. 
Literally describes how life’s feeling right now",en
2,"Such feeling he puts into this song. The line... please don't leave me in the end, which makes me cry every time. God will never leave us or forsake us...as humans our flesh can't help but doubt. Stay strong in your faith! God has blessed you with a gift. Thank you for sharing it with us!",en
3,"It's rare to find a current song with this quality, my vote goes to this for song of the year",en
4,"To say I was SHOCKED by his voice would be an understatement. It is deep and smooth, I love it.",en
5,"I have been a massive music fan for my whole life. I can’t even begin to describe the feelings I get from this song. I’m a high school guy with a lot of anxiety and depression, and It honestly makes me want to just break down. To say that this song amazed me would be an understatement. The lack of truly good songs nowadays is certainly there, because I was even more surprised when I found out how recent this was. God bless all of y’all reading this️",en
6,"This song will never get boring even if you listen to it everyday. Amazing voice, lyrics, music video and emotion!",en
7,"this brings me back to the early 2010’s, it just has that nostalgic feeling to it that no other song in this decade has managed to capture",en
8,"“Deep down way down Lord I try, try to follow your light but it’s nighttime” - as a struggling Christian this hit me so hard",en
9,"""Two sinners can atone from a lone prayer"" - The song's a masterpiece.",en
10,This is not a music. This is art.,en
11,I think David just understands that a lot of people out here want these type of sad song vibes ,en
12,Todo dia ouvindo essa música e ñ me enjoou ,pt
13,"In this day and age, you feel everything. grief, stress, psychological problems, breakups... this song describes it all",en
14,I just know that he’s going to become one of the biggest artists of our time.,en
15,a voz desse homem é mágica,pt
16,quanta perfeição em uma musica só,pt
17,"I just found this randomly while just searching random song but.. this is so good, you're very talented. People should really know you.",en
18,Billboard top 1 song incoming...,en
19,"Nem sei explicar o que sinto escutando essa música, mas é muito bom",pt
20,"“Deep down, way down Lord I try, try to follow your light but it’s nighttime” this just hits hard.",en
21,Fiz a tradução em PT-BR para quem quiser :) <3,pt
22,This song lies within the hearts of those who felt it from within,en
23,"eu me sinto tão estranha ouvindo essa musica, porém não consigo parar de ouvir.",pt
24,That “Please don’t leave me in the end”  Line hit like a drug,en
25,"I know this phrase is a dime a dozen and over used, but I just literally just got chills for real. Absolutely beautiful.",en
26,What a masterpiece . It sounds perfect . His voice is very good . ️️,en
27,This song has such a deep meaning i love it what a masterpiece.,en
28,The chorus sounds like my soul screaming for love and theres no words that I can think of to explain the emotions I feel listening to this,en
29,Fazia tempo em q não era lançada uma música tão boa quanto essa.,pt
30,que musica incrível e por sinal ta fazendo muito sucesso aqui no Brasil,pt
31,"Lyrics:

Telling myself ""I won't go there""
Oh but I know that I won't care",en
32,Thank you for blessing my eyes and ears with this masterpiece,en
33,The song giving me goosebumps,en
34,You’re lucky if this is you’re first time listening to this it’s beautiful,en
35,Só registrando q já sou fã antes dele estourar no primeiro lugar do global,pt
36,I’m just happy this song didn’t lose traction even though it’s been so long since he shared a piece of it. Excellent song.,en
37,One of the masterpieces that will never be forgotten in the future,en
38,This song resonates in my soul.,en
39,god i love him sm. its not just a song but its art.,en
40,"This hits hard as a human being
Some sins you will hate and will love at the same time",en
41,Glad to see David getting recognition. I saw him last year opening a show in Atlanta and his talent is crazy,en
42,The best song in the world.,en
43,It feels like I’ve known this song my whole life….. ,en
44,"As a Christian who used to struggle with self harm, this song is so incredibly meaningful. I kept telling myself one day I would quit completely and that it’s the “last time”.",en
45,Oii curtindo o som dessa música !,pt
46,"This is a Masterpiece! Thank you, David!",en
47,Listening to it on repeat for hours from few days. And not getting tired of it,en
48,"As a Turkish friend, I would like this song to go viral because the track is beyond legendary",en
49,definitely one of the best songs ever,en
50,What a great voice man! Deep and strong! Amazing really..,en
51,"What an amazing song? Everyone felt that. Every meaning of words of that song, that the song has to offer.",en
52,"Came back after 2 days and this already has 2M more views, You deserve it!",en
53,"This song reminds of the time where I used to struggle with some certain kind of sin. I am aware that it is killing me spiritually, and yet feels so pleasant in my skin. It is hard but by the Lord's grace and mercy he freed me from that bondage.",en
54,"As an addict, this song truly explains what's going on in addict's head. Some people can't understand once you're addicted, there's no world behind that. There's a reason people tell kids ""Don't do drugs."" once you experience the drug world you know there's no way back, there's something in your head telling you to do it even though you're trying to resist it. ""Oh, I love it and I hate it at the same time."" This line hits hard when you're fighting addiction. ",en
55,i am an old 53 years old man and my son showed me this song. I can learn from him...great song - great lyrics,en
56,This song  is a masterpiece,en
57,"This gave me goosebumps, I’m addicted ",en
58,Every single thing in this music is perfect,en
59,This voice,en
60,"Eu estive aqui meus amigos..... no meu pior momento, eu estive aqui...",pt
61,"This song makes my heart beat faster, and makes me want to cry",en
62,I've never counted down the days to a song's release until this. I literally got SUCH CHILLS. I'm waiting for when he's literally the most famous artist ever.,en
63,"This is an amazing song, now in my top ten ",en
64,"This song is really deep for me. It gives me the 2020 vibes, when i was discovering myself and starting to get better (the forest, the meeting with my friends) until pandemic showed up",en
65,"This is art!!! Oh man, i just live in this song not only listen ",en
66,As a believer in God there are no words that can describe the emotional pain I feel from this,en
67,I saw u on TikTok and I was immediately touched by your beautiful voice<3,en
68,"This song has been on repeat ever since it came out, I just love it so Much and will forever be my favorite song. It just speaks to me because I relate so much. Keep doing your thing David, I will always be a big fan of yours. Idk if you will read this or not but I just love you so much ",en
69,Incredible music. Got this on repeat,en
70,"You have no idea how much I feel this song, thx u for making it… I’ve cried so much to it",en
71,This song is not only so relatable but you can hear the pain in his voice and the emotion in his voice while he is singing the song. I love it so much.,en
72,Bro i can’t tell the feeling I’m getting from this song ️,en
73,"This song...I can't describe it it's like I just understand it, and it understands me. So beautiful",en
74,"2:40 It's a masterpiece this excerpt of this music, I love what you do!",en
75,"Essa música traz uma sensação de Vitoria, muito inexplicável!",pt
76,"As a Christian who is struggling, this is one of the most relatable, most beautiful songs I’ve ever heard",en
77,this is going to be played everywhere very soon!,en
78,Sensational voice this song is so deep,en
79,"Amazing song, deserves to be song of the year",en
80,goosebumps every time,en
81,When I tell you I fell for this man and his voice ... oh boy...,en
82,"What I love about internet is I found something like this out of nowhere without knowing the singer.
And now he got another fan",en
83,"Encontrei essa musica hj, que musica incrivel, a sensação é mt boa.",pt
84,This song is how I get through my days,en
85,This isn’t a song this is the feeling of the heart and soul,en
86,After two weeks of listening to this nonstop I still can’t believe how good this song is. The pain in his voice makes me feel like a heartbroken teenager again ,en
87,"His voice, the lyrics, the vibe of the video, literally everything is perfect!!!
I will never get enough of his song",en
88,This really touches my heart I'm 4 months sober by the grace of God he's setting me free of drugs this song really touches my heart thank you,en
89,What I just heard!!!!!! Omg he is my new fav male artist!!!! ️️️ what a powerful and soul voice!,en
90,eu amo essa música ,pt
91,this song absolutely makes me sob and this dudes voice is sooo goood,en
92,"The song 

The vibe

The singer 

The instrumental ",en
93,his voice is too good,en
94,Algum Brasillero 🇧🇷 tb é viciado nessa música? ,pt
95,This man deserves more attention,en
96,I love his voice! Good song!!!,en
97,"Telling myself ""I won't go there""
Oh, but I know that I won't care
Tryna wash away all the blood I've spilled
This lust is a burden that we both share",en
98,This song is so calm but so deep,en
99,I just love this song ,en
100,What a song ,en
101,"Lyrics:



Telling myself ""I won't go there""

Oh but I know that I won't care",en
102,I've herd this track and you for the first time last week and I can honestly say I've listen to this and other tracks over 100s of times so far just hits me like nothing before honestly it's epic I cannot wait to hear it live in Ireland bro big up,en
103,Ive heard David kushner songs before but  i love this song so much ,en
104,The lyrics are sooooo beautiful,en
105,I haven’t found a song in a while that I could say impactful enough for the comment. Damnn this a masterpiece ,en
106,This shit hits different I've listened to it at least 13 times today,en
107,Easily one of the top 5 best songs in the world ,en
108,Essa msc traz uma vibe q pqp…,pt
109,This song will make you feel the emotions that ain't real,en
110,gave me chills,en
111,My favorite Christian song rn it’s so beautiful.,en
112,This reminds me of my childhood I was a kid who would run into the forest the only songs I ever heard where the soft ones at curch I remember playing in a creek and playing  a song with the same vibe the same feeling in my head. thank you I needed these memories ,en
113,The way he screamed hate I stead of singing it ...master piece,en
114,"""Dont be sad that its gone, be happy that it happened.""
A very wise man",en
115,Best song ever what a beautiful voice man,en
116,I never would have thought that a song could have such meaning and that it would evoke so many emotions in me,en
117,essa música traz uma vibe tão boa,pt
118,This music evokes a lot of feelings in me. I feel alive again. It's one of my favorite musics.,en
119,"This song honestly hits me. The entire song tells a story I relate to, I used to say I would never smoke or do drugs but after awhile I got introduced to it and couldn’t resist and now I still do it but I hate my self for doing it but it’s the only way I get to hang out with people. A bit ago my  grade went to a speaker that told us about his story and at the end he made the point-how",en
120,"""Try to follow your light, but it's nighttime. Please don't leave me in the end"" This line got me teary eyed! So good!",en
121,This song gives me 'Take me to the church' vibess,en
122,"Such a great song!! On repeat, it is a work of art. 
This slightly gives me emotional witch vibes almost like the way a witch 'dies' by water or drowning, stoned, axed, and burned alive. It makes me feel even sadder and more emotional!",en
123,i feel it so much.. my life is going down the drain but i need something like this right now. greetings from Germany,en
124,I love this Song ,en
125,"The music video means so much. Idk how to explain it, like the song itself is amazing but this video really shows what it feels like struggling as a Christian",en
126,The moment he shook his hand I got goosebumps,en
127,"Imagine coming back to this song after 7,8 years and the memories hits you",en
128,"I looked at this song yesterday and it had 19Million views, checking it again today, 20Million! That's so awesome!!",en
129,What a masterpiece,en
130,I absolutely love this song!! If this song came out in the 2010s it would have been on one of the Twilight soundtracks for sure!,en
131,"kids of the future, this is one of the songs that carried me through college, thank you david",en
132,"I think what really makes you like a song so much is how much you relate to it and how much you understand from it, such that it brings an unexplainable feeling that gives joy and sorrow at the same time

I'm absolutely in love with this song, I never imagined I would relate to a song so much, and also the fact that the creator of the song was able to put it in such a beautiful, understandable and relatable manner is absolutely incredible and it is an art that only a few talented people like you are gifted of",en
133,"[Verse 1]

Telling myself ""I won't go there""

Oh but I know that I won't care

Tryna wash away all the blood I've spilt",en
134,Perfect song…,en
135,we’re needing a tour in the US REAL soon! I LOVE DAVID! ,en
136,Essa música me impulsiona a não desistir... Preciso lutar até conseguir me reerguer de novo ,pt
137,"2:37 - 2:50 I LOVED THIS PART OF MV SO MUCH 

LOVED THE SONG...... this song will be in my 'therapy/emotional support' playlist now",en
138,2:39 this gave goosebumps,en
139,I genuinely don't think that I will ever get enough of this song,en
140,He looks like the Prada version of Harry Potter. And his voice is so deep it’s perfect for this song. The chorus is so powerful .,en
141, I love this song,en
142,"I'm so addicted with this music! Boy, your voice is something that i've never seen! i'm so glad i found u ",en
143,"“Oh, I love and I hate it at the same time you and I drink the poison from the same vine” It’s giving me a fairytale from a movie like beauty and the beast",en
144,"I've been waiting for months for this song to release... And every single moment of it was worth it. The song, the music and the whole video. This feels like a historical moment ngl.",en
145,"Descobri essa música hoje e não paro de escutar, eu tô obcecada",pt
146,This lives forever one of the best in the century.,en
147,When I die I want this song played at my funeral,en
148,Banger one of the best songs I ever heard,en
149,It’s not just a song it’s a story,en
150,David’s music videos are just always cinematic masterpieces!!,en
151,Adorei demais,pt
152,"his voice: 
his singing voice: ",en
153,Great song ,en
154,This is so beautiful (for me). I'm so happy I found it in another's person video!,en
155,After finding this guy randomly a few weeks ago I can honestly say hes one of my favorite artists out there atm amazing.,en
156,Just love it ️,en
157,"To say I was SHOCKED by his voice would be an understatement. It is deep and smooth, I love it.",en
158,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
159,"Lyrics:

Telling myself ""I won't go there""
Oh but I know that I won't care",en
160,The best song in the world.,en
161,"at the risk of sounding so vain, but he's very pretty and I would have never guessed his voice to be THIS. So deep and smooth.",en
162,pure work of art,en
163,I love this song,en
164,He got that voice. He got that look. He got that face. He got that body. OMG he got a lot of thing! I'm envy to him,en
165,Absolutely beautiful. Finally a young musician making music with quality and with meaning. This makes me feel hope. Love it! ,en
166,I love it!!! Hit!!!,en
167,I'm obsessed with this song🥹,en
168,This is the type of song i can listen to no matter what type of mood i am in,en
169,I really needed this song. Thank you ,en
170,"this song is powerful, its moving, its meaningful! such elements today's music lacks but this song is an immaculate compensation",en
171,His voice just took me in another world  ,en
172,This song is so good,en
173,I love it so much!,en
174,"This could be the best song ive ever listened to. The piano, the rain, the voice. You have such an amazing voice and I just know you will go so far. This song is on loop for me. I love it. You deserve this David Kushner, and you should be so proud. I will forever listen to it.",en
175,"The beginning scene, in the woods, it's very iconic. I listened to this song while reading ""Ranger's Apprentice"", John Flanagan, and now my brain linked this song to that book. But I find it very fitting for the books and I now almost always listen to this song while reading. I absolutely love this song and I think that David Kushner is a FABULOUS singer. His voice is out of this world.",en
176,Every time I hear this song it gets better.,en
177,A good modern song that’s isn’t degenerate but instead accepts the love of our Father. I absolutely like this song.,en
178,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",en
179,"This song hits different  , it's the true emotion man , it's a masterpiece",en
180,"This guy, being 23…with THIS kind of voice!? Incredible. And he wrote this song!?",en
181,Every time i listen to this i feel like I'm about to cry.,en
182,"As a Christian struggling with Alcoholism for many years and recently lost someone close to me, I really needed to hear this.",en
183,bring me to church vibes - love it,en
184,I just added this to all of my favorite playlists,en
185,Emotion and his voicee uff ,en
186,"I’m glad David Kushner is getting the recognition he deserves, such a talented artist ",en
187,"This song is perfect. My dads in jail right now, but I can't wait to show it to him. He's struggled with addiction for a long time. It's always like God's got a grasp on one half of him while addiction tries to take the rest. I know this song will make him cry",en
188,This song gives me goosebumps. Been on repeat for the past few days! Absolute masterpiece to say the least…,en
189,It's an art not a song,en
190,"Ever since the day this song came out  I've been listening to your songs nonstop morning til evening , especially this song and my sister said she is also starting to like ur songs because I'm always listening to them . Your songs are so meaningful and Ur voice is so geogeous makes me wanna listen to it every sec. I love all your songs and i think I'm addicted to them.",en
191,I lovee this song ,en
192,New favorite song!!️️,en
193,Never knew this song was only a month old. I swear I’ve been hearing it since 2015,en
194,"when happy momments we smile , when sad momments we cry while listening this nice music.",en
195,"I love the part where you shake the burning man's hand and it gives me pink Floyd vibes mostly ""wish you where here"" which is one of my all time favourite songs and love playing it on guitar",en
196,"what a voice ,what a melody ,what a song love it ",en
197,"I never expected someone like him who wears glasses like that, his voice is so powerful ",en
198,"Usually TikTok songs are overhyped. I was thinking this was gonna be one of those disappointing songs upon launch upon being TEASED so much. I am delighted to have been proven song. I can't even call this a music video - this is a masterpiece. Poetic, poignant, haunting. CONGRATULATION MR. DAVID KUSHNER. You pierced my heart much like Bon Iver, Hozier, and Coldplay did.",en
199,"The feelings falling into place and you getting into the vibe of the song, this is a Sensational ",en
200,Masterpiece!!!!! Oh I love it and love it at same time,en
201,"I fell in love with that voice, I love men with a deep voice.",en
202,Petition to make him sing take me to church cause damn this boy got the voice for it,en
203,I cannot tell you how inspiring and healing this song is! Thank You!,en
204,Essa toca na alma ,pt
205,Shocked that voice came out of baby face. I love his music,en
206,"After the first time i felt better so i listend to it again then again the again and i can't stop 
this song is great! Thanks",en
207,I hope this song is going viral,en
208,"This is the most honest, real song I’ve ever heard. I was in tears almost instantly. It captures so many intense thoughts/feelings beautifully. Thank you so much for this, it’s incredible.",en
209,Legendary music you feel instant,en
210,I hope this song is going viral,en
211,Literally a masterpiece ,en
212,"TEXT/TEKST:
Tellin' myself I won't go there Oh, but I know that I won't care Tryna wash away all the blood I've spilled This life is a burden that we both share Two sinners can't atone from a lone prayer Souls tied, intertwined by pride and guilt There's darkness in the distance From the weight of my decisions I know I can't resist it ",en
213,This will stay at the top for at least 5 years,en
214,"His voice is good, i have never heard such a good song in a while!! it's so smooth.",en
215,"Struggling with desire, along with guilt, sounds like. Strong vocal performance for sure.",en
216,This song will go down in history as one of the best songs.,en
217,"No drugs, no nudes, no controversy. 100% talent!",pt
218,Loveeeee this song️,en
219,this is True Masterpiece here.,en
220,I’m a country music guy but I love this,en
221,"Amazing voice, amaizing message, amazing instrumental, they're mixing so perfectly one to another and creates this masterpiece. 
This song is a bandage for a broken heart, its just perfect.",en
222,No song has ever emotionally effected me as much as this song has. It is honestly one of the most beautiful songs I’ve ever listened to,en
223,"Na pura sinceridade
Que refrão maravilhoso",pt
224,wow! this song is good more than I expect,en
225,"First time seeing this guy, made 3 second stereotypical judgments but then was totally blown away and surprised, this reached my soul, thank you",en
226,This is the shadow written into a song...  the moment before the breakthroughs,en
227,20M in one month is a future big hit,en
228,I love the song so much it's so amazing ,en
229,esse homem ️‍,pt
230,"no argument needed, this man has a beautiful voice",en
231,Tu és cantor raiz e que timbre tu tens meu jovem. Tens a voz!,pt
232,This Song is as time machine to times i have never experienced,en
233,Sheesh this on fireeeeeeeee I really love this I was listening to this song last night till i fall asleep,en
234,"This is not just a song. It’s a whole story, and I feel connected for some reason ",en
235,This song gives the same goosebumps as Hozier - Take me to church ,en
236,Essa doi na alma.,pt
237,This song is so true just all i am thinking rn is  Oh i love it and i hate  in the same time! All my feelings are in this song,en
238,Being a non-Mormon in a small town that 99% of is Mormon this song is really important to me and makes me feel so good. I love this song so much.,en
239,"Can’t believe this song is finally out, I can’t get over how brilliant it is and how beautiful the lyrics are!!!!",en
240,"Haven't been impressed with a song as much as this one in years , love it",en
241,Damn that vocal range was so damn,en
242,damn what a masterpiece,en
243,Can not stop listening to this!!!,en
244,Take me to church Vibes ️,en
245,This is the type of song that makes you feel weightless. As if you're floating above a sea of indecisiveness...,en
246,"When the music is worth it, no matter how much time passes, people always come back here to hear it.",en
247,I love this song<3,en
248,Muito bom essa ,pt
249,We need more music like this,en
250,"""Two sinners can't atone from a lone prayer"" hits really hard. Every verse has a strong value to it. Masterpiece",en
251,Only good chill vibes ,en
252,That moment when you hated someone so much that you didn't even realize you are becoming that person only to realize yourself that he was doing the best he can at the time,en
253,Such a wonderful song,en
254,Oh god that voice ,en
255,"Dude I am not kidding with this..

Just had a dream where my ex knocked on my front door and I let her in. 
We talked for some time and she said she wanted to come back. ",en
256,No song has ever made me cry but this one did! I love him and his voice and I every single bit of this song,en
257,"The voice, the atmosphere and the visuals go so well along!! The song gives me such chills and is kinda like a safe place rn for me. Its crazy how music can influence people and I hope one day I can also reach and impact people with my music :)",en
258,Perfection at its finest,en
259,"This is one of the most emotional song ever, full of meaning, I love it ",en
260,hope it comes under next billboard,en
261,"The creaking sound, I wonder what it is? Ominous and beautiful at the same time.",en
262,This song should be atleast a 2.7-6.8 million liked song and this is a fact I think we all can agree on,en
263,the amount of emotion that’s in this song. it’s amazing. bro is so talented,en
264,This song is amazing and I absolutely love it ️ this will be playing on repeat,en
265,This song is masterpiece!,en
266,"There's darkness in the distance, I'm begging for forgiveness, But I know I can resist...",en
267,"¡Wow!, this song is beautiful very beautiful.",en
268,your voice is a blessing from god. I was so shocked when I heard your voice. Thank you for sharing your talent and your incredibly beautiful voice with us. Thank you!,en
269,"""THIS LUST IS A BURDEN THAT WE BOTH SHARE, TWO SINNERS CANT ATONE FROM A LONE PRAYER"" THE WAY I SCREAMED 
DAVID YOU ARE A BLESSING",en
270,This is amazing,en
271,all jokes aside this mans Vocal Control is insane,en
272,"Oh, I love it and I hate it at the same time
Hidin' all of our sins from the daylight
From the daylight, runnin' from the daylight
From the daylight, runnin' from the daylight",en
273,Finally we got a masculine voice ,en
274,This gonna be my new song on repeat for the next few weeks,en
275,This song is the best Song ever ,en
276,This song released the day that I meet him that day and after sometime we thought that it will be a forever thing but played this song at 14th may now I’m running from the daylight,en
277,Oh I love it and hate it at the same time ,en
278,Love your song ,en
279,This not music no more. This is pure ART. AND THIS IS A MASTERPIECE.,en
280,"I feel every word which you sing in this song, every melody 🥹🫶
I love this song so much ️",en
281,This song is so heart felt and deserves a award,en
282,One of the best songs in the charts at the moment.,en
283,love this song,en
284,Nice calming music,en
285,"Last weekend I heard this song on the radio and wow. It's been a while since I heard a song with that feeling, I liked the chorus of the song a lot. It brings me the same vibes as RagnBone's ""Human"" song. I was hoping there would be more songs of this type on your youtube channel but I see that your musical career is just beginning. Good luck.",en
286,"this makes me calm, but also energetic",en
287,This song was giving goosebumps. It’s so good and a beautiful masterpiece. Can’t for more DAVID KUSHNER songs,en
288,"Telling myself I won't go there

Oh, but I know that I won't care

Tryna wash away all the blood I've spilt

This lust is a burden that we both share",en
289,Best song right now by farrr,en
290,That's what we call a masterpiece,en
291,"Woow, mind blowing song
Lots of respect",en
292,That voice though ,en
293,"His voice, the vibe of this video, everything is just perfect.",en
294,Viciado nessa música já adicionei na minha playlist,pt
295,This song really touch my heart,en
296,Just a perfection.,en
297,"The dude is flat-out incredible. So much power and control from his voice. Congrats man, you're the one we've been waiting for",en
298,This is absolutely fire,en
299,I like the song very much!,en
300,Everyone can relate to this song.,en
301,"I just got chills. It’s 70 degrees in my room and I felt cold rush down my spine. I just cried, because all I saw was how hard you were pouring your heart out. This song is on a whole new level. It has so much meaning and yet, I can’t seem to figure out what it means. I am just amazed. There are absolutely no words. This song touched me in ways I didn’t even imagine possible. Thank you for making something so meaningful.",en
302,Why do I feel like I’ve known this song my whole life,en
303,This music being my favorite ,en
304,Bro wtf what a song listening non stop ahhhhhhh,en
305,30 seconds in and it gave me goosebumps ,en
306,I’ve never felt so connected to a song. This is a masterpiece.,en
307,i love this song <3,en
308,I didn’t expect his voice to be so deep and smooth.,en
309,In love with this work of art ,en
310,I just discovered this song today and I can’t stop listening to it over and over. I’ve been struggling for a bit and I don’t know if this song is helping or reinforcing my emotions. I don’t wanna feel so lost anymore. I hope anyone that reads this doesn’t have to struggle so much anymore. I want it to get better for you.,en
311,i want to listen to this song for the first time again,en
312,Essa tem meu ,pt
313,time to make this my number 1 song on Spotify,en
314,This song is so catchy that my finger started getting attracted to the replay button at the end.,en
315,this doing became a song i can express my self while dancing,en
316,"Telling myself I won't go there

Oh, but I know that I won't care

Tryna wash away all the blood I've spilt

This lust is a burden that we both share",en
317,I love my sin and hate it at the same time. ,en
318,2:44 that part gave me chills ,en
319,I am currently listening to this song in an endless loop ,en
320,"it's the first song I listened of this singer
 and woow i love it",en
321,WOW...... I was shocked by his voice  that so touched my heart ️,en
322,"Your songs touch my soul, when are you coming to Cleveland?? Would buy tickets in a heartbeat!",en
323,1:31 this part is my fav,en
324,I don't have the words to express how much I love this song,en
325,This is more than a masterpiece,en
326,This song is awesome and I love it ,en
327,CANT WAIT WATCH THIS LIVE IN JULY!!!! 🫶🫶,en
328,My jaw dropped when I heard his voice at the first note. It’s so deep and smooth! A lot of emotion to this song. When it says “oh I love it and hate it at the same time” and “telling myself it’s the last time” those lyrics hit me hard. This is an absolute masterpiece!,en
329,1 off the best Songs after a long long time ,en
330,like man no words for this song man this is best song i ever heard love you bro keep makin new stuff. lots of love from india <33,en
331,Damn this hits hard,en
332,I love it and hate it at the same time: my life.,en
333,"I love the artistic and religious references in this part right here: 
1:46 and the lyrics “You and I both drink poison from the same vine.”
Context:",en
334,A música toca tanto a sua alma que causa arrepios!! Uma obra de arte,pt
335,Isso sim é MÚSICA,pt
336,your voice is so great and melody too,en
337,"Fabulous fabulous fabulous song, full of emotion, love it",en
