,comentario,liguagem
0,Heard y’all are still cool for the summer…,en
1,"this song makes me want to live so much that in good times I listen to it, Demi never misses.",en
2,Absolutely in love with this song. I was in middle school singing this with the other girls in my grade.,en
3,"Só tinha 15 anos quando essa música foi lançada, hoje eu tenho 22 e não enjoei de ouvi-la.",pt
4,"My summer song back in the 2015... 🫶 So good memories. 
Senior year in High School, Parties, Friends and Prom 🩵",en
5,This was by far demi’s best haircut. Matched her voice and face so perfectly.,en
6,Cara essa música traz uma VIBE fantástica! Muito bom!!!,pt
7,"TODA vez que ouço essa música, tenho a impressão de que ela é lançamento. AMO ESSA MÚSICA ",pt
8,Still so powerful summer party song. Hats off to Demi Lovato for creating this  Masterpiece.,en
9,"August 2022 this song still feels fresh,.actually love Demi's music,always uplifts my mood",en
10,"We don't search for old songs...
we search for old memories. ",en
11,I'm glad it looks like a new generation are jamming to this all time banger. Demi is a legend and you all better recognize.,en
12,This song is still part of my beach getaway playlists ,en
13,Such an energetic singer and powerful song,en
14,This song is so well written and produced it never gets old.,en
15,"This used to be one of my favorites when it was first released. Unfortunately, I've forgotten about it after years. When I randomly heard a part of this song from tiktok I didn't even recognize it until I finally heard the chorus when my sister happened to play it on Spotify. I've missed this song a lot.",en
16,"I am so hooked! Love the energy, the lyrics, the vocals. What a goddess.",en
17,"Great song! More complex than a lot of other pop songs, which makes it stand out.",en
18,"can't believe this was released almost 7 years ago, still fresh, so catchy, and now keeps stuck on my mind",en
19,She needs to make more music like this,en
20,This song never gets old. Literally never.,en
21,"""This song never gets old. No matter how much I listen, I never get bored""",en
22,melhoooorr músicaa!!! trilha sonora de uma parte inesquecível da minha vida!!! fim do cursinho/começo da faculdade <3,pt
23,its music and tuning is so sweet that it never really left my mind. its always playing inside my brain,en
24,"This songs brings back so much nostalgia from the Demi Lovato episodes. I remember how fun the story was, I’m so sad that it’s not available anymore ️ but this song is so good and catchy ",en
25,YAS DEMI YAAAASS! bringing sexy back! ,en
26,"This joins the list of eternal summer songs and still hits. Glad she's gotten back on track after the whole ""spoongate"" and the party getting the best of her for a minute but put it back on the road again. We have all had our party hard moments and I'd be lying if some fun didn't come out of it, luckily I was able to put it to the side while others sadly couldn't",en
27,This song will never get old. Like seriously.,en
28,Essa música  no Rock in Rio foi de arrepiar qualquer hum!!!,pt
29,Lembro da minha infância ️🇧🇷,pt
30,As an non-English speaker I can totally understand the lyrics. They pronounce every word so clearly unlike other singers.,en
31,I'll never stop loving this song ,en
32,"feliz aniversário Demi, parabéns pelos seus 30 anos ",pt
33,"Não tem como enjoar dessa música, é boa demais, orgulho no futuro de falar que ela é da minha época ️",pt
34,Demi Lovato diva maravilhosa,pt
35,"This has to be the song of the summer again, thanks TikTok for giving the recognition this masterpiece deserves and more",en
36,Gosh Demi’s voice is incredible. Her songssss.. the music industry wants this energy back damnnn,en
37,"This song gives me motivation to live. Whenever I'm down, it always helps me",en
38,the artist of my childhood,en
39,"vi no rock in rio e deu mo vontade de ver, que nostalgia, clipe foda! <3 sdds",pt
40,"After watching quite a few interviews, I see her in a different light. The Same with this song. Now it's one of my favorites from her.",en
41,Can’t believe it’s been bloody 4 years already and this song still slaps,en
42,She is a 100% perfect example of amazing!,en
43,Demi is definitely the best and I love how she can make a song about anything and it sound awesome,en
44,Maravilhosa ,pt
45,"Essa mulher é linda de mais não tem palavras para descrever tanta beleza,  demi Lovato sonhoo",pt
46,I wish demi would do more songs like this...,en
47,"Tell me what you want
What you like, it's okay
I'm a little curious too
Tell me if it's wrong",en
48,VOCÊ FEZ HISTÓRIA NO #RockInRio DEMI!!,en
49,"Demi, I really love this song by you, it's got a very catchy beat! And it's very different in a great way!",en
50,2022 e ainda nao superei essa música <3,pt
51,If we could hear this song for the summer of 2023 we would party all summer night away #DemiLavato,en
52,I‘m so happy that the songs is now trending. It deserves more recognition than it has like it‘s literally Demi‘s best lead single,en
53,"Listening almost after 3 years but still in love with it, her facial expressions just wow ",en
54,"It was released right before I started my first year in uni, still remember the time when I listened to this song in the dorm, how nostalgic!",en
55,"ive always loved this song so much and it makes me happy and never gets old 
and gives me to reduce my stress to let go of my  negativity.",en
56,ESSA MÚSICA É TÃO BOA!!! Nunca esquecerei desta.,pt
57,tava ouvindo essa música milhões de vezes antes de ficar viral no TikTok,pt
58,It's been 7 years and yet this is still one of my favorite song of Demi Lovato,en
59,This is masterpiece. Tiktok really really doesn’t deserve this.,en
60,voltando aqui depois de ouvi-la no rock in Rio ,pt
61,Essa perfeição virou trend de tik tok só agora ??? ,pt
62,Love this song so much!!,en
63,Why can't we have music like this again,en
64,Essa foi a melhor época da Demi ela tava maravilhosa,pt
65,The fact that this song peaked at 11 on the hot 100 it should been in the top 10 ,en
66,i think what i love about this song the most is how much it sounds exactly like what my life felt like in 2015-2016 & also that it’s just such a fun upbeat song,en
67,Como eu amo esse hinoooooo,pt
68,"estão ótimas para o verão meninas?
eita como essa é atemporal",pt
69,"The tone of your voice is pure and innocent, like a feeling that descends from my lips to my heart. Demi Lovato",en
70,A message to the future generations. Don't let this song die.,en
71,"As pessoas conhecendo essa perfeição só agora depois do tiktok,Instagram ou sei la oq... essa música faz parte da minha vida desde 2015! O amor da minha vida me apresentou as músicas da Demi em 2014 e em 2015 ela disse que essa era nossa música! Hoje em dia não nos falamos mais,mas penso nela todos os dias..e essa música me faz voltar no tempo!️",pt
72,"I just randomly started singing this at work the other day, still a great song to this day",en
73,I love this song  simply Demi Lovato is a queen ️,en
74,"Antes de viralizar no  tiktok, eu já adorava essa música, sei lá ela me liberta",pt
75,Queria ter coragem de fazer todas as coisas que essa música me dá vontade. Saudade de 2015. ,pt
76,"I love this song , love her too she looks so good in this video",en
77,Valeu Demi um dia vou assistir mas vezes ...nota 10  totalidade ?,pt
78,im never disappointed with Demi Lovato .. ever.. she always delivers! always,en
79,"Glad this song’s getting popular again! The nostalgia. Take me back to summer 2015!
Edit: 3.7k likes?!?! Where have I been…",en
80,"Escutava essa música indo pra casa do meu pai na rádio, em 2015 mesmo. Foi e sempre será minha música favorita da Demi, nunca fica antiga. Quando ela cantou no rock in rio, tive o prestígio de ver ao vivo, até me emocionei. Essa música é eterna",pt
81,"I don't know why but when i listen to this song i feel nostalgic about how life back then was good. Now life isnt the same anymore. But still, the song is amazing!",en
82,7 years ago and I just heard it today... her voice OmG ,en
83,Minha divã️,pt
84,Ultimate 2010s vibes. Life actually was so good back then. Love this song! ,en
85,"Very nice song, very sweet vocals. ",en
86,Very nice song! ,en
87,I freaking love this song,en
88,"POR FIN ESTA CANCIÓN ESTÁ RECIBIENDO EL EXITO QUE MERECE, CFTS ES UN HIT",pt
89,This song never gets old,en
90,I will never get over this song ,en
91,"fell in love with my first girlfriend to this song, such good memories of text message convos at 2 in the morning and sneaking around our parents. this song means so much to me!",en
92,Essa música nunca sairá da moda...Demi é eterna,pt
93,Arrasou no Rock in Rio ,en
94,Love it ️,en
95,"I can listen to her sings ""BODY TAAAYYYPE"" the whole day, this is magnificent!",en
96,"Randomly thought of this song and decided to listen to it again lol, always a banger",en
97,Por mim ouço até mais uns mil ano,pt
98,This song gives me to reduce my stress to forget negativity.,en
99,Demi é braba!! Estilo diferenciado!!! ,pt
100,"Such a sexy, catchy song! This deserved way more hype ️",en
101,"You know you've made it when the first part of song is the part everyone's obsessed with-
I legit can't stop listening to ""I can keep a secret, can you? Got my mind on your body and your body on my mind, got a taste for the cherry, I just need to take a bite""",en
102,"Eu já fui viciado lá em 2015, e a geração tiktok viralizando ela agr, vou me viciar de novo KKK essa música é um HINOOOO",pt
103,It's definitely her best song.,en
104,"Essa música me lembra minha filha nossa ela amava ,faz 6 anos que não vejo ela ,e sempre dela o rostinho dela nossaaaa ,sempre volto aqui ouvir ,Renata te amo",pt
105,My best friend and I at the time (16yrs) used to dance and sing to this on table tops at her apartments before going to parties . This song made us feel so good for some reason,en
106,"This screaming such a strong euphoria vibes, she was really ahead of her time",en
107,One of her best songs ...,en
108,amo essa musica,pt
109,"Demi forever young,love this🇧🇷",en
110,Wow super sexy Demi! I just love how her voice sounds in this song along with the beautiful piano in the background. ,en
111,"LYRICS: 
Tell me what you want, what you like, it's okay
I'm a little curious too
Tell me if it's wrong, if it's right, I don't care",en
112,Essa arrasa muito linda parabéns vc é maravilhosa demais parabéns amo vc lindaaaa ,pt
113,"I remember when this came out singing to this with my 13 year old daughter, neither one of us paid close attention to the words. lol",en
114,"essa porra foi um dos meus maiores vícios na infância. toda vez q eu ia assistir tvz no multishow depois de chegar do colégio, eu rezava pra passar cool for the summer na setlist do dia. eu chorei >>>>nessa<<<<< música quando eu vi ela no villa mix. namoral, é uma das tracks da trilha sonora da minha vida. olha q eu nem sou tão fã da demi",pt
115,"Me as a kid: loves this song and doesn’t understand why my mum doesn’t want me to sing it at my school talent show.

Me now- an out and proud lesbian: OH GOD",en
116,I love this whole album,en
117,"What a song  
I listen this song every time",en
118,"I love her. Even though she's being ""revealing"" she is still classy about it. She went from hating her body to being able to freely show how much she loves it now. Not to mention she's finally doing what she personally wants. I wasn't sure about this song at first but grew on me. Definitely can't wait to hear more. Queen Demi all day every day <3",en
119,"In these lonely days, watching Demi Lovato's charming and curvy body dance and listening to her joyful songs with her insatiable voice really feels like medicine.",en
120,Essa música é boa dms pqp,pt
121,one of my favorite. in my top 3 for sure.,en
122,Parece que foi ontem que eu escutava essa música com a minha irmã sentadas na sala comendo e vendo mtv hits.... saudade 2015 saudade,pt
123,"she sounds and looks amazing , gorgeous , flawless stunning, her makeup and hair, outfit is on point she looks stunning she slays every song she slays every time this is one of my top 10 favorite demi lovato songs",en
124,I REALLY LOVE THIS SONG,en
125,This song brings my nostalgia back from march 2022,en
126,Love it you're awesome,en
127,Melhor era da Demi,pt
128,Hino sendo aclamado (ainda) depois de 6 anos. Felizmente já ouvia esse hit desde sempre,pt
129,"I feel like I'm 12 years old girl again. This song has reminded me of that period of time when I didn't have any serious chores and enjoyed life without obstacles. Now as 18 years old ""woman"" I'm coming back here to even for a moment move to that times... I'm so sad that today's kids & young teenagers can't grow up on such high quality music",en
130,I Love This Song ️,en
131,Always give me a good vibe... When I listen this song,en
132,Essa música me deixa smp feliz️ que nostalgia pqp 🇧🇷 alguém #2023? 🇧🇷,pt
133,Lovatic desde 2013 e ver essa música bombando novamente depois de 6 anos é incrível,pt
134,Happy Birthday to us :) One of my favourite songs  Definitely cool for the summer!,en
135,Que música boa tocou na balada todo mundo começou a dançar nostalgia 🇧🇷,pt
136,Bruh this song is 7 years ago but it’s still so good,en
137,"uma das melhores vozes do mundo
melhor disco de todos",pt
138,This was by far demi`s best haicut. Matched her voice and face so perfectly,en
139,Te amo garota 🇧🇷,pt
140,"There is never a ""too old"" for a music.",en
141,"I listen to this song only during spring, nearly in summer",en
142,Essa música me lembra do meu amor de 2016 q ate hj amo cm se fosse hj ,pt
143,I was once told a saying I'll never forget.... Don't cry because it's over be happy that it happened in the first place. It's actually unfortunate how many people in this new world don't experience love at all.....,en
144,I still come back to this song over and over again. They have the best voice ever.,en
145,"WHEN I  THINK OF   ""  SUMMERTIME  AND HOW MUCH  I  LOVE IT ""  --  I   "" ALWAYS  THINK OF  THIS  SONG  ""   !!",en
146,I love this song!!!!,en
147,"Aqui pra ouvir essa música, pra ver se ela sai da minha cabeça",pt
148,She totally rocks this look.,en
149,I've always noticed how fine and good looking Demi Lovato is. But this is the first music song and video I've seen of her. Very good. Love it.,en
150,When this song came out life was so different,en
151,"Eu em 2022 ouvindo, saudades da música e da época ️",pt
152,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
153,This song never gets old. Literally never.,en
154,"Não tem como enjoar dessa música, é boa demais, orgulho no futuro de falar que ela é da minha época ️",pt
155,"can't believe this was released almost 7 years ago, still fresh, so catchy, and now keeps stuck on my mind",en
156,Love it ️,en
157,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Secret Song” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
158,"Não tem como enjoar dessa música, é boa demais, orgulho no futuro de falar que ela é da minha época ️",pt
159,Que perfeição! ,pt
160,this song instantly makes me happier,en
161,"lyrics
Tell me what you want
What you like, it's okay
I'm a little curious too",en
162,"Adoro essa música, sinto uma vibe boa.",pt
163,"Essa música me lembra tempos bons, onde não existia coronavirus, não era preciso usar máscaras, quem diria q eu sentiria falta de dar um abraço... Tantos familiares que perdi, fiquei um bom tempo sem paladar, sem sentir o sabor das coisas... A gente só dá valor a coisas simples quando perde msm...",pt
164,I'm a straight grown ass man who isn't really into pop music and I absolutely love this song,en
165,This is definitely like the song of the summer for the past 7 years :),en
166,"I heard this song on radio in car and i was like: ""this song is so amazing""",en
167,Listened to this on a plane to Japan I can’t get enough of this since  best for summer obviously ,en
168,"My ears : listening the music
My lips: singing along with the song
My eyes: watching and reading the comments
My hand: scrolling down",en
169,This song can turn my bed into a big club,en
170,sdd desse tempo! ,pt
171,Que música é esse linda,pt
172,De boa no verão.🇧🇷,pt
173,I love this song so much,en
174,"Major girl crushing. To those who are complaining she's being too revealing, she's clearly, finally, at a point where she's happy, comfortable and confident in her own skin.. and so she should, she looks amazing.",en
175,It 2022 and I still love this song,en
176,vim lembrar essa versão pra quando sair a nova ,pt
177,To amando esse hino virando trend no tiktok,pt
178,"Unapologetically poppy and edgy. Demi's best hit tbh, not a fan of the other stuff, but this shit slaps so fucking hard.",en
179,This song flames the fire of love and the urge of intimacy,en
180,Omg Loved it ,en
181,"This song is SO awesome, LOVE DEMi <3",en
182,This just randomly came into my mind and wouldn’t leave me alone. Had to listen to it,en
183,They performed well on this song,en
184,Loved you on the tonight show. Love that you like to laugh. You seem to be a lot of fun and very genuine. You're great Demi stay ,en
185,This beat is heavily underrated. The guitars are ,en
186,7 years ago still vibing to it,en
187,"DEMI YOU LOOK INCREDIBLE! Also, so obsessed with this song at the moment! <3",en
188,Love this song,en
189,Demi volta com os hit,pt
190,Still a banger!!! I have many memories to this song ,en
191,"This song is so good but so hard to listen to. My husband, who was my best friend and entire world, died in January 2016 and I have this vivid memory of listening to this song with him in the car during his last summer here. This song and the song ""take me to church"" are two songs that immediately take me back to the way the world was before he died",en
192,Revisiting my golden age of 19 ,en
193,We should bring this back on the the charts this year,en
194,This song brings me back to when I was 22 and pregnant… I listened to this a lot to feel happy after my ex left me,en
195,This song is amazing,en
196,I really love this beautiful song of Cool of the Summer by Demi Lovato I ever love ️,en
197,0:52 omg I cant explain how good this part is,en
198,"This is my favorite song, I remember when I was in elementary school, this song will always be playing in the radio, the good old memories🥹🥹🥹🥹🫶🫶🫶🫶!!!!",en
199,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
200,This song was so ahead of its time. Iconic. Demi never looked better too.,en
201,Linda maravilhosa love perfeita,pt
202,LOVE IT,en
203,Best song ever! Demi you are absolutely gorgeous,en
204,"7 years later, still a good song.",en
205,"I still remember when this song was first released, me and my sister we were so obsessed with it and i didn't even understand what's the meaning of the song because i was too young to understand lol, great memories ️",en
206,I think that this is everyone's secret summer anthem!,en
207,"Playing this this summer, damn it was good",en
208,I love this song because I'm a big fan of demi lovato,en
209,i remember when this song first came out and still love it,en
210,I’ve never heard this song and it was 7 years ago omg I love it,en
211,"Selena meu amor, vejo muita verdade nessa sanção, saiba que você é mulherão incrível, nós todos amamos você porque além de ser transparente e mostrar sua verdade você inspirou e inspira muita gente com o seu empoderamento! 
Te amamos demais, você merece um amor mais incrível feito você! Voceé gigante garota! 🇧🇷",pt
212,this song is everything,en
213,this was so aesthetic and summery gahh i love this,en
214,"Ouvindo essa porra desde quando lançou e eu tinha 11 anos e hoje em dia to ouvindo com a minha morena do lado, essa música nunca fica velha",pt
215,"""Don't tell your mother.
 Kiss one another. 
 Die for each other.""
This line makes me think of Romeo & Juliet.",en
216,I'm 56 years old and still rocking off this song.,en
217,7 years ago and me and my  sister still listen,en
218,I remember this was THE song of the summer for 2015,en
