,comentario,liguagem
0,"This is amazing, and the line: ""And make sure your dressed appropriately so your not provoking women"" is an excellent example of how mad todays patriarchy would be if roles were reversed. Also, an excellent use of displaying important messages and using your platform for good. Thank you so much Dove!",en
1,The fact that it looks so “wrong” is the fact that it is so beautifully portrayed. I love this woman,en
2,"When she says ""Men are so f-ing emotional, get it together, you know"", she really is shining a light on things other artists aren't doing. Also when she says, "" I never said it was right, but I'm gonna keep doing it"". She knows what she is doing is wrong but still keeps doing it because it gives her power.",en
3,"When the doctor said ""make sure you dress properly so that u won't provoke women""this line hit hard.We women have to listen to this every single day ,when we dress or go out.I would respect those men who understands the message of this song,who u understands what we women go through all the time.",en
4,"As a 56 year old man, who was raised by a strong mother and has always respected women, my wife, my daughter, this made me understand at an entire different level. Thank you.",en
5,As a women living in Iran under so much pressure and without any basic rights for women this made me cry I hope someday we get what we deserve,en
6,"This is not just a music video, it’s a movement, hats off to Dove for a perfect representation of how wrong it is and how it feels after such an important right was taken away!",en
7,"I don't understand why MV's like this don't blow up? Like, music which also gives a message, why don't they get much recognition? We need to give grammys to songs and mvs like these which also give a social message.",en
8,"Made me cry, we NEED more people to be speaking up about women's rights
Edit: For the people who are blind, how is birthing a kid against your will fine to you? Or the fact that child marriage is still relevant. The fact that most rape cases go unpunished, always finding a way to blame the woman....you don't care about men's rights if you only bring it up to overshadow women's problems. And that's a fact.",en
9,"Can we talk about the line ""One by one hang on my necklace, they'll always be mine""?
It truly shows that the shit women endure from sexual abuse/harassment never leaves them and men know it and use it as a way to draw their power. Not to mention that most men that act this way, have multiple victims.
Honestly great fucking work. Love her music truly.",en
10,I’ve never really listened to her music before but this. The message behind it and how skillfully the video was made. I’m blown away honestly.,en
11,We have a queen in our midst! She clearly portrayed what is still happening to this day and the issues we face in a way that no other artist has done(at least from what I've seen).,en
12,"The concept of this video...... exactly the message that our society needs to hear. When the roles are reversed, everything wrong about it becomes more obvious. Reminds me of the kind of fiction books I write. Hopefully the more people will see the disparity between genders, the more they will prone equality instead.",en
13,"This is such a great music video. I've always loved music videos, but this one is so amazing bc it sends such a powerful message. I've been a fan of Dove for years and I'm so proud of her for speaking her mind. And not to mention the song is so awesome as well. So iconic <3",en
14,"This gave me chills, especially at the end. With the time’s we’re living in, this is such an important piece of art.",en
15,"Such a great music video! Everything was on point, those line, the story, all the concept. I was so much impressed when they were drinking and the boy arrives, when he gives them the drink, the touches, so discreet but inappropriate!  This is the kind of music videos give us power and give us voice! This should get more recognition! Dove, continue doing what you're doing <3",en
16,It is honestly so powerful to see how much this video impacts so many women. It helps to show a completely different perspective that many people don´t see. I grew up watching you on Disney Channel and to see where you are now is truly inspiring. Keep up the good work and thank you.,en
17,It’s a shame that a lot of people still won’t understand this. They’ll see it as “another woman complaining” but this is art. It captures the feelings so well and it’s not sad. It doesn’t feel like a defeat. It makes you want to fight.  As we should.,en
18,"This is done perfectly! The concept is amazing and it's so hard to pull this off. Telling the story and showing how unfair stuff is in a short time... and you shot it out the park!!!! Love the song, video and you!!!",en
19,"Really rare for a music video to make me cry, but this got me ( maybe wine was involved haha) but regardless, the fact that our country is going backwards makes me sooo sad. Go dove cameron for not being a celebrity that wants to stay silent on serious and political issues.",en
20,"i love how dove doesnt gaf what people think. she doesnt care because she knows what she thinks and she wont let people change that. keep inspiring the world with your powerful words bae, we love u",en
