,comentario,liguagem
0,"Drake, they type of guy to wake you up to tell you he's going to sleep",en
1,It’s been 7 years since this song has been out and I’m still not tired of it.,en
2,"I CANT believe it's already been 7 years. 
I remember when this song first came out.Time goes by fast ",en
3,"Drake the type of dude to say ""well well well"" when he sees an opp",en
4,I can’t believe this song is already turning 6 years old time just flys by.,en
5,"Ahhh, the nostalgia. Still remember I sang this song with my siblings together back in December 2015",en
6,"Incrível como essa música tem 7 anos mas a sensação que eu tenho quando escuto ela é como se eu estivesse ouvindo pela primeira vez.
Puro suco de 2017, 2018 e 2019 ️",pt
7,ILIKE IT,en
8,Nunca me canso de ouvir 🇧🇷🇧🇷,pt
9,Drake's motto is:' You're never too old to listen to a song that never gets old ',en
10,Drake is the type of guy that looks up and down before crossing the street.,en
11,Essa é a música que fez a diferença. #Sensacional!,pt
12,"Drake is the type of guy that buys popcorn, after he leaves the movie theater",en
13,"Drake is a kind of a guy who dances in front of blind people but still get an applause 
Drake go in soo hard on this right here, straight up BANGA! He aint like all them goofies and oppas who just be using that HIPVIEWS dawwwt cawwwm to get mad exposure on they socials, SMH seem like anyone can go HAM these days... SMH",en
14,Drake is that guy who tells his crush she's just a friend,en
15,"Lyric: Drake - Hotline Bling

You used to call me on my

You used to, you used to",en
16,This song came out around the time my daughter was born. I would softly sing this to her while my dad would laugh in the other room. Good memories ,en
17,Top demais mano 🇧🇷,pt
18,Drake is the type of guy who actually  studies for his drug test.,en
19,Drake is the best  ,en
20,"Drake Is Going From One Hit Song To The Next, Excellent Hip-Hop Artist.            ",en
21,7 years later and it’s still like my first time hearing it,en
22,"drake is the type of person to say ""no more mr nice guy"" when hes angry",en
23,It's been 7 years since this song has been out and i'm still like this song no cap..,en
24,que música é essa. ️️,pt
25,"tempo bom, todo dia tinha disso no tvz MTV eu era viciada na época em musicas pop e etc, saudades.",pt
26,"Comment Section:
50% - This song never gets old
50% -  Drake is the type of guy",en
27,This song will never get old. ,en
28,Essa batida nostálgica demais top,pt
29,"Drake is the type of guy who relaxes, on Sundays, with a good book.",en
30,This is how you dance when you have money and it doesn't even matter.,en
31,Iconic music video and track. Just never gets old to me.,en
32,Ain’t no way this song about to turn 8 years. Time really flies.,en
33,Drake is the type of guy who signs his autograph because it was written in the stars,en
34,this song just give me good vibes people who disliked tis masterpiece have a bad taste of music,en
35,Drake is the type of guy who made it through the day-o without shedding a tear,en
36,Drake is the type of guy that cleans his shoes for a passport photo,en
37,Great memories listening to this again.  Hits the mood just right,en
38,Respect for Drake ,en
39,What a song. Masterpiece by Drake.,en
40,"Drake is the type of guy who adjusts the shower head, before singing in the shower",en
41,Drake the type of guy to water his plants when it’s raining,en
42,O que fez aqui no Brasil deixando o público na mão é imperdoável.,pt
43,"Drake is the type of guy that looks in the audience for first claps, after a performance",en
44,This song never gets old because its forever young,en
45,Drake is a type of a guy who always gets chilled by his own songs,en
46,"É, não tem como dar errado, grande sucesso dos idos de 1970, nova roupagem, arranjos, tecnologia um poema em cima, um swing e o dinheiro entrando na conta!",pt
47,7 years later and its still a banger tune,en
48,Drake they type of dude to say “didn’t see that one coming” after he gets hit by a car,en
49,7 years and this STILL one of the greatest videos ever. Dance like no one is watching  ,en
50,Drake's the type of guy to fall in the shower and grab the water.,en
51,2023 ainda como se fosse a primeira vez que ouço.. ,pt
52,Damn this song is 7years old,en
53,"She messed with me, she knows I like her, she plays with my feelings, she thinks it's just friendship, but it's not, it's love, I'm in love with this girl, she knows how to understand me, she knows me I listened, she showed me that in this world there are still good people, I like to be on her side, but I'm just a friend to her, sad but I can't force her to like me the same way I do I like her.",en
54,Drake is the type of guy that makes sharp comments when he's on point,en
55,Drake is the type of guy to tell the rain it’s okay to cry,en
