,comentario,liguagem
0,"This song never gets old. No matter how much I listen to it, I never get bored.",en
1,Its been over a year since Future Nostalgia was released and still gets full rotation. Dua made a true masterpiece in this album. Its just start of many. I know I'll be in a love again.,en
2,"I can still remember, when DUA broke the internet. I hope she does it again this year!",en
3,Voz lindíssima! Essa música é top demais.,pt
4,"I like this song, voice is so full of emotion and the beat kills it!!!",en
5,"5 reasons why to love dua lipa!
1. Her voice feels like heaven
2. Her music is 
3. Her music videos are good pieces of work!",en
6,"I don't normally like modern pop, but she is freaking fun. Love it!",en
7,"The song, the video and dua lipa herself is a pure art.",en
8,Muito top essa música ,pt
9,Maravilhosa top demais,pt
10,Amo muito essa música ️.,pt
11,She's an incredible singer  I wish she comes back again with new songs this year...,en
12,"Dua Lipa como sempre entregando, e dessa vez em pleno período de festa junina",pt
13,uma das melhores músicas do álbum ,pt
14,"This song always reminds me to embrace hope, love and compassion and forgiveness. The tone of grace in this song reminds anyone listening to truly embrace life in every way most perfect",en
15,"Dear Dua Lipa,



I hope this message finds you well. I wanted to take a moment to appreciate the message behind your beautiful song ""Love Again"". The lyrics speak of a newfound love that has reignited hope and joy in the singer's life, and I believe that this sentiment is something that we all need right now.",en
16,Gosto muitooooo!,pt
17,"Dua Lipa inspired me to go all in with my music. She was just like me, an artist without many listeners. Now she’s on top. It’s happening for me now, and Im not stopping ",en
18,We're still in the Future Nostalgia and we never saw Dua Lipa FAIL!!!! SUCH AN ICONIC ERA IN POP MUSIC,en
19,This girl is magic.  There really is no other like her in the industry of this time... Creo que nos embrujó a todos  TALENTOSISIMA.,en
20,"This woman is just amazing at everything she does, it's crazy to be so strong in so many areas",en
21,Your songs are always on my playlist don't worry carry on with the music ppl say suit but don't degrade your self and always keep it up,en
22,Wonderful melody and lyrics  ,en
23,"LYRICS:

I never thought that I would find a way out

I never thought I'd hear my heartbeat so loud",en
24,Dua Lipa's Future Nostalgia was one of my top albums of 2020. Every song was really good. I love her nu-disco/dance-pop style of music.,en
25,"This song never gets old. No matter how much i listen to it, i never get bored",en
26,Dua Lipa's voice is like a sharp knife! It just cuts through my heart. Awesome.,en
