,comentario,liguagem
0,"Thank you to all friends old and new, to love, happiness and keeping an open heart. WELCOME TO FUTURE NOSTALGIA  out now on all streaming services!!!!!! https://dualipa.co/futurenostalgia",en
1,Still a hit.,en
2,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
3,İ liked this music and awesome music,en
4,"I have nothing to say about this song, i just saying that, this song is awesome",en
5,This video is brilliant. Notice how each time the chorus repeats she seems more and more confident until finally shes the one passing out the advice at the end. Well done.,en
6,This song may be 5 years old but for us it never gets old. She's truly a masterpiece!,en
7,this is the song everyone really started to notice dua i’m so proud of her with how far she’s come within 5 years!,en
8,It been 5 years but this song is still in my favourite songs list️,en
9,She’s the best her song makes you feel like life is worth living you just have to dance yeah,en
10,"the first time she was being taught 
second, she's remembering and putting into practice 
third, she's teaching others 
this is why I love this song",en
11,"Essa música está carregada de lembranças,lembro perfeitamente quando foi lançada! 🇧🇷",pt
12,Beatiful songs,en
13,life was better when this song was everywhere,en
14,Toda vez que alguém curtir esse comentário eu voltarei pra ouvir essa obra de arte,pt
15,"""And if you're under him, you ain't getting over him"" is soo iconic. Dua Lipa did THAT!",en
16,Still a hit,en
17,"I absolutely love Dua Lipa ,  she is in a class of her own with beauty.  Damn! She is just amazing,    prettier than any Kardashian,   she's magic",en
18,Love this video and the message. Love the diversity in the friend group and love the girl power.,en
19,This song should be more played on radios ,en
20,So happy to see an underrated artist finally get recognition.,en
21,Can't stop listening ,en
22,"This song is a Real piece of Art
It never gets old , not even in 2023",en
23,Are we gonna ignore the fact that those flamingos did a perfect job at performing. They need a raise ASAP,en
24,"I love this song and the video clip . It is an Art. She is smart , beautiful and talented.",en
25,"Dua Lipa inspired me to go all in with my music. She was just like me, an artist without many listeners. Now she’s on top. It’s happening for me now, and Im not stopping ",en
26,This Choreography is on a whole different level@100 years from now this song will still be a hit,en
27,Sisters supporting each other needs to be the musical theme for 2021. This New Rules and Best Friend are my favorite songs because its all about ladies supporting each other and building each other up. Please don't stop.,en
28,Still love this 5 years later. Music and video are timeless.,en
29,Dua Lipa just knows how to make hits ,en
30,I can't believe this song is only 5 years old. Time really does fly. 2023 anyone?,en
31,"In conclusion, she looks good in every color",en
32,"Dua Lipa ️🇦🇱
One of her best songs besides Levitating  
This song ""New rules"" is so great, her voice and the modern beat. ️",en
33,These visuals are just what we need on Women’s Day! ,en
34,Just love it,en
35,I'm so happy I finally found a female artist where I can sing along with her music and actually sound good. I have a deeper voice and this is just perfect.,en
36,I've been listening to this song forever and I've been loving it and all her other songs,en
37,"Once you hear this song, you cannot forget it.
Love this song so much! 
Dua Lipa is a true star  🇦🇱 ",en
38,OMG I love her voice.. she's very talented and gorgeous,en
39,Absolute masterpiece. This song might be 5 years old but it still amazing!,en
40,"dua lipa fez sucesso com essa hein ,amo amo!!",pt
41,Love the song!,en
42,This song gets never old,en
43,"I love this video, I love this music, I love Dua Lipa ^_^;-):-D:-)",en
44,Love this song of her,en
45,this is my favorite song!!! love it I listen to it every time,en
46,That's a train I'd like to be a part of! Love Dua. Timeless songs.,en
47,I love this song!!!,en
48,"this song makes me feel like a strong independent woman, and i’m a guy.",en
49,Her dancing skills have come a long way. She worked hard at it. Respect,en
50,Thank you for all your awesome music!!! ,en
51,This song can never old ,en
52,I haven't been SO obsessed with a music video for so long. OMG I LOVE THIS.,en
53,No matter how many years ago this masterpiece was made. And it's still one,en
54,I legitimatelty don't understand how this has almost 1 million dislikes. Literally one of her best songs....,en
55,This is the first song I heard her sing and I fell in love ,en
56,Time flys for real  I miss those days when this song was everywhere,en
57,i just fell in love with this song since first time i hear it,en
58,One of the most nostalgic songs of all time for me. I remember when this was brand new.,en
59,this is such an amazing song... it carries a message if you watch the video..,en
60,"I think this song is about how, in toxic situations, we keep wanting to come back to them, gravitating towards them, thinking they will be different, and it's good to set reminders and boundaries because the toxic situation won't change",en
61,Lovin’ the song ,en
62,I don't know if I'm addicted to the song because of the music video or if I'm addicted to the music video because of the song.,en
63,"Dua Lipa ️🇦🇱
Love her. La amo! 
She has talent and beauty. 
️️️",en
64,One clever song . One great voice ,en
65,"Dualipa so special 
She doesn't just make music  she creates magic  as well.",en
66,My favorite part is when she does 1 2 and 3 i just love that part,en
67,Still a hit. ,en
68,It's been five years and I'm still listening to this ,en
69,Dua Lipa is my new love!,en
70,"I remember when I've heard this song for the first time. I was a kid that didn't understand even the simpliest sentences in english. Despite this fact, I felt that New Rules is sung by a confident and strong woman. I was right. Dua has sth magical in her way of singing that lets me know what she wants to message, even if I don't know/understand the lircys",en
71,"I was there in the 4th row, nobody had any idea that Mariah was going to take part. Such a stunning surprise! Two of the greatest vocalists of all time",en
72,Great song,en
73,I'm so happy for her new success! I remember watching this at 5 mil now its at 140 mil ,en
74,"Song that will make 
A boom by a girl who 
Never disappoints us  
And can dance so well",en
75,What a fantastic song by Dua lipa!,en
76,"What a amazing video, what a amazing song and Dua Lipa a beautiful woman 🇬🇧󠁧󠁢󠁥󠁮󠁧󠁿🇽🇰🇦🇱",en
77,can she hit the Victoria's Secret fashion show this year please?!,en
78,No matter how old this isn't is it will always have a place in my and other people's hearts,en
79,one of the most talented artists of our time.,en
80,"First listen: Doesn't sound bad
Second listen: I like this
Third listen: I HAVE TO REPEAT THIS SONGG! I LOVE THISSSS!!",en
81,"Hey dua lipa, this is such an excellent song!
Great lyrics, great beat and such a great singer!
Love from 󠁧󠁢󠁷󠁬󠁳󠁿",en
82,hi dua i absolutely love ALL of your songs!,en
83,5 Years since Release and still a Hit in 2023,en
84,still hiting,en
85,Bitch these visuals!! Give her a god damn Grammy ,en
86,love this song,en
87,I love this song  you go girl,en
88, love this videoclip!,en
89,Still Cannot Believe That This Song Is 3 Years Old Now. Time Flies.,en
90,"One of fav songs of all time,the song is true.billy️",en
91,She's so amazing!,en
92,2:08 That was the best transition ever and shes so beautiful.,en
93,5 years later and this song still hits different. Truly a masterpiece and without the help of  Authentic views,en
94,"what an amazing set, shout out to the production designer.",en
95,"Whenever I hear this I feel like im in Holly wood,Its that good I love Dua Lipa I’m you’re biggest fan on earth",en
96,Perfect!,en
97,Can we just appreciate that this whole video is basically friends supporting each other through tough breakups?,en
98,Dua Lipa is my 2nd fav American female singer ,en
99,This song deserves an award every year.,en
100,"I feel bad for some guys who can't appreciate a girl's love. (But those who do, keep doing what you doing. For girls too)",en
101,"Bro I was so innocent and didn't understand this song back then, now listening to it 3 years later I understand it all omfg.",en
102,it was a hit and still the hit,en
103,I use this song everytime I tested my new earphone  masterpiece production. Her voice and the bass is great!,en
104,Can she hit the Victoria's Secret Fashion show this year please?!,en
105,Hello there. This was so totally hypnotising song and video i love you Dua Lipa. Peace and love to you.,en
