,comentario,liguagem
0,the fact that EVERYBODY fan or non-fan can say how much she's improved in all directions (even tho she was GOOD before) says a lot about her hard work to constantly improve,en
1,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
2,So colorful! Always loving her beautiful voice! Long live Dua Lipa!,en
3,Dua's producers should really receive credit for doing such a great job of pulling out original elements from '80s synth pop songs and underscoring all of her productions with it. Very slick and nicely done. It's these elements that elevate her sound and create legions of new dancehall music followers.,en
4,"She has absolutely broken the “Best New Artist” curse, she is coming into her own and it’s phenomenal. 
This is amazing.",en
5,Her voice is smooth and I love the husk of it. She's phenomenal. Her music always puts me in the best mood. ,en
6,"This song really needs more attention, I've been a fan since 2019 and this is probably one of Dua's best songs. I'm very glad it was put on the track for Wednesday, this song is bomb!",en
7,"This is how you take criticism and  evolve. Dua's dance was made a whole meme and now, she is practicing and improving a lot. Respect to her.",en
8,Um álbum sem nenhum defeito. Eu escolhi te amar Dua.,pt
9,Can't get enough of this song. Just gets better the more you hear it.,en
10,"lyrics 
Common love isn't for us
We created something phenomenal
Don't you agree?",en
11,"Common love isn't for us
We created something phenomenal
Don't you agree? Don't you agree?
You got me feeling diamond-rich",en
12,"Não sei porque, mas essa música me deixa de bom humor toda vez que a ouço, é simplesmente fantástica!",pt
13,I hope people realize how good this song really is.,en
14,A message to future generations: don’t let this song die. Masterpiece!,en
15,"This is amazing stuff Dua. Hope to hear this kind of music often, Mind blowing.",en
16,Perfect song ,en
17,Essa música é maravilhosa ️,pt
18,I can't help but loving DuaLipa more and more. This new debut is pure art.,en
19,"Esse clipe ele é muito poderoso,e esses shows de cores,tem uma energia incrível,você sente uma vibração no seu corpo,uma vontade de dançar e cantar,a dua pisou na gente",pt
20,"Sou Guitarrista e curto Heavy Metal, mas essas músicas da Dua Lipa, são muito boas, tô gostando de ouvir, essa pancada é diferente",pt
21,Love this music ,en
22,Essa música é simplesmente maravilhosa!,pt
23,nunca irei me esquecer desse hino..... te amo dua,pt
24,"Another song to enjoy, if there is anything we know is that Dua makes heart music, puts effort and dedication to each song. It is something that makes she unique and different from other singers.",en
25,"This song will always scream quarantine 2020 for me.
So many memories dancing in the house ",en
26,I love all your songs it gives  me such a good vibe. Thank you Dua Lipa for all this music,en
27,so brasileira mais eu só fã dessa mulher dualipa essa música é maravilhosa,pt
28,"She’s saving music in her own unique style, this is a musical masterpiece, all of her music is, I love her. God bless ️",en
29,"This song of the singer is one of the best, it makes you nostalgic for the time when you were in quarantine and only this song helped you survive those moments when you were on edge from this caronovirus!!! SHE is really future nostalgia, just like the hits of 90, in 20 years there will be something to remember. This is a masterpiece in new music!!!",en
30,Amo todas as músicas da Dua Lipa ️,pt
31,"i'll never surpass this masterpiece, everything is so stunning, so phenomenal, incredible and spectacular, dua never disappoints, always making art, she's on another level, excellent job dua and her team🫶",en
32,"Three years now, I can't believe it, one of Dua's best songs. I feel like it's a bit undervalued, but it's still incredible. The best song for several loves. It's just been 3 years and what better than celebrating with more than 400 million views. ",en
33,"Whenever this song comes on in the club, I usually go crazy. The energy is infectious. ",en
34,This song is too much for me... One of the best pop songs I've ever heard in the last few years! She set the bar high for all the pop musicians! KUDOS DUA!,en
35,"Não canso nunca de ouvir essa musica!!
TE AMO DUA",pt
36,"This is a Phenomenal masterpiece.. the beats the sound, if listened closely , are perfection️",en
37,essa música é muito perfeita,pt
38,"Always love this MV, of course Lipa is great! But...in fact; the arrangement is excellent; even all the dance teachers are successful characters. Personally, I would like to pay tribute to all the staff who participated in this audio-visual. Without the participation of many outstanding talents, perfection cannot be achieved... respect and thanks. (I use translation software to express, I hope you can understand the meaning)",en
39,"80's tempo, nice voice, cool choreography, aesthetics... POP is once again saved!",en
40,This would forever remind me of the first weeks of lockdown. This is the only song that I've listened to on a loop. Thank you Dua for the nostalgic memories.,en
41,Dua lipa has created a revolution of quality music in an age where creativity is  reaching its limit.. Don't know how she does that.. Bless her!! She is inspiring millions to take efforts to be their best selves..,en
42,"She has a disco queen vibe to her I cant shake. Seriously, she would have killed it also back in the 70's.",en
43,This is one of her best songs she has sung. This song her vocals are changing without any strain in her voice.... awesome Dua,en
44,"Dua Lipa virou paixão!!!
Ela é fenomenal!!!",pt
45,Best song-video-music-voice-interpreter-dance ever. Love DUA ,en
46,She got an incredible sense of esthetic! She’s really original. All  her videos are special. Blow your mind is so beautiful and edgy! IDGAF is so innovating and all her choreography are breathtaking! I’m speechless now. Let’s get physical ,en
47,"For some reason, i get the feeling Dua is going to be this generation’s Cher. She’ll be a timeless classic when we’re in our 60s.",en
48,"I was so happy hearing this song in Wednesday, the song finally getting recognition from others",en
49,I keep coming back to it and every time I love it and think it's a masterpiece <3,en
50,She's grown into such a performer! So much more energy and confidence. Her voice has always been bomb tho,en
51,"The producers absolutely killed this,the melody of this, the rhythm, I'm a hardcore hip hop head so for this to be stuck in my head says something to me. Not my genre AT all, heard it on the radio and boom! That ""lights out, follow the noise, keep dancing like you ain't got a choice"" is fire!",en
52,Love this song so much ,en
53,A Melhor música do álbum e sem mais... !,pt
54,Okay but Dua is getting better each single she releases!!!,en
55,"essa música nunca enjoa, te amo dua.",pt
56,The Best Video of Future Nostalgia,en
57,This video is awesome.  Dua Lipa. You slay queen!,en
58,Eu perdi a conta de quantas vezes eu já ouvi esse álbum,pt
59,I keep coming back & it’s still not boring. Honestly this song deserves millions of views,en
60,This is my and my partner soul song when we were at the beginning and is still in this moment ,en
61,Love the song ,en
62,"I feel like crying because this is TOO GOOD TO BE REAL.
Dua Lipa out there saving pop music and changing the game. A masterpiece.",en
