,comentario,liguagem
0,"Como é possivel um cota de 60 anos não gostar de ver, ouvir e dançar com esta beldade cheia de força, faz-me lembrar quando tinha a idade de DUA LIPA, nas Discotecas era também sempre a abrir e ainda hoje não fico atrás dos mais novos, porque quem aprendeu a dançar nunca esquece. Parabéns",pt
1,"é uma deusa, divina, magnífica....",pt
2,"Thank you for this extraordinary compilation. These are the concert views we all wish we could have in person, but at least now we have them recorded for always. A phenomenal concert by Our Star!",en
3,"Você é a Cantora Pop deste século, ou milênio! Pregue os olhos em sua carreira musical para alguém não a prejudicar! Sou sua fã!",pt
4,I have got to watch Dua every day as  her Concert was unbelievable and so I can go back to the day I saw it live and hope she does another one soon as I think her fans can’t get enough of her ️,en
5,I would love to go to a Dua lipa concert someday. She’s magical!,en
6,The remixes between songs are fire ,en
7,Muito bom ,pt
8,Dualipa você é linda  🇧🇷 canta muito  não me canso de vc,pt
9,"Physical.... Absolutely brilliant song and omg can she sing, one of the best albums EVER",en
10,a dua é top demais!! O que dá raiva é esse câmera não posicionar a câmera direito aff,pt
11,Such a powerful voice awesome song about being Physical with your Lover...Thanks for this Awesome Song Ms. Dua Lipa ,en
12,"Here, I hear the beautiful voice of angels of sky with my heart ️  ",en
13,"Ternura de hermosura,mis vidas te amo ",pt
14,The dress and the songs suits extraordinarily ,en
15,"DL, keep it goin girl !!!!!!
Love your tunes !!!!!",en
16,love the performance Dua ,en
17,"I'm blown away by the ""onslaught"" of the Albanian-origin singers on the pop scene these days. Dua Lipa, Ava Max, Bebe Rexha recently singing for David Guetta, and the list does on... As pop singers, they have to master the whole vocal range, but the lows are their specialty (IMHO)",en
18,Amazing! Thanks for posting.,en
19,Dua for the next Super Bowl!,en
20,"That Was An Amazing, Fantastic, Captivating, Incredibly Brilliant Concert... Dua` Has Much, Much Fame And Rightly So, I Am Completely Weak At The Knees For Female Vocalists It's Good To Know Yourself And This Is Not In Anyway Shape Or Form A Defect Of Mine, Dua` Was Filmed Respectfully In This Day And Age Saddly People Are Taking Advantage Of People's Vonrabiliy With Their Camera Esspecially Their Mobile Phones.. What An Incredible Vioce And Beautiful Smile Dua` Has.. Greatitude .&.♡.Always.Skoty.",en
21,"Authentic aerobics show, high energy, and cool vibes. Dua is sexy and sweet, love her voice and energy.",en
22,it is fascinating to see the beautiful Dua on stage,en
23,"Falar da Dua Lipa no palco cantando, dançando é muita repetição de elogios. Espero que ela continue esse ser humano brilhante e não se perca como outras cantoras ...",pt
24,Giba demais 🇧🇷,pt
25,I love this great artist,en
26,"WOW, it sounds good, Sometimes I listen this music for working, and it is good, Always following the rules of the Company",en
27,The Queen ☆☆☆ Fired stage,en
28,Just incredible whooooo,en
29,Per fect Dua! Thank for u ,en
30,"wowww... she is amaizing.. genial,",en
31,She is finally coming into her self!,en
32,"'DUA LIPA' TALL, TALENTED & BEAUTY!",en
33,"She is so amazing.  Eat your heart out Miley C, and God bless Noah C.  Bigg Daddey Cain and The Song",en
34,Máximo 🇧🇷viche!,pt
35,"She is pretty and Boss as  skirt button,nice in her blue,and has great undertones,the bass lines are best,from the Caribbean,good songs... Petite.... and Authentic... My fav... New Rulesss",en
36,"It took me a while to find this again, but Dua is hott as hell, and her song rocks.  Sickey!",en
37,"amazing job, muppy!! did you go in the tirana future nostalgia tour?",en
38,"top das tops, quem tem DUA não precisa da baixaria da anitta",pt
39,I Wana thank her for the whole of music personlit I would thank her with my whole life in a hug,en
40,PERENDESHE DUA LIPA ,pt
41,"You aren^t need show how much beautiful and extremely marvel, perfect, ever were and are, because everyone convinced us of that!",en
42,"Thanks to ALLOH, Alloh is Larging Glorious on Their profesional Art Show up",en
43,Nada algo asi nos alegrA la vidaaa,pt
44,You guyze are The Moon's Elite Represenatives.  Long live The Third Rike and it's shame and glorey...-Lopsoh Qwicks,en
45,dua lipa only the best songs i love it so much,en
46,Beautiful shows,en
47,The Iconic One Kiss arm shake dance need backk,en
48,Pena que que as câmeras fizeram muitos closes. Mal deu para ver as performances dela e dos dançarinos.,pt
49,U amazing and  love u and the show ,en
50,Awesome share!,en
51,the best,en
52,"cool,,,,",en
53,omg who recorded the closeups ,en
54,You ar so  great,en
55,Have a nice blessed Sunday for you and the family ok!beautiful!!!🇧🇷,en
56,Universo,en
57,I need you to adopt me DUA !!! ,en
58,does anyone have her phone number ? i like her so much,en
59,She has the nicely cirves on the back bottem it extra nice her age has it nicely done dulipa,en
60,Thank you,en
61,CREADOR,en
62,JE T'AIME AMOUR COEUR CHÉRI CHERIE DUA LIPA JE T'AIME AMOUR COEUR CHÉRI CHERIE REMI GOFFLO ,en
63,My love iloveyou ️️️️️️️️ THE QUEEN Forever Kissing,en
64,"The new Regina of pop DUA lIPA,Beautyful grande.",en
65,TLC.. LUV N MISS U.....,en
66,I like that she show off her way into not out but I see it to me even if it how I'll take it,en
67,te amo,pt
68,Duali  thanks   for everything ️      ️      ️   u du  we follow u  because  you  send  the videos   thanks   beautiful  ,en
69,Que chula mi bebé te amo ,pt
70,I saw something more than once while watching this,en
71,"DuA. LipA. Auooo. U. ARE. Golden
Dimond. Of. The. World.
I. Love.  U.   SOOOOO. Much.
I. Am. SOOO. Happy. With. U.",en
72,"CREADOR , JEHOVA .",en
73,She is Beautiful!! and Talented!!,en
74,We long way from ill never let go of you,en
75,I agree,en
76,Up on mind you have that love thought I'll find love You so much it's in mine time love you in moonlight that start you in star life you have a up smile took my knees to see how hight I like,en
77,"It's to be true, alright.",en
78,You heard me lipa them lips knocked me from my feet whipped my ass never lost one fight ever .my life until a kissing video you gave to me encrypted for life of us,en
79,Where are the comments on Miley's Sister Aphordite?  -Sickey Legg Stix,en
80,Nothing said violates public,en
81,Im forever sorry and i do love you,en
82,Aiy love you,en
83,She has the look that I thought was the ready to find one for her it sad that I'm not close just to inspire me it happin to lady's first a guy lasten to find it for them most,en
84,"from my mom's phone hey 

@",en
85,"DuA. LipA. I. Admire. U. So. Much.
Please. Understand. Me. I. Am. Ur. Nearest. Fan. Admire.",en
86,If that someone call for about death roses maybe you're my life roses so that if you crazy for me so you're most welcome just come to me my dear lovely dua lipa so thanks to you,en
87,Your love is custom the life in this is awasom the look is all out more then one love you cause your flying in my bed for the whole entire reach into night your the one could invite me after you spend time with me in one time in life,en
88,I thought the bed I have can never stop you the way you grow is wee I'll love to see,en
89,"hello Pretty Wonderful. Dua and Com
 Whatever happen you know
   I love you so. I miss you so.  e,,,,Ph
        To.  GOD.   be.   the.    glory",en
90,Dua lipa is the Best ,en
91,CREADOR JHEOVA,en
92,Don't you agree,en
93,"==Whateve from thinks y builds to give to knows truth person answer or give or take over now,or y die change===sportif==",en
94,Good night lovely friends and good bye its for time demand shehri time at now and battery charge so lowest see you later my dear crazy friend life roses maybe someone in that death roses judgement to you in that love cases but my death roses really love to me that's enough I just satisfied to her and same condition get on to that about of my mobile operational battery mobile too good at goodbye . S.m.a.k,en
95,Hey.........Wow........Super.....Full watched my friend . Liiikkeee & Subb    Done.....................,en
96,Im so sad she`s getting older,en
97,"Nice performance, this girl gives me @as_ausra vibes, pretty cool",en
