,comentario,liguagem
0,"This is called ""Perfection""",en
1,ENHYPEN is always making everyone's life better with their music,en
2,"I like the idea of female partners, it gives a kick to the choreography.",en
3,"The fact that Ni-ki participated on the choreography and Heeseung directing the M/V  makes the comeback more special and masterpiece. 
Kings never disappoint you know
Engene Let's create a history with this masterpiece. Hwaiting",en
4,"TARGET HARI INI 19M, BESOK PAGI HARUS SUDAH 20M YUKKKK SEMANGAT SEMANGAT!!!!",en
5,"ENGENE, let's give our boys even more support by watching them and listening to bite me so they can get a trophy as an appreciation for how cool the masterpiece they gave. I know you really love enhypen, so let's go, give all your effort! Fighting!!!",en
6,"Video clip: 10/10
Choreography: 10/10
Singing: 10/10
Rap: 10/10 ",en
7,You can’t tell Enha what to do and what not to do! They are not your basic Kpop group! They are revolutionary!!!!!!!,en
8,"That was incredible. The female dancers were a GREAT decision. The choreography is amazing ( Thank you Ni-ki ). The visuals are phew, delivered yet again. The song is reaaaaally catchy, You're hooked on it instantly, if you say no then you're a liar. You don't exist. LMAOOAOAO",en
9,the fact that Ni-ki participated on their choreo plus Heeseung on directing the recording of this MV turns out a mindblowing masterpiece!!!,en
10,let's get 20M views! The boys did an amazing job they deserve all the wins,en
11,"don't stop when you reach the finish line, we have to break the record and give the boys the best comeback",en
12,"ENGENE let's finish 20M. today!!!!we have to do it!Yesterday we were able to collect only 1M.) Don't be lazy, we will support them properly. don't hate them because of the dance, please!!!! they tried so hard))",en
13,they worked so hard for this comeback let’s show them how much we appreciate their efforts fellow Engenes,en
14,SEMANGAT ENGENEEEE!!!,en
15,"""Bite me"" is now literally on TOP2 of Global Trending Music!!!
Isn't it just too much impressive!!",en
16,hello! please encourage everyone to watch this masterpiece. lets keep going all for our boys they deserve moreeee! fighting!,en
17,"I'm so proud of Jungwon
I'm so proud of Heeseung
I'm so proud of Jay
I'm so proud of Jake",en
18,As a polish person I am so proud of enhypen doing this MV in Poland. They worked so hard. Let's give them only positive feedback ENGENES,en
19,Very nice song,en
20,ENHYPEN SE MERECE TODO LO BUENO DEL MUNDO. BIT ME THE BEST CHOREOGRAPHY.,en
21,Go Enhypen! The only group that I stan to the point that I wouldn't skip the ads while watching the MV!,en
22,"I mean wow, I am way too impressed. My boy Riki in the chair up in the sky as if he was ruling, he looks sooooo freaking cool!!! And way too stunned for how amazing and more mature each of them looked when dancing with the ladies. I absolutely loved everything about this MV. The lyrics are great too. Not getting over this song. 🫠️‍",en
23,Been listening to this masterpiece and tbh it is one of the best Choreography ever. Thank you so much ENHYPEN for this wonderful comeback.   PS: THE VISUALS and VOCALS are SUPERB        PPS: JUST COME KISS ME AND BITE ME,en
24,"i know we can reach at least 18M today guys. just dont stop watching, keep stay on the line. we can do it for uri enhypen",en
25,"I think the choreography is amazing, it seems they practiced so hard. Come on don't be delusional and stream this masterpiece. By the way the dancers are beautiful and so talented!!",en
26,Share this MV to your friends and everywhere enjins!!,en
27,"this comeback actually reminded me that they tried so hard to debut in their i-land time and it really made me cry..but now they've gotten this far, beyond proud of them.. i'm so proud of all of them..they tried so hard. I will always support enhypen!",en
28,Let's go stream!! Let's to this for our boys. :((( they deserve to win on music shows after 10months of hardwork!!,en
29,"visuals, choreography and performance are on top!! enhypen always proving why they are called the powerhouse of kpop!!!",en
30,"we'll hit 18 million soon, keep str3@ming, I am proud of Enhypen <3 Thank you!",en
31,the choreography and vocals are ON TOP!! so proud of my boys <3,en
32,how can we make it 20M guys ? TELL ALL YOUR NEIGHBORHOOD TO WATCH THIS NOW HAHAHAHAHA,en
33,"I'm so grateful to those people who voted for the members during I-land and made the group ENHYPEN. 
Thanks to you guys, people are getting hear masterpieces ♡",en
34,engenes please dont boycott because of the choreography. enhypen worked so hard for this we shouldnt get jealous/upset over the choreo okay? we can do this engeness,en
35,"OUR AIM IS 18M BEFORE THE 2ND DAY ENDS AND THAT'S 18M BEFORE 6PM KST! WE CAN DO THIS! AFTER 18M, WE'LL AIM FOR MORE UNTIL WE HOPEFULLY REACH 100M IN THE FIRST WEEK. WE CAN DO THIS!",en
36,Engenes let's give Enhypen at least 3 wins or even more this comeback. Encourage everyone on other social media platforms to go here too.,en
37,"This comeback let's give them all our support and love
Our boys worked really hard this time too.
Fighting engenes and enhypen",en
38,I'm not boring to str3@m this MV . This is a masterpiece and you all did it great.ENHYPEN we love you.ENGENE KEEP $TR3@M1NG FOR OVER 20M!WE CAN DO THAT !!,en
39,THEY WORKED REALLY HARD ......   LETS MAKE A RECORD ENGENES ..... WE CAN DO IT !!!!,en
40,Only ENHYPEN revolutionizing the kpop industry with an amazing song and such a perfect choreography,en
41,"I haven't been able to hardly str34m because of my finals but now I'm here aaaaaaa enhypen, I'm so proud of y'all",en
42,AAAAA i love this comeback so much! Thank you for your hard work!!! 사랑해 정원!!!,en
43,PLS CONTINUE WATCHING THE MV IF WE WANT TO BREAK THE 3 MUSIC SHOW WINS CURSE!! WE NEED TO REACH AT LEAST 20M VIEWS TODAY,en
44,"The members' vocals are so powerful, and their synchronized moves are just chef's kiss perfection! ",en
45,All the songs on this album are AMAZING but Bite me and Karma won my heart <333,en
46,THE CHOREOGRAPHY IS INSANE ! I NEED THEIR FANCAM ASAP !,en
47,I think we can all agree that ENHYPEN has SLAYED THIS COMEBACK! I'm in love with this song!,en
48,"i totally like it because of unique cheography, attractive beat and meaningful lyrics that is connected to their story line",en
49,AYO SEMANGAT ENGENE,pt
50,"Hello,

@BELIFTLAB please support the Enhypen boys with their new comeback, the choreography and the dancers were really great, the international engene loved that they appeared with dancers, it's an incredible concept!",en
51,I love the choreography so much. it's really unique and suits their vibe really well. the fact that Niki choreographed the pre-chorus is amazing. FIGHTING,en
52,"This masterpiece is too short belift, we need more",en
53,i don't want us to lose after all this hardwork,en
54,"Consistency is the key! Dont drop anything, our rivals in music shows are STRONG.",en
55,the female dancers added so much for this performance like it truly POPPED more because of them,en
56,engene!! we are doing pretty well $tream!ng comparing to our previous comebacks. but let's not chill lol lets work evern harder and hit 20M mark today. We can totally do it. HWAITING!,en
57,"This Song Is So Addicting, The Beat, Their Vocals, The Rap, The Choreography, The Outfits,  Not to mention their stunning Visuals. ENHYPEN SLAYED.",en
58,"pls do things for enhypen, they need to have win in music shows, pls give them the best",en
59,C'mon guys let's step up our pace! Let's give them music show wins pleaseeee,en
60,"the visuals, choreography and performance are insane!! ENHYPEN TRUE POWERHOUSE OF KPOP",en
61,"everything about dark blood is amazing

the vocals, choreography, song, everything",en
62,The choreography is so cool  best song of 2023 tbh,en
63,"Very impressive comeback as always, my enhypen! let's do our best for them!!",en
64,WOW.. THE CHOREOGRAPHY.. I CANT GET IT OUT OF MY HEAD!!!!!,en
65,They're slaying again and again!!,en
66,HARI INI 18M AYOO SEMANGAT ENJINAA,en
67,This comeback is such a masterpiece! ,en
68,"Even though we’ve reached 10M, please don’t stop. Remember we have first week goals too. Beyond that, year end award shows use these sort of numbers for nominations (e.g. Best Performace). Let’s do our best to give them the best possible result. As far as we know this is the only comeback this year, so let’s go all out okay? Stay focused! Stay focus on only the things YOU can do. Fighting!",en
69,THE PART NI-KI CHOREOGRAPHED IS SO ADDICTING,en
70,"never tired watching it repeatedly 24/7, you guys are the best. enhypennn we love you",en
71,DON'T GIVE UP ENGENES!!! WE CAN DO IT!!!!!!!,en
72,"The choreography is so refreshing, new and out of the box kudos to Our talented Maknae Ni-Ki.",en
73,"Oh my gosh I'm so happy, we managed to get 11 million views even before 24 hours!! You guys are awesome Engene, our next target is 20 M Fighting!",en
74,We can’t give up now! Let’s get to 20m,en
75,"I don't know if my 7 precious Enha members will read this but I would like to speak anyway.

Leaving the comfort zone is not easy, wanting to innovate, breaking barriers, is not easy. Being the ""rule breakers"" even more within Kpop much less. But please don't give up, keep going. Try all the rhythms you want, go outside the box as much as you want, don't let yourself be put down by a minority who will criticize, complain or curse.",en
76,let's focus on getting our 20M mark. let's give our boys what they deserve.,en
77,their voice is so mesmerizing i love them sm!!!,en
78,"Brasil here 
I love you very much 
I already missed listening to you. I'm proud of you. They grew and will still reach billions and billions of fans!!!!",en
79,engene let's stream with enthusiasm enhypen has given a cool and extraordinary mv so let's enliven the comeback with a fiery passion,en
80,"I witnessed them growing and this comeback made me realize how far they've come now and words aren't enough how proud and grateful I am for them. If only I would be given a chance to see them I want to thank them personally and tell them how inspiring and hardworking they are, I wish.",en
81,the choreo and everything abt this mv and song is AMAZINGGGG,en
82,This Choreo is amazing and perfect for the concept!!!!. Also the song is amazing and make you want to listen to it more. Everyone did an amazing job this comeback!!!!,en
83,Why no one is talking about the massive connection of the MV with the dark moon webtoon ..and it's last episode release day and the MV's released day are same.. THE SONG IS AMAZING,en
84,Whatever you do DO NOT GIVE UP! We’re nearly there,en
85,"i realized that there is issue regarding k-engenes and i-engenes having truck war, but GUYS!!!! STAY FOCUS! Our main goal is for them to win as much award as possible for this comeback. They had been working so hard preparing for this comeback. So, why not we set aside the issue first and focus on our main task?",en
86,"This is definitely one of the best videos out there, everyone should listen to ENHYPEN!!!",en
87,WE NEED TO GET TO 20M BEFORE THE DAY ENDS LETS DO THIS ENGENES,en
88,are we slowing down? let's go engenes. our boys deserves more.,en
89,"engene, lets not stress about numbers, we are doing great! all know ENHYPEN cares that we listen to their songs more than any numbers, so lets just keep calm and have fun with this comeback yeah? They gave us such a beautiful song so lets keep going! We got this!! ♡♡",en
90,Absolutely beautiful video and song! She hasn't been out of her head for days! I absolutely love everything here! your vocals are great! And what are these dance machines? love you<3,en
91,"I hope enhypen can be more successful and more famous in the future, let's help them, engene",en
92,The dance is sooo great!,en
93,"this comeback actually made me tear up remembering those times when they were still trainees striving to debut in i-land, and now we are here:< i am beyond proud of them, you've made us proud, enha, always.",en
94,"3 days and it’s still trending #1 in Music,, fighting enhypen and engenes!! ",en
95,whenever i watch this mv it feels like watching for the first time SO EXCITING,en
96,Each concept is just getting better and better,en
97,i won't stop. my boys didn't endure the cold filming this until morning in Poland for nothing. T_T,en
98,This is what we call LEGENDARY,en
99,Sunoo and Jay's parts are catchy. They are such amazing singers.,en
100,The future of Kpop indeed!!,en
101,let's enjoy this masterpiece while reaching our 20M engenes!,en
102,the WHOLE MV was just AMAZING! ♡,en
