,comentario,liguagem
0,"One of Ed Sheeran's best songs of all time,  full of emotions and deep messages. To me this is the classical Ed Sheeran.",en
1,These aren't just lyrics; it's poetry.,en
2,"Afterglow is one of Ed Sheeran's most underrated songs.
The lyrics and melody are simply too heavenly for this world.",en
3,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
4,"He is here to save Christmas, actually to save the whole 2020. Thank you Ed ",en
5,Afterglow is true art. Ed Sheeran shows that he's one of the best artists of our time!,en
6,It's getting about 2 years of this song .And still giving me such pleasure listening to it .so Nostalgic,en
7,Melhor música de todos os tempos,pt
8,"I listened to this for the first time about two months after it was released, my life going downhill, trying to hold onto something, and this always bought me peace. Two years later, I think I can understand it. It's wonderful, the lyrics, the love in Ed's voice while singing it, the sweet guitar, even the visuals feel like a warm hug.
A simple, careful, beautiful thing.",en
9,Love this song and the one I’ll pick when learning guitar! ,en
10,"I was seriously thinking yesterday: when is Ed Sheeran releasing new gold? This recommendation made me really happy :)
This is so good ",en
11,What a beautiful song. To me this is one of the best Ed Sheeran has done. ,en
12,"This song will always hold a special place in my heart, it first came out not long after finding out I was pregnant end of 2020. We had it as the song I walked down the aisle to in our small wedding due to covid, I was 5 months pregnant and the most amazing day  our little boy is nearly 6 months and this song bring back so many happy memories!",en
13,"Simple, easy, soothing, yet so relatable, so much emotion, so much hope.
This afterglow will remain with me forever. Thanks Ed.",en
14,"I don't know how many times I come back to this song. Thanks, Ed! You don't know how much this has got me through.",en
15,He is back!! ,en
16,Viram....quando ele canta a música se encanta. Não canso de ouvir BRAVOOOO!!!!!! ️️,pt
17,I swear I've got this playing on repeat I love this so much!,en
18,"This song never gets old. No matter how much I listen, I never get bored.",en
19,Belíssima canção de Ed Sheeran ️,pt
20,"I keep finding myself getting back to this song. It neutralises my mind, stops the whirlwind of thoughts in my head just enough to calm down and feel better again. ",en
21,Finally!!! ,en
22,"Ed Sheeran is a great singer and poet. It's been clear since the I See Fire times, but through the years he's just becoming a genius. Rare ""poets of rock"" kind. I hope he knows how many lives he has enriched so much with his absolute artistry. Thanks Ed. Big respect!",en
23,"Ainda irei no seu show, você é um fenômeno internacional ! Sou seu fã.",pt
24,This has been on Spotify repeat for over an hour now. What a beautiful song,en
25,Essa música é linda demaissss. Deveria ser traduzida p o português Brasil. Afinal o cantor Ed Sheeran é muito querido aqui no Brasil.,pt
26,"I’ve recently started listening to this song again, it’s earned a spot on my sleep playlist. So peaceful and calming.",en
27,"This is not just a song, its an absolute magic. Ed Sheeran just glimmers the love all around the universe with his lovely voice ️",en
28,"One my all time favorite songs, Ed Sheeran is one my biggest inspirations as a songwriter. He’s a gift to the world.",en
29,One of my favourite songs by Ed Sheeran! It’s incredibly unique and beautiful. It’s very unrated and it made me rate him more as a an artist!,en
30,This is so beautiful. ,en
31,So beautiful. This song gave me chills and put tears in my eyes. It reminded me of how sick I was for so many years and that I made it through because I held on! Blessing Ed <3<3<3,en
32,"This is one of the most beautiful songs I've ever heard in my entire life! 
It gives me the goosebumps! It touches my soul !!",en
33,HE IS BACK,en
34,"Ed inspired me to go all in with my music. He was just like me, an artist trying to get heard. And now he’s on on top. It’s happening for me, and Im not stopping when it does! ",en
35,"I've never fallen in love but Ed Sheeran's songs make me fall in love with myself.
His words touch my heart from all direction",en
36,"Amo demais Ed Sheeran, muitas músicas dele na minha playlist, voz maravilhosa.",pt
37,this song hits different when you hear it live :'),en
38,"Ed sheeran is not merely a singer, he is a story teller.",en
39,I don't know how i can express the feelings i got for the first time i heard this song but one thing for sure is that this song helped me in so many different ways i could not be able to describe. Ed is a preacher he speaks the hearts that are in need of someone around or someone to be loved. This song helped me go in love again where it had been 6 years out of love,en
40,I can’t stop playing this song over and over again .,en
41,"Say what you will about Ed Sheeran, this song is a masterpiece",en
42,"Ed Sheeran, I was struggling to find a new purpose in my life after I realised that everything I'd lived for was a lie. In my darkest hours, it was songs like these that kept me going. You have no idea how much this means to me and so many countless others. Love, Samantha ️",en
43,"Ed is one of the only artists who I connect with musically. I feel so many emotions with his music. I had the amazing opportunity to meet him 2017 after his concert. Although it was extremely brief, I will forever cherish that moment. Such a kind hearted guy.",en
44,Lindooo ñ  canso de ouvir...,pt
45,I admire Ed's ability to  disscribe in words the beauty he see's around him,en
46,This is just simply a great song ,en
47,"Whenever I feel low I listen this very song & it always makes me feel good 
And even tonight as I'm not enjoying newyear I'm here listening to this song on repeat ",en
48,"All of Ed Sheeran's song have Awesome vibes, hits in a different way, and all of them are a masterpiece.",en
49,"I heard this song the first time in radio, when i was sitting in my car right in front of the hospital, knowing that my wife is inside, preparing to give birth to my wonderful daughter, 5 weeks before expected time of  birth. Winter in Austria is really cold, so i was freezing all over, not only because of temperature outside, but also because i was not allowed to be with her due to pandemic restrictions. I cannot say, how much these words meant to me in this moment, as i was waiting for a miracle, trying to find myself in the winter snow surrounding me. It was like someone above was at my side, telling me not to worry, because everything will be alright and both will be safe. I will keep this divine and sacred moment forever in my heart, never forgetting the love i felt in this moment. Thank you",en
50,This is the song I’m going to be walking down the aisle to this fall! ️,en
51,"Beautiful song. Thank you, Ed. I love you so much for giving us wonderful songs. ️️️
This song should have 10 times more views…",en
52,"🇨🇨 Encantada!
Lindo e maravilhoso!
Adoro esse encantador de almas.",pt
53,"Ed this song is magic from the melody, verses, your voice, and all the other parts.  I recently broke up with someone I love and this song soothes my broken heart, my feelings, and the environment.  I love it so much! Thank you for writing it.   ",en
54,"I heard this at McDonald's with my friends, first time ever. Hearing this feels like you're just alone, seating at the side of the glass wall, looking out the nightsky while waiting for someone, and it warms you like a summer flower in the meadows. And then the song ends, and it feels empty again, even I'm with my friends. I thnk that someone I've been waiting was the kid in me who's long gone, I'm now wondering where she's been and what is she dreaming this time.",en
55,"I don't like going 'crazy fan' but seeing Ed in this video, I feel like he's come full circle, in the sense of musical style and even his looks! But you can just tell how comfortable and confident he is and he's not shy on camera like he was before. He look healthy and happy! Congrats on the baby Ed and Cherry. You both deserve the absolute best!",en
56,"Does the first lyric stop any of you guys and give you chills? Ed's music is quite special, I think.",en
57,The only bad thing about this song: it's too short...️,en
