,comentario,liguagem
0,"He said he don't want to produce another sad love song amid the pandemic already making people sad enough, so he decide to make a cheeky merrymaking enjoyable song, he certainly did, & man what a phenomenal singer songwriter he is",en
1,"I still remember exactly the day this came out, I used to relate to it so much when I was at my lowest. There is an Ed song for every moment of your life and I feel immensely lucky and grateful, because I really grew up with him and his music ",en
2,"Música top demais,amei ️",pt
3,"Anyone who’s ever felt hollow after a night out understands this tune on another level. It’s a poppy song with a haunting message. The music video is perfect - one of the best I have seen in years. 

I’m glad I’m just a boring guy in my 30s now lol.",en
4,"When you're happy you enjoy the music,but when you're sad you understand the lyrics.",en
5,fun fact : this song never gets old,en
6,How did Ed Sheeran went from the Irish/English ginger musician to this gothic colourful vampire?,en
7,"What a beautiful song... It's been in my head since it came out to be heard, it's a nice caress to the soul.",en
8,"Bad Habits is absolutely genius. Everything about this song, the video and the lyrics. I love Ed’s music but was thrilled to see this come out. He shows versatility and talent that can only come from a new approach from the entertainer.",en
9,I've been listening to it since it came out and I don't get tired,en
10,Essa musica é demais,pt
11,"There is so much talent in this artist. Ed, you are awesome !",en
12,i love the transition of his face when the sun hits him.,en
13,"I used to be a fan, but after hearing this masterpiece I’m a whole air conditioner.",en
14,"The genre was amazing! He controlled it so well. I would’ve thought the genre would be some sort of romantic date and Ed Sheeran was string at the girls eyes-
AmAzIng ",en
15,Eu estou apaixonada por essa música,pt
16,"Essa música é muito boa cara, só nao sabia quem era o cantor dela",pt
17,"It's an addictive song with a haunting message. you can feel empty, feel hopeless,.. The music video is perfect - one of the best I've seen in years.",en
18,Note to self: Don't miss reputation era of ed.,en
19,Bad Habits by Ed Sheeran is a musically spellbinding song with bewitching vocals and music the way that the music narrator admits to being hypnotized by whoever the muse of this song refers to. I admit that I was musically entranced by this song when I heard it earlier today on the radio.,en
20,Se vc voltou pra ouvir esse som Parabéns! Seu gosto e excelente!!!,pt
21,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
22,Eu amo essa música pois define os momentos que eu vivenciei igual retrata na música e a vibe do mesmo sentimento que eu sentia. As músicas retratam a realidade de uma forma mágica. Eu amo pois não é só eu que passo por situações do tipo.,pt
23,"Singer: Ed Sheeran
Visual: Joker
Aesthetic: The Weeknd",en
24,"I love how it represents some addiction like the 2 making out is sex addiction, the one eating candy excessively, food addiction, the one drinking alcohol addiction the one biting her nails is literally just a bad habit lol. And how they(addicts) destroy every one around them. I love it. As a recovering addict I really feel this song",en
25,Adoro essa música ,pt
26,"It's insane
I can't stop listening.",en
27,ADORO ESSA MÚSICA ,pt
28,"the best scene is when ed holds his guitar with the sunrise moment. for the song, it's beautiful like other of the ed albums.",en
29,"I love this song, seriously, it Maker me feel so relaxed",en
30,"Ed Sheeran inspired me to go all in with my music. He was once just like me, an artist trying to get heard. And now he’s on on top. It’s happening for me, and Im not stopping when it does! ",en
31,Love it! Ed is stunning!,en
32,Amo muito essa musica linda,pt
33,"since the first time I heard it (last year) I really liked it, it's a good song by Ed",en
34,So this is what Ed Sheeran gets up to when we are all in bed,en
35,I'm surprised I've never heard this song   I really like it. ,en
36,"Ed has inspired me to go all in  with my music . He was just like me , an artist trying to get heard .And now he's on top. It's happening for me , and I'm not stopping when it does !",en
37,"Respect to Ed Sheeran.He,s a talent.I don,t know why,but I  think he had  wrote all his songs",en
38,"Conversations with a stranger a barely know , I’ve had those talks with myself for sure . 
For what’s sounds like a pop song this hits hard and true",en
39,I swear he looks younger than he did when he started out. It’s crazy.,en
40,Que lindo muito linda essa música maravilhosa ,pt
41,"It's amazing to me how a bad habbit Will allways be remembered with this song, (loving it) thank you",en
42,"Ed Sheeran, never wants to stop making songs because, he probably reads the comments we leave him, and wants to make new songs. I’ve always believed in him. He is the best singer on earth! I believe in you Ed!!️️",en
43,Swearing this will be the last time I'm replaying this song but it probably won't...,en
44,Depois de um ano depois agora eu vir dizer que desde q ele lançou esse hit vou sempre achar uma das melhores dele até na música eletrônica ele é bom foi a primeira vez que escutei ele lançou uma música neste gênero,pt
45,Muito bom mesmo ️️,pt
46,We live in a society where Ed sheeran becomes the vampire.,en
47,I love it.This song helped me get to tough times,en
48,"No one's going to see this because it's Ed Sheeran, but this song helped me come to terms with my alcoholism.
The lyrics coupled with the tone hit hard.",en
49,"Bad Habits

Ed Sheeran



(One, two, three, four)",en
50,He has a voice and it does so well with the song. Its catchy,en
51,Well damn. Just when I thought I couldn’t love him anymore…..this happens.,en
52,"""Every pure intention ends when the good times starts"" just hits me hard to core",en
53,"It's 2023, and some songs never get old, no matter how much time passes",en
54,"Very clever, catchy lyrics.. great hit; never gets old ",en
55,Can't wait!,en
56,Eu adoro essa musica,pt
57,MARCOS ESSA MÚSICA TEM QUE TOCAR NA RÁDIO,en
58,"Lyrics:

Every time you come around you know I can’t say no 

Every time the sun goes down I let you take control

I can feel the paradise before my world implodes",en
59,He never disappointes us with his  𝕝𝕪𝕣𝕚𝕔𝕤,en
60,HE FLYS LIKE A ROYAL HIGH CHARACTER I CAN’T,en
61,Todas as músicas do Ed me fazem lembrar uma pessoa aqui no nosso sofá e ao pé do nosso armário castanho um grande amor nonca morre Elisabete Gonçalves ,pt
62,"This man is fantabulous. Im so obsessed with this song, I literally listen to it every day. Ed is so worth seeing.",en
63,Love this song so much play it every time I get a chance.,en
64,"I'm not a huge fan of today's popular music, but this song is actually pretty good",en
65,Didn’t recognise his voice on this track !! So much higher and softer,en
66,I have bad habits of playing Ed's music on repeat ,en
67,"Well done Ed  
I love your music very much",en
68,Love it!,en
69,"wow what a wonderful song is ,everyday i came here and listen many times and try to memorize lyrics its amazing.",en
70,"Ed Sheeran said   ""I’ve got nothing left to lose, or use, or do"" and i felt it",en
71,rip to all the customer service workers who will have to hear this three times a day for the next ten years,en
72,Que lindo muito lindo mesmo gostei ️️️️,pt
73,It's 2023 but this music never get old & still a masterpiece,en
74,Top das galáxias,pt
75,LOOOOOOVE IT!!!!,en
76,"Music is an art and he is a vampire, its the shit and I think it amazingly creative, dont listen to  the haters Ed",en
77,This song will be in H&Ms for the next decade.,en
78,The music and video together is a masterpiece.,en
79,Such a good song and very catchy,en
80,I've heard and felt a lot about speaking! An indescribable melody! That's too good,en
81,"Everyone: What genre are you Ed?

Ed: Yes!!",en
82,I love this song,en
83,Love most of his songs ,en
84,"Just got to see this beautiful man perform this song live in Adelaide tonight and I just want to say it’s worth going broke to see Ed sing live. And sorry to the people that was sitting next, behind and in front of me and my friend. My friend was screaming her head off ",en
85,"This song reminds me my late mom, its been 23 years  since she gone but never forget, rest in peace and power mom, we love you, till we meet again ",en
86,"In how many people do you wanna reawaken their vampire fantasies?
Ed: Yes",en
87,LOVE HIS MUSIC AND THE VIDEO ! FANTASTIC !,en
88,"One, two, three, four
Ooh-ooh, ooh-ooh-ooh
Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control",en
89,"Absolutely amazing song, love the beat️",en
90,Best Ed Sheeran song and music video ever hands down.,en
91,Eu ouvia essa música e pensava que era uma mulher que cantava amo essa música 🇧🇷,pt
92,Ed Sheeran looks innocent no matter how evil he's trynna look awh ...love the song tho,en
93,One of the best songs of ed sheeran,en
94,"This is an absolutely epic song. But for whoever sees this that is into rock, Micah Ariss has a rock cover of this that's pretty good too ;)",en
95,Me pretending to be a vampire in middle school after watching Twilight,en
96,As always obsessed to another masterpiece ,en
97,"I usually don’t listen pop music,but yesterday I heard this song in taxi and can’t get it out of my mind. Great lyrics!",en
98,I love this song!,en
99,Such a catchy tune!!! Right from the get go! LOVE the video! ,en
100,Now I know it's never too late to quit bad habits ,en
101,"You just cannot convince me that he's a bad vampire, It's Ed man",en
102,I played this on loop the whole night and waked up hearing this.Truly a great song,en
103,I love this song Ed Sheeran is my favorite singer.  My bad habits lead you to something. Maybe something special who knows...,en
104,"Ed Sheeran: my bad habits leads to you
me: my bad habits leads to you ( me looking at my tummy)",en
105,"I love this song, it's true bad habits will get you every time.",en
106,He is brilliant singer i like his Voice. 1 year Older Playing on FM and Pandora but Feels like new.,en
107,Simply the best music of Ed Sheehan for me,en
108,"Director: “Ed, how many people do u want to include?”

Ed: “ Yes “",en
109,Em 2023 não seria diferente... essa música continua viva ,pt
110,Voce tem meu respeito amigo. Linda musica.,pt
111,I love his music,en
112,I love your songs so much thank you these are amazing,en
113,"Have no idea why people see him as vampire or Joker. He damn looks like a butterfly with that make up and pink suit!
Sweet and talented butterfly! ",en
114,"Im obssed with this tune , it just makes me bounce around like a lunatic , he is a great artis ",en
115,"WOW, you've outdone yourself, man! Awesome song! XD",en
116,"Esse filho da Mãe é um monstro na área músical, 
Deus abençoe Estados Unidos de África ️️",pt
117,"Everyone: Imagine if Ed Sheeran was a vampire. No that would be silly

Ed Sheeran:",en
118,Your  music brings me happiness thank you ed,en
119,I feel like this will get a billion views,en
120,"This songs presentation is very creative, love it :D",en
121,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
122,He's a genius all his music hits a point.,en
123,I love the beat of this song and I used to be bad. I chose my family and all of them graduated from high school ,en
124,this it my favorite song this is not something u would expect from him,en
125,Your Killin it bro don't stop please,en
126,i absolutley love this song and i'm not even an ed sheeran fan,en
127,"Lyrics~

One, two, three, four
Ooh-ooh, ooh-ooh-ooh",en
128,please never stop the music!!!!!!!!!!!!!!   PLEASE!,en
129,",,No, he can not surprise me. I have already heard everything from him''

Ed ,,hold my teeth''",en
130,England for the win with this guy. Sooo talented ️ what a voice,en
131,I love it so much!,en
132,"Lyrics:
Every time you come around you know I can’t say no 

Every time the sun goes down I let you take control

I can feel the paradise before my world implodes",en
133,"Did anyone notice how his voice have changed from ""perfect & shape of you""he now sounds like a 24 year old boy",en
134,The fact is that he is really gifted.,en
135,"Sometimes, I wonder what is going on in Ed's head when he's writing songs. He is phenomenal! I must admit.",en
136,Ed is the best ,en
137,I love the song I love the beats keep the good work and have a happy day,en
138,Moral of the story: remember to put sun screen on before going out.,en
139,His songs makes my heart rest,en
140,"好听死了！柔滑如斯 ！perfect song,as smooth as silk.",en
141,"Ed Sheeran voice is beautiful, he is ",en
142,"Other artist : using eyeshadow for vampire looks
Ed : Glitters go brrr.",en
143,Love this song ,en
144,Loved loved loved the whole thing ️,en
145,Whenever I listen this song I will I am in another world.,en
146,"WHAT a fking masterpiece. Incredible. He wrote gigahits like ""Perfect"" so he decided to step even further. Absolutely crazy.",en
147,Love it!,en
148,This song perfect sound and melodies remember memories me ,en
149,I love this song  ️,en
150,"Awh, Ed Sheeran has now grown all up into Edward Cullen.",en
151,"I just can't say no, it makes me feel so good,  thanks Ed for all your beautiful songs, clips,",en
152,"I love this song?, As a recovering Drug Addict and clean 12 years, I totally relate to it ️",en
153,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
154,Peaceful song,en
155,This song has many memories and makes me cry,en
156,"In this world, Ed Sheeran apparently becomes a vampire, Superman, budget medusa, the joker, and then back to Ed Sheeran",en
157,"One, two, three, four
Ooh-ooh, ooh-ooh-ooh
Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control",en
158,I love this song!,en
159,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
160,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
161,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
162,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
163,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
164,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
165,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
166,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️ ,en
167,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
168,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
169,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
170,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
171,The day this video was released was the day my daughter was born. I’ll never forget it. Now she sings it with me! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
172,"One, two, three, four
Ooh-ooh, ooh-ooh-ooh
Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control",en
173,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
174,This song and “Clover Cage - Ego Dissolution” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
175,"One, two, three, four
Ooh-ooh, ooh-ooh-ooh
Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control",en
176,"I dont know why, but it took me 1 year to love this song.  ️",en
177,"In loving memory of my Irish mother's, thank you for the freckles on my upper right arms, prior to 6.  Thank you for wiping my tears and feeding me.",en
178,"Ed be like: ""It's either die as a hero, or live long enough to see yourself become the villain""",en
179,This song always gets me hyped!,en
180,The ketchup in the Chinese food and the kid and Ed laughing about the popped balloon are my favorite parts of this video ,en
181,"Therapist: vampire sheeran doesn't exist, he can't hurt u
Vampire sheeran:",en
182,"Como é que a maioria não gostou dessa música?? É simplesmente perfeita, minha favorita ️",pt
183,Love it ,en
184,This song is hype!!,en
185,all artists bring out my top 3 this is in mine from ED.,en
186,"It’s like Ed is a child,
First the album covers with math symbols for album covers to show that he knows what they are.
And now the flying like a royal high character.",en
187,Ed Sheeran is amazing,en
188,I  can never get away from this song ,en
189,"I love your music, I need listen your music always!",en
190,I remember always listening it around late summer of 2021 on the radio of the TV. I used to wake up late for lunch and always listen to this song because it was always on the TV. This is one of the signs of my best summer ever.,en
191,"Me before release of song:
Okay, there will be a guitar and Ed's voice - perfect......
Me after listening:
What is this.... This is more than perfect....",en
192,I have never heard such an accurate description of falling n lust and ending up fucking up LOVE THIS SONG,en
193,He’s a great singer!,en
194,Love it,en
195,I was in military service (mandatory) in Azerbaijan Republic and this was the best song i'd heard in TV of that time.,en
196,There is something about ‘ conversation with a stranger I barely know ‘ Idk why I am so addicted to this part,en
197,This is gonna be a classic,en
198,I came to listen to this song again after watching épisode 3 of ed’s documentary ! I am an artist too and i was amazed by the Way he did this song so Fast ! Hope one day i will have thé chance to get him on my type of music . Be blessed man ,en
199,Todas as músicas do Ed me fazem lembrar uma pessoa aqui no nosso sofá e ao pé do nosso armário castanho  eu gostaria que ele contasse desta música Elisabete Gonçalves,pt
200,"Esse tradutor do YT é fantástico,vejo tantos comentários de outros países e acho estranho como eles se posicionam com o conteúdo kkkk",pt
201,This was filmed in my estate in London and I’m mind blown for weeks there was a massive camera crew in my car park and I was confused but now I know why,en
202,Love Ya music ️,en
203,Ed Sheeran is my favorite Singer and this is my favorite song,en
204,"His voice have something mysterious hidden behind it. Never make us disappoint, he's the best",en
205,Moral of the story: Don’t  go to an Ed Sheeran concert at night,en
206,yeah this song is on fire,en
207,""" falling over everything to reach the first time's spark  "" this line calm's me...",en
208,This is a amazing song. Words can't describe my passion ,en
209,Love this song,en
210,"Nobody: ""Ed, What's your motto?""
Ed: ""You either die a hero or live long enough to see yourself become the villain.""",en
211,I love this,en
212,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
213,"(One, two, three, four)
Ooh, ooh

Every time you come around, you know I can't say no",en
214,This song is fire. Wish I could have taken the time to appreciate it the time he dropped this nuke,en
215,"Producer: How many people do you need running?
Ed: Yes.",en
216,I love this song️,en
217,Great song and very true!,en
218,Ed sheeran my god love his voice,en
219,"So I got a question… Why does Ed look so familiar, like Gigi D’agostino in his music video for Another Way? They even carry similar beats and rhythms. I love it",en
220,"Ed Sheeran: just casually vibing
People at the background: breakdance",en
221,What an artistic achievement this song is. Vocals. Instrumentation. Mix. It's perfection and I Love It!,en
222,"ez lyrics One, two, three, four

Ooh-ooh, ooh-ooh-ooh

Every time you come around, you know I can't say no

Every time the sun goes down, I let you take control",en
223,This beat is magicalll,en
224,"""Ed Sheeran? Haven't seen you in months, look at you, you've changed so much!"" 
While I'm typing this, I realize that I sound like my grandma",en
225,This is actually a really good song look  how many views it's got,en
226,"I'm 102 years old and I'm listening to this.
Age don't matter
Music never ages",en
227,Wow this music Rocks  I love the Video Too!,en
228,"Me listening to Bad Habits “ok, this will be the last,” but it probably won’t.",en
229,Beautiful song sheeran!!!,en
230,"This video reached 500 million views on April 9th, 2023!  Keep in touch with me for more music milestones like this and more ️",en
