,comentario,liguagem
0,We don't look for old songs.. We look for memories they carry,en
1,"This is by far one of the most beautiful songs of todays music. The beat, the lyrics, the vibe. This is a classic we will be hearing for decades.",en
2,It's been 5 years but still I will never get bored of this masterpiece! ,en
3,"This song is a beautiful ode to love, capturing the pure joy and deep connection between two people. It's a heartfelt masterpiece that resonates with many",en
4,muito bom,pt
5,"I’m going to be 60 years old this month and every time I hear this song and watch your video, I love the song, the music and how you put your heart into it. I wish that someone would have loved me like in this beautiful song. Ed! Don’t let your music ever die. You mean a lot to so many people like me. Keep the music alive! God bless you ",en
6,Marcada pra sempre no meu coração ️,pt
7,"1 good song, 1 good story and thousands of memories it carry!!",en
8,Amo essa música ,pt
9,Isso sim é uma sofrencia de respeito.,pt
10,Ed Sheeran is a type of guy that makes you fall inlove deeper to your gf/ bf even if you don't have one.,en
11,It's been 5 years but this song is still a favorite,en
12,Perfeição define essa música . Essa música me lembra muita coisa .,pt
13,5 years later and this song still hits me like it just came out,en
14,"'Perfect' Lyrics



I found a love, for me

Darling, just dive right in and follow my lead",en
15,"No matter how many years passes , this song will stay in our hearts forever

An increadible song ",en
16,"I love his music ,and this is a wonderful song .",en
17,Perfeição ️,pt
18,This song is still my favourite of all time.,en
19,Som lindo demais,pt
20,Amo demais essa,pt
21,Muito bom de mais ,pt
22,This deserves to be #1 in youtube right now,en
23,"No matter how many years pass, this song will stay in our hearts forever. it is perfect.",en
24,"No matter how many years pass, this song will stay in our hearts forever",en
25,This  song helps me get through hard times,en
26,"4 days for the song to be 3 yrs old, we will never forget this song no matter what",en
27,listening to this song years later and it brought the biggest smile to my face in a while ,en
28,2023 aqui estou ouvindo essa música cheia de saudades do meu amor que está longe de mim hj em dia ,pt
29,"This song
2017:Perfect
2018:Perfect
2019:Perfect",en
30,God...every time I listen this song my heart beats increased...if this song isn't comfort then I don't know what it is!!!!,en
31,This hits differently when they can never be yours.,en
32,"No matter how many years pass, this song will stay in our hearts forever ",en
33,A song that deserves to be listened for ages,en
34,"We don't search for new songs
We search for old memories",en
35,5 years and this song is still legendary,en
36,"""The worst part of life is when the person who gave the best memories becomes a memory"" ",en
37,Que  vídeo lindoooo,pt
38,It's 2023 but still in love with this perfect masterpiece ️,en
39,"Even when time flies, This song will forever be beautiful, loved, and embedded into our hearts",en
40,This song is felt deep in the heart ,en
41,Ed's voice makes anyone fall in love <3,en
42,"céus, suas músicas são o paraíso",pt
43,recomendo muito linda e maravilhosa ,pt
44,This song will never get old even our grand kids in 2080 or more  will play it at their wedding,en
45,this song never gets old,en
46,"0% Drugs 

0% Nudity 

0% Bad words 

1000% Perfect",en
47,Essa música me lembra muita coisa ,pt
48,Immortal words! This song will never die because it's a real anthem of LOVE. It will be listening to from generation to generations,en
49,It's May 2023 and this classic still rocks...,en
50,Infinite songs but this Ed Sheeran's perfect will always remain my favourite ,en
51,"We don't search for old songs.
We search for old memories.",en
52,Clássico contemporâneo!,pt
53,"My favourite song 
The lyrics seem so relatable to me...",en
54,"I love this song, I can't stop singing it, it's perfect, at my school I started to sing this song and everyone told me that I sang it well and that if I knew how to pronounce it, thanks for this beautiful song.",en
55,Such an awesome song.,en
56,2023 and it's still a masterpiece ,en
57,Essa música eu namorado que  é  americano enviou para mim ele está tão distante mas ouvindo essa canção ela une cada vez mais o nosso amor,pt
58,Listening this after a year again and still feels that good ️,en
59,Love his music️,en
60,"I think I'm one of those who think that this song never needed a Remix, because it's Perfect ;)",en
61,The most perfect song I have ever heard in my life and it also suits to the video perfectly,en
62,Masterpiece song ,en
63,This song is just perfect ,en
64,The theme song for all the 2018 weddings!,en
65,Never get bored of listening this ,en
66,Só de ouvir da pra lembrar como é boa a sensação de estar apaixonado,pt
67,i absolutely love this song ..it's one of my favorites ,en
68,The song is perfect ,en
69,"""Ed Sheeran's 'Perfect' is an irresistible love ballad that captivates hearts and soothes souls.""",en
70,One of my favourite song ,en
71,"After watching the documentary at Disney+, he is really really talented. ",en
72,"This song reminds us that you don't need to much bagroud music for good Songs .
Simple is also good
Love you Ed Sheeran",en
73,"Essa canção tem o poder de entrar em nossa mente e coração, trazendo uma leveza e uma paz incrível",pt
74,"I found a love for me
Darling just dive right in
And follow my lead
Well I found a girl beautiful and sweet ",en
75,top demais,pt
76,I heard this song a few years ago when I was at a pizzeria with a friend. I didn't make sense of it or anything. but today 2023 I'm in love with the same girl. and now I understand its meaning and the whole message. thanks Ed,en
77,Bravissimo ,pt
78,Great and awesome work and great job and great work ed love it keep up the awesome work,en
79,Hope everyone who loves this song can be with the one they love,en
80,What a masterpiece ,en
81,Great one ️,en
82,this song will never be old it will always be recognized,en
83,Love this ,en
84,"This is beautiful song, the movie clip is so touching.",en
85,never get tired of this song,en
86,This song will NEVER get old and will always stick with us all!!! Thank you Ed!!!️,en
87,Everything about this song is just PERFECT,en
88,"I can't believe this song is 3 years old, it feels like yesterday",en
89,Gostei muito dessa música ,pt
90,"Essa música faz jus ao nome. Ela é simplesmente perfeita! Ela é fantástica, esplêndida e sensacional.",pt
91,"This song is heart touching,no matter how many years pass still this song is living in our heart ",en
92,"i love this song, i never get tired of it and i grew up with it🥹️🫶",en
93,Man i love this song,en
94,This is one of the beautiful and romantic song ever️️️ in 2019,en
95,"The first time I ever danced with a girl, this song was playing! We were at a high school prom. We'd only met a few hours before at dinner, so I didn't really have any emotional connection to her, but IT WAS SO THERAPEUTIC. I needed that for so long, and this was the Perfect catalyst",en
96,I still cry whenever I listen to this song ️,en
97,I always listen this song when my mood off this song really make my mood better  I can feel my life ,en
98,As perfect as this song ️️️,en
99,My cousin’s wedding was a week ago and they played this song and just slow danced and everyone was crying ughhh it was so beautiful ,en
100,Only 5 minutes left to end the world this song is still perfect️,en
101,a song that really touches the heart ,en
102,I loved it,en
103,"Lovely song, will stay in my heart for ever  ",en
104,Música tão linda que chega a doer ,pt
105,"I cried when listening to this music and reading the comments 
Ur so strong to overcome the trouble and a person with full of happiness, hope for all of u will find sth that always make u happy, joyful. God bless u",en
106,"Goosebumps still alive for ""perfect""",en
107,This song will never be old ,en
108,Please don't forget this ever it's a true master piece ,en
109,I love this song ,en
110,One of the best song ever.,en
111,"The first time I heard this beautiful song, I knew it would be one of the very top songs of the year.",en
112,Eu aqui escutando essa linda música em 2030,pt
113,"There are no words to explain that song that is enough for everyone to know the perfection of the song.
Legend ED SHEREEN.",en
114,A 'perfect' song by a legend ,en
115,Just want to have a perfect relationship like this song.,en
116,What a lyrics,en
117,Played at my wedding for the first dance! Thanks Ed Sheeran!,en
118,love this song,en
119,This song will always be the best,en
120,Nothing hits more than this song,en
121,Falling love with the song,en
122,Perfect song ,en
123,"Me & my girl  38 years old, this song reminds me when we were 17.. ",en
124,"Anyone else out there wanting to fall in love with someone and have him sing this beautiful song to you, like he wrote it for you ? This love song is PERFECT !",en
125,I still get goosebumps listening to this song 🥹,en
126,Its still a hit today,en
127,"Yesterday this masterpiece gained  935K views, and today 1M ",en
128,"She: How much do you love me? 
He: I can sing Perfect for you!",en
129,A message to future generations : Don't let this song die...,en
130,This masterpiece has another place in our hearts ,en
131,Music perfect ,en
132,"Essa música é muito linda, mas eu queria em espanhol",pt
133,"If this song isn't played on my wedding day, I'm not attending.",en
134,Definition of masterpiece.,en
135, one of favorite love songs!,en
136,Masterpiece from ed shreran,en
137,Just the tears came from the eyes filled with her face,en
138,"Ed, you make me miss the person who does not even exist",en
139,muito. linda essa música,pt
140,"Just loved it
Nice song
The best song ",en
141,I love this song and I’m a huge fan of u I’ve loved ur music for about 5 ish years,en
142,3:29 that guitar solo,en
143,This music video is perfect,en
144,A true example of how 'Perfect' actually looks like ,en
145,His songs have meaning and no one can beat that,en
146,"I have not listened to a song before, that brought out so much emotions in me,  my special love sent it to me, oh... how i fell so much more in love with him, great  song",en
147,Am I the only who thinks this but this would fit perfect for a wedding song ️,en
148,"Ed? I'm not Sure If you will Read This but I just want to Thank you Without your music I wouldn't be how I am right now 
I Grow up With your music because my mom is also a Big sheerio Please don't Stop Making music like this 
We just Love it 
P.S. is it possible to hug you ",en
149,Heart touching song ️,en
150,Dancing with your favourite person in this song is like dream come true ️,en
151,"What a beautiful song. Thank you for giving it to us! 
God bless you and your PERFECT special person!",en
152,I can't believe this song is already 3 years old,en
153,This is my number one favorite song and thinking out loud is my second favorite song. It never gets old. Great video,en
154,"Just wanted some emotions to flow through my eyes remembering those memories and this was ""PERFECT""",en
155,5 years later and this song still hits me like it just came out,en
156,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
157,This hits differently when they can never be yours.,en
158,muito bom,pt
159,"I found a love for me
Darling just dive right in
And follow my lead
Well I found a girl beautiful and sweet ",en
160,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
161,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
162,Eu sou angolano adoro essa musica,pt
163,This song deserve more views and likes . Obsessed with this song ,en
164,I love with this masterpiece  because it is her favorite song....actually perfect ...,en
165,My mom's favorite song. She passed in September. I miss her and her energy.,en
166,I love perfect more then any other song ,en
167,"I love it, I love it, it's beautiful ️",en
168,This is so beautiful I heard this in school and I and my friends sang it it is so magical for me,en
169,"I found a love, for me
Darling, just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waiting for me",en
170,"I know that nobody is gonna talk about how good is ed,s acting",en
171,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
172,"For how many years have pass, i will never forget this song",en
173,"This song is not just named perfect, it is ""perfect""",en
174,This always makes me cry and I don’t really understand why.   Ty Ed for touching our hearts ️ and lives !!,en
175,this song is so close to my heart .... whenever i feel our love is not the way we want i listen to this song and it gives me a gut feeling of how blessed i am to have u grace .... this song plays a major role in my 10yrs relation and more to come ... nd honestly i met an angel in person she looks perfect  ... if ever u read this by chance grace.... I love you my don ,en
176,There's a guy I know. He proposed to his girlfriend to this song. It was so sweet. I was in tears.,en
177,"I have just recently learned this song on guitar and I cannot wait to sing it for that one girl, sometime in the future perhaps.",en
178,The purity this song has is . In this fake love world ️,en
179,This song is sooo honest. Everyman feels like this when they found the one.,en
180,"Oh Ed what a masterpiece this is
An all time classic surely?",en
181,This Song Make Me Smile ,en
182,"this song contains more love in both visually , musically and lyrically......Ed Sheeran voice was divine ",en
