,comentario,liguagem
0,The older you become the better this song gets,en
1,"No Drugs
No Bad Words
No Stupid Dances
No Naked women",en
2,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
3,"It's not just a song 
It's an emotion 
2023 and still coming here daily to listen this masterpiece ",en
4,His parents must be so proud of him. He makes good music. Meaningful. Soulful. Heartbreaking.,en
5,"Documentário maravilhoso, lembranças assim nada no mundo paga ! Parabéns a mãe por registrar toda infância do seu filho ",pt
6,"a carga de emoção que isso me gera é insana, completamente fora do normal.",pt
7,"No matter how long time goes on, this song will never be forgotten and never should be",en
8,"Loving can hurt, loving can hurt sometimes
But it's the only thing that I know
When it gets hard, you know it can get hard sometimes
It is the only thing makes us feel alive",en
9,"Não importa quantas vezes você tenha escutado essa música, sempre que você escutar ela de novo é como se fosse a primeira vez ️",pt
10,"I cry every single time I hear this song because my dad passed away in 2021 and I only have two pictures with him. 
I was so shy and thought I looked uglier in photos so I hated taking pictures. But I didn't know that would be the most regretful mistake I've ever made. Take pictures!! Don't care about how you look in photos. Just assume them as memories then you'll be okay. ",en
11,"I've been listening to this song regularly since a few days and ik that this would be my go to song cuz soon I'll be leaving for college in a whole new city, to start a new phase of my life and would leave all my loved ones here and all that i would have with me is the moments and memories ...this is such a comfort song i can literally listen to this song on loop forever",en
12,"Loving can hurt, loving can hurt sometimes

But it's the only thing that I know

When it gets hard, you know it can get hard sometimes

It is the only thing makes us feel alive",en
13,"When i was younger, i HATED having  pictures and videos taken of me, i still do, but this song and video shows just how important and valuable they are. Take them now, or you will regret it later.",en
14,"Amo tanto essa música,  me faz sentir saudades de algo que nunca vivi. Mas sinto que já vivi. Posso está na maior felicidade do mundo mais quando a escuto,  sinto tanta saudade de algo que não sei explicar.  chego me arrepio de tantas sensações haha ",pt
15,"Photograph Lyrics
[Verse 1]
Loving can hurt, loving can hurt sometimes
But it's the only thing that I know",en
16,"That little Ed is still inside somewhere. That cute smile, innocence, pure joy of discovering the sounds and beauty of nature — all are still there. We can feel all of them through your songs, your lyrics, compositions, everything! Way to go Ed! You deserve every happiness on this earth. You deserve to get known to all. I will always remain a big fan of yours.
Lots of love from India. ",en
17,"I lost my mom due to cancer on 26th April 2021. She was only 54. Now, all we have are her photographs and some beautiful memories. This song reminds me of her.",en
18,"Que lindo ! Me deixa como inspiração para com meu filho , lembrança eternizada ao longo da vida do pequeno .",pt
19,"I have a 6 months old son. Everytime I look at him and his newborn photos, I can't stop crying. He's growing up so fast, and one day when he won't need my help anymore, I'll be left with my baby's photographs. Thank you Ed ️",en
20,Loved this song when it came out. I was single and loving life. I’ve now since been married and have 3 kids. The song has totally different meaning than it did then and I’m still loving it.,en
21,"He’s not only singing, but he is telling a story",en
22,"this song just tells us (take photos of you while young. After years. You cannot go back in those times.)


You will regret it not taking nostalgia.",en
23,I love that Ed’s parents recorded all these beautiful memories we totally admire you Ed x,en
24,"This song reminds me in a beautiful way of every person I had lost, my mom, grandma, puppies, loves, being away from friends and family, really hits straight in my heart. Such a masterpiece.",en
25,"Even with all the fame and popularity, I’ll never feel like Ed Sheeran gets enough recognition or props for how amazing of an artist/person he is ",en
26,"Apesar de vários anos terem passado, de casamentos que presenciei esse som, de despedidas, de tardes que passava sozinho na varanda vendo o sol laranja ir embora, me vem a tona que estou no escuro do meu quarto sozinho, mesmo com a casa cheia, triste mesmo com o amor dos meus pais e amigos, me pegó chorando vendo lembranças que nunca me pertenceram e ainda impressionado",pt
