,comentario,liguagem
0,True fact: Ed Sheeran vocals aren’t joke. His vocals so soft and healing,en
1,Nothing can be better then the collaboration between Ed Sheeran and Taylor Swift. Two of my all time favourites made me cry by recalling my high school love.,en
2,"I was introduced to this song a couple of days ago by a female friend of mine.  We are both going through a rough time for different reasons and at the moment we are friends only as that is what both of us needs right now.  I can't listen to this without crying, it gets me every time.  I'm overweight, not that rich and feeling down on myself, very much the joker though having been cheated on by a woman that I adored for the 26 years we were together.  Even typing this, I can't see the screen through my tears.  Love to anyone that needs it right now x.",en
3,"The best feeling in this world is discovering that you're worthy of someone's love, despite how unworthy the world has made you feel. This song just sums up that sort of feeling.",en
4,"How was I to know?
It’s a crazy thing
I showed you my hand
And you still let me win",en
5,"When I heard this song for the very first time on the radio, I knew .. I already knew this song should be played on my wedding ",en
6,"I have no words to describe how beautiful this video was, I’m crying",en
7,"I just found out this song and from the very first moment I listened to it I stucked  I am excited realizing that these two people are the kids from the video ""everything has changed"" they really grew up, amazing Ed & Taylor, I love the lyrics and the video and of course the waltz vibe, so romantic, congratulations for this masterpiece ",en
8,How have I never heard this song until today?  It is incredibly beautiful...,en
9,Ed never disappoints me by his new releases. So beautiful. This could be a very best fit theme song for a new disney movie.,en
10,Been crying 2 days straight.  LOVE this song. It. is. So. Perfect. There are some feelings that just won't come out easily and this song opened the floodgates for me. Beautiful!,en
11,"The concept of continuing the story of “Everything Has Changed”, with the same actors years later was simply amazing! Ed and Taylor are my two favorite singers, for sure! ️",en
12,I can't understand why the song isn't more popular. I found it by accident and it's been in my playlist for a while now. Greetings from Munic,en
13,Memories of a love that is never forgotten. Still to this day it rings true. Love this song...lots of memories tied to it. ️,en
14,"I love this song not just because it was sang by the two of my most favorite music artists, but it's weird that it's calming but makes me sad at the same time. I can't stop my eyes from tearing. ",en
15,This has got to be one of the most well composed songs of all time! The concept and the wording is just spot on. Much love !!,en
16,"Why does this song make me cry?
Why am I aching from inside?
It touches my scars",en
17,"This song is like an acknowledgment to Taylor and Ed’s beautiful friendship. They’ve been there for each other through thick and thin and prove that a guy and a girl can actually have a platonic bond. Along with that, this song shows how matured they’ve become in their musical talents. This is incredible! Forever a Taylor and Ed fan!! ️️",en
18,"This is the only song which almost made me burst into tears when I first listened to it. I cant fully understand the lyrics but melody, the voices just hit me real hard. No doubt this is the best love song I've listened in my entire life. After listened to it a couple time, I can already imagine playing this song in my wedding and actually sing it to my wife even tho it's more like a dream. I will really appreciate anyone who see this comment and explain to me the ""deep"" meaning of this song.",en
19,"ED Sheeran's versatility is unprecedented!!! He can create pop songs, love ballads, pop rock and even rap tracks that resonate to many people. Amazing talent!",en
20,"This song was played at my grandad funeral, perfectly encapsulates him and grandmothers dynamic. I’ll miss him, and whenever this song is played it’ll remind me of who he was ️",en
21,"Reasons why this is my favorite Ed Sheeran song:
• Ed's vocals are so cute and soft here
• The lyrics are deep af
• Queen Swift is here",en
22,Just saw this MV and oh my god I read the comments and these are the same actors from Everything Has Changed!! Time really does fly.. They sound amazing together and thank you Taylor for making my childhood so awesome 🫶,en
23,"The picture framed from their first collab ""Everything has changed "" gave such a burst of emotions, nostalgic and ecstatic at the same time. They are the best and the finest musicians of our generation. ",en
24,"I'm not really into slow songs but this one won my heart. It's so soothing, makes me smile and makes me feel good ️",en
25,This song is just so beautiful and moving. The instrumental part just gets me every time I hear it,en
26,This masterpiece deserves to be 100M views ,en
27,"This is amazing!!!
 The children who starred in Ed Sheeran and Taylor Swift's first collaboration 'Everything Has Changed', Ava Ames and Jack Lewis, are all grown up in this music video for 'The Joker And The Queen' !! I love it!",en
28,"I always love.a song performance where both Ed Sheeran and Taylor Swift were the singers. I love how their voices blended with each other. I love every solemn, quiet and emptional song of both, solo or duo. They're really a picture perfect partner in the music industry. God bless you, two ️️",en
29,True fact: Everyone agrees that Ed Sheeran and Taylor Swift is melting everyone’s heart with their songs,en
30,I absolutely love all the poker/card games references in this song! Very clever and poetic!,en
31,the song always hits me in the feels,en
32,I still can’t get over the fact of how emotional this song makes me feel.   I discovered this song by chance because a chess player was listening to this song while streaming but we could not hear it and made me search it myself. This song has definitely becomed one of my favorites of all times️,en
33,The joker and the Queen are going to be the words I am going to remember forever.,en
34,There's a criminal lack of violin or powerful instrumental soundtracks in modern English songs. We need more of this!,en
35,"I’m so proud to say that I was born in the generation where both Taylor and Ed collabed

Im fully aware they’ve collabed in the past, i meant to say im proud to be alive during all of their collabs.",en
36,This song makes me want to dance around with my arms extended like wings.. ... It makes my heart want to lift me off the ground.. It's soooooo beautiful!..,en
37,"Idk about you, guys, but I have a feeling that this is not gonna be the last time we see these two together. I bet Tay and Ed are gonna bring this couple again some years from now :3",en
38,"This song means a lot to me, even tho I'm in school, after hearing the amazing song I fell in love with it, thank u ed sheeran n Taylor for making this beauty ",en
39,"This song is so good, first time I felt great to live in this era to listen to this song. The feels and vibe of this song are over the top.",en
40,I’ve been playing this on repeat ️️️,en
41,They sound amazing together!  ️,en
42,"How was I to know?

It’s a crazy thing

I showed you my hand

And you still let me win",en
43,His voice is emotional as the deepest heart feelings... Amazing!,en
44,I cried when I first listened to it. Most underrated song for us to treasure ,en
45,This is absolutely one of my most favorite songs of all times! The sound is so pure and angelic. It makes me emotional every time listening to it.,en
46,Ed Sheeran have talent to make songs which literally touch my hart,en
47,"It feels so bittersweet, to see those kids from ""Everything has changed"" all grown up, going off to college. Feels like I grew up with them! 
And Ed and Tay's voices blend so beautifully, I can't-",en
48,"Such a beautiful song, just loved it️",en
49,We need more songs like this!,en
50,It's amazing how both of them can continuously churn out fantastic songs...some artist are just one hit wonders,en
51,o fato que são os mesmos atores everthing has change taylor e ed amo vocês pra sempre,pt
52,I had goosebumps listening to this. There's something about Ed and Taylor's voices that seeped into your being.,en
53,What a brilliant lyrics. Straight out of the deck. Beautifululest song I've heard this year.,en
54,one of the best songs what i ever heard. Life is so similar to play cards and i wish everyone to find own  card for rest of your days ,en
55,Ed! This is the best song you have ever done hands down...   I have replayed it now over 22 times.  You just keep coming out with amazing videos!  & ,en
56,Nice duet by two great musicians. I love that.,en
57,THE ABSOLUTE GENIUS IDEA of casting the Everything Has Changed kids for this masterpiece … Taylor and Ed never fail to amaze us and keep us on our toes,en
58,I'm having a panic attack right now. But this music makes me calm. Thank you Ed Sheeran.,en
59,"Ed makes hits but no struggles in his art.
Pure talent and one filled with love.",en
60,They should do more Songs together!,en
61,Música maravilhosaaa ,pt
62,"Can we just appreciate the background orchestra, it's beautiful especially the violin/cello",en
63,The fact that this is a continuation of everything has changed is absolutely everything to me omg - their voice are such a good match for each other as well,en
64,"Just finished watching Heartstopper on Netflix and repeating this song makes me all teared up. I don't know what's the connection, but I know it's there. Both are such good masterpiece.",en
65,This song never gets old. No matter how much i listen. and I never get bored,en
66,"I am in luv with ed's voice 
I luv all his songs 
His voice is so special and beautiful ",en
67,"Eu amo sua voz ,eu amo sua música,eu amo vc ",pt
68,A continuação de Everything has Changed com os mesmos atores!! Só duas mentes brilhantes como Taylor e Ed mesmo. Como eu não descobri esse vídeo antes????,pt
69,Fact: Ed Sheeran & Taylor Swift is making everyone's day so much better with their collaboration,en
70,"This song is beautiful in simply every way, shape and form",en
71,Was randomly picking songs on Youtube music then this song played. The first few seconds of the instruments were lovely and the lyrics were even more beautiful. Instantly feel in love with this song. New fav ,en
72,"This is one of them songs that's greater than the sum of its parts. It's a good song and it's timeless as well. It could have been made in the 80s or the 90s, or whenever. It's one of them",en
73,They are both great singers that creates beautiful music. This is so good.,en
74,"I was 19 when ""everything has changed"" was released. I will be turning 28 this year. Its crazy yet amazing how much life has really changed during these years. I adore this song.",en
75,"It's amazing to see, How many variations are there in their singing styles in all their songs ...both are legendary singers .... We are proud to be in their generation .....️",en
76,"I really love and appreciated this song, never been bored listening",en
77,"How was I to know?
It's a crazy thing
I showed you my hand
And you still let me win",en
78,"The fact that it’s the same actors form Everything has changed’s music video is amazing!! This was so good. Taylor sounds amazing, and so does Ed.️",en
79,"This song.. This melody, the voices. Oh God. It captured my heart from the first time... I was in my car and the radio played this song. It was like i became 14 years. Tender memories.. Thank you. Can't stop crying",en
80,I love this song. It's amazing !,en
81,I saw the video on the released date and I felt this is the under rated one but now I can see no one can hide a master piece,en
82,"You know you grew with taylor when you were a swiftie before ""everything has changed"" and after ""joker and the queen"". This song proves why Taylor and Ed deserves to go to places. The wise choice to use the kids even after 9 years later, lyrical and vocal geniuses. Love this song and video!",en
83,"Ed played this song as a solo version in Germany this month. It was such an intense and magical moment, I nearly cried when I heard it live ️",en
84,"I'm going ""back to December"" taking some ""photograph"" and that's ""perfect""
This song is a masterpiece",en
85,"Straight up, this is a really good song, I love the lyrics and message",en
86,The artistic choice to get those two children back 9 years later to reprise their roles is totally genius! It's so beautiful and emotionally heartwarming to see them grown up. The thought and care that went into this decision is why Ed and Taylor are so successful and deservedly so.,en
87,I feel I wanted to get married again to my husband and make this as our song ,en
88,This song is so beautiful ,en
89,This song is so beautiful yet so sad at the same time and definitely belongs in either a teen Netflix drama show or the next alive in wonderland film!,en
90,"""The Joker And The Queen""



How was I to know?

It's a crazy thing",en
91,It hits different when you're a fan since everything has changed was released. It gives you nostalgic feels and makes you wanna go back to those times.,en
92,This song reallyyy deserves a very graphic lyric video!!!,en
93,I love this song ️,en
94,"Beautiful soothing ️ romantic, thank you Ed Sheeran!",en
95,Simply a classic ,en
96,Truly amazing! Even casting for the video! Incredible in all ways !,en
97,"Not only the melody. The lyric, the story, and the feelings within… Never thought sadness can be a luxury",en
98,I really like the ability of this song to touch the soul so gently...,en
99,"One of the song that I wished someday be sung in my wedding party. The lyrics is amazing, It brought me tears when I first heard it. It touched me so much.

I heard it only a week ago. One of my Korean favorite singer, artist and actor played this song in his new show when he drove around in his car and having a healing trip by himself",en
100,What a beautiful song ,en
101,"A message to the future generation


Don't let this song die it's a legend ",en
102,We grew up from Taylor’s Red era and we got this. It was very very emotional.,en
103,"The way that the concept of this video is basically a continuation of Everything Has Changed is just awesome! And the fact that they casted the same kids but now all grown up is really making me feel nostalgic, can't believe it's been 10 years :')",en
104,Beautiful song! I can't stop listening!,en
105,"i almost cried. this song is the most beautiful ed sheeran song. I absolutely love this song, and I only just heard it once.",en
106,I’m back at watching this music video over and over cause of the kids in the video and Taylor & Ed but I’m so glad Jack & Ava agreed to come back for this when I found out the kids in this were the ones from the “everything has changed” music video I literally flipped and got so excited but the part when they both looked at the picture got me,en
107,"We livin in the best era of music, where we find singers like Weeknd for retro style pop, and ed and Taylor, who never disappoint us!!",en
108,Most underrated song of all time ,en
