,comentario,liguagem
0,MIDDLE OF THE NIGHT on all platforms!! https://smarturl.it/MOTN,en
1,this song will never get boring,en
2,"She's actually feeling every word, every lyric! And you can hear it in her voice :D <3 beautiful song, perfectly executed & with all the emotion she can transmit through her singing. This is excellence!",en
3,"Obsessed with this song, she is amazing. I play it on repeat all the day long and I get chills all the time. Songs like this one are really rare. Go Elley!!! So happy that this masterpiece exists. Thank you from Paris 🇫🇷",en
4,This song is so powerful honestly every time I listen to it I feel like I’m being taken to whole new universe it’s so enchanting ️,en
5,"6 mês se passaram, e eu continuo simplesmente apaixonada pela música!! <3 Uma das minhas músicas favoritas🫶",pt
6,Imagine if this goes trending,en
7,Linda canção com uma voz dos céus. Amei 100%. Isso é que chamo de música.,pt
8,what a song i never forget to listen this song while relaxing just love it,en
9,"The reason why this song is a masterpiece:
1. Her voice is angelic
2. The beat goes hard
3. Lyrics",en
10,Such a timeless song. Amazing work.,en
11, tô xonada nas músicas dela,pt
12,obrigao Elley essa musica nunca sera esquecida sempre quando estou triste essa musica sempre me motiva a nao dessistir so tenho que te agradecer sou do BRAZIL  um beijo,pt
13,Mds! Eu amo essa música ️,pt
14,Can't stop playing this masterpiece ️,en
15,I have this playing on repeat while I'm writing. Lovely voice; great music!,en
16,Olha amei a música! 🇧🇷,pt
17,This is what I call a talent ,en
18,"•~LYRICS~•

I summoned you, please come to me
Don't bury thoughts that you really want",en
19,Essa mulher é simplesmente sensacional ,pt
20,This is a really wonderful magic Elley !. Hope you keep making such wonderful creations with your heavenly voice!.,en
21,"A masterpiece, never heard something like this in a long time. You're amazing and your voice is so poetic & euphoric to my ears ",en
22,"Very high-quality performance - to the best of energy, to the best of calmness. The clip turned out to be very atmospheric! Thank you for the song that you can listen to dozens of times, if not hundreds!",en
23,It's sad that it took this long for this song to come into my life. It's perfect in every way. I listen to it on repeat like crazy. You deserve everything good to come to you.,en
24,"This song, this melody... 
It’s so cool, I love it! ",en
25,Música linda.,pt
26,Thats what i call raw talent. Great work Elley ! ,en
27,"I like how it's a video and with lyrics, not just lyrics and a random background like most songs. It gives you something to look at.",en
28,"Such an ethereal voice. 
So captivating. 
Listened to this like 10 times in a row just now. ",en
29,"I play this song over and over in the middle of the night in my room, and it's never get boring to play ️️️️",en
