,comentario,liguagem
0,Quando eu ouvi pela primeira vez na rádio mix eu me apaixonei pelo ritmo pareci uma energia surreal ,pt
1,I seriously cannot get enough of this song. Loved it from the moment I first heard it. I can't sit still whenever I hear it.,en
2,This song puts me in a great mood.  I just start dancing getting my groove on. Very catchy classy and clever.  Kudos Elton! As a keyboardist I truly appreciate this. Very easy and exciting to play,en
3,This is one of the most amazing songs i've heard in a while. It captures a lot of emotion and creates such a good positive vibe. The original rocket man and this song are both equally great.,en
4,"Adorei a nova versão da música! Toda vez que a ouço eu também danço! Obrigada, muita Luz! Valença/RJ, Brasil.",pt
5,Essa música me teletransporta pra outra dimensão ️,pt
6,They nailed it!!! This song just makes me happy. Have it on repeat daily!!!,en
7,Amo muito essa canção,pt
8,"Amazing, love this song. So many feels and years just passing through. 
Great mix and lovely beat! Song on repeat, check! ️",en
9,"Amo essa música,  Elton John não pare de gravar .Te aguardamos. ",pt
10,Love this song! I cannot stop listening to it. It's awesome what they did here,en
11,"I believe everyone knows the original, and I tend to argue the original belongs to those type of songs that are astronomically difficult to remix/ remaster/ remake. This remix really nailed it. Absolutely perfect execution.",en
12,Such a chill song. Playing this cuts like a warm knife through the problems of the day like butter! Killing it!,en
13,When this remix came out. It was all over the radio stations during the summer and it never got old hearing it over and over! ,en
14,Música que toca no meu trampo,pt
15,Muito boa música  🇧🇷,pt
16,música apaixonante com uma letra marcante ,pt
17,What a masterpiece!! Our world needs art like that to warm our hearts. Stunning!!,en
18,Amo demais,pt
19,The lyrics always hit me hard even when I was little. This is a nice collaboration.,en
20,Love this song. It's like uplifting my heart and soul.,en
21,Minha dose de boa energia este som,pt
22,I find myself hitting repeat every time the song ends! The vibrations and flow puts me in a great mood!,en
23,Literally tune makes me smile as soon as it starts - love it ,en
24,"Ficou perfeita, ótima escolha encaixar Elton nas músicas atuais",pt
25,Top demais essa música,pt
26,"Proper nice song, mixed just right and Dua’s voice just sounds perfect on it.",en
27,I love that song so much! Nothing’s better to be in a good mood for the day! ️,en
28,"Simplesmente top,versão top",pt
29,A song to touch the heart ️,en
30,"ADOREI ESSE CLIPE  DE ADORAR MESMO,ASSIM,MUITO LINDO ,E A MENSAGEM ️ FOI TRANSLUCIDA E FENOMENAL.BJS DUA E JONH",pt
31,"My grand daughter and I sing “Oh no no no no” while dancing and laughing! 
Always love Elton ",en
32,"Spoken as Eltons biggest fan . I absolutely love this collaboration , I really enjoyed Pnaus use of the classic Elton songs like ""Sacrifice"" and ""Kiss the Bride"" , Duas rendition of ""Rocketman"" was beautiful and I absolutely adored the way Pnau chose to sample those lesser known Elton jams like ""Where's the Shoorah"" . 
Brilliant !!!!!!!!",en
33,This is one of those songs that gives me goosebumps and makes the hairs on my neck stand up. I guess it touches my soul.,en
34,AMAZING!!! CAN'T STOP LISTENING TO IT!!!,en
35,TUDO DE BOM ,en
36,"This is so awesome. My grandmother introduced me to Elton's music when I was very little. Now 37 years old, I'm a lifelong fan. I wish my grandmother was still alive to hear this - she would have loved it!",en
37,"This song is a vibe, certainly lift my spirit",en
38,I heard this on radio on my shuttle two days on a day. The first day I was not paying attention to the lyrics completely so could not search the song. But today I added it to my playlist and have been listening on loop. This song has an additive quality.,en
39,Love music like this! Like 80s disco ️  ️ ,en
40,"Ficou show  essa versão do Elton John  e Dua Lipa. As músicas  já  são  lindas,",pt
41,Elton é a lenda ,pt
42,"What a breath of fresh air after a gloomy couple of years. Well done Dua, Elton and of course Pnau ",en
