,comentario,liguagem
0,this song is our generations anthem right now,en
1,"I like that the words are the focus in this version, and the pace is slower, giving time to savor these lyrics.  The words in the first version share this limelight with the beat.  As a result, the two versions hit so different that they might be mistaken as two as two different songs.",en
2,"My favorite lyric in the original version was
""Like your hanging by a thread but you gotta survive, cause you gotta survive.""
THIS VERSION ADDS SO MUCH MORE TO IT. There's desperation,  you can feel the emotion clearly. Trying to cope by giving yourself a reason to live. Cause you gotta survive. I just love this version so much",en
3,"Didn’t realize I needed an acoustic version, but wow now I’m crying all over again. Love this song ",en
4,"Wow, I prefer this version to the normal pop version, really shows off her voice and just how incredibly talented she is",en
5,"Wow, the only Gen Z artist that actually gives me hope for the future. Strong Sara Bareilles vibes plus Carole King-esque storytelling. Keep up the good work!",en
6,"The amount of people resonating with this song and connecting is mind blowing, we’re all just in it trying to survive. Music is our universal language for sure ️",en
7,"As a violinist, having violist friends makes us so happy to finally see people who play string instruments in songs! ",en
8,"ok this was actually really cool, I personally like it even more than the original, for a few reasons. I think the real instruments rather than the electronic ones (Not that those sound bad) just make such an improvement and really let her voice be clearer. The new ending part with those rising chords is just phenomenal, and I like those slight melodic changes you made in the vocals here and there. Oh and also the harmony you added to the last chorus was really cool.",en
9,Love that she re-recorded the vocals for this. Some artists just take the original vocals and put piano music over it. Love it!,en
10,All I can say is she 100% deserves all the success that's coming her way because this is absolutely fantastic :) ,en
11,This song has been on loop inside of my head ever since it came out. I love it so  much <3,en
12,Love this version so much! Gives off a lot more of a musical vibe which I absolutely love!,en
13,"I cried watching the other version, but this one hit real deep. I could see all that passion and emotion while you played and sang. You are truly talented and you make the best relatable music, I am so glad I stumbled upon your music!",en
14,"God, as a Millennial who has been sorely missing the indie piano pop of my teenage days, I think this song has brought me back to life a little. Much love. ",en
15,THIS IS AWSOMEEE i had never listened to a song so many times before by just hearing a single time!!!!! ,en
16,she really is just effortlessly beautiful wow,en
17,"I don't feel a single thing
Have the pills done too much
Haven't caught up with my friends in weeks
And now we're outta touch",en
18,Inspiring what a beautiful song ,en
19,Whoever composed this arrangement is amazing. So clean and tasteful.,en
20,"Love this version as well!
Thanks for letting me be part of the Numb Little Bug Club, Em! ️",en
21,I love how this stripped down version really emphasizes how beautiful your voice is! And the string arrangement is great :) Keep up the great work!,en
22,Not only is she beautiful and friendly but her voice is beautiful without auto tune or technology enhancements. That is really rare these days,en
23,"As a 30 year old woman with a debilating painful disease, while simultaneously dealing with physical dependence on pain medication, this song so perfectly describes my mind, of every second of every day. 

I'm a little bit tired of life thats for sure. I just want to be happy again. Is that possible?",en
24,This song has been on repeat - only way I could vocalize exactly how I feel to my therapist,en
25,Please make more music like this where people can relate and heal even for just a while.,en
26,"You have this 42 year old father of three grown children breaking down right now.
This applies to me, my kids, my family, my friends and it's almost too much.
Thank you for this beautiful anthem, it is perfectly worded and beautifully sung.
I hate that you feel the same as me, I hate that anybody does, but you gave my feelings a perfect voice.",en
27,Some people are just born with incredibly good voices... this girl is so talented!!,en
28,"I didn't think that this song could sound better. Wait, no, see her prove me wrong. 
Amazing!",en
29,"YOU ARE SO TALENTED !!!!!!! 
This song has helped me so much in the past years because I was suffering with depression and was having sucidal thoughts and was wanting to just give up everything but one day I saw your song and when I heard it it gave me hope and now im much better just because of you! ",en
30,This is giving me Sara Bareilles vibes in the BEST way  been jamming to this song. It speaks what I think. ️,en
31,"You are such a talented singer and pianist, and all of your songs are amazing. I got chills at the end of this when you looked up.",en
32,"This is beautiful, what an angelic voice you've got! Very well done and best of luck!",en
33,This song didn't just make me want to survive. This made me want to live my life to the fullest ,en
34,"Posso ouvir essa música em qualquer versão musical porque ela é perfeita, mais acústica é um presente divino para os meus ouvidos 🇧🇷.",pt
35,I like this version better than the original song but both are very good. Love it!,en
36,This song is new favourite! The piano chords are so good and the violin in the background. Keep up the good work Em Beihold.,en
37,"My favourite song at the moment! You are so truly talented, and this song is really relatable for me, and probably for many other people. Thank you for spreading awareness about these feelings through this incredible piece, it deserves way more attentions than it currently gets. I love your music <3",en
38,Em has one of those voices that just go hand in hand with a piano.,en
39,Your voice really shines through in this version! ,en
40,"This version feels more personal..like..less mass produce,is not trying to be a pop song and it shows and that,'s amazing bcause a lot of songs are trying to hard,but this one becomes popular by being itself",en
41,"I just love how talented Em is, it's making me cry ",en
42,"Always impressed by someone who can sing along with playing an instrument. 

Mad props u crazy lady!!",en
43,This lyric is a masterpiece... and place it in a upbeat tone puts it over the top. Great job,en
44,I am a lot more impressed with this than the radio edit by far. You are very talented.,en
45,1:00 this part sounds JUST AWESOME with those violins ,en
46,Your voice is just heavenly. There is no words to describe it.,en
47,"Can’t stop playing this song on repeat. This version is where it’s at, thank you! ",en
48,"Wow, this has so much more to it than I expected! I absolutely love this song and it is now my mission to learn to play it!!",en
49,"Almost held my breath through out the entire song, for your voice is literally breathtaking. So calm yet poweful! Waking up to this song is a really beautiful thing. Not only are you gorgeous but you are also very talented. Please keep this up and I know for sure that you'll become much much bigger. From Vietnam with love.",en
50,"Both the versions are so beautiful 
Thank you for making such beautiful and relateble songs!!! ",en
51,"Now this version hits different, so much emphasis put onto the vocals. It's a little hard to describe what this makes me feel, but I'm in love with the raw expression and charm in this version. It's amazing to listen to.",en
52,I love this song. Amazing lyrics and rhythm! I added it so my Spotify playlist!,en
53,"I've never listened to a song for more then a minute but I can listen to Numb Little Bug for hours. It's been so hard for me the past months to the fact I almost gave up on life....but every lyric to this song understands me in way my family can't bc they don't try too anyway. It's so sad that so many people relate to this song, but I'm glad I'm not alone at least. I hope all of us one day be happy. Thank you, Em",en
54,Is it just me or is her voice better in this? Or is it that it's just more audible?,en
55,"This is phenomenal, Em! Great job on every level. Keep going from strength to strength! ",en
56,You are super good at piano and singing!!!!! You crushed it!,en
57,this song is literally playing on loop in my head,en
