,comentario,liguagem
0,It’s a comfortable feeling knowing how you feel was put into words. Because we all know how it’s sometimes hard to describe.,en
1,"""Like your body’s in the room but you’re not really there 

Like you have empathy inside but you don’t really care""
-These lines are are the ones that hit home.",en
2,"10 months ago this song was my life.
But now, I am 6 months ""clean"". No more antidepressants, no more sinking. Finally happy.",en
3,"'Like you're not really happy but you don't wanna die' 

It's fascinating how one song can really make you say 'thank God it's not only me'.",en
4,Some songs actually show that we don't suffer alone,en
5,"This song used to be insanely relatable to me, but since 2023 started, I’ve been repairing.

 And I just want to say to everyone commenting that it connects to them,",en
6,"This song is truly a masterpiece In describing the feeling of hopelessness. It isn’t just catchy, it’s impactful.",en
7,"We can’t all be perfect. This song exactly describes how we sometimes feel. This song makes us all happy with the perfect harmony. We can all agree. Em, you have a beautiful voice and we all know that :)",en
8,"I am a Japanese. Even if languages were different, I felt relieved when our feeling was the same. It is very kind of you. A feeling calms down when I listen to this song. I am inexperienced in English, and I am sorry.",en
9,I have been at my lowest for the past few months. So many things happened in such a short amount of time. I feel lonely and depressed just like she describes in the song. I had to have my own back and kept fighting. Thank you for making this song,en
10,Do u ever feel a little bit tired of life like your not rlly happy but you don’t wanna die? Just hits to hard. It’s the most relatable thing if heard in a song..,en
11,"I've been singing this song for the last 15 minutes and I think that my family is thinking that I'm crazy! 


I love how this song has a sad meaning but your singing it like it's the happiest thing you've ever heard! ",en
12,"I don’t really have a history of mental illness and I don’t think that I have ever been truly depressed. But this song still really speaks to me. Sometimes I can spend weeks/months not really being there barely speaking/interacting with people, kinda like dissociation I guess. I’m not sad or anything just not really there and I feel like this song in a way captures that feeling.",en
13,"I have PTSD and lack motivation, and damn it really does feel impossible sometimes to live and not just survive. This song really explains how I feel.",en
14,This lady deserves more recognition.,en
15,Everytime I feel sad or depressed I listen to this song and I makes me a bit happier then I was before because the lyrics really speak to me,en
16,"I love this song and I want to sing it on repeat but to be honest I'm afraid to let it sink in too deeply.  It feels like there's a fine line between acknowledging my depression and giving in to it, you know?  Also that line ""Quick repairs to cope"" is YIKES.  Couldn't have put it more vividly myself.",en
17,"The song I didn’t know I needed. Hey everyone, we’re not alone. We all found ourselves right here in the same place",en
18,I wish we had more songs that raised awareness for mental health struggles and were actually very good like this one. Loved this!,en
19,Damn this is incredible. Been on repeat for a long time now. Speaks to me spiritually,en
20,This whole song has been my entire mood for the last few years.  I'm glad that someone finally found the words and made a great song about it.,en
21,I don't know why but I just keep coming back to listen to this song because it just feels like someone put how I have been feeling for the past few months into words it is a nice feeling,en
22,When a song is so relatable but it doesn't hit hard because you're numb,en
23,This song describes my Autistic Burnout experience really well. Also a great description of mild depression and living through a lot of crazy stuff the past few years. Very relatable for me. Bravo. ️,en
24,"Genuinely such a creative and beautiful artist- i am so glad i have found her songs, and this one has especially hit close to the heart. (:",en
25,"I was looking at what was wrong with my life for years. When I finally stopped and started looking at what was good, my entire world changed. When you learn to smile even when you’re in immeasurable pain, you go beyond what you can ever imagine.",en
26,"This has become my song , Nothing can explain how I feel better than this",en
27,This song literally puts my emotions and feelings into words,en
28,I honestly relate so much to this song. Im so grateful for it.,en
29,conheci essa música a pouco tempo mas já é um das minhas favoritas! ,pt
30,"""Do you ever get a little bit tired of life- Like your not really happy but you don't wanna die"" Couldn't have said it better myself, so accurate. Quote of my year",en
31,"""Little bit tired of trying to care when I don't"" and ""do you ever get a little bit tired of life"" these hit hard.",en
32,"I love this song, It really gives me hope and all… It’s just like my relationships with all",en
33,This song will never get old,en
34,"It's been pretty rough lately trying to stay happy for everyone but ngl this song made me want to dance for the first time in a while. Almost as if everything is alright, because you're not alone in the way you are feeling. Loved it ️",en
35,"This really resonates to what i feel. The past months or years i've been feeling quite off and  idk how to describe it. It's good that i aint alone in this battle. Cheers to us who kept going despite feeling like this, you are not alone!",en
36,"I really appreciate how she emphasizes the actual degree of numbness in the chorus—a little bit tired of life, but not exhausted. Not really happy, but not to the point that you want to die. A little bit tired of trying to care when I don't, quick repairs to cope, sinking when there's water in my boat. 
It's that part that feels the most relatable to me. Something is wrong and I know it is, but I'm still capable of functioning. It's not quite at the stage of being completely beyond repair yet. Just... mildly numb.",en
37,"The first time I heard this song, I cried: I used to feel exactly this way, and I still (kinda) do.
I almost instantly learned the lyrics, and, one time, it was playing on the radio while I was with my family and I sung to it. That's actually what alerted them and ""told"" them that I wasn't okay.
They try to help, my (few) friends too, but I just feel like I'm even worse than before now; like I'm at the edge of a cliff and closer than ever to tipping over the side, never to be seen again.",en
38,"I listened to this song on the radio numerous times and loved it because it just had a nice rings to it. Lyrics were put together beautifully. Rhythm was amazing. I never really took time to listen to the lyrics. I then spent the better part of the past two weeks trying to find out what it was called and who sung it. I finally figured it out tonight. It gave me the chance to actually listen to the lyrics. This song is going to mean so much to so many people. For me, it is going to help me navigate a tough past year, and what will hopefully be a much better 2023! ",en
39,"This describes how I feel. I just can't describe it but she just said everything I wanted to say, she put it into perfect words that summarize my feelings.",en
40,Thank you for this!,en
41,Song still hits in 2023 nobody can change my mind,en
42,She literally spoke my mind and I can't help but feel a little bit comfort that there are people who feel the same.,en
43,Been a year and this song is still so relatable,en
44,This is the first time ive ever heard this song and man.. It hit hard.  She decribed how ive been feeling EXACTLY. I love this song for it also the beat is fire,en
45,"""Like you have empathy inside but you don't really care"" this hit home for me soooo much",en
46,"Felt this viscerally a couple months ago, listened to it on repeat. 
I then got diagnosed with adult ADHD and ASD and now I'm on adhd meds, and I'm doing soooo much better! It does get better eventually!",en
47,Love this song!! It is so in touch with everything one goes through every day struggling with mental illness. Thank you for this.,en
48,"This song describes how I've been feeling this entire past year. I just feel life is going on, I don't interact with people anymore. I don't necessarily feel sad but it's more like I just exist to exist.",en
49,This song explains my addiction perfectly of when i was at my worst. Im almost one year sober and it feels great! This song really helped:) IT IS POSSIBLE,en
50,Right on point!!!! Love it!!!,en
51,Good song love it honestly,en
52,Love this,en
53,"When you can't describe life with depression and anxiety, this song does it!  Especially when you are going through a major tough spell.  Very thankful for this song",en
54,"Congrats Em, you deserve it. Been listening to you sing since you didn't have any official videos (or full songs for that matter). Was hoping the world would welcome you and your music with open arms. Life ain't so bad!",en
55,"Damn girl you can write a song!  Such interesting chordal changes with a developed melody, really great stuff, congrats!",en
56,Loves the vibes,en
57,"Queria ter conhecido essa música antes,porque ela sou eu. E a artista por trás dela também é incrível.🇧🇷",pt
58,I just love this song soo much I've listened to it daily. I love how this  music video is just so creative!♡ and  I love your music you have an amazing voice:),en
59,"I used to tell my psychiatrists this all the time. ""I don't want to live anymore but I don't want to kill myself. I just want to stop living."" I was never sure if they really got what I meant so this song kinda spoke to me in letting me know that other people get that feeling too.",en
60,This songs makes me feel like finally being seen like someone really understands how i feel and that i am not just over reacting .,en
61,"You have got something Em, i don't know why but the song just touched my heart ️",en
62,Love these songs that are so upbeat and peppy and the lyrics cut me to the damn quick.,en
63,"Lyrics
I don't feel a single thing
Have the pills done too much
Haven't caught up with my friends in weeks",en
64,Can’t believe it was already a year ago when I first heard this song. I’m doing better and listening to this song makes me feel different than a year ago,en
65,"""like you have empathy inside but you don't really care"" hits so hard",en
