,comentario,liguagem
0,Tupac really can fit on any beat!,en
1,This just made me realize how truly legendary this beat is,en
2,Mano isso tá incrível cara ,pt
3,"God, I didn't think I'd miss the 2000s until it ended",en
4,Shows how good pac and biggie was they sound amazing on so many beats.,en
5,Que som e esse meus amigos ,pt
6,🇧🇷🇧🇷🇧🇷🇧🇷adoro esse som...,pt
7,Eu amo  essa  música é  amo  essa  cara  ele  é de  mais,pt
8,Man Pac is THE BEST! His voice and the way he raps its magic!,en
9,Extrapolou é o pico da qualidade muito bom som de qualidade superior ,pt
10,The whole planet needs to listen to this mix.. ️,en
11,"This remix is better than nowadays rap lmao
Many legends in one video with their own style in em's beat made me feel life again",en
12,perfeito man kkk ouço todos os dias animadassoo,pt
13,This remix never gets old ,en
14,Muito bom!,pt
15,We need this on spotify,en
16,Essa musica está queimando no meu coração ,pt
17,Esse som tá lendário,pt
18,"""Essa música virou meu despertador """,pt
19,"THE GODS OF RAP RIP MANY BLESSINGS WHEREVER YOU WANT TO BE AND THOSE WHO ARE AMONG US EVEN A BIG HUG AND THANK YOU FOR ALL THESE MELODIES THAT MAKE MY HEART BEAT DAY BY DAY, MY RESPECTS TO EACH OF YOU.",en
20,Mi época ,pt
21,"This Is What Rap Is All About, Every Voice Is Present!! I Bow Down To Thi!! I Hope To See The King's  Writing  More Wonderful Songs Like This, 13 Minutes Felt Like It Was Flash!!",en
22,"this is one of the best remixes I've ever heard, everyone just fits perfectly",en
23,Esse fado vai de 10 a  muinto top 50 Cent muinto brabo,pt
24,cara que massa vei ficou muito doida essa batida,pt
25," one of your best yet

Antha added to my playlist",en
26,We came to the point where we have to recycle old tracks to feel hip hop again,en
27,2pac always impresses me! Love him,en
28,What a great tune it can get people moving to the beat,en
29,"Haven't heard such a dope remix in a long time

2pac was truly a legend",en
30,Love it ,en
31,the multiple possibilities of what a song can become make it better with each version,en
32,dre and eminem vibing together got me vibing in the back seat,en
33,I don't think this beat gets old,en
34,"Absolutely incredible remix, it sounds perfect!",en
35,Tupac's voice fits anywhere,en
36,all the legends on one beat is truly amazing,en
37,THIS IS SOOOOOO GOOD TO WHOEVER MADE IT!! THANK U!!!!,en
38,"That moment when you realize that 2000's rap is considered ""old school"" rap now.",en
39,It should be on spotify <3,en
40,This is the best collaboration/remix of the best Rappers “EVER” to be! Awesome. Absolute Respect. ,en
41,We all needed this ,en
42,All Legends in single track. what else you need! Awesome remix ,en
43,This song is addictive I can't stop replaying it,en
44,Só as melhores do hip Hop,pt
45,This is some next level editing.  Love it!,en
46,The more i listen to it the more i think it needs to be in all ears.,en
47,Love how other rappers have had their clips sped up/slowd slightly to make them fit perfectly doesn't change them but makes it so much better,en
48,"This is literally the biggest crossover in hip hop history
Absolutely epic",en
49,They took every best line from their best songs and made the best piece of art ever,en
50,This is incredible!!! Well done!!!! ,en
51,Ficou foda ,pt
52,Chills...all the heavy hitters...straight ,en
53,Touched my heart while listening ,en
54,I can't find anything to explain how this is all the legends together thank you very much for letting me experience this again,en
55,This remix is lit ,en
56,So feras muito bom,pt
57,"whoever did this remix, this is the best legend-packed mix I've ever heard.  legally awesome to the beat",en
58,This mix is brilliant...,en
59,"A cool simple beat... Everyone Bringing that OLD SCHOOL RAP HEAT...
best one",en
60,Agr sim isso é perfeito !,pt
61,"Tupac, eazy, biggie. Absolute legends. They fit on any track",en
