,comentario,liguagem
0,2023 and it's still fire,en
1,Its impossible to have depression when you have Eminem's music in your life,en
2,"I remember watching this as a kid. Movie always stuck with me and I, to this day, still love it. Nostalgia.",en
3,"We don’t look for old songs, we look for the memories they carry ",en
4,Under rated movie with one of the best songs ever made in it.,en
5,This song never gets old,en
6,"This song is absolutely incredible! The lyrics are so moving and relatable, and the melody is beautifully crafted. I can feel the emotion and passion behind every note and word, and it's truly inspiring. The artist's voice is so powerful and expressive, and it perfectly captures the essence of the song's message. I've been listening to this on repeat all day and I can't get enough. Thank you for sharing this amazing piece of music with the world!",en
7,"Lyrics:


'Cause sometimes you just feel tired, feel weak",en
8,The Greatest Of All Times -- EMINEM ,en
9,"This song literally helped me to go through all the struggles of my life, I would never be able to thank Eminem enough, thanks a lot men.",en
10,Um dos melhores sons do Eminem,pt
11,This song is nostalgic and will never be forgotten one of the best eminem songs,en
12,Eminem spoke a lot of good words in this song and he's actually right about the truth,en
13,There are only a small amount of music that gives vibes of power and this is one of them ,en
14,Eminem is a legend and his song will forever be listened no matter how old it is .,en
15,This song motivates me to keep on living even through the hardest times in my life and I appreciate it Soo much cause there's been times that I have felt like I'm gonna break apart and lose my life but when this song comes on it reminds me that I have the strength to keep going on even when I have no strength at all,en
16,"It may be one of those times when a person doesn't know what to value, but it is impossible not to be amazed by such a monumental art.",en
17,I listen to this ever day at middle school it motivates me to get through the rough days no matter how much I listen to it it will never get old ,en
18,Heard this song as a child in radio here and there ... First time hearing this song on YouTube and it's giving me goosebumps,en
19,"This song helped me to go through hard times in my life, when i was at my lowest and felt like shit. I'm so greatful to eminem for creating such a piece of art. ️",en
20,the songs of a legend will never die.,en
21,This song motivates me and tells me I can be stronger that I am,en
22,"Whenever I feel low about myself, this song never fails to keep me going ",en
23,"This song will forever remain one of the best hype up songs, keep ur head up king, ur not alone",en
24,Great song to keep pushing yourself during workouts and other challenges.,en
25,"Possibly the best workout song of all time, it's just insane how much this pumps you up...",en
26,Probably the best song ever created. Get goosebumps every single time.,en
27,this song is what plays in my head when life knocks me down and I get up strong with more ambition ,en
28,"This song is immortal now, it's like it came out yesterday but was the soundtrack to all of human history.",en
29,This will always be one of the best hype up songs however old it gets.,en
30,I remember listening to this during my morning runs. 9 years later and still listening. Only this time for different reasons. 15 days sober ,en
31,I have listened to this song for years and it never got old,en
32,Still one of the best songs from when i was a kid,en
33,"this song never will die, is one of the best songs of rap.",en
34,Love this!,en
